ano,clube,sid,nome,finalizacoes_bp,xg_bp,gols_bp,gols_bp_cabeca,gols_escanteio,gols_falta_direta,gols_penalti,xg_bp_cabeca,assist_bp,assist_escanteio,assist_falta,assist_bp_cabeca,n_ev,chave,clube_wyscout,casamento
2022,Bahia,1177384,André Dhominique,1,,0,0,0,0,0,,0,0,0,0,1,andre dhominique,Bahia,exato
2022,Bahia,1067629,Caio Vidal,2,,0,0,0,0,0,,0,0,0,0,2,caio vidal,Bahia,exato
2022,Bahia,840218,Danielzinho,3,,1,0,1,0,0,,1,1,0,1,4,danielzinho,Bahia,exato
2022,Bahia,805825,Didi,4,,0,0,0,0,0,,0,0,0,0,4,didi,Bahia,exato
2022,Bahia,973933,Djalma,3,,0,0,0,0,0,,0,0,0,0,3,,,sem casar
2022,Bahia,244087,Emerson Santos,4,,0,0,0,0,0,,0,0,0,0,4,emerson santos,Bahia,exato
2022,Bahia,1197991,Everton Moraes,1,,0,0,0,0,0,,0,0,0,0,1,everton moraes,Bahia,exato
2022,Bahia,1117710,Gabriel Xavier,5,,0,0,0,0,0,,0,0,0,0,5,gabriel xavier,Bahia,exato
2022,Bahia,1105963,Gregory,2,,1,0,0,0,0,,0,0,0,0,2,gregory,Bahia,exato
2022,Bahia,15668,Hugo Rodallega,13,,0,0,0,0,0,,1,0,1,0,14,hugo rodallega,Bahia,exato
2022,Bahia,958382,Ignácio,13,,3,2,2,0,0,,1,1,0,1,14,ignacio,Bahia,exato
2022,Bahia,1084036,Igor Torres,1,,0,0,0,0,0,,0,0,0,0,1,igor torres,Bahia,exato
2022,Bahia,162595,Jonathan Copete,1,,0,0,0,0,0,,0,0,0,0,1,j copete,Bahia,palavras
2022,Bahia,249881,Lucas Mugni,9,,2,0,1,0,4,,1,1,0,1,10,lucas mugni,Bahia,exato
2022,Bahia,1017715,Luiz Henrique,1,,0,0,0,0,0,,0,0,0,0,1,luiz henrique,Bahia,exato
2022,Bahia,874778,Luiz Otávio,19,,1,0,1,0,0,,0,0,0,0,19,luiz otavio,Bahia,exato
2022,Bahia,840148,Marcinho,3,,0,0,0,0,0,,0,0,0,0,3,marcinho,Bahia,exato
2022,Bahia,870560,Marco Antônio,3,,0,0,0,0,0,,0,0,0,0,3,m antonio,Bahia,palavras
2022,Bahia,1047204,Matheus Bahia,2,,0,0,0,0,0,,0,0,0,0,2,matheus bahia,Bahia,exato
2022,Bahia,981695,Matheus Davó,8,,2,2,2,0,0,,1,1,0,1,9,matheus davo,Bahia,exato
2022,Bahia,979868,Patrick De Lucca,4,,0,0,0,0,0,,0,0,0,0,4,patrick de lucca,Bahia,exato
2022,Bahia,1392679,Patrick Verhon,0,,0,0,0,0,0,,1,1,0,1,1,patrick verhon,Bahia,exato
2022,Bahia,868030,Rezende,9,,0,0,0,0,0,,0,0,0,0,9,rezende,Bahia,exato
2022,Bahia,151993,Ricardo Goulart,4,,2,2,2,0,0,,0,0,0,0,4,ricardo goulart,Bahia,exato
2022,Bahia,1047095,Rildo,7,,0,0,0,0,0,,0,0,0,0,7,rildo,Bahia,exato
2022,Bahia,1019652,Vítor Jacaré,9,,0,0,0,0,0,,0,0,0,0,9,vitor jacare,Bahia,exato
2022,Bahia,966130,Warley,1,,0,0,0,0,0,,0,0,0,0,1,warley,Sampaio Corrêa,"exato, outro clube na base"
2022,Brusque,1014249,Airton,4,,0,0,0,0,0,,2,1,1,1,6,airton,Brusque,exato
2022,Brusque,871073,Alex Ruan,1,,0,0,0,0,0,,1,1,0,1,2,alex ruan,Brusque,exato
2022,Brusque,936929,Alex Sandro,4,,0,0,0,0,1,,0,0,0,0,4,alex sandro,Brusque,exato
2022,Brusque,124988,Bruno Aguiar,5,,1,1,1,0,0,,0,0,0,0,5,bruno aguiar,Brusque,exato
2022,Brusque,386138,Crislan,6,,1,1,0,0,0,,0,0,0,0,6,crislan,Brusque,exato
2022,Brusque,879866,Diego Jardel,2,,0,0,0,0,2,,1,0,1,1,3,diego jardel,Brusque,exato
2022,Brusque,871219,Fernandinho,8,,0,0,0,0,0,,0,0,0,0,8,fernandinho,Brusque,exato
2022,Brusque,933955,Gabriel Taliari,5,,1,0,0,0,0,,0,0,0,0,5,gabriel taliari,Brusque,exato
2022,Brusque,870789,Ianson,1,,0,0,0,0,0,,0,0,0,0,1,ianson,Brusque,exato
2022,Brusque,977803,Jailson,7,,0,0,0,0,0,,0,0,0,0,7,jailson,Brusque,exato
2022,Brusque,842290,Jeferson Santos,5,,0,0,0,0,0,,1,1,0,0,6,jeferson,Brusque,palavras
2022,Brusque,166487,Luiz Antônio,6,,0,0,0,0,0,,0,0,0,0,6,luiz antonio,Brusque,exato
2022,Brusque,852556,Matheus Trindade,5,,0,0,0,0,0,,0,0,0,0,5,matheus trindade,Brusque,exato
2022,Brusque,124982,Pará,2,,0,0,0,0,0,,0,0,0,0,2,para,Brusque,exato
2022,Brusque,1174206,Paulo Baya,13,,0,0,0,0,0,,0,0,0,0,13,paulo baya,Brusque,exato
2022,Brusque,871168,Rodolfo Potiguar,12,,0,0,0,0,0,,1,1,0,0,13,rodolfo potiguar,Brusque,exato
2022,Brusque,880215,Todinho,3,,0,0,0,0,1,,0,0,0,0,3,,,sem casar
2022,Brusque,291949,Toty,5,,0,0,0,0,0,,0,0,0,0,5,toty,Brusque,exato
2022,Brusque,1102255,Wagner Balotelli,4,,0,0,0,0,0,,0,0,0,0,4,wagner balotelli,Brusque,exato
2022,Brusque,77244,Wallace Reis,14,,3,1,2,0,0,,0,0,0,0,14,wallace,Brusque,palavras
2022,Brusque,1014251,Zé Mateus,4,,0,0,0,0,0,,0,0,0,0,4,ze mateus,Brusque,exato
2022,Brusque,870586,Álvaro,2,,0,0,0,0,0,,0,0,0,0,2,alvaro,Brusque,exato
2022,Brusque,866862,Éverton Alemão,11,,1,0,1,0,0,,0,0,0,0,11,everton alemao,Brusque,exato
2022,CRB,125032,Anselmo Ramon,6,,1,0,1,0,3,,0,0,0,0,6,anselmo ramon,CRB,exato
2022,CRB,923949,Bruninho,1,,0,0,0,0,0,,0,0,0,0,1,bruninho,CRB,exato
2022,CRB,1116458,Bryan,1,,0,0,0,0,0,,0,0,0,0,1,bryan,CRB,exato
2022,CRB,251245,Claudinei,1,,1,1,0,0,0,,0,0,0,0,1,claudinei,CRB,exato
2022,CRB,1189439,David Braw,1,,0,0,0,0,0,,0,0,0,0,1,david braw,CRB,exato
2022,CRB,242359,Diego Ivo,3,,0,0,0,0,0,,1,1,0,0,4,diego ivo,CRB,exato
2022,CRB,167109,Diogo Silva,0,,0,0,0,0,2,,0,0,0,0,0,diogo silva,CRB,exato
2022,CRB,1130178,Emerson Ramon,6,,1,0,0,0,0,,1,1,0,0,7,,,sem casar
2022,CRB,995294,Fabinho,4,,2,0,2,0,0,,0,0,0,0,4,fabinho,CRB,exato
2022,CRB,931563,Gabriel,1,,0,0,0,0,0,,0,0,0,0,1,,,sem casar
2022,CRB,1139530,Gabriel Conceição,6,,0,0,0,0,0,,1,1,0,0,7,gabriel conceicao,CRB,exato
2022,CRB,887150,Gilvan,3,,0,0,0,0,0,,0,0,0,0,3,gilvan,CRB,exato
2022,CRB,1097858,Guilherme Lopes,3,,0,0,0,0,0,,0,0,0,0,3,guilherme,CRB,palavras
2022,CRB,883908,Guilherme Romão,4,,0,0,0,0,0,,0,0,0,0,4,guilherme romao,CRB,exato
2022,CRB,90655,Gum,12,,1,1,0,0,0,,0,0,0,0,12,gum,CRB,exato
2022,CRB,986570,Iago Mendonça,2,,0,0,0,0,0,,0,0,0,0,2,iago mendonca,CRB,exato
2022,CRB,842073,Juninho Valoura,5,,0,0,0,0,0,,1,0,1,1,6,juninho valoura,CRB,exato
2022,CRB,341145,Paulinho Moccelin,2,,0,0,0,0,0,,0,0,0,0,2,paulinho moccelin,CRB,exato
2022,CRB,795175,Rafael Longuine,9,,0,0,0,0,0,,1,0,1,0,10,rafael longuine,CRB,exato
2022,CRB,870934,Raul Prata,4,,0,0,0,0,0,,0,0,0,0,4,raul prata,CRB,exato
2022,CRB,555456,Reginaldo,2,,0,0,0,0,0,,0,0,0,0,2,reginaldo,CRB,exato
2022,CRB,927208,Richard,7,,1,0,1,0,0,,0,0,0,0,7,,,sem casar
2022,CRB,253857,Uillian Correia,1,,0,0,0,0,0,,0,0,0,0,1,uillian correia,CRB,exato
2022,CRB,913587,Vico,1,,0,0,0,0,0,,0,0,0,0,1,vico,CRB,exato
2022,CRB,1017033,Wallace,1,,0,0,0,0,0,,0,0,0,0,1,wallace,CRB,exato
2022,CRB,829487,Wellington Carvalho,5,,1,0,1,0,0,,0,0,0,0,5,wellington carvalho,CRB,exato
2022,CRB,338841,Yago,6,,0,0,0,0,0,,0,0,0,0,6,,,sem casar
2022,CSA,60472,Bruno Mezenga,1,,0,0,0,0,0,,0,0,0,0,1,bruno mezenga,CSA,exato
2022,CSA,875175,Dalberto,3,,1,1,1,0,0,,0,0,0,0,3,dalberto,CSA,exato
2022,CSA,106403,Diego Renan,4,,0,0,0,0,0,,0,0,0,0,4,diego renan,CSA,exato
2022,CSA,866803,Douglão,1,,0,0,0,0,0,,0,0,0,0,1,douglas,CSA,parecido
2022,CSA,241436,Ernandes,1,,0,0,0,0,0,,0,0,0,0,1,ernandes,CSA,exato
