temporada,clube_ogol,lado,jogos,gols,faixa_0_15,faixa_15_30,faixa_30_45,faixa_45mais,faixa_45_60,faixa_60_75,faixa_75_90,faixa_90mais,primeiro_tempo,segundo_tempo
2018,Londrina,marcados,38,45,10,4,4,4,7,10,5,1,22,23
2018,Fortaleza,marcados,38,54,6,7,7,0,8,12,9,5,20,34
2018,CSA,marcados,38,51,4,7,12,0,9,5,10,4,23,28
2018,Ponte Preta,marcados,38,42,7,6,12,0,7,6,4,0,25,17
2018,Juventude,marcados,38,27,3,2,6,3,2,1,8,2,14,13
2018,CRB,marcados,38,35,8,1,4,0,3,8,8,3,13,22
2018,Avaí,marcados,38,50,8,5,10,2,5,8,10,2,25,25
2018,Coritiba,marcados,38,40,7,4,6,1,9,5,6,2,18,22
2018,Figueirense,marcados,38,48,15,10,4,1,7,3,7,1,30,18
2018,São Bento,marcados,38,41,7,3,6,1,6,10,7,1,17,24
2018,Boa Esporte,marcados,38,26,5,4,1,0,3,3,6,4,10,16
2018,Vila Nova,marcados,38,41,4,5,3,3,6,7,9,4,15,26
2018,Atlético Goianiense,marcados,38,57,10,6,4,2,10,8,12,5,22,35
2018,GE Brasil,marcados,38,36,3,6,6,1,4,8,7,1,16,20
2018,Criciúma,marcados,38,45,6,11,6,2,5,2,7,6,25,20
2018,Paysandu,marcados,38,42,8,7,7,0,5,4,5,6,22,20
2018,Goiás,marcados,38,54,3,6,11,2,3,12,9,8,22,32
2018,Sampaio Corrêa,marcados,38,32,4,9,4,3,3,4,4,1,20,12
2018,Guarani,marcados,38,44,6,4,11,1,7,8,7,0,22,22
2018,Osasco Sporting,marcados,38,36,3,3,10,2,6,6,5,1,18,18
2018,Boa Esporte,sofridos,38,49,10,6,5,2,12,7,7,0,23,26
2018,Avaí,sofridos,38,32,6,3,4,1,4,5,8,1,14,18
2018,Osasco Sporting,sofridos,38,40,5,6,8,1,3,9,4,4,20,20
2018,CRB,sofridos,38,39,7,4,7,1,6,4,7,3,19,20
2018,Paysandu,sofridos,38,53,6,6,12,1,11,7,3,7,25,28
2018,Ponte Preta,sofridos,38,30,6,5,4,0,2,6,3,4,15,15
2018,Atlético Goianiense,sofridos,38,51,10,9,9,1,6,6,6,4,29,22
2018,GE Brasil,sofridos,38,35,2,7,12,3,1,4,5,1,24,11
2018,Figueirense,sofridos,38,51,8,8,8,2,8,9,5,3,26,25
2018,São Bento,sofridos,38,41,7,6,7,1,4,3,11,2,21,20
2018,Vila Nova,sofridos,38,36,3,5,5,1,2,7,11,2,14,22
2018,Criciúma,sofridos,38,49,8,3,9,2,9,7,8,3,22,27
2018,Londrina,sofridos,38,42,8,4,8,1,6,5,8,2,21,21
2018,Juventude,sofridos,38,48,3,7,8,0,5,7,15,3,18,30
2018,Coritiba,sofridos,38,44,7,8,5,2,5,5,11,1,22,22
2018,Goiás,sofridos,38,50,9,5,6,1,6,12,7,4,21,29
