mercado,liga,pos11,jogador,clube,idade,minutos,contrato,valor,nascido_em,passaporte,aderencia,aderencia_ajustada,nivel_overall,rank_na_liga,nota,nota_completa,nivel_bola_parada,nivel_fisico,criterios_com_dado,posse_est,Duelos def/90 PAdj,Aéreos/90 PAdj,Duelos of/90 PAdj,fatia,rodou_2025,psv99,psv_ok,expl_accel_sprint_p90,runs_penalty_area_p30tip,Corners per 90,Free kicks per 90,Head goals per 90,"Aerial duels won, %",livre_2027,contrato_vencido,nivel
Série B,Série B,GOL,Jandrei,Juventude,33.0,2395,2026-12-31,400000.0,Brazil,"Brazil, Italy",83.2,83.2,83.22,1.0,83.2,True,0.0,,5,46.51026127647489,0.07,0.52,0.2,0.8919925512104283,False,,sem dado,,,0.0,,0.0,93.33,True,False,N1
Série B,Série B,GOL,Airton,Criciúma,32.0,1797,2026-11-30,250000.0,Brazil,Brazil,70.1,70.1,61.94,5.0,66.0,True,0.0,,5,54.59400161820118,0.0,0.33,0.09,0.6894422936067803,True,,sem dado,,,0.0,,0.0,100.0,True,False,N1
Série B,Série B,GOL,Vitor Caetano,CRB,27.0,1937,2027-11-30,100000.0,Brazil,"Brazil, Italy",73.9,73.9,56.76,11.0,65.3,True,0.0,,5,57.55418306953082,0.16,0.27,0.12,0.714161220043573,False,,sem dado,,,0.0,,0.0,80.0,False,False,N1
Série B,Série B,GOL,Thiago Couto,Sport,27.0,2741,2027-12-31,200000.0,Brazil,Brazil,60.9,60.9,64.11,3.0,62.5,True,0.0,,5,51.404802068931154,0.07,0.24,0.07,1.0244640005436445,False,,sem dado,,,0.0,,0.0,100.0,False,False,N1
Série B,Série B,GOL,Paulo Vítor,Atlético-GO,37.0,2402,2026-11-30,200000.0,Brazil,Brazil,69.0,69.0,53.93,13.0,61.5,True,0.0,,5,49.315141603348756,0.07,0.34,0.34,0.9020210296326642,True,,sem dado,,,0.0,,0.0,100.0,True,False,N1
Série B,Série B,GOL,Helton Leite,Vila Nova,35.0,2539,2026-11-30,1000000.0,Brazil,"Brazil, Portugal",62.5,62.5,58.59,8.0,60.5,True,0.0,,5,44.59506551644563,0.06,0.23,0.12,0.9575876020023315,False,,sem dado,,,0.0,,0.0,100.0,True,False,N1
Série B,Série B,GOL,Luan Polli,Athletic,33.0,2603,2026-11-30,450000.0,Brazil,"Brazil, Italy",53.8,53.8,62.24,4.0,58.0,True,0.0,,5,47.44816308242358,0.1,0.13,0.11,0.9504730290456432,True,,sem dado,,,0.0,,0.0,100.0,True,False,N1
Série B,Série B,GOL,Léo Aragão,Avaí,24.0,1285,2027-12-31,,Brazil,Brazil,57.1,57.1,56.97,10.0,57.0,True,0.0,,5,50.04515307163248,0.07,0.28,0.0,0.4636858679963259,False,,sem dado,,,0.0,,0.0,100.0,False,False,N1/N2
Série B,Série B,GOL,Thiago Rodrigues,Goiás,37.0,1512,2026-11-30,150000.0,Brazil,Brazil,57.6,57.6,54.08,12.0,55.8,True,0.0,,5,57.61501573743535,0.07,0.14,0.21,0.5596796446478447,False,,sem dado,,,0.0,,0.0,100.0,True,False,N1
Série B,Série B,GOL,Richard,Ceará,35.0,1972,2026-12-31,250000.0,Brazil,Brazil,51.1,51.1,47.78,18.0,49.4,True,0.0,,5,45.20985804813649,0.08,0.25,0.1,0.8086486486486487,False,,sem dado,,,0.0,,0.0,83.33,True,False,N1
Série B,Série B,GOL,Tadeu,Goiás,34.0,1207,2029-12-31,,Brazil,Brazil,47.8,47.8,45.66,21.0,46.7,True,0.0,,5,57.61501573743535,0.08,0.53,0.13,0.44678130363091834,True,,sem dado,,,0.0,,0.0,100.0,False,False,N1
Série B,Série B,GOL,Maurício Kozlinski,Londrina,35.0,2495,2028-11-30,350000.0,Brazil,Brazil,42.7,42.7,39.59,23.0,41.1,True,0.0,,5,42.211884771012855,0.0,0.1,0.17,0.8920851617097351,False,,sem dado,,,0.0,,0.0,100.0,False,False,N1
Série B,Série B,GOL,Jordi,Novorizontino,33.0,1845,2027-12-31,600000.0,Brazil,Brazil,38.6,38.6,,,38.6,False,,,5,46.98789855019767,0.09,0.19,0.16,0.6576261300670749,False,,sem dado,,,0.0,,0.0,100.0,False,False,N1
Série B,Série B,GOL,Marcelo Carné,Cuiabá,36.0,2110,2026-11-30,350000.0,Brazil,Brazil,23.9,23.9,51.82,15.0,37.9,True,0.0,,5,52.127534917031305,0.0,0.14,0.04,0.7806666442433823,False,,sem dado,,,0.0,,0.0,100.0,True,False,N1
Série B,Série B,GOL,Vinicius Ferrari,Ponte Preta,23.0,906,2026-11-30,,Brazil,Brazil,36.4,36.4,,,36.4,False,,,5,38.56620674299066,0.0,0.0,0.39,0.36174228675136116,False,,sem dado,,,0.0,,0.0,0.0,True,False,N2 jovem
Série B,Série B,LD,Willean Lepo,Criciúma,29.0,1710,2027-12-31,450000.0,Brazil,Brazil,77.8,77.8,54.85,2.0,66.3,True,0.0,45.75,6,54.59400161820118,7.19,3.71,8.67,0.6560636182902584,True,29.68,sim,2.47,3.54,0.26,0.0,0.05,39.06,False,False,N1
Série B,Série B,LD,Maílton,Fortaleza,28.0,1838,2027-12-31,,Brazil,Brazil,71.0,71.0,58.57,1.0,64.8,True,0.0,32.93,6,54.22009120301356,4.97,1.44,5.96,0.6700248550124276,True,29.85,sim,1.96,0.78,3.28,1.86,0.0,18.52,False,False,N1
Série B,Série B,LD,Rodrigo Soares,Goiás,33.0,1415,2026-11-30,1000000.0,Brazil,Brazil,70.4,70.4,43.77,12.0,57.1,True,0.0,34.39,6,57.61501573743535,4.73,1.8,2.71,0.5237742706195108,True,28.18,sim,1.09,2.95,0.51,0.13,0.0,62.5,True,False,N1
