mercado,liga,pos11,jogador,clube,idade,minutos,contrato,valor,nascido_em,passaporte,aderencia,aderencia_ajustada,nivel_overall,rank_na_liga,nota,nota_completa,nivel_bola_parada,nivel_fisico,criterios_com_dado,posse_est,Duelos def/90 PAdj,Aéreos/90 PAdj,Duelos of/90 PAdj,sul_americano,ocupa_vaga_estrangeiro,On loan,livre_2027,contrato_vencido,nivel
Série A,Brasil A,GOL,Ronaldo,Bahia,29.0,1382,2029-12-31,1200000,Brazil,Brazil,84.1,100.0,73.03,1.0,86.5,True,0.0,,5,51.64102379640151,0.0,0.27,0.07,True,False,sim,False,False,N1
Série A,Brasil A,GOL,Tiago Volpi,Red Bull Bragantino,35.0,1534,2026-12-31,1500000,Brazil,Brazil,70.5,86.5,71.13,2.0,78.8,True,0.0,,5,45.17078610266897,0.11,0.05,0.07,True,False,sim,True,False,N1
Série A,Brasil A,GOL,Lucas Arcanjo,Vitória,28.0,1963,2028-12-31,1000000,Brazil,Brazil,53.4,69.4,64.9,6.0,67.2,True,0.0,,5,43.447476814299,0.08,0.16,0.06,True,False,sim,False,False,N1
Série A,Brasil A,GOL,Léo Vieira,Bahia,35.0,1584,2026-12-31,100000,Brazil,Brazil,65.3,81.3,49.93,14.0,65.6,True,0.0,,5,51.64102379640151,0.24,0.24,0.11,True,False,sim,True,False,N1
Série A,Brasil A,GOL,Pedro Rangel,Coritiba,26.0,1623,2028-12-31,600000,Brazil,Brazil,56.8,72.8,50.87,11.0,61.8,True,0.0,,5,39.465441363643464,0.14,0.5,0.08,True,False,sim,False,False,N1
Série A,Brasil A,GOL,Otávio Costa,Cruzeiro,20.0,1026,2028-12-31,0,Brazil,Brazil,67.6,83.6,39.88,19.0,61.7,True,0.0,,5,56.70016975648316,0.0,0.0,0.08,True,False,sim,False,False,N2 jovem
Série A,Brasil A,GOL,Santos,Athletico Paranaense,36.0,2256,2026-12-31,1000000,Brazil,Brazil,48.3,64.3,58.44,7.0,61.4,True,0.0,,5,46.78461922992882,0.04,0.08,0.09,True,False,sim,True,False,N1
Série A,Brasil A,GOL,Rafael,São Paulo,37.0,2265,2027-12-31,800000,Brazil,Brazil,49.1,65.1,50.76,13.0,57.9,True,0.0,,5,53.813508898842734,0.09,0.26,0.07,True,False,sim,False,False,N1
Série A,Brasil A,LD,Lucas Ramon,São Paulo,32.0,1492,2027-12-31,250000,Brazil,Brazil,74.6,90.6,42.91,11.0,66.8,True,0.0,37.7,6,53.813508898842734,6.59,2.02,3.47,True,False,sim,False,False,N1
Série A,Brasil A,LD,Paulo Henrique,Vasco da Gama,30.0,1085,2027-12-31,1000000,Brazil,Brazil,68.9,84.9,40.04,16.0,62.5,True,0.0,46.11,6,56.17267017593401,6.43,1.89,5.69,True,False,sim,False,False,N1
Série A,Brasil A,LD,Marcelinho,Remo,28.0,1668,,0,Brazil,Brazil,54.5,70.5,39.95,17.0,55.2,True,0.0,38.5,6,42.365621952788864,3.09,2.85,5.85,True,False,sim,True,False,N1
Série A,Brasil A,LD,A. Giay,Palmeiras,22.0,1339,2030-12-31,0,Argentina,Argentina,52.1,68.1,36.46,23.0,52.3,True,0.0,39.24,6,52.37274175730717,7.26,0.99,3.27,True,True,sim,False,False,N2 jovem
Série A,Brasil A,LD,Everton,Chapecoense,31.0,1340,2026-12-31,0,Brazil,Brazil,52.5,68.5,32.85,29.0,50.7,True,0.0,40.35,6,45.88360136784594,5.46,2.85,4.32,True,False,sim,True,False,N1
Série A,Brasil A,LD,Guillermo Varela,Flamengo,33.0,1521,2027-12-31,1700000,Uruguay,"Uruguay, Italy",47.2,63.2,37.63,22.0,50.4,True,0.0,45.01,6,66.9727100788408,6.36,3.22,2.39,True,True,sim,False,False,N1
Série A,Brasil A,LD,José Andrés Hurtado,Red Bull Bragantino,24.0,1250,2027-12-31,1800000,Ecuador,Ecuador,44.7,60.7,39.04,20.0,49.9,True,0.0,40.24,6,45.17078610266897,4.07,2.17,2.31,True,True,sim,False,False,N1/N2
Série A,Brasil A,LD,G. Benavídez,Athletico Paranaense,30.0,1873,2028-12-31,0,Argentina,Argentina,42.4,58.4,39.28,19.0,48.8,True,0.0,36.94,6,46.78461922992882,3.25,1.13,2.11,True,True,sim,False,False,N1
Série A,Brasil A,ZD,Léo Ortiz,Flamengo,30.0,1618,2028-12-31,0,Brazil,Brazil,73.3,89.3,68.33,1.0,78.8,True,0.0,28.19,7,66.9727100788408,4.21,4.54,0.5,True,False,sim,False,False,N1
Série A,Brasil A,ZD,David Duarte,Bahia,31.0,1633,2027-12-31,1000000,Brazil,Brazil,71.9,87.9,60.5,3.0,74.2,True,0.0,28.49,7,51.64102379640151,3.7,5.01,0.64,True,False,sim,False,False,N1
Série A,Brasil A,ZD,Fabricio Bruno,Cruzeiro,30.0,2013,2030-12-31,0,Brazil,Brazil,76.4,92.4,52.42,13.0,72.4,True,0.0,28.39,7,56.70016975648316,3.72,4.13,0.27,True,False,sim,False,False,N1
Série A,Brasil A,ZD,Ignácio,Fluminense,29.0,920,2028-06-30,1500000,Brazil,Brazil,58.3,74.3,58.91,4.0,66.6,True,0.0,30.92,7,59.96730696394254,5.13,5.01,1.71,True,False,sim,False,False,N1
Série A,Brasil A,ZD,Alix,Red Bull Bragantino,26.0,1620,2028-12-31,1000000,Brazil,Brazil,59.4,75.4,53.33,12.0,64.4,True,0.0,36.22,7,45.17078610266897,4.56,2.99,1.9,True,False,sim,False,False,N1
Série A,Brasil A,ZD,Gabriel Paulista,Corinthians,35.0,1810,2027-12-31,2000000,Brazil,"Brazil, Spain",58.5,74.5,48.94,17.0,61.7,True,0.0,32.9,7,51.03554580235096,2.89,2.99,0.34,True,False,sim,False,False,N1
Série A,Brasil A,ZD,João Victor,Mirassol,28.0,2261,2027-12-31,250000,Brazil,Brazil,54.3,70.3,49.99,15.0,60.1,True,0.0,28.65,7,54.02590869299134,2.9,4.55,0.56,True,False,sim,False,False,N1
Série A,Brasil A,ZD,A. Saldivia,Vasco da Gama,24.0,1078,2028-12-31,0,Uruguay,Uruguay,48.6,64.6,54.53,10.0,59.6,True,0.0,29.12,7,56.17267017593401,5.91,4.47,1.93,True,True,sim,False,False,N1/N2
Série A,Brasil A,ZE,Viery,Grêmio,21.0,1323,2031-06-30,0,Brazil,Brazil,59.1,75.1,69.88,1.0,72.5,True,0.0,31.76,7,48.262357716166086,6.5,3.02,1.97,True,False,sim,False,False,N2 jovem
Série A,Brasil A,ZE,Léo Pereira,Flamengo,30.0,1816,2027-12-31,0,Brazil,Brazil,52.5,68.5,68.62,2.0,68.6,True,0.0,27.1,7,66.9727100788408,5.18,3.53,0.59,True,False,sim,False,False,N1
Série A,Brasil A,ZE,J. Freytes,Fluminense,26.0,1776,2028-12-31,800000,Argentina,Argentina,64.0,80.0,55.81,10.0,67.9,True,0.0,28.66,7,59.96730696394254,5.2,3.42,0.84,True,True,sim,False,False,N1
Série A,Brasil A,ZE,L. Esquivel,Athletico Paranaense,24.0,1456,2029-06-30,0,Argentina,Argentina,51.1,67.1,,,67.1,False,,,7,46.78461922992882,6.28,1.22,3.57,True,True,sim,False,False,N1/N2
Série A,Brasil A,ZE,Luan Peres,Santos,32.0,1476,2027-12-31,1300000,Brazil,Brazil,59.1,75.1,56.19,8.0,65.6,True,0.0,23.89,7,48.36239258297843,3.72,2.84,1.51,True,False,sim,False,False,N1
Série A,Brasil A,ZE,Willian Machado,Mirassol,29.0,1694,2028-12-31,100000,Brazil,Brazil,58.5,74.5,55.88,9.0,65.2,True,0.0,26.16,7,54.02590869299134,4.57,4.1,0.59,True,False,sim,False,False,N1
Série A,Brasil A,ZE,Gustavo Henrique,Corinthians,33.0,1962,2027-12-31,1000000,Brazil,Brazil,60.6,76.6,50.0,21.0,63.3,True,0.0,19.84,7,51.03554580235096,3.6,3.56,0.54,True,False,sim,False,False,N1
Série A,Brasil A,ZE,Eduardo Doma,Chapecoense,27.0,1931,2027-12-31,250000,Brazil,Brazil,57.4,73.4,52.9,13.0,63.2,True,0.0,20.91,7,45.88360136784594,2.75,2.88,0.76,True,False,sim,False,False,N1
Série A,Brasil A,LE,Renan Lodi,Atlético Mineiro,28.0,1973,2030-12-31,0,Brazil,"Brazil, Italy",75.0,91.0,42.47,15.0,66.7,True,0.0,47.17,6,49.34747558401895,5.72,2.11,5.18,True,False,sim,False,False,N1
Série A,Brasil A,LE,Matheus Bidu,Corinthians,27.0,1753,2027-12-31,2000000,Brazil,Brazil,70.0,86.0,43.94,12.0,65.0,True,0.0,45.19,6,51.03554580235096,5.92,1.47,6.24,True,False,sim,False,False,N1
Série A,Brasil A,LE,Kaiki,Cruzeiro,23.0,1615,2027-12-31,0,Brazil,Brazil,64.2,80.2,44.23,11.0,62.2,True,0.0,41.79,6,56.70016975648316,8.95,3.28,4.66,True,False,sim,False,False,N2 jovem
Série A,Brasil A,LE,S. Mendoza,Athletico Paranaense,34.0,2063,2027-12-31,1000000,Colombia,Colombia,55.8,71.8,50.48,5.0,61.1,True,0.0,41.87,6,46.78461922992882,2.05,0.57,5.17,True,True,sim,False,False,N1
Série A,Brasil A,LE,Luciano Juba,Bahia,26.0,1736,2029-12-31,0,Brazil,Brazil,47.5,63.5,55.1,3.0,59.3,True,0.0,35.76,6,51.64102379640151,4.5,1.72,2.46,True,False,sim,False,False,N1
Série A,Brasil A,LE,Guilherme Arana,Fluminense,29.0,979,2029-12-31,0,Brazil,Brazil,50.2,66.2,43.26,14.0,54.7,True,0.0,36.14,6,59.96730696394254,5.86,1.84,2.3,True,False,sim,False,False,N1
Série A,Brasil A,LE,Matheus Bahia,Internacional,27.0,1152,2027-12-31,1200000,Brazil,Brazil,55.0,71.0,37.3,24.0,54.2,True,0.0,45.2,6,44.39697613185705,6.54,0.92,3.6,True,False,sim,False,False,N1
Série A,Brasil A,LE,J. Piquerez,Palmeiras,27.0,948,2030-12-31,0,Uruguay,"Uruguay, Italy",48.3,64.3,43.32,13.0,53.8,True,0.0,43.59,6,52.37274175730717,6.38,1.89,2.36,True,True,sim,False,False,N1
Série A,Brasil A,VOL,Zé Vitor,Vitória,26.0,1133,2027-04-10,0,Brazil,Brazil,70.1,86.1,,,86.1,False,,,6,43.447476814299,7.23,8.28,8.04,True,False,sim,True,False,N1
Série A,Brasil A,VOL,Gerson,Cruzeiro,29.0,1705,2030-12-31,0,Brazil,Brazil,56.8,72.8,,,72.8,False,,,6,56.70016975648316,5.43,1.71,7.54,True,False,sim,False,False,N1
Série A,Brasil A,VOL,José Aldo,Mirassol,28.0,1373,2027-12-31,50000,Brazil,Brazil,58.0,74.0,54.46,3.0,64.2,True,0.0,23.95,6,54.02590869299134,6.49,2.78,4.37,True,False,sim,False,False,N1
Série A,Brasil A,VOL,E. Noriega,Grêmio,24.0,1345,2028-12-31,400000,Peru,Peru,75.0,91.0,34.9,21.0,63.0,True,0.0,19.27,6,48.262357716166086,4.01,1.36,3.74,True,True,sim,False,False,N1/N2
Série A,Brasil A,VOL,Zé Welison,Remo,31.0,1341,2026-12-31,2000000,Brazil,Brazil,79.3,95.3,28.62,30.0,62.0,True,0.0,24.31,6,42.365621952788864,5.76,2.15,3.65,True,False,sim,True,False,N1
Série A,Brasil A,VOL,Danielzinho,São Paulo,31.0,1582,2027-12-31,300000,Brazil,Brazil,67.3,83.3,40.23,13.0,61.8,True,0.0,27.07,6,53.813508898842734,4.93,1.91,3.7,True,False,sim,False,False,N1
Série A,Brasil A,VOL,A. Carrillo,Corinthians,35.0,1045,2026-12-31,1500000,Peru,"Peru, Portugal",44.9,60.9,,,60.9,False,,,6,51.03554580235096,6.69,0.88,4.3,True,True,sim,True,False,N1
Série A,Brasil A,VOL,Martinelli,Fluminense,24.0,1424,2030-12-31,0,Brazil,"Brazil, Italy",59.0,75.0,42.67,9.0,58.8,True,0.0,25.1,6,59.96730696394254,6.56,1.97,2.68,True,False,sim,False,False,N1/N2
Série A,Brasil A,MED,C. Oliva,Santos,30.0,1088,2028-12-31,0,Uruguay,Uruguay,64.3,80.3,,,80.3,False,,,6,48.36239258297843,6.88,1.84,3.68,True,True,sim,False,False,N1
Série A,Brasil A,MED,Andreas Pereira,Palmeiras,30.0,1920,2028-12-31,0,Belgium,"Belgium, Brazil",81.2,97.2,51.85,8.0,74.5,True,0.0,46.52,6,52.37274175730717,4.92,1.03,3.13,True,False,sim,False,False,N1
Série A,Brasil A,MED,Danilo,Botafogo,25.0,1495,2029-06-30,0,Brazil,Brazil,73.4,89.4,54.69,4.0,72.0,True,0.0,41.61,6,43.811665230710084,3.11,1.12,5.64,True,False,sim,False,False,N1/N2
Série A,Brasil A,MED,Marcos Antônio,São Paulo,26.0,1415,2030-12-31,0,Brazil,Brazil,67.2,83.2,59.59,2.0,71.4,True,0.0,41.57,6,53.813508898842734,5.37,0.76,4.31,True,False,sim,False,False,N1
Série A,Brasil A,MED,Tchê Tchê,Vasco da Gama,33.0,1133,2026-12-31,1800000,Brazil,Brazil,54.9,70.9,47.72,9.0,59.3,True,0.0,43.3,6,56.17267017593401,3.72,1.08,4.59,True,False,sim,True,False,N1
Série A,Brasil A,MED,Paulinho,Internacional,29.0,968,2027-12-31,1000000,Brazil,Brazil,55.8,71.8,45.09,13.0,58.4,True,0.0,46.77,6,44.39697613185705,7.53,1.92,7.23,True,False,sim,False,False,N1
Série A,Brasil A,MED,Jean Lucas,Bahia,28.0,1649,2028-12-31,0,Brazil,Brazil,52.9,68.9,45.1,12.0,57.0,True,0.0,47.29,6,51.64102379640151,5.87,1.08,6.02,True,False,sim,False,False,N1
Série A,Brasil A,MED,Baralhas,Vitória,27.0,1735,2028-12-31,1000000,Brazil,Brazil,48.1,64.1,44.39,14.0,54.2,True,0.0,47.44,6,43.447476814299,4.82,0.88,4.29,True,False,sim,False,False,N1
Série A,Brasil A,MEI,Giorgian de Arrascaeta,Flamengo,32.0,1061,2028-12-31,0,Uruguay,"Uruguay, Italy",87.0,100.0,65.85,2.0,82.9,True,71.8,28.66,7,66.9727100788408,4.5,2.57,5.45,True,True,sim,False,False,N1
Série A,Brasil A,MEI,L. Acosta,Fluminense,32.0,1315,2029-12-31,0,Argentina,"Argentina, United States",89.0,100.0,59.39,4.0,79.7,True,7.17,32.88,7,59.96730696394254,5.21,0.85,5.54,True,True,sim,False,False,N1
Série A,Brasil A,MEI,Matheus Pereira,Cruzeiro,30.0,1914,2028-12-31,0,Brazil,"Brazil, Portugal",77.3,93.3,55.08,7.0,74.2,True,32.74,40.8,7,56.70016975648316,4.46,1.85,6.47,True,False,sim,False,False,N1
Série A,Brasil A,MEI,R. Garro,Corinthians,28.0,1682,2028-12-31,0,Argentina,"Argentina, Italy",65.6,81.6,55.83,6.0,68.7,True,41.98,36.99,7,51.03554580235096,3.83,0.6,7.29,True,True,sim,False,False,N1
Série A,Brasil A,MEI,Josué,Coritiba,35.0,1744,2026-12-31,600000,Portugal,Portugal,60.4,76.4,59.72,3.0,68.1,True,72.44,30.34,7,39.465441363643464,2.94,0.55,6.27,False,True,sim,True,False,N1
Série A,Brasil A,MEI,Lucas Barbosa,Red Bull Bragantino,25.0,2021,2029-12-31,2000000,Brazil,Brazil,47.4,63.4,40.89,21.0,52.1,True,0.0,43.91,7,45.17078610266897,4.39,3.08,8.24,True,False,sim,False,False,N1/N2
Série A,Brasil A,MEI,Victor Hugo,Atlético Mineiro,22.0,1575,2030-12-31,0,Brazil,Brazil,43.5,59.5,41.66,18.0,50.6,True,3.02,36.19,7,49.34747558401895,2.76,2.2,8.04,True,False,sim,False,False,N2 jovem
Série A,Brasil A,MEI,A. Montoro,Botafogo,19.0,1416,2029-12-31,0,Argentina,Argentina,38.3,54.3,41.06,20.0,47.7,True,3.18,30.27,7,43.811665230710084,3.45,0.74,12.47,True,True,sim,False,False,N2 jovem
Série A,Brasil A,ED,J. Carrascal,Flamengo,28.0,957,2029-06-30,0,Colombia,Colombia,72.7,88.7,,,88.7,False,,,6,66.9727100788408,7.12,2.27,7.02,True,True,sim,False,False,N1
Série A,Brasil A,ED,Negueba,Mirassol,26.0,907,2027-12-31,450000,Brazil,Brazil,67.3,83.3,58.64,2.0,71.0,True,0.0,38.9,6,54.02590869299134,3.56,0.97,9.18,True,False,sim,False,False,N1
Série A,Brasil A,ED,Keny Arroyo,Cruzeiro,20.0,1196,2029-12-31,0,Ecuador,Ecuador,63.2,79.2,55.44,5.0,67.3,True,0.0,48.91,6,56.70016975648316,4.52,1.82,7.76,True,True,sim,False,False,N2 jovem
Série A,Brasil A,ED,Lucas Ronier,Coritiba,21.0,1579,2027-12-31,0,Brazil,Brazil,63.4,79.4,50.1,13.0,64.8,True,0.0,45.03,6,39.465441363643464,5.23,2.21,14.66,True,False,sim,False,False,N2 jovem
Série A,Brasil A,ED,Gabriel Bontempo,Santos,21.0,1392,2030-12-31,0,Brazil,Brazil,66.8,82.8,44.97,16.0,63.9,True,0.0,37.28,6,48.36239258297843,3.76,1.69,5.48,True,False,sim,False,False,N2 jovem
Série A,Brasil A,ED,Lucas Paquetà,Flamengo,28.0,1029,2030-12-31,0,Brazil,"Brazil, Portugal",45.9,61.9,,,61.9,False,,,6,66.9727100788408,10.46,3.97,8.03,True,False,sim,False,False,N1
Série A,Brasil A,ED,J. Herrera,Red Bull Bragantino,23.0,1039,2029-12-31,0,Argentina,Argentina,62.7,78.7,43.76,17.0,61.2,True,0.0,43.5,6,45.17078610266897,5.61,2.22,7.57,True,True,sim,False,False,N2 jovem
Série A,Brasil A,ED,J. Enamorado,Grêmio,27.0,975,2028-12-31,0,Colombia,Colombia,63.6,79.6,39.86,22.0,59.7,True,0.0,52.46,6,48.262357716166086,6.33,0.44,11.86,True,True,sim,False,False,N1
Série A,Brasil A,EE,Samuel Lino,Flamengo,26.0,1521,2029-12-31,0,Brazil,Brazil,78.9,94.9,65.58,1.0,80.2,True,0.0,52.75,6,66.9727100788408,9.49,1.79,6.41,True,False,sim,False,False,N1
Série A,Brasil A,EE,A. Gómez,Vasco da Gama,23.0,1715,2031-01-31,0,Colombia,Colombia,81.7,97.7,57.58,4.0,77.6,True,0.0,64.04,6,56.17267017593401,6.47,1.62,14.67,True,True,sim,False,False,N2 jovem
Série A,Brasil A,EE,Henry Mosquera,Red Bull Bragantino,24.0,1298,2027-12-31,0,Colombia,Colombia,71.1,87.1,50.89,6.0,69.0,True,0.0,64.96,6,45.17078610266897,3.54,0.57,17.89,True,True,sim,False,False,N1/N2
Série A,Brasil A,EE,K. Serna,Fluminense,28.0,1382,2028-12-31,1200000,Colombia,"Colombia, Peru",67.5,83.5,43.07,14.0,63.3,True,0.0,54.97,6,59.96730696394254,5.28,3.58,6.95,True,True,sim,False,False,N1
Série A,Brasil A,EE,Breno Lopes,Coritiba,30.0,1527,2029-12-31,1800000,Brazil,Brazil,53.9,69.9,50.29,7.0,60.1,True,0.0,48.23,6,39.465441363643464,2.0,0.93,9.03,True,False,sim,False,False,N1
