mercado,liga,pos11,jogador,clube,idade,minutos,contrato,valor,nascido_em,passaporte,aderencia,aderencia_ajustada,nivel_overall,rank_na_liga,nota,nota_completa,nivel_bola_parada,nivel_fisico,criterios_com_dado,posse_est,Duelos def/90 PAdj,Aéreos/90 PAdj,Duelos of/90 PAdj,xG per 90,Goals per 90,xG,Goals,sul_americano,ocupa_vaga_estrangeiro,On loan,livre_2027,contrato_vencido,nivel
Sul-americano,Equador B,GOL,E. Valencia,San Antonio,23.0,1485,,0,Ecuador,Ecuador,90.9,58.3,90.74,1.0,74.5,True,0.0,,5,53.27617328413389,0.06,1.1,0.06,0.0,0.0,0.0,0,True,True,sim,True,False,N2 jovem
Sul-americano,Uruguai,GOL,Rodolfo,Central Español,35.0,2113,2026-12-31,0,Brazil,Brazil,83.6,56.1,86.84,1.0,71.5,True,0.0,,5,37.360287414233724,0.17,0.38,0.51,0.0,0.0,0.0,0,True,False,sim,True,False,N1
Sul-americano,Chile,GOL,G. Castellón,Universidad de Chile,32.0,1934,2027-12-31,800000,Chile,Chile,70.0,52.0,89.12,1.0,70.6,True,0.0,,5,57.59181476483694,0.17,0.27,0.2,0.0,0.0,0.0,0,True,True,sim,False,False,N1
Sul-americano,Colombia A,GOL,Jean,América de Cali,30.0,1613,2026-12-31,2000000,Brazil,Brazil,79.8,54.9,85.94,2.0,70.4,True,0.0,,5,63.694456450935576,0.23,0.77,0.09,0.0,0.0,0.0,0,True,False,sim,True,False,N1
Sul-americano,Argentina B,GOL,B. Galván,Almirante Brown,32.0,2344,2026-12-31,75000,Argentina,Argentina,77.8,54.3,85.89,1.0,70.1,True,0.0,,5,49.239665405247024,0.0,0.45,0.08,0.0,0.0,0.0,0,True,True,sim,True,False,N1
Sul-americano,Argentina B,GOL,M. Bergia,Atlético Rafaela,25.0,2433,2026-12-31,0,Argentina,Argentina,76.1,53.8,85.51,2.0,69.7,True,0.0,,5,41.262500798279596,0.03,0.22,0.18,0.0,0.0,0.0,0,True,True,sim,True,False,N1/N2
Sul-americano,Bolivia,GOL,C. Martínez,Real Potosí,29.0,927,,0,Argentina,Argentina,84.1,56.2,81.44,1.0,68.8,True,0.0,,5,44.60289214891715,0.0,0.17,0.11,0.0,0.0,0.0,0,True,True,sim,True,False,N1
Sul-americano,Equador B,GOL,J. Mero,Atletico FC,31.0,1712,2026-12-31,50000,Ecuador,Ecuador,84.1,56.2,81.44,2.0,68.8,True,0.0,,5,54.05471357611597,0.28,0.58,0.24,0.0,0.0,0.0,0,True,True,sim,True,False,N1
Sul-americano,Argentina B,GOL,J. Bigo,Tristán Suárez,28.0,2128,2026-12-31,25000,Argentina,Argentina,76.2,53.9,82.7,3.0,68.3,True,0.0,,5,52.52914084545573,0.04,0.44,0.45,0.0,0.0,0.0,0,True,True,sim,True,False,N1
Sul-americano,Argentina A,GOL,T. Cardozo,Belgrano,30.0,2387,2028-12-31,800000,Uruguay,Uruguay,77.1,54.1,82.35,1.0,68.2,True,0.0,,5,50.33707035248826,0.15,0.41,0.15,0.0,0.0,0.0,0,True,True,sim,False,False,N1
Sul-americano,Paraguai,GOL,G. Olveira,Olimpia,33.0,2203,2026-12-31,800000,Uruguay,Uruguay,66.7,51.0,85.48,1.0,68.2,True,0.0,,5,55.66224907205915,0.05,0.51,0.14,0.0,0.0,0.0,0,True,True,sim,True,False,N1
Sul-americano,Colombia B,GOL,W. Cuesta,Internacional Palmira,33.0,1934,2026-12-31,150000,Colombia,Colombia,75.0,53.5,81.93,1.0,67.7,True,0.0,,5,48.92442758319258,0.14,0.36,0.29,0.0,0.0,0.0,0,True,True,sim,True,False,N1
Sul-americano,Peru,LD,J. Alarcón,Sport Boys,24.0,1141,2027-12-31,550000,Peru,Peru,61.5,49.4,70.85,1.0,60.1,True,0.0,30.25,6,46.6144384764371,3.4,0.81,7.19,0.16,0.16,2.06,2,True,True,sim,False,False,N1/N2
Sul-americano,Colombia A,LD,E. Mena,Medellín,28.0,1599,2028-06-30,450000,Colombia,Colombia,81.6,55.5,62.75,1.0,59.1,True,0.0,38.99,6,48.95902906309901,3.86,1.93,4.42,0.08,0.0,1.49,0,True,True,sim,False,False,N1
Sul-americano,Colombia B,LD,C. Graciano,Real Cartagena,23.0,2025,,0,Colombia,Colombia,80.6,55.2,58.21,1.0,56.7,True,0.0,,6,54.483535444145254,6.73,2.24,4.77,0.06,0.09,1.39,2,True,True,sim,True,False,N2 jovem
Sul-americano,Equador B,LD,E. Cabal,Atlético Vinotinto,22.0,1349,2026-12-31,0,Ecuador,Ecuador,87.1,57.1,56.2,2.0,56.6,True,0.0,,6,49.22876505631394,4.33,1.9,10.84,0.06,0.13,0.91,2,True,True,sim,True,False,N2 jovem
Sul-americano,Chile,LD,Lucas Soto,Everton,23.0,1148,2026-12-31,0,Chile,Chile,75.4,53.6,59.46,3.0,56.5,True,0.0,,6,45.31742588417135,6.38,1.87,9.08,0.07,0.24,0.93,3,True,True,sim,True,False,N2 jovem
Sul-americano,Paraguai,LD,A. Benítez,Club Libertad,32.0,969,2026-12-31,0,Paraguay,Paraguay,60.2,49.1,63.37,1.0,56.2,True,0.0,49.18,6,54.848652900990636,3.6,0.93,2.63,0.08,0.19,0.91,2,True,True,sim,True,False,N1
Sul-americano,Peru,LD,M. Ruidías,Cusco,27.0,1461,2027-12-31,400000,Peru,Peru,83.2,56.0,55.44,2.0,55.7,True,0.0,26.55,6,64.24226180115942,7.66,1.99,2.11,0.03,0.06,0.56,1,True,True,sim,False,False,N1
Sul-americano,Argentina B,LD,M. Peinipil,Colón,27.0,2114,2026-12-31,0,Argentina,"Argentina, Italy",81.4,55.4,55.21,3.0,55.3,True,0.0,,6,53.787353932238595,4.37,2.67,1.42,0.02,0.04,0.42,1,True,True,sim,True,False,N1
Sul-americano,Bolivia,LD,G. Cuellar,Universitario de Vinto,27.0,1260,,0,Bolivia,Bolivia,71.5,52.4,58.16,1.0,55.3,True,0.0,,6,55.62271401338699,5.15,1.61,6.74,0.08,0.14,1.17,2,True,True,sim,True,False,N1
Sul-americano,Argentina B,LD,L. Arce,Godoy Cruz,29.0,1338,2026-12-31,0,Argentina,Argentina,85.2,56.6,53.56,6.0,55.1,True,0.0,,6,60.18039385054685,8.61,1.95,3.13,0.05,0.0,0.71,0,True,True,sim,True,False,N1
Sul-americano,Equador A,LD,D. Romero,Independiente del Valle,25.0,1343,,300000,Ecuador,Ecuador,75.0,53.5,56.75,1.0,55.1,True,0.0,36.52,6,63.07231894005964,4.81,1.99,2.34,0.07,0.07,1.0,1,True,True,sim,True,False,N1/N2
Sul-americano,Venezuela,LD,K. Silva,UCV,32.0,1867,2026-12-31,275000,Venezuela,Venezuela,62.2,49.7,58.9,1.0,54.3,True,0.0,,6,49.300692490617266,4.8,2.24,5.04,0.1,0.19,2.08,4,True,True,sim,True,False,N1
Sul-americano,Paraguai,ZD,G. Vargas,Olimpia,24.0,1315,2026-12-31,400000,Paraguay,Paraguay,62.0,49.6,83.85,1.0,66.7,True,0.0,31.66,7,55.66224907205915,5.71,7.25,1.1,0.06,0.21,0.85,3,True,True,sim,True,False,N1/N2
Sul-americano,Argentina A,ZD,F. Álvarez,Argentinos Juniors,26.0,2307,2029-12-31,0,Argentina,Argentina,77.6,54.3,69.73,2.0,62.0,True,0.0,29.19,7,60.33083833201971,7.32,8.26,1.26,0.07,0.12,1.84,3,True,True,sim,False,False,N1
Sul-americano,Bolivia,ZD,C. Áñez,Guabirá,31.0,1204,,500000,Bolivia,Bolivia,76.4,53.9,68.3,1.0,61.1,True,0.0,,7,50.859793486656024,4.95,2.28,2.05,0.13,0.15,1.7,2,True,True,sim,True,False,N1
Sul-americano,Peru,ZD,R. Garcés,Alianza Lima,30.0,1944,2028-12-31,800000,Peru,Peru,63.4,50.0,72.29,1.0,61.1,True,0.0,22.23,7,57.00345105471285,4.09,4.14,1.42,0.12,0.23,2.57,5,True,True,sim,False,False,N1
Sul-americano,Venezuela,ZD,G. Fratta,Deportivo Táchira,30.0,1528,2026-12-31,500000,Uruguay,Uruguay,76.2,53.9,67.9,1.0,60.9,True,0.0,,7,48.43614956806169,4.92,3.94,1.16,0.15,0.24,2.54,4,True,True,sim,True,False,N1
Sul-americano,Equador B,ZD,E. Chichande Márquez,9 de Octubre,23.0,1190,2026-12-31,0,Ecuador,Ecuador,77.7,54.3,66.97,2.0,60.6,True,0.0,,7,55.36381340981495,4.57,3.81,0.89,0.07,0.08,0.89,1,True,True,sim,True,False,N2 jovem
Sul-americano,Argentina A,ZD,C. Ferreira,Atlético Tucumán,23.0,1303,2026-12-31,0,Paraguay,Paraguay,79.7,54.9,64.14,4.0,59.5,True,0.0,27.18,7,39.941236271412386,3.4,6.73,2.08,0.17,0.14,2.43,2,True,True,sim,True,False,N2 jovem
Sul-americano,Peru,ZD,H. González,Los Chankas,33.0,1082,2026-12-31,75000,Argentina,Argentina,78.2,54.5,63.92,3.0,59.2,True,0.0,21.04,7,44.354034897349095,2.77,3.51,1.41,0.02,0.0,0.29,0,True,True,sim,True,False,N1
Sul-americano,Colombia A,ZD,Y. Díaz,Fortaleza,29.0,2206,,250000,Colombia,Colombia,76.2,53.9,64.05,1.0,59.0,True,0.0,33.75,7,55.00569880081893,4.9,2.36,1.11,0.02,0.0,0.38,0,True,True,sim,True,False,N1
Sul-americano,Peru,ZD,G. Rizzo,Los Chankas,30.0,973,2026-12-31,400000,Uruguay,Uruguay,76.3,53.9,63.61,4.0,58.8,True,0.0,33.3,7,44.354034897349095,6.24,2.99,2.82,0.08,0.09,0.88,1,True,True,sim,True,False,N1
Sul-americano,Equador B,ZD,Eduardo Bumbila,San Antonio,20.0,1533,,0,Ecuador,Ecuador,74.3,53.3,63.59,4.0,58.4,True,0.0,,7,53.27617328413389,3.52,2.95,1.05,0.03,0.06,0.51,1,True,True,sim,True,False,N2 jovem
Sul-americano,Paraguai,ZD,N. Marotta,Deportivo Recoleta,29.0,1861,2026-12-31,400000,Argentina,Argentina,58.8,48.6,68.06,2.0,58.3,True,0.0,31.42,7,52.3995012346095,4.37,6.66,0.7,0.09,0.1,1.81,2,True,True,sim,True,False,N1
