mercado,liga,pos11,jogador,clube,idade,minutos,contrato,valor,nascido_em,passaporte,aderencia,aderencia_ajustada,nivel_overall,rank_na_liga,nota,nota_completa,nivel_bola_parada,nivel_fisico,criterios_com_dado,posse_est,Duelos def/90 PAdj,Aéreos/90 PAdj,Duelos of/90 PAdj,xG per 90,Goals per 90,xG,Goals,sul_americano,ocupa_vaga_estrangeiro,On loan,livre_2027,contrato_vencido,nivel
Exterior,Italia B,GOL,L. Chichizola,Modena,36.0,3164,2027-06-30,400000,Argentina,"Argentina, Italy",77.8,54.3,74.31,3.0,64.3,True,0.0,,5,49.86272447832056,0.14,0.51,0.17,0.0,0.0,0.0,0,True,True,sim,True,False,N1
Exterior,Portugal B,GOL,Lucas Paes,Torreense,28.0,3085,2026-06-30,200000,Brazil,Brazil,73.0,52.9,73.12,4.0,63.0,True,0.0,,5,51.29529838337363,0.12,0.45,0.06,0.0,0.0,0.0,0,True,False,sim,True,True,N1
Exterior,Espanha C,GOL,L. García,Cartagena,28.0,2671,2027-06-30,200000,Colombia,"Colombia, Spain",72.0,52.6,71.22,5.0,61.9,True,0.0,,5,55.335368294547614,0.03,0.53,0.03,0.0,0.0,0.0,0,True,True,sim,True,False,N1
Exterior,Portugal B,GOL,Mateus Pasinato,Felgueiras 1932,33.0,1198,2026-06-30,300000,Brazil,"Brazil, Italy",79.0,54.7,67.08,6.0,60.9,True,0.0,,5,45.88622597245101,0.0,0.63,0.09,0.0,0.0,0.0,0,True,False,sim,True,True,N1
Exterior,EUA,GOL,Daniel,Dallas,32.0,1606,2026-12-31,1200000,Brazil,Brazil,77.0,54.1,66.83,8.0,60.5,True,0.0,,5,38.6026566507044,0.14,0.41,0.36,0.0,0.0,0.0,0,True,False,sim,True,False,N1
Exterior,Portugal A,GOL,Adriel,AVS ,25.0,1577,2026-12-31,1500000,Brazil,Brazil,71.2,52.4,65.69,7.0,59.0,True,0.0,,5,35.477675869769435,0.13,0.36,0.24,0.01,0.0,0.16,0,True,False,sim,True,False,N1/N2
Exterior,Belgica A,GOL,M. Peano,La Louvière,27.0,3387,2028-06-30,350000,Argentina,Argentina,73.3,53.0,63.71,7.0,58.4,True,0.0,,5,36.15470811480777,0.19,0.38,0.33,0.0,0.0,0.0,0,True,True,sim,False,False,N1
Exterior,Arabia Saudita A,GOL,Samuel Portugal,Al Akhdoud,32.0,2684,2027-06-30,1500000,Brazil,Brazil,70.0,52.0,63.31,4.0,57.7,True,0.0,,5,43.61899340907279,0.2,0.24,0.11,0.0,0.0,0.0,0,True,False,sim,True,False,N1
Exterior,Inglaterra B,GOL,L. Vigouroux,Swansea City,32.0,4420,2028-06-30,300000,England,"England, Chile",61.2,49.4,60.08,8.0,54.7,True,0.0,,5,58.57768155711612,0.0,0.66,0.15,0.0,0.0,0.0,0,True,True,sim,False,False,N1
Exterior,Grecia,GOL,L. Cháves,Panetolikos FC,30.0,1491,2027-12-31,1200000,Argentina,Argentina,71.7,52.5,56.55,7.0,54.5,True,0.0,,5,46.3685488455794,0.06,0.9,0.52,0.0,0.0,0.0,0,True,True,sim,False,False,N1
Exterior,Espanha C,GOL,J. Flere,Europa,28.0,3451,,100000,Argentina,"Argentina, Italy",60.9,49.3,53.54,28.0,51.4,True,0.0,,5,45.024929095853395,0.12,0.42,0.32,0.0,0.0,0.0,0,True,True,sim,True,False,N1
Exterior,Bulgaria,GOL,Arthur,Beroe,24.0,2240,2028-06-30,0,Brazil,Brazil,56.5,48.0,54.67,15.0,51.3,True,0.0,,5,41.36105766427316,0.1,0.2,0.05,0.0,0.0,0.0,0,True,False,sim,False,False,N1/N2
Exterior,Tcheca,LD,O. Sonne,Sparta Praha,25.0,1162,2029-06-30,2000000,Denmark,"Denmark, Peru",66.9,51.1,61.6,3.0,56.4,True,0.0,,6,66.79288290684481,6.88,3.49,2.43,0.18,0.15,2.3,2,True,True,sim,False,False,N1/N2
Exterior,Russia,LD,J. Cáceres,Dinamo Moskva,25.0,2253,2029-12-31,800000,Argentina,"Argentina, Paraguay",80.2,55.1,56.91,1.0,56.0,True,0.0,37.57,6,56.6209952378443,8.38,4.46,3.77,0.03,0.04,0.83,1,True,True,sim,False,False,N1/N2
Exterior,Tcheca,LD,Á. Preciado,Sparta Praha,28.0,1062,2029-12-31,0,Ecuador,Ecuador,72.7,52.8,57.5,4.0,55.2,True,0.0,,6,66.79288290684481,5.87,2.94,8.18,0.06,0.0,0.7,0,True,True,sim,False,False,N1
Exterior,Hungria,LD,Cadu,Ferencváros,28.0,1043,,1200000,Brazil,Brazil,71.9,52.6,56.56,1.0,54.6,True,0.0,,6,56.39006367834913,5.94,1.39,4.21,0.1,0.09,1.13,1,True,False,no,True,False,N1
Exterior,Italia C,LD,T. Casasola,Catania,30.0,3687,2027-06-30,800000,Argentina,"Argentina, Italy",67.7,51.3,55.8,2.0,53.6,True,0.0,,6,46.740837581016045,4.42,1.92,6.27,0.18,0.07,7.2,3,True,True,sim,True,False,N1
Exterior,Mexico,LD,K. Rosero,Necaxa,27.0,2663,2027-06-30,500000,Colombia,Colombia,62.0,49.6,57.15,3.0,53.4,True,0.0,42.5,6,46.21405205360088,4.3,1.54,10.97,0.08,0.07,2.49,2,True,True,sim,True,False,N1
Exterior,Portugal B,LD,Italo,Vizela,23.0,1529,2027-06-30,0,Brazil,Brazil,75.6,53.7,51.35,5.0,52.5,True,0.0,43.15,6,54.11337121602303,9.82,2.69,9.57,0.02,0.12,0.35,2,True,False,sim,True,False,N2 jovem
