mercado,liga,pos11,jogador,clube,idade,minutos,contrato,valor,nascido_em,passaporte,aderencia,aderencia_ajustada,nivel_overall,rank_na_liga,nota,nota_completa,nivel_bola_parada,nivel_fisico,criterios_com_dado,posse_est,Duelos def/90 PAdj,Aéreos/90 PAdj,Duelos of/90 PAdj,xG per 90,Goals per 90,xG,Goals,sul_americano,ocupa_vaga_estrangeiro,On loan,livre_2027,contrato_vencido,nivel
Exterior,Eslovaquia,GOL,A. Katić,Trenčín,24.0,2513,2027-06-30,0,Serbia,Serbia,85.3,56.6,92.84,1.0,74.7,True,0.0,,5,50.31022904974311,0.11,0.64,0.18,0.0,0.0,0.0,0,False,True,sim,True,False,N1/N2
Exterior,Marrocos,GOL,M. Al Harrar,Raja Casablanca,25.0,2134,2027-06-30,150000,Morocco,Morocco,82.0,55.6,89.43,1.0,72.5,True,0.0,,5,67.45279168694438,0.06,0.65,0.31,0.0,0.0,0.0,0,False,True,sim,True,False,N1/N2
Exterior,Escocia,GOL,C. Ward,Motherwell,25.0,3612,2027-05-31,250000,England,England,85.2,56.6,87.81,1.0,72.2,True,0.0,,5,65.06854563379675,0.14,0.5,0.09,0.0,0.0,0.0,0,False,True,sim,True,False,N1/N2
Exterior,Russia,GOL,M. Borisko,Baltika,26.0,2288,2028-06-10,400000,Russia,Russia,80.6,55.2,88.84,1.0,72.0,True,0.0,,5,43.3888203375795,0.04,0.27,0.05,0.0,0.0,0.0,0,False,True,sim,False,False,N1
Exterior,Suiça,GOL,A. Racioppi,Sion,27.0,3693,2029-06-30,1500000,Switzerland,"Switzerland, France",81.7,55.5,88.32,1.0,71.9,True,0.0,,5,54.25089447966434,0.13,0.54,0.14,0.0,0.0,0.0,0,False,True,sim,False,False,N1
Exterior,Coreia A,GOL,Song Bum-Keun,Jeonbuk Motors,28.0,2279,,1000000,Korea Republic,Korea Republic,66.7,51.0,90.14,1.0,70.6,True,0.0,,5,55.83761367313132,0.0,0.23,0.14,0.0,0.0,0.0,0,False,True,sim,True,False,N1
Exterior,Holanda,GOL,J. De Busser,Go Ahead Eagles,26.0,3310,2027-06-30,500000,Belgium,Belgium,80.7,55.2,85.8,1.0,70.5,True,0.0,,5,50.44450277981501,0.05,0.54,0.11,0.0,0.0,0.0,0,False,True,sim,True,False,N1
Exterior,França B,GOL,Simon Ngapandouetnbu,Montpellier,23.0,3042,2028-06-30,300000,Cameroon,"Cameroon, France",81.8,55.5,84.71,1.0,70.1,True,0.0,,5,50.27289631814274,0.09,0.38,0.27,0.0,0.0,0.0,0,False,True,sim,False,False,N2 jovem
Exterior,EUA,GOL,B. Schwake,Nashville SC,24.0,1915,2026-12-31,200000,United States,"United States, Luxembourg",86.7,57.0,82.78,1.0,69.9,True,0.0,,5,54.62336054756377,0.0,0.21,0.13,0.0,0.0,0.0,0,False,True,sim,True,False,N1/N2
Exterior,Alemanha B,GOL,L. Karius,Schalke 04,32.0,3024,2027-06-30,1000000,Germany,Germany,75.7,53.7,85.98,1.0,69.8,True,0.0,,5,43.83941652439304,0.08,0.63,0.31,0.0,0.0,0.0,0,False,True,sim,True,False,N1
Exterior,Noruega,LD,F. Sjøvold,Bodø / Glimt,22.0,1005,2028-12-31,0,Norway,Norway,92.1,58.6,70.74,1.0,64.7,True,0.0,,6,70.0,9.55,1.78,3.07,0.05,0.27,0.6,3,False,True,sim,False,False,N2 jovem
Exterior,Romenia,LD,C. Mora,Universitatea Craiova,25.0,2219,2028-06-30,400000,Costa Rica,Costa Rica,76.2,53.9,74.2,1.0,64.0,True,0.0,,6,61.858081236841265,7.71,3.51,7.86,0.09,0.08,2.23,2,False,True,sim,False,False,N1/N2
Exterior,Israel,LD,Heriberto Tavares,Maccabi Netanya,29.0,2430,2027-06-30,500000,Portugal,"Portugal, Cape Verde Islands",78.0,54.4,71.91,1.0,63.2,True,0.0,,6,53.07020029218706,6.0,1.58,8.3,0.15,0.19,4.06,5,False,True,sim,True,False,N1
Exterior,Portugal C,LD,Miguel Barandas,Atlético CP,26.0,1733,2026-06-30,0,Portugal,"Portugal, Angola",60.4,49.1,74.99,1.0,62.0,True,0.0,,6,57.97358031332468,7.6,1.24,7.8,0.11,0.36,2.14,7,False,True,sim,True,True,N1
Exterior,Servia,LD,N. Stanković,Crvena Zvezda,23.0,1052,2029-06-30,0,Serbia,Serbia,71.8,52.5,67.89,1.0,60.2,True,0.0,,6,70.0,10.83,3.42,2.87,0.07,0.09,0.85,1,False,True,sim,False,False,N2 jovem
Exterior,Arabia Saudita A,LD,Sultan Mandash,Al Hilal,31.0,1491,2028-06-30,400000,Saudi Arabia,Saudi Arabia,59.7,48.9,70.19,2.0,59.5,True,0.0,48.93,6,62.012543275629476,8.27,1.59,7.6,0.21,0.36,3.47,6,False,True,sim,False,False,N1
Exterior,Alemanha B,LD,P. Joly,Kaiserslautern,25.0,2265,2027-06-30,0,France,France,82.9,55.9,61.6,2.0,58.8,True,0.0,,6,46.747102707791804,6.08,2.42,6.16,0.12,0.04,2.95,1,False,True,sim,True,False,N1/N2
Exterior,Mexico,LD,R. Ledezma,Guadalajara,25.0,2458,2029-06-30,0,United States,"United States, Mexico",73.6,53.1,64.48,1.0,58.8,True,0.0,33.17,6,59.20029110428605,3.37,1.48,2.69,0.07,0.04,1.99,1,False,True,sim,False,False,N1/N2
Exterior,Tcheca,LD,A. Memić,Viktoria Plzeň,25.0,2545,2029-06-30,0,Bosnia and Herzegovina,Bosnia and Herzegovina,79.9,55.0,62.54,2.0,58.8,True,0.0,,6,56.10553100120698,4.35,3.22,5.2,0.08,0.11,2.2,3,False,True,sim,False,False,N1/N2
Exterior,Inglaterra B,LD,E. Galbraith,Swansea City,25.0,3339,2028-06-30,500000,Northern Ireland,Northern Ireland,57.4,48.2,67.48,1.0,57.8,True,0.0,44.87,6,58.57768155711612,6.47,3.09,4.74,0.05,0.08,1.73,3,False,True,sim,False,False,N1/N2
Exterior,Croacia,ZD,Sergi Domínguez,Dinamo Zagreb,21.0,2772,2029-06-30,0,Spain,Spain,84.4,56.3,79.57,1.0,67.9,True,0.0,,7,60.871566970897085,6.93,5.6,1.31,0.07,0.06,2.09,2,False,True,sim,False,False,N2 jovem
Exterior,Inglaterra B,ZD,T. Harwood-Bellis,Southampton,24.0,4288,2028-06-30,0,England,England,67.6,51.3,76.38,1.0,63.8,True,0.0,29.9,7,61.51971377373885,4.37,8.86,1.09,0.11,0.15,5.46,7,False,True,sim,False,False,N1/N2
Exterior,Israel,ZD,A. Seck,Maccabi Haifa,34.0,2189,,1000000,Senegal,Senegal,71.7,52.5,74.5,1.0,63.5,True,0.0,,7,53.94340232874571,3.7,5.13,1.14,0.1,0.08,2.53,2,False,True,sim,True,False,N1
Exterior,Romenia,ZD,O. Romanchuk,Universitatea Craiova,26.0,2957,2028-06-30,0,Ukraine,Ukraine,71.2,52.4,73.17,1.0,62.8,True,0.0,,7,61.858081236841265,5.27,3.91,1.18,0.07,0.09,2.29,3,False,True,sim,False,False,N1
Exterior,Croacia,ZD,M. Tadić,Vukovar,33.0,1640,,0,Croatia,Croatia,68.0,51.4,73.25,2.0,62.3,True,0.0,,7,40.05878080259769,4.35,4.25,2.26,0.05,0.05,0.86,1,False,True,sim,True,False,N1
Exterior,Bulgaria,ZD,L. Dellova,CSKA Sofia,27.0,2788,2027-06-30,0,Kosovo,Kosovo,77.8,54.3,69.63,2.0,62.0,True,0.0,,7,51.48657481829188,5.88,3.03,2.91,0.06,0.06,1.98,2,False,True,sim,True,False,N1
Exterior,Belgica B,ZD,B. Van den Eynden,Beerschot VA,24.0,2332,2028-06-30,100000,Belgium,Belgium,67.0,51.1,71.87,1.0,61.5,True,0.0,,7,55.65989149703383,8.01,5.22,1.6,0.14,0.15,3.74,4,False,True,sim,False,False,N1/N2
Exterior,Inglaterra B,ZD,L. Ayling,Middlesbrough,34.0,4161,2027-06-30,1000000,England,England,68.1,51.4,71.59,2.0,61.5,True,0.0,35.98,7,65.70290154480257,7.29,5.89,2.63,0.05,0.02,2.24,1,False,True,sim,True,False,N1
Exterior,Austria,ZD,J. Schuster,Salzburg,20.0,1848,2028-06-30,0,Austria,Austria,68.6,51.6,71.12,1.0,61.4,True,0.0,36.72,7,64.84216463550021,5.06,9.97,1.24,0.07,0.05,1.5,1,False,True,sim,False,False,N2 jovem
Exterior,Suiça,ZD,B. Freimann,Luzern,20.0,2951,2029-06-30,0,Switzerland,Switzerland,61.4,49.4,73.29,1.0,61.3,True,0.0,34.95,7,50.5720696552574,10.21,4.2,3.47,0.05,0.09,1.55,3,False,True,sim,False,False,N2 jovem
Exterior,Belgica B,ZE,L. Mbe Soh,Beerschot VA,24.0,1758,,0,Cameroon,"Cameroon, France",79.4,54.8,74.85,1.0,64.8,True,0.0,,7,55.65989149703383,3.87,4.85,0.92,0.07,0.1,1.38,2,False,True,sim,True,False,N1/N2
Exterior,China,ZE,E. Sorokin,Chengdu Rongcheng,30.0,1549,2026-12-31,800000,Russia,Russia,82.0,55.6,73.77,1.0,64.7,True,0.0,,7,58.33358052846191,3.42,6.62,0.55,0.11,0.17,1.92,3,False,True,sim,True,False,N1
Exterior,Turquia,ZE,R. van Drongelen,Samsunspor,27.0,3103,2028-06-30,1400000,Netherlands,Netherlands,73.4,53.0,75.14,1.0,64.1,True,0.0,28.43,7,56.482562886291916,7.43,6.03,1.11,0.06,0.09,1.93,3,False,True,sim,False,False,N1
Exterior,Hungria,ZE,G. Szalai,Ferencváros,26.0,2766,,0,Hungary,Hungary,82.6,55.8,70.68,1.0,63.2,True,0.0,,7,56.39006367834913,5.18,6.04,1.27,0.11,0.07,3.43,2,False,True,no,True,False,N1
Exterior,Portugal B,ZE,D. Collard,Lusitania FC Lourosa,26.0,1915,2027-06-30,300000,Australia,"Australia, Mauritius",91.2,58.4,67.74,2.0,63.1,True,0.0,22.64,7,45.27000564829026,3.74,4.68,0.94,0.21,0.19,4.46,4,False,True,sim,True,False,N1
Exterior,Portugal B,ZE,Gonçalo Oliveira,Benfica II,19.0,2400,2027-06-30,0,Portugal,Portugal,74.3,53.3,72.09,1.0,62.7,True,0.0,30.29,7,55.098194285409576,4.01,4.68,1.71,0.06,0.08,1.47,2,False,True,sim,True,False,N2 jovem
Exterior,Coreia A,ZE,Gi-hyuk Lee,Gangwon,26.0,2031,2027-12-31,275000,Korea Republic,Korea Republic,68.5,51.6,73.15,1.0,62.4,True,0.0,,7,49.10018764709176,4.17,5.79,2.66,0.05,0.0,1.18,0,False,True,sim,False,False,N1
Exterior,Israel,ZE,O. Blorian,Hapoel Be'er Sheva,26.0,3156,2029-06-30,0,Israel,"Israel, Portugal",69.7,51.9,72.49,1.0,62.2,True,0.0,,7,59.121581025352704,4.84,5.58,1.11,0.04,0.06,1.29,2,False,True,sim,False,False,N1
Exterior,Tcheca,ZE,D. Krčík,Viktoria Plzeň,26.0,3313,2029-06-30,200000,Slovakia,Slovakia,88.1,57.4,66.84,2.0,62.1,True,0.0,,7,56.10553100120698,6.56,5.26,0.99,0.22,0.33,7.93,12,False,True,sim,False,False,N1
Exterior,Belgica B,ZE,B. Godeau,SK Beveren,33.0,2584,2027-06-30,600000,Belgium,Belgium,74.0,53.2,70.51,2.0,61.9,True,0.0,,7,59.08615769470087,4.6,3.62,0.83,0.09,0.14,2.54,4,False,True,sim,True,False,N1
Exterior,Espanha B,LE,Diego Bri,Córdoba,23.0,1347,2027-06-30,500000,Spain,Spain,87.2,57.2,68.82,1.0,63.0,True,0.0,49.43,6,50.775569592540016,6.93,2.1,8.75,0.2,0.2,3.06,3,False,True,sim,True,False,N2 jovem
Exterior,Servia,LE,A. Avdić,Crvena Zvezda,18.0,1588,2030-06-30,0,Serbia,"Serbia, Bosnia and Herzegovina",83.4,56.0,69.87,1.0,62.9,True,0.0,,6,70.0,15.4,3.87,6.88,0.07,0.06,1.24,1,False,True,sim,False,False,N2 jovem
Exterior,Belgica B,LE,S. de Grand,Lommel SK,21.0,3143,2028-06-30,0,Netherlands,Netherlands,73.1,52.9,69.44,1.0,61.2,True,0.0,,6,58.04848669354658,8.53,1.37,3.68,0.07,0.09,2.41,3,False,True,sim,False,False,N2 jovem
Exterior,Romenia,LE,N. Bancu,Universitatea Craiova,33.0,2481,2028-06-30,1500000,Romania,Romania,80.0,55.0,67.31,1.0,61.2,True,0.0,,6,61.858081236841265,7.94,2.75,4.25,0.05,0.04,1.37,1,False,True,sim,False,False,N1
Exterior,Suiça,LE,R. Fernandes,Luzern,23.0,1643,2029-06-30,0,Switzerland,"Switzerland, Portugal",85.3,56.6,63.28,2.0,59.9,True,0.0,49.06,6,50.5720696552574,8.32,1.11,4.11,0.08,0.0,1.52,0,False,True,sim,False,False,N2 jovem
Exterior,Eslovaquia,LE,M. Madleňák,FC Košice,27.0,1569,2028-06-30,250000,Slovakia,Slovakia,76.5,54.0,64.65,1.0,59.3,True,0.0,,6,52.196986565302254,8.04,4.92,6.26,0.15,0.11,2.53,2,False,True,sim,False,False,N1
Exterior,Portugal B,LE,Rodrigo Rêgo,Benfica II,21.0,1413,2028-06-30,0,Portugal,Portugal,83.2,56.0,62.57,1.0,59.3,True,0.0,50.0,6,55.098194285409576,9.01,1.7,10.81,0.13,0.13,2.03,2,False,True,sim,False,False,N2 jovem
Exterior,Croacia,LE,M. Pajač,Lokomotiva Zagreb,33.0,2707,2026-06-30,350000,Croatia,Croatia,78.7,54.6,62.1,2.0,58.4,True,0.0,,6,49.35864354582103,4.11,0.59,6.81,0.17,0.17,5.08,5,False,True,sim,True,True,N1
Exterior,Hungria,LE,M. Zeke,Paksi FC,25.0,1878,2029-06-30,300000,Hungary,Hungary,84.7,56.4,60.25,2.0,58.3,True,0.0,,6,44.282224795606474,4.04,2.06,8.28,0.08,0.05,1.64,1,False,True,no,False,False,N1/N2
Exterior,Portugal C,LE,António Infante,1º Dezembro,21.0,1819,,0,Portugal,Portugal,69.6,51.9,64.73,1.0,58.3,True,0.0,,6,59.460209842766126,8.24,2.57,3.74,0.13,0.1,2.64,2,False,True,sim,True,False,N2 jovem
Exterior,Hungria,VOL,Paul Anton,Győri ETO,35.0,1248,2027-06-30,400000,Romania,Romania,73.8,53.1,76.98,1.0,65.0,True,0.0,,6,58.19340057621255,5.86,1.64,2.85,0.12,0.14,1.64,2,False,True,no,True,False,N1
Exterior,Bulgaria,VOL,A. Bouras,Levski Sofia,24.0,2215,2028-06-30,0,Algeria,Algeria,74.5,53.4,73.38,1.0,63.4,True,0.0,,6,60.84483357621762,5.55,4.2,5.44,0.1,0.08,2.39,2,False,True,sim,False,False,N1/N2
Exterior,Coreia A,VOL,D. Bojanić,Ulsan Hyundai,31.0,1432,2027-12-31,1400000,Sweden,"Sweden, Bosnia and Herzegovina",75.6,53.7,73.08,2.0,63.4,True,0.0,,6,51.922414913391684,5.95,1.18,4.36,0.02,0.0,0.39,0,False,True,sim,False,False,N1
Exterior,China,VOL,M. Edjouma,Qingdao Hainiu,29.0,1170,2026-06-30,550000,France,"France, Morocco",89.7,57.9,68.38,1.0,63.1,True,0.0,,6,41.81377271394067,6.81,3.17,12.88,0.19,0.23,2.49,3,False,True,sim,True,True,N1
Exterior,Belgica B,VOL,W. Asselman,Gent II,21.0,1913,2029-06-30,0,Belgium,Belgium,78.6,54.6,68.93,1.0,61.8,True,0.0,,6,61.63415665425986,9.07,2.88,5.84,0.1,0.0,2.18,0,False,True,sim,False,False,N2 jovem
