jogador,clube,motivo,data
Carlos Miguel,Palmeiras,titular absoluto do Palmeiras,2026-09-23
Igor Formiga,,inalcançável para a Série B,2026-09-23
João Basso,Cuiabá,não gostamos,2026-09-23
Robert Renan,,inalcançável para a Série B,2026-09-23
Cuiabano,,inalcançável para a Série B,2026-09-23
Rômulo,Novorizontino,fora das recomendações,2026-09-23
E. Pata,,inalcançável para a Série B,2026-09-23
Paulo Victor,América-MG,não gostamos,2026-09-23
António Silva,Benfica,inalcançável (valor ~€25 MM),2026-09-23
J. Campaz,Rosario Central,inalcançável,2026-09-23
Guilherme Bala,Shabab Al Ahli,inalcançável,2026-09-23
*,Shabab Al Ahli,clube inteiro fora (inalcançável),2026-09-23
L. Ocampos,Monterrey,inalcançável,2026-09-23
Bruno Duarte,Crvena Zvezda,foi para o Vasco,2026-09-23
Bruno Santos,Londrina,fora das recomendações,2026-09-23
M. Moreno,Paredes,fora das recomendações,2026-09-23
Marcelino Moreno,,fora das recomendações,2026-09-23
Dodô,Náutico,contratado por clube da Coreia,2026-09-23
Boschilia,Operário,inalcançável,2026-09-23
