ordem,pos11,jogador,clube,liga,mercado_l,idade,minutos,contrato,livre,valor,nota,aderencia_ajustada,nivel_overall,psv,sofa_vmax,tipo,tipo_pref,bp,sofa_nota,sofa_xgxa,scouts,score
1,GOL,Jandrei,Juventude,Série B,Série B,33.0,2395,2026-12-31,True,400000.0,83.2,83.2,83.2,,29.63,,False,0.0,7.185,0.003,,83.2
2,GOL,Rodolfo,Central Español,Uruguai,Sul-americanas,35.0,2113,2026-12-31,True,0.0,71.5,56.1,86.8,,,,False,0.0,,,,71.5
3,GOL,G. Castellón,Universidad de Chile,Chile,Sul-americanas,32.0,1934,2027-12-31,False,800000.0,70.6,52.0,89.1,,,,False,0.0,,,,70.6
4,GOL,Jean,América de Cali,Colombia A,Sul-americanas,30.0,1613,2026-12-31,True,2000000.0,70.4,54.9,85.9,,,,False,0.0,,,,70.4
5,GOL,D. Ospina,Atlético Nacional,Colombia A,Sul-americanas,37.0,1177,2026-12-31,True,2000000.0,69.7,53.5,85.9,,,,False,0.0,,,,69.7
6,GOL,E. Valencia,San Antonio,Equador B,Sul-americanas,23.0,1485,,True,0.0,74.5,58.3,90.7,,,,False,0.0,,,,69.5
7,GOL,G. Olveira,Olimpia,Paraguai,Sul-americanas,33.0,2203,2026-12-31,True,800000.0,68.2,51.0,85.5,,,,False,0.0,,,,68.2
8,GOL,T. Cardozo,Belgrano,Argentina A,Sul-americanas,30.0,2387,2028-12-31,False,800000.0,68.2,54.1,82.4,,,,False,0.0,,,,68.2
9,GOL,W. Cuesta,Internacional Palmira,Colombia B,Sul-americanas,33.0,1934,2026-12-31,True,150000.0,67.7,53.5,81.9,,,,False,0.0,,,,67.7
10,GOL,J. Reyes Alberti,Portuguesa,Venezuela,Sul-americanas,31.0,1823,2026-12-31,True,125000.0,67.1,53.9,80.2,,,,False,0.0,,,,67.1
1,LD,Willean Lepo,Criciúma,Série B,Série B,29.0,1710,2027-12-31,False,450000.0,66.3,77.8,54.8,29.7,33.81,Explosivo e rápido,True,0.0,6.891,0.238,"média ≥6,5",71.3
2,LD,Maílton,Fortaleza,Série B,Série B,28.0,1838,2027-12-31,False,,64.8,71.0,58.6,29.8,35.16,Baixa intensidade,False,89.5,7.104,0.40900000000000003,,67.8
3,LD,E. Mena,Medellín,Colombia A,Sul-americanas,28.0,1599,2028-06-30,False,450000.0,59.1,55.5,62.8,30.25,,Explosivo e rápido,True,0.0,,,,62.1
4,LD,Lucas Soto,Everton,Chile,Sul-americanas,23.0,1148,2026-12-31,True,0.0,56.5,53.6,59.5,,,,False,0.0,,,urgência,60.5
5,LD,J. Alarcón,Sport Boys,Peru,Sul-americanas,24.0,1141,2027-12-31,False,550000.0,60.1,49.4,70.8,27.2,,Médio em tudo,False,0.0,,,,60.1
6,LD,Rafael Ramos,Ceará,Série B,Série B,31.0,902,2026-12-31,True,500000.0,56.4,72.1,40.8,29.7,33.89,Explosivo e rápido,True,0.0,6.738,0.192,,59.4
7,LD,A. Benítez,Club Libertad,Paraguai,Sul-americanas,32.0,969,2026-12-31,True,0.0,56.2,49.1,63.4,30.86,,Explosivo e rápido,True,0.0,,,,59.2
8,LD,Mikael Doka,Operário-PR,Série B,Série B,26.0,1877,2027-12-31,False,400000.0,55.5,67.7,43.4,29.8,33.77,Baixa intensidade,False,83.1,7.079,0.19,média ≥7,58.5
9,LD,D. Romero,Independiente del Valle,Equador A,Sul-americanas,25.0,1343,,True,300000.0,55.1,53.5,56.8,30.21,,Explosivo e rápido,True,0.0,,,,58.1
10,LD,Reginaldo,Náutico,Série B,Série B,33.0,1377,2026-11-30,True,300000.0,54.1,59.3,48.8,29.6,35.53,Explosivo e rápido,True,0.0,6.691,0.136,,57.1
1,ZD,Ricardo Silva,América-MG,Série B,Série B,34.0,1252,2026-11-30,True,300000.0,68.0,76.3,59.8,28.1,34.75,Motor de volume,True,0.0,7.064,0.098,,71.0
2,ZD,G. Vargas,Olimpia,Paraguai,Sul-americanas,24.0,1315,2026-12-31,True,400000.0,66.7,49.6,83.8,29.03,,Motor de volume,True,0.0,,,,69.7
3,ZD,Bruno Alves,Criciúma,Série B,Série B,35.0,1146,2027-12-31,False,600000.0,63.2,67.3,59.1,28.8,35.16,Motor de volume,True,90.7,6.931,0.08,,69.2
4,ZD,F. Álvarez,Argentinos Juniors,Argentina A,Sul-americanas,26.0,2307,2029-12-31,False,0.0,62.0,54.3,69.7,27.64,,Motor de volume,True,89.7,,,,68.0
5,ZD,Lucão,Chongqing Tongliang Long,China,Exterior,30.0,1430,,True,400000.0,61.8,55.5,68.1,28.68,,Motor de volume,True,85.2,,,,67.8
6,ZD,B. Carabalí,Beitar Jerusalem,Israel,Exterior,27.0,3268,2028-06-30,False,250000.0,61.4,52.1,70.7,,,,False,91.9,,,,64.4
7,ZD,G. Fratta,Deportivo Táchira,Venezuela,Sul-americanas,30.0,1528,2026-12-31,True,500000.0,60.9,53.9,67.9,,,,False,96.8,,,,63.9
8,ZD,Gabriel Bahia,Novorizontino,Série B,Série B,27.0,1246,2027-03-31,True,,61.2,68.3,54.0,30.9,34.61,Explosivo e rápido,False,0.0,7.06,0.135,"média ≥6,5",63.2
9,ZD,N. Marotta,Deportivo Recoleta,Paraguai,Sul-americanas,29.0,1861,2026-12-31,True,400000.0,58.3,48.6,68.1,28.34,,Motor de volume,True,0.0,,,,61.3
10,ZD,R. Garcés,Alianza Lima,Peru,Sul-americanas,30.0,1944,2028-12-31,False,800000.0,61.1,50.0,72.3,27.26,,Baixa intensidade,False,0.0,,,,61.1
1,ZE,M. Gamarra,Olimpia,Paraguai,Sul-americanas,25.0,1774,2027-12-31,False,2000000.0,65.9,56.4,75.3,28.83,,Motor de volume,True,0.0,,,,68.9
2,ZE,Zé Marcos,Sport,Série B,Série B,28.0,1173,2027-12-31,False,600000.0,64.2,68.7,59.8,28.2,33.37,Baixa intensidade,False,0.0,6.915,0.10300000000000001,"média ≥6,5",66.2
3,ZE,Vilar,Botafogo-SP,Série B,Série B,26.0,2612,2026-11-30,True,,58.8,65.5,,30.2,35.36,Motor de volume,True,90.7,6.874,0.133,,64.8
