pos11,jogador,clube,idade,minutos,contrato,nota,psv,tipo,motivos
CA,Perotti,Sport,28,2493,2026-11-30,44.9,28.3,Baixa intensidade,tipo físico de quem cai (Baixa intensidade); nota baixa (45)
CA,Pablo,Operário-PR,34,1912,2026-11-30,38.2,27.0,Baixa intensidade,tipo físico de quem cai (Baixa intensidade); nota baixa (38)
CA,Waguininho,Criciúma,36,1881,2026-11-30,40.2,28.5,Motor de volume,nota baixa (40)
CA,J. Miritello,Fortaleza,27,1800,2026-12-31,46.7,28.2,Baixa intensidade,tipo físico de quem cai (Baixa intensidade); nota baixa (47)
CA,Felipe Garcia,São Bernardo,35,1526,2026-11-30,30.1,29.8,Explosivo e rápido,nota baixa (30)
CA,G. Mastriani,América-MG,33,1408,2026-12-31,34.4,28.0,Baixa intensidade,tipo físico de quem cai (Baixa intensidade); nota baixa (34)
CA,Daniel Penha,Avaí,27,1313,2026-12-31,35.8,28.2,Motor de volume,nota baixa (36)
CA,Cadu,Goiás,22,1235,2027-12-31,32.6,29.8,Explosivo e rápido,nota baixa (33)
CA,Lucca,Ceará,23,1200,2027-12-31,45.7,27.9,Baixa intensidade,tipo físico de quem cai (Baixa intensidade); nota baixa (46)
CA,David,Ponte Preta,26,1134,2027-12-31,38.8,,,nota baixa (39)
CA,Juninho,Novorizontino,25,1128,2028-12-31,39.3,,,nota baixa (39)
CA,Brandão,Ponte Preta,22,1020,2026-12-31,32.7,30.0,Explosivo e rápido,nota baixa (33)
CA,Dellatorre,Vila Nova,34,920,2027-11-30,40.6,28.4,Motor de volume,nota baixa (41)
ED,Thayllon Roberth,Avaí,20,1917,2029-12-30,42.4,29.8,Motor de volume,nota baixa (42)
ED,Rómulo Otero,Criciúma,33,1477,2026-12-31,51.0,27.9,Baixa intensidade,tipo físico de quem cai (Baixa intensidade); corre pouco para a área (quartil de baixo)
ED,Ryan Lima,Vila Nova,25,1467,2028-11-30,42.7,29.0,Baixa intensidade,tipo físico de quem cai (Baixa intensidade); nota baixa (43)
ED,Max,Athletic,24,1376,2026-11-30,38.0,,,nota baixa (38)
ED,Jean Carlos,Goiás,21,1364,2028-12-31,37.3,,,nota baixa (37)
EE,Aylon,Operário-PR,34,1431,2026-11-30,37.2,29.0,Baixa intensidade,tipo físico de quem cai (Baixa intensidade); nota baixa (37)
EE,Kelvin,Botafogo-SP,29,1400,2026-11-30,42.8,28.4,Motor de volume,nota baixa (43)
EE,Echaporã,São Bernardo,26,1215,2026-11-30,36.3,29.4,Motor de volume,nota baixa (36)
EE,Clayson,Sport,31,1133,2026-11-30,41.1,28.5,Explosivo e rápido,nota baixa (41)
EE,Paulinho Moccelin,Londrina,32,1117,2026-11-30,42.6,28.2,Motor de volume,nota baixa (43)
EE,Victor Andrade,Náutico,30,1054,2026-11-30,49.0,28.2,Baixa intensidade,tipo físico de quem cai (Baixa intensidade); nota baixa (49); corre pouco para a área (quartil de baixo)
EE,Gegé,Goiás,32,1015,2026-12-31,35.2,26.7,Motor de volume,"abaixo do piso de velocidade (26,7 km/h); nota baixa (35)"
EE,D. Vera,Athletic,23,1011,2026-12-31,43.4,29.4,Motor de volume,nota baixa (43)
EE,G. Barros,América-MG,24,991,2027-12-31,44.5,29.7,Explosivo e rápido,nota baixa (44)
EE,Pablo Dyego,Londrina,32,960,2026-11-30,31.2,29.5,Explosivo e rápido,nota baixa (31)
EE,Wesley Pinheiro,Botafogo-SP,26,903,,36.2,29.8,Motor de volume,nota baixa (36)
GOL,Maurício Kozlinski,Londrina,35,2495,2028-11-30,41.1,,,nota baixa (41)
GOL,Victor Souza,Botafogo-SP,34,2238,2027-12-31,43.3,,,nota baixa (43)
GOL,Marcelo Carné,Cuiabá,36,2110,2026-11-30,37.9,,,nota baixa (38)
GOL,Gustavo,América-MG,33,2107,,30.7,,,nota baixa (31)
GOL,Diogo Silva,Ponte Preta,40,1421,2026-11-30,36.4,,,nota baixa (36)
GOL,Bruno Ferreira,Avaí,32,1195,2027-12-31,33.3,,,nota baixa (33)
LD,Mikael Doka,Operário-PR,26,1877,2027-12-31,55.5,29.8,Baixa intensidade,tipo físico de quem cai (Baixa intensidade); corre pouco para a área (quartil de baixo)
LD,Gabriel Inocêncio,Botafogo-SP,32,1676,2026-11-30,47.1,30.1,Explosivo e rápido,nota baixa (47); corre pouco para a área (quartil de baixo)
LD,Railan,Cuiabá,26,1538,2027-12-31,44.7,29.1,Médio em tudo,nota baixa (45)
