pos11,mercado_l,jogador,clube,liga,idade,minutos,contrato,livre,br,fisico,psv99,sprint_count_p90,hi_count_p90,expl_accel_sprint_p90,runs_p30tip,tipo,tipo_pref,nota
CA,Sul-americanas,F. Coronel,Alianza Atlético,Peru,33.0,922,,True,False,96.0,30.28,15.63,85.76,3.13,47.2,Explosivo e rápido,False,44.3
CA,Sul-americanas,M. Fernández,Independiente Rivadavia,Argentina A,25.0,1391,2028-12-31,False,False,95.0,29.35,19.19,102.48,3.17,52.5,Explosivo e rápido,False,54.0
CA,Sul-americanas,J. Bisanz,Huracán,Argentina A,24.0,1055,2028-12-31,False,False,95.0,29.69,18.44,93.51,2.91,51.6,Explosivo e rápido,False,40.6
CA,Sul-americanas,E. Vera,Club Libertad,Paraguai,25.0,1828,2026-12-31,True,False,95.0,30.22,17.46,85.01,3.33,41.0,Explosivo e rápido,False,43.9
CA,Série B,Hygor,Botafogo-SP,Série B,34.0,1584,2026-11-30,True,True,94.0,29.78,18.12,94.54,3.41,35.98,Explosivo e rápido,False,49.4
CA,Série B,Cadu,Goiás,Série B,22.0,1235,2027-12-31,False,True,92.0,29.82,17.53,93.72,3.15,35.04,Explosivo e rápido,False,32.6
CA,Sul-americanas,A. Cuello,San Lorenzo,Argentina A,26.0,1979,2027-12-31,False,False,91.0,30.56,15.66,77.47,2.91,38.7,Explosivo e rápido,False,39.1
CA,Sul-americanas,F. Sanguinetti,Inter Bogotá,Colombia A,25.0,2004,2027-12-31,False,False,91.0,31.19,14.74,76.82,2.76,42.4,Explosivo e rápido,False,46.0
CA,Sul-americanas,J. Largacha,Deportivo Pereira,Colombia A,22.0,936,2027-12-31,False,False,89.0,31.37,15.31,76.04,2.43,39.4,Explosivo e rápido,False,35.8
CA,Sul-americanas,J. Alfaro,Everton,Chile,24.0,934,2027-12-31,False,False,88.0,28.66,14.83,82.6,2.55,67.5,Motor de volume,True,48.3
CA,Sul-americanas,A. González,Deportivo Recoleta,Paraguai,29.0,1201,2026-12-31,True,False,88.0,31.11,15.25,77.1,2.22,42.8,Explosivo e rápido,False,57.3
CA,Sul-americanas,K. Parzajuk,Deportivo Recoleta,Paraguai,23.0,1334,2026-12-31,True,False,87.0,30.61,15.48,80.19,2.47,29.0,Explosivo e rápido,False,42.8
CA,Sul-americanas,I. Morales,Argentinos Juniors,Argentina A,27.0,1079,2027-12-31,False,False,86.0,29.91,19.6,94.01,2.6,25.8,Explosivo e rápido,False,34.8
CA,Série B,Brandão,Ponte Preta,Série B,22.0,1020,2026-12-31,True,True,85.0,30.03,14.44,74.77,2.95,31.57,Explosivo e rápido,False,32.7
CA,Sul-americanas,J. Marabel,Sarmiento,Argentina A,28.0,1680,2027-12-31,False,False,85.0,29.27,14.21,78.06,3.48,30.9,Explosivo e rápido,False,45.6
CA,Sul-americanas,A. Auzmendi,Gimnasia La Plata,Argentina A,29.0,1279,2026-12-31,True,False,85.0,28.87,15.45,84.73,2.31,37.9,Explosivo e rápido,False,40.0
CA,Sul-americanas,José Fajardo,Universidad Católica,Equador A,32.0,1603,,True,False,85.0,30.21,15.01,77.69,2.23,34.3,Explosivo e rápido,False,50.0
CA,Série B,Ian Luccas,Athletic,Série B,23.0,1433,2030-06-30,False,True,83.0,30.0,14.44,83.0,1.75,42.21,Motor de volume,True,51.2
CA,Sul-americanas,D. Castro,Deportes Limache,Chile,32.0,1743,2026-12-31,True,False,83.0,30.07,13.75,74.1,2.08,44.5,Explosivo e rápido,False,52.2
CA,Série B,Derek,Náutico,Série B,28.0,1526,2027-12-31,False,True,81.0,29.44,13.5,72.79,3.1,30.64,Explosivo e rápido,False,61.1
CA,Sul-americanas,T. Molina,Argentinos Juniors,Argentina A,31.0,1618,2029-12-31,False,False,80.0,28.82,13.69,79.3,2.66,30.5,Explosivo e rápido,False,46.7
CA,Sul-americanas,F. Sartori,Independiente Rivadavia,Argentina A,24.0,1567,2027-12-31,False,False,80.0,29.52,15.43,79.73,2.24,27.6,Explosivo e rápido,False,39.0
CA,Sul-americanas,G. Chiaverano,Audax Italiano,Chile,21.0,1239,2026-12-31,True,False,80.0,29.69,14.8,86.49,1.97,28.3,Explosivo e rápido,False,37.0
CA,Sul-americanas,J. Ordoñez,Deportivo Cuenca,Equador A,31.0,1569,,True,False,80.0,30.92,13.62,69.8,2.7,29.8,Explosivo e rápido,False,46.4
CA,Sul-americanas,J. Vidales,Melgar,Peru,34.0,1741,2026-12-31,True,False,80.0,30.06,12.96,69.5,2.46,38.2,Explosivo e rápido,False,54.1
CA,Brasileiros e sul-americanos no exterior,Welinton Júnior,Portimonense,Portugal B,32.0,1107,2026-06-30,True,True,80.0,29.34,13.41,71.03,3.9,,Explosivo e rápido,False,34.6
CA,Série B,William Pottker,Londrina,Série B,32.0,1425,2026-11-30,True,True,78.0,30.31,14.39,75.1,1.96,29.36,Explosivo e rápido,False,57.8
CA,Série B,Gustavo Coutinho,Atlético-GO,Série B,27.0,1728,2027-12-31,False,True,77.0,29.66,14.45,76.58,1.81,31.75,Explosivo e rápido,False,49.0
CA,Série B,Kauan Cristtyan,Cuiabá,Série B,20.0,1285,2026-11-30,True,True,77.0,29.02,12.8,80.5,1.96,37.62,Motor de volume,True,46.6
CA,Brasileiros e sul-americanos no exterior,Cléber,Yunnan Yukun,China,29.0,1437,,True,True,77.0,30.27,12.98,69.99,2.39,,Explosivo e rápido,False,41.1
CA,Brasileiros e sul-americanos no exterior,Angelo Chagal,Larissa,Grecia,33.0,1972,2026-06-30,True,False,77.0,28.92,12.57,81.45,2.33,,Explosivo e rápido,False,52.9
CA,Brasileiros e sul-americanos no exterior,Diego Fernandes,Paços de Ferreira,Portugal B,24.0,918,2026-06-30,True,True,75.0,28.59,12.56,73.3,2.85,,Explosivo e rápido,False,43.6
CA,Série B,Felipe Garcia,São Bernardo,Série B,35.0,1526,2026-11-30,True,True,72.0,29.85,13.49,71.07,1.69,32.16,Explosivo e rápido,False,30.1
CA,Série B,André Luis,Vila Nova,Série B,29.0,1319,2026-11-30,True,True,72.0,30.82,11.77,64.75,2.74,29.65,Explosivo e rápido,False,47.1
CA,Brasileiros e sul-americanos no exterior,J. Bartolo,Asteras Tripolis,Grecia,30.0,2529,2026-06-30,True,False,71.0,29.57,12.1,69.74,2.21,,Explosivo e rápido,False,52.0
CA,Série B,Robson,Novorizontino,Série B,35.0,2272,2026-12-31,True,True,69.0,29.08,11.39,71.42,1.71,42.98,Motor de volume,True,70.8
CA,Brasileiros e sul-americanos no exterior,Andre Clóvis,Académico de Viseu F.C.,Portugal B,28.0,3206,2028-06-30,False,True,69.0,29.9,11.82,64.04,2.39,,Explosivo e rápido,False,50.5
CA,Série B,Daniel Penha,Avaí,Série B,27.0,1313,2026-12-31,True,True,67.0,28.21,10.95,73.18,2.06,48.18,Motor de volume,True,35.8
CA,Brasileiros e sul-americanos no exterior,Lucas Duarte,Felgueiras 1932,Portugal B,25.0,2420,2026-06-30,True,True,63.0,28.4,11.78,70.45,1.91,,Motor de volume,True,44.4
CA,Série B,Dellatorre,Vila Nova,Série B,34.0,920,2027-11-30,False,True,57.0,28.39,11.33,67.01,1.33,41.02,Motor de volume,True,40.6
CA,Brasileiros e sul-americanos no exterior,F. Pedrozo,Levadiakos,Grecia,33.0,1570,2026-06-30,True,False,54.0,28.11,11.05,70.65,1.53,,Motor de volume,True,49.3
CA,Série B,Mikael,CRB,Série B,27.0,2236,2027-11-30,False,True,49.0,29.65,10.33,57.11,1.59,27.99,Baixa intensidade,False,78.9
CA,Brasileiros e sul-americanos no exterior,L. Garate,Larissa,Grecia,32.0,1252,2026-12-31,True,False,39.0,27.98,9.37,62.54,0.94,35.2,Motor de volume,True,41.5
CA,Série B,Lucca,Ceará,Série B,23.0,1200,2027-12-31,False,True,32.0,27.89,8.49,60.73,0.81,33.53,Baixa intensidade,False,45.7
CA,Brasileiros e sul-americanos no exterior,E. Salcedo,OFI,Grecia,24.0,2011,2026-06-30,True,False,32.0,27.41,8.42,59.5,1.14,,Baixa intensidade,False,49.9
CA,Brasileiros e sul-americanos no exterior,Wesley,Shenzhen Peng City,China,29.0,1486,2027-12-31,False,True,28.0,29.32,5.74,36.49,1.38,,Baixa intensidade,False,43.5
CA,Série B,G. Mastriani,América-MG,Série B,33.0,1408,2026-12-31,True,False,27.0,28.05,7.45,52.44,1.29,27.85,Baixa intensidade,False,34.4
CA,Série B,Alisson Safira,Juventude,Série B,31.0,1585,2027-12-31,False,True,27.0,28.28,7.38,51.83,1.16,28.43,Baixa intensidade,False,54.2
CA,Série B,J. Miritello,Fortaleza,Série B,27.0,1800,2026-12-31,True,False,24.0,28.24,6.84,45.74,1.55,24.31,Baixa intensidade,False,46.7
CA,Brasileiros e sul-americanos no exterior,Gustavo,Henan,China,32.0,1282,,True,True,24.0,27.51,6.76,48.09,1.24,,Baixa intensidade,False,41.5
CA,Série B,Perotti,Sport,Série B,28.0,2493,2026-11-30,True,True,23.0,28.34,7.48,49.61,0.94,26.92,Baixa intensidade,False,44.9
CA,Série B,Pablo,Operário-PR,Série B,34.0,1912,2026-11-30,True,True,16.0,27.02,5.53,47.0,0.76,35.57,Baixa intensidade,False,38.2
ED,Sul-americanas,F. González,O'Higgins,Chile,25.0,1256,2028-12-31,False,False,97.0,30.92,20.1,94.33,3.5,44.9,Explosivo e rápido,True,63.4
ED,Sul-americanas,J. Córdoba,Instituto,Argentina A,26.0,1223,2029-06-30,False,False,94.0,29.95,18.51,91.16,3.91,51.3,Explosivo e rápido,True,46.2
ED,Sul-americanas,E. Obregón,Torque,Uruguai,24.0,1523,2027-12-31,False,False,94.0,30.0,19.25,98.95,3.18,42.4,Explosivo e rápido,True,51.6
ED,Sul-americanas,F. de León,Progreso,Uruguai,22.0,1125,2026-12-31,True,False,91.0,30.71,18.16,94.46,3.8,32.9,Explosivo e rápido,True,41.1
ED,Sul-americanas,Mario Briceño,Huachipato,Chile,30.0,937,2027-12-31,False,False,90.0,30.33,17.58,89.48,3.42,36.5,Explosivo e rápido,True,53.7
ED,Sul-americanas,F. Perez,Estudiantes,Argentina A,20.0,1060,2027-12-31,False,False,89.0,29.47,19.15,100.31,2.75,37.9,Explosivo e rápido,True,51.3
ED,Sul-americanas,A. Jara,Concepción,Chile,25.0,1004,2028-12-31,False,False,88.0,30.08,16.18,84.72,3.47,41.3,Explosivo e rápido,True,52.3
ED,Sul-americanas,Kevin Méndez,Unión La Calera,Chile,30.0,1481,,True,False,86.0,29.41,17.56,94.78,3.45,33.3,Explosivo e rápido,True,65.0
ED,Sul-americanas,H. Toledo,Albion,Uruguai,30.0,1366,2026-12-31,True,False,86.0,30.44,17.9,96.48,3.08,29.3,Explosivo e rápido,True,47.2
ED,Sul-americanas,D. Moncada,Inter Bogotá,Colombia A,18.0,1049,2031-06-30,False,False,84.0,31.3,18.77,91.93,3.31,22.1,Explosivo e rápido,True,44.0
ED,Sul-americanas,J. Gutiérrez,La Serena,Chile,24.0,1076,2026-12-31,True,False,83.0,29.76,16.39,86.05,2.33,39.5,Explosivo e rápido,True,33.8
ED,Sul-americanas,C. Souza,Cienciano,Peru,30.0,1436,2026-12-31,True,False,83.0,30.92,15.29,77.19,3.7,32.7,Explosivo e rápido,True,60.1
ED,Sul-americanas,S. Solari,Racing Club,Argentina A,28.0,1447,2027-12-31,False,False,82.0,29.49,19.09,94.59,2.38,30.8,Explosivo e rápido,True,48.8
ED,Sul-americanas,M. Guerrero,Universidad de Chile,Chile,26.0,1492,2028-12-31,False,False,82.0,29.44,16.14,90.81,2.24,42.1,Explosivo e rápido,True,55.0
ED,Sul-americanas,A. Torterolo Del Arco,Defensor Sporting,Uruguai,18.0,905,2027-07-31,False,False,82.0,30.44,16.37,87.48,2.88,30.3,Explosivo e rápido,True,42.2
ED,Sul-americanas,D. Camacho,UTC Cajamarca,Peru,29.0,1557,2026-12-31,True,False,79.0,28.97,15.26,90.05,2.58,35.9,Explosivo e rápido,True,40.8
ED,Sul-americanas,L. Suhr,Boston River,Uruguai,28.0,1682,2026-12-31,True,False,79.0,29.96,16.74,85.02,1.94,34.8,Explosivo e rápido,True,44.0
ED,Série B,Hildeberto Pereira,Operário-PR,Série B,30.0,1576,2026-11-30,True,False,78.0,30.16,14.49,74.75,3.22,35.16,Explosivo e rápido,True,50.2
ED,Sul-americanas,J. Palacios,Unión Santa Fe,Argentina A,27.0,1896,2026-12-31,True,False,78.0,29.13,14.48,80.28,2.61,49.4,Explosivo e rápido,True,58.6
ED,Brasileiros e sul-americanos no exterior,S. Palacios,Levadiakos,Grecia,34.0,2496,2026-06-30,True,False,77.0,30.0,14.72,80.08,2.08,37.1,Explosivo e rápido,True,53.3
