pos11,jogador,clube,idade,minutos,contrato,livre,grupo,valor,aderencia,adc,nivel_overall,nota,psv,tipo,sal
CA,Everaldo,Bahia,35,776,2026-12-31,True,não aproveitado,650000.0,74.9,68.97200000000001,40.9,55.0,28.03,—,200K - 280K
CA,Giovanni Augusto,Chapecoense,36,883,2027-12-31,False,não aproveitado,300000.0,20.8,53.824,49.93,52.0,28.36,—,500K - 680K
CA,N. Villarreal,Cruzeiro,21,635,2030-12-31,False,não aproveitado,0.0,71.2,67.936,36.85,52.0,30.33,—,500K - 680K
CA,Eduardo Sasha,Red Bull Bragantino,34,1089,2027-12-31,False,não aproveitado,1800000.0,63.2,65.696,35.97,51.0,28.12,—,600K - 800K
CA,R. Sosa,Palmeiras,26,1078,2030-06-30,False,não aproveitado,0.0,48.7,61.636,,50.0,30.12,—,400K - 550K
CA,Gabriel Taliari,Remo,29,804,2028-12-31,False,não aproveitado,600000.0,52.4,62.672,35.02,49.0,28.16,—,500K - 680K
CA,Renato Kayzer,Vitória,30,873,2027-03-31,True,não aproveitado,1000000.0,36.1,58.108000000000004,37.7,48.0,28.24,—,500K - 680K
CA,J. Rojas,Vasco da Gama,23,934,2028-06-30,False,não aproveitado,0.0,30.5,56.54,,47.0,28.55,—,250K - 350K
CA,Vitor Bueno,Remo,31,980,2027-12-31,False,não aproveitado,0.0,23.0,54.44,,46.0,28.18,—,600K - 800K
CA,Pedro Rocha,Coritiba,31,1868,2026-12-31,True,"fim de contrato, 30+",1500000.0,35.5,57.94,31.93,45.0,28.6,—,600K - 800K
CA,Thaciano,Santos,31,740,2028-12-31,False,não aproveitado,2000000.0,36.8,58.304,31.65,45.0,28.06,—,150K - 220K
CA,David,Vasco da Gama,30,998,2027-12-31,False,não aproveitado,2000000.0,30.8,56.624,28.95,43.0,29.27,—,250K - 350K
ED,Lucas Paquetà,Flamengo,28,1029,2030-12-31,False,não aproveitado,,42.5,59.9,,55.0,,—,
ED,Enio,Chapecoense,25,875,2028-12-31,False,não aproveitado,200000.0,42.2,59.816,49.37,55.0,27.84,—,150K - 220K
ED,L. Villalba,Botafogo,25,653,2029-12-31,False,não aproveitado,0.0,69.8,67.544,41.54,55.0,31.72,—,400K - 550K
ED,J. Herrera,Red Bull Bragantino,23,1039,2029-12-31,False,não aproveitado,0.0,57.8,64.184,43.76,54.0,28.94,—,500K - 680K
ED,Nuno Moreira,Vasco da Gama,27,1005,2027-12-31,False,não aproveitado,1000000.0,32.8,57.184,50.19,54.0,27.18,—,350K - 480K
ED,J. Enamorado,Grêmio,27,975,2028-12-31,False,não aproveitado,0.0,63.0,65.64,39.86,53.0,31.17,—,500K - 680K
ED,Yago Pikachu,Remo,34,1476,2026-12-31,True,"fim de contrato, 30+",1200000.0,26.6,55.448,40.68,48.0,28.82,—,500K - 680K
ED,Carlos Eduardo,Mirassol,29,658,2026-12-31,True,não aproveitado,900000.0,32.5,57.1,31.79,44.0,30.21,—,120K - 175K
EE,Marcinho,Chapecoense,31,1275,2026-11-30,True,"fim de contrato, 30+",50000.0,32.8,57.184,38.68,48.0,,—,
EE,Italo,Chapecoense,23,831,2027-11-30,False,não aproveitado,,19.6,53.488,27.19,40.0,,—,
GOL,Tiago Volpi,Red Bull Bragantino,35,1534,2026-12-31,True,"fim de contrato, 30+",1500000.0,69.2,67.376,71.13,69.0,,—,600K - 800K
GOL,Léo Vieira,Bahia,35,1584,2026-12-31,True,"fim de contrato, 30+",100000.0,63.9,65.892,49.93,58.0,,—,500K - 680K
GOL,Anthoni,Internacional,24,912,2029-12-31,False,não aproveitado,800000.0,32.7,57.156000000000006,28.08,43.0,,—,120K - 175K
GOL,Raul Steffens,Botafogo,29,787,2027-12-31,False,não aproveitado,100000.0,41.8,59.704,26.19,43.0,25.1,—,100K - 150K
GOL,Anderson,Chapecoense,28,835,2027-12-31,False,não aproveitado,200000.0,18.8,53.264,15.25,34.0,,—,250K - 350K
LD,Paulo Henrique,Vasco da Gama,30,1085,2027-12-31,False,não aproveitado,1000000.0,67.4,66.872,40.04,53.0,32.17,—,600K - 800K
LD,R. Gómez,Bahia,22,891,2030-12-31,False,não aproveitado,0.0,37.2,58.416000000000004,42.51,50.0,29.97,—,400K - 550K
LD,Tinga,Coritiba,32,1368,2026-12-31,True,"fim de contrato, 30+",1200000.0,47.4,61.272,35.22,48.0,27.19,—,500K - 680K
LD,Everton,Chapecoense,31,1340,2026-12-31,True,"fim de contrato, 30+",0.0,52.5,62.7,32.85,48.0,30.74,—,350K - 480K
