ordem,mercado,liga,pos11,jogador,clube,idade,minutos,contrato,valor,nota,nota_completa,contrato_vencido,psv99,sinal_scouts,avaliacoes,nota_media,nota_final,livre
1,Série B,Série B,GOL,Jandrei,Juventude,33.0,2395,2026-12-31,400000.0,83.2,True,False,,,,,83.2,True
2,Sul-americano,Uruguai,GOL,Rodolfo,Central Español,35.0,2113,2026-12-31,0.0,71.5,True,False,,,,,71.5,True
3,Sul-americano,Colombia A,GOL,Jean,América de Cali,30.0,1613,2026-12-31,2000000.0,70.4,True,False,,,,,70.4,True
4,Sul-americano,Equador B,GOL,E. Valencia,San Antonio,23.0,1485,,0.0,74.5,True,False,,,,,69.5,True
5,Sul-americano,Paraguai,GOL,G. Olveira,Olimpia,33.0,2203,2026-12-31,800000.0,68.2,True,False,,,,,68.2,True
6,Série B,Série B,GOL,Airton,Criciúma,32.0,1797,2026-11-30,250000.0,66.0,True,False,,,,,66.0,True
7,Sul-americano,Argentina B,GOL,B. Galván,Almirante Brown,32.0,2344,2026-12-31,75000.0,70.1,True,False,,,,,65.1,True
8,Sul-americano,Argentina B,GOL,M. Bergia,Atlético Rafaela,25.0,2433,2026-12-31,0.0,69.7,True,False,,,,,64.7,True
9,Sul-americano,Bolivia,GOL,C. Martínez,Real Potosí,29.0,927,,0.0,68.8,True,False,,,,,63.8,True
10,Sul-americano,Equador B,GOL,J. Mero,Atletico FC,31.0,1712,2026-12-31,50000.0,68.8,True,False,,,,,63.8,True
1,Exterior,Grecia,LD,Rodinei,Olympiacos Piraeus,34.0,1866,2027-06-30,1500000.0,70.1,True,False,,,,,70.1,True
2,Sul-americano,Chile,LD,Lucas Soto,Everton,23.0,1148,2026-12-31,0.0,56.5,True,False,,urgência,5.0,7.0,60.5,True
3,Série B,Série B,LD,Rodrigo Soares,Goiás,33.0,1415,2026-11-30,1000000.0,57.1,True,False,28.18,,,,57.1,True
4,Sul-americano,Colombia B,LD,C. Graciano,Real Cartagena,23.0,2025,,0.0,56.7,True,False,,,,,56.7,True
5,Série B,Série B,LD,Rafael Ramos,Ceará,31.0,902,2026-12-31,500000.0,56.4,True,False,29.73,,,,56.4,True
6,Série B,Série B,LD,Ewerthon,Atlético-GO,25.0,2014,2026-12-31,750000.0,56.2,True,False,30.0,,,,56.2,True
7,Sul-americano,Paraguai,LD,A. Benítez,Club Libertad,32.0,969,2026-12-31,0.0,56.2,True,False,,,,,56.2,True
8,Sul-americano,Equador A,LD,D. Romero,Independiente del Valle,25.0,1343,,300000.0,55.1,True,False,,,,,55.1,True
9,Exterior,Hungria,LD,Cadu,Ferencváros,28.0,1043,,1200000.0,54.6,True,False,,,,,54.6,True
10,Sul-americano,Venezuela,LD,K. Silva,UCV,32.0,1867,2026-12-31,275000.0,54.3,True,False,,,,,54.3,True
1,Série B,Série B,ZD,Ricardo Silva,América-MG,34.0,1252,2026-11-30,300000.0,68.0,True,False,28.07,,,,68.0,True
2,Sul-americano,Paraguai,ZD,G. Vargas,Olimpia,24.0,1315,2026-12-31,400000.0,66.7,True,False,,,,,66.7,True
3,Exterior,Grecia,ZD,Fabiano,Aris,34.0,2024,2027-06-30,800000.0,63.7,True,False,,,,,63.7,True
4,Série B,Série B,ZD,Gabriel Bahia,Novorizontino,27.0,1246,2027-03-31,,61.2,True,False,30.91,"média ≥6,5",6.0,6.7,63.2,True
5,Exterior,China,ZD,Lucão,Chongqing Tongliang Long,30.0,1430,,400000.0,61.8,True,False,,,,,61.8,True
6,Sul-americano,Venezuela,ZD,G. Fratta,Deportivo Táchira,30.0,1528,2026-12-31,500000.0,60.9,True,False,,,,,60.9,True
7,Série B,Série B,ZD,Jemerson,São Bernardo,34.0,1706,2026-11-30,1700000.0,60.4,False,False,28.87,,,,60.4,True
8,Sul-americano,Argentina A,ZD,C. Ferreira,Atlético Tucumán,23.0,1303,2026-12-31,0.0,59.5,True,False,,,,,59.5,True
9,Sul-americano,Peru,ZD,H. González,Los Chankas,33.0,1082,2026-12-31,75000.0,59.2,True,False,,,,,59.2,True
10,Sul-americano,Colombia A,ZD,Y. Díaz,Fortaleza,29.0,2206,,250000.0,59.0,True,False,,,,,59.0,True
1,Série B,Série B,ZE,Wallace,Botafogo-SP,31.0,1046,2026-11-30,1000000.0,64.4,True,False,,,,,64.4,True
2,Sul-americano,Equador A,ZE,S. Morales,Aucas,24.0,1911,2026-12-31,0.0,60.8,True,False,,,,,60.8,True
3,Sul-americano,Chile,ZE,J. Díaz,Universidad Católica,28.0,1229,,500000.0,60.4,True,False,,,,,60.4,True
4,Sul-americano,Colombia A,ZE,C. Haydar,Atlético Nacional,25.0,1544,,800000.0,60.3,True,False,,,,,60.3,True
5,Exterior,Bulgaria,ZE,C. Makoun,Levski Sofia,26.0,2133,2027-06-30,0.0,59.2,True,False,,,,,59.2,True
6,Sul-americano,Uruguai,ZE,N. Olivera,Wanderers,33.0,1528,2027-06-30,200000.0,59.1,True,False,,,,,59.1,True
7,Série B,Série B,ZE,Vilar,Botafogo-SP,26.0,2612,2026-11-30,,58.8,False,False,30.17,,,,58.8,True
8,Série B,Série B,ZE,Luiz Otávio,Ceará,33.0,1988,2026-12-31,900000.0,58.4,True,False,,,,,58.4,True
9,Exterior,China,ZE,Lucas Maia,Henan,33.0,1533,,800000.0,55.2,True,False,,,,,55.2,True
10,Série B,Série B,ZE,Augusto,São Bernardo,29.0,1912,2026-11-30,,54.9,True,False,27.75,,,,54.9,True
1,Série B,Série B,LE,Patrick Brey,Botafogo-SP,29.0,2301,2026-11-30,125000.0,68.6,True,False,28.65,,,,68.6,True
2,Exterior,Bulgaria,LE,Maicon,Levski Sofia,26.0,2951,2027-06-30,0.0,63.9,True,False,,,,,63.9,True
3,Sul-americano,Venezuela,LE,J. Pérez,Carabobo,27.0,1462,2026-12-31,300000.0,61.2,True,False,,,,,61.2,True
4,Sul-americano,Equador A,LE,J. Mohor,Macará,25.0,958,2026-12-31,100000.0,60.9,True,False,,,,,60.9,True
5,Sul-americano,Paraguai,LE,M. Espinoza,Club Libertad,28.0,1884,2026-12-31,0.0,58.7,True,False,,,,,58.7,True
6,Sul-americano,Colombia A,LE,F. Fabra,Medellín,35.0,1014,2027-06-30,500000.0,57.8,True,False,,,,,57.8,True
7,Sul-americano,Chile,LE,C. Cuevas,Universidad Católica,31.0,1476,2026-12-31,750000.0,57.7,True,False,,,,,57.7,True
8,Sul-americano,Colombia B,LE,O. Acosta,Real Soacha Cundinamarca,26.0,1535,,400000.0,57.5,True,False,,,,,57.5,True
9,Exterior,Romenia,LE,Conrado,Oţelul,29.0,2529,2026-06-30,300000.0,57.1,True,True,,,,,57.1,True
10,Série B,Série B,LE,Sánchez,Ceará,30.0,1194,2026-11-30,,57.0,True,False,28.88,,,,57.0,True
1,Exterior,Bahrain,VOL,Rodrigo Yuri,Al Riffa,32.0,1958,,0.0,63.1,True,False,,,,,63.1,True
2,Sul-americano,Venezuela,VOL,M. Cova,Carabobo,34.0,1598,2026-12-31,0.0,62.4,True,False,,,,,62.4,True
3,Exterior,Bulgaria,VOL,Pedro Naressi,Ludogorets,28.0,1859,2026-06-30,0.0,62.2,True,True,,,,,62.2,True
4,Série B,Série B,VOL,Wenderson,Náutico,28.0,2388,2026-11-30,,61.2,True,False,,,,,61.2,True
5,Série B,Série B,VOL,Zé Gabriel,Sport,27.0,1586,2026-11-30,1500000.0,60.0,False,False,26.66,,,,60.0,True
6,Sul-americano,Colombia B,VOL,J. Mercado,Unión Magdalena,22.0,1344,,0.0,59.3,True,False,,,,,59.3,True
7,Série B,Série B,VOL,Patrick De Lucca,CRB,26.0,968,2026-11-30,,59.0,True,False,26.11,,,,59.0,True
8,Sul-americano,Equador A,VOL,S. Vasquez,Orense,22.0,2439,,0.0,58.8,True,False,,,,,58.8,True
9,Sul-americano,Colombia B,VOL,K. Salazar,Unión Magdalena,28.0,1413,,300000.0,58.5,True,False,,,,,58.5,True
10,Série B,Série B,VOL,Lucas Lima,São Bernardo,26.0,965,2026-11-30,,53.7,True,False,,média ≥7,4.0,7.0,56.7,True
1,Série B,Série B,MED,Danielzinho,CRB,30.0,1875,2026-12-31,,71.7,True,False,26.41,,,,71.7,True
2,Série B,Série B,MED,Crystopher,CRB,28.0,2138,2026-12-31,50000.0,64.7,True,False,27.66,,,,64.7,True
3,Exterior,Bahrain,MED,G. Wilson Da Silva Moreira,Khalidiya ,30.0,1437,2026-06-30,0.0,63.7,True,True,,,,,63.7,True
4,Sul-americano,Peru,MED,F. Gaibor,Alianza Lima,34.0,1236,2026-12-31,650000.0,63.3,True,False,,,,,63.3,True
5,Série B,Série B,MED,Luan Gonçalves,Juventude,26.0,1258,2026-12-31,,63.2,True,False,28.14,,,,63.2,True
6,Sul-americano,Peru,MED,J. Concha,Universitario,27.0,1616,2026-12-31,0.0,62.7,True,False,,,,,62.7,True
7,Sul-americano,Chile,MED,J. Meneses,Deportes Limache,33.0,1762,2026-12-31,0.0,61.8,True,False,,,,,61.8,True
8,Exterior,Bahrain,MED,Arthur Rezende,Muharraq,32.0,1839,,500000.0,61.8,True,False,,,,,61.8,True
9,Série B,Série B,MED,Rafael Gava,Botafogo-SP,33.0,1987,2026-11-30,600000.0,60.7,True,False,27.59,,,,60.7,True
