jogador,Team,clube,Position,idade,valor,contrato,Matches played,minutos,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",nascido_em,passaporte,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Lateral passes per 90,"Accurate lateral passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",liga,"Conversão de penaltis, %",Aerial duels per 90.1,pos11,mercado,sul_americano,ocupa_vaga_estrangeiro,"Aerial duels won, %_pct",Passes to penalty area per 90_pct,Progressive runs per 90_pct,Touches in box per 90_pct,Long passes per 90_pct,"Defensive duels won, %_pct",Head goals per 90_pct,xG per 90_pct,Crosses per 90_pct,Key passes per 90_pct,Successful defensive actions per 90_pct,Smart passes per 90_pct,Free kicks per 90_pct,Progressive passes per 90_pct,"Save rate, %_pct",Corners per 90_pct,Exits per 90_pct,Shots per 90_pct,Prevented goals per 90_pct,PAdj Interceptions_pct,"Accurate passes, %_pct",Accelerations per 90_pct,Fouls suffered per 90_pct,xA per 90_pct,aderencia,criterios_com_dado,chave,nivel_overall,rank_na_liga,nivel_ofensivo,nivel_defensivo,nivel_passe,nivel_bola_parada,nivel_fisico,aderencia_ajustada,nota,livre,ordem
M. Miño,Barracas Central,Barracas Central,GK,28.0,300000,2026-12-31,16,1551,0,0.0,0,0.0,0.87,73.33,Argentina,Argentina,direito,186,82,sim,1.33,0.06,100.0,0.41,57.14,0.06,0.07,0.0,1.22,1.38,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,100.0,0.0,0.0,0.06,4.82,0.12,0.35,15.44,74.06,11.49,67.17,0.06,100.0,3.54,95.08,5.86,96.04,9.52,60.98,43.55,54.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.58,56.96,0.35,0.0,0.06,0.0,0.0,0.0,6.62,79.82,12,0.7,83,4.82,6,85.54,20.05,1.16,8.05,0.467,0.0,2.96,,,,0.0,0.0,0.0,Argentina A,,,GOL,Sul-americano,True,True,3.3333333333333335,95.0,50.0,51.66666666666667,96.66666666666667,76.66666666666667,51.66666666666667,51.66666666666667,50.0,48.333333333333336,60.0,51.66666666666667,,96.66666666666667,100.0,51.66666666666667,100.0,50.0,100.0,23.333333333333332,6.666666666666667,100.0,96.66666666666667,50.0,87.9,5,m mino,72.45,2.0,0.0,57.14,58.86,0.0,,72.9,72.7,True,0
M. Borgogno,Defensa y Justicia,Defensa y Justicia,GK,27.0,275000,2027-06-30,21,2056,0,0.0,0,0.0,0.7,93.75,Argentina,"Argentina, Italy",direito,187,73,sim,1.18,0.09,100.0,0.31,100.0,0.0,0.0,0.0,1.09,1.66,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,75.0,0.0,0.0,0.0,8.8,0.13,0.31,15.5,74.58,10.59,67.36,0.0,0.0,4.51,90.29,7.66,97.71,7.84,51.96,37.83,50.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41,56.36,0.13,0.0,0.09,50.0,0.0,0.0,4.77,71.56,22,0.96,90,3.94,6,75.56,23.03,1.01,1.03,0.045,0.0,1.62,,,,0.0,0.0,0.0,Argentina A,,,GOL,Sul-americano,True,True,76.66666666666667,53.333333333333336,50.0,51.66666666666667,80.0,76.66666666666667,51.66666666666667,51.66666666666667,50.0,48.333333333333336,36.666666666666664,51.66666666666667,,43.333333333333336,60.0,51.66666666666667,58.333333333333336,50.0,46.666666666666664,36.666666666666664,10.0,45.0,90.0,50.0,50.8,5,m borgogno,52.95,19.0,0.0,100.0,59.09,0.0,,35.8,44.4,True,0
M. Mansilla,Unión Santa Fe,Unión Santa Fe,GK,30.0,0,,23,2272,0,0.0,0,0.0,0.63,81.25,Argentina,Argentina,direito,192,91,sim,0.87,0.04,100.0,0.36,100.0,0.0,0.0,0.0,0.83,1.21,0.0,2,0.08,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,66.67,0.0,0.0,0.0,4.95,0.48,0.16,10.26,82.63,7.68,78.35,0.0,0.0,2.5,96.83,4.48,98.23,5.7,71.53,40.01,50.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34,81.36,0.0,0.0,0.08,50.0,0.0,0.0,4.91,82.26,31,1.23,106,4.2,5,70.75,32.78,1.3,1.78,0.071,0.0,1.82,,,,0.0,0.0,0.0,Argentina A,,,GOL,Sul-americano,True,True,76.66666666666667,11.666666666666666,50.0,51.66666666666667,13.333333333333334,76.66666666666667,51.66666666666667,51.66666666666667,50.0,48.333333333333336,16.666666666666664,51.66666666666667,,50.0,20.0,51.66666666666667,68.33333333333333,50.0,56.666666666666664,20.0,53.333333333333336,45.0,38.333333333333336,50.0,49.2,5,m mansilla,49.05,24.0,0.0,100.0,39.12,0.0,,34.2,41.6,True,0
N. Insfrán,Gimnasia La Plata,Gimnasia La Plata,GK,31.0,800000,2026-12-31,21,1978,0,0.0,0,0.0,0.41,77.78,Argentina,Argentina,direito,179,83,sim,0.68,0.0,0.0,0.32,71.43,0.0,0.0,0.0,0.68,0.85,0.0,2,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.51,0.05,0.0,14.29,81.53,9.28,73.04,0.0,0.0,4.69,97.09,7.74,97.65,6.55,62.5,35.72,49.08,0.0,0.05,0.0,0.05,0.0,0.0,0.0,1.55,55.88,0.05,0.0,0.05,0.0,0.0,0.0,4.73,74.04,23,1.05,86,3.91,8,73.26,22.95,1.04,-0.05,-0.002,0.0,1.64,,,,0.0,0.0,0.0,Argentina A,,,GOL,Sul-americano,True,True,13.333333333333334,26.666666666666668,50.0,51.66666666666667,53.333333333333336,13.333333333333334,51.66666666666667,51.66666666666667,50.0,48.333333333333336,6.666666666666667,51.66666666666667,,36.666666666666664,33.33333333333333,51.66666666666667,63.33333333333333,50.0,28.333333333333332,11.666666666666666,40.0,45.0,5.0,50.0,42.3,5,n insfran,51.1,21.0,0.0,71.43,54.48,0.0,,27.299999999999997,39.2,True,0
F. Sanguinetti,Banfield,Banfield,GK,25.0,350000,2026-12-31,20,1953,0,0.0,0,0.0,0.41,88.89,Argentina,Argentina,direito,185,74,sim,0.69,0.05,100.0,0.23,80.0,0.0,0.0,0.0,0.65,0.81,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,100.0,0.0,0.0,0.0,3.73,0.05,0.18,10.37,84.44,7.19,78.85,0.05,100.0,2.86,96.77,6.08,97.73,4.29,65.59,36.26,51.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34,58.62,0.0,0.0,0.0,0.0,0.0,0.0,3.55,81.82,24,1.11,105,4.84,5,77.14,26.59,1.23,2.59,0.119,0.0,1.01,,,,0.0,0.0,0.0,Argentina A,,,GOL,Sul-americano,True,True,23.333333333333332,11.666666666666666,50.0,51.66666666666667,6.666666666666667,76.66666666666667,51.66666666666667,51.66666666666667,50.0,48.333333333333336,10.0,51.66666666666667,,6.666666666666667,63.33333333333333,51.66666666666667,6.666666666666667,50.0,66.66666666666666,6.666666666666667,66.66666666666666,45.0,48.333333333333336,50.0,43.7,5,f sanguinetti,48.62,25.0,0.0,80.0,39.53,0.0,,28.700000000000003,38.7,True,0
L. Ingolotti,Atlético Tucumán,Atlético Tucumán,GK,26.0,450000,2026-12-31,21,2058,0,0.0,1,0.07,0.57,84.62,Argentina,Argentina,direito,185,85,sim,1.66,0.04,100.0,0.44,90.0,0.0,0.0,0.0,1.62,2.28,0.0,1,0.04,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,50.0,0.0,0.0,0.0,4.46,0.09,0.04,11.46,74.81,8.27,65.61,0.0,0.0,2.8,98.44,5.29,96.69,6.17,56.03,41.54,53.94,0.0,0.04,0.0,0.0,0.0,0.0,0.04,3.72,67.06,0.35,37.5,0.26,83.33,0.13,0.0,4.81,73.64,22,0.96,63,2.76,9,65.08,19.18,0.84,-2.82,-0.123,0.0,2.36,,,,0.0,0.0,0.0,Argentina A,,,GOL,Sul-americano,True,True,36.666666666666664,95.0,50.0,51.66666666666667,30.0,76.66666666666667,51.66666666666667,51.66666666666667,50.0,96.66666666666667,90.0,51.66666666666667,,46.666666666666664,13.333333333333334,51.66666666666667,86.66666666666667,50.0,10.0,86.66666666666667,13.333333333333334,45.0,10.0,50.0,32.5,5,l ingolotti,49.23,23.0,0.0,90.0,43.69,0.0,,17.5,33.4,True,0
N. Bolcato,Independiente Rivadavia,Independiente Rivadavia,GK,22.0,0,2026-12-31,20,1944,0,0.0,0,0.0,0.93,80.0,Argentina,Argentina,,0,0,sim,1.3,0.23,80.0,0.37,75.0,0.0,0.0,0.0,1.11,1.77,0.0,1,0.05,0,0.0,0.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,100.0,0.28,100.0,0.0,0.0,0.0,6.3,0.42,0.23,12.87,77.7,9.03,70.77,0.0,0.0,3.66,94.94,5.97,100.0,6.85,58.78,40.79,50.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.19,52.17,0.19,0.0,0.23,60.0,0.0,0.0,4.72,78.43,19,0.88,66,3.06,5,71.21,18.33,0.85,-0.67,-0.031,0.0,1.44,,,,0.0,0.0,0.0,Argentina A,,,GOL,Sul-americano,True,True,18.333333333333332,73.33333333333333,50.0,51.66666666666667,66.66666666666666,50.0,51.66666666666667,51.66666666666667,50.0,48.333333333333336,45.0,51.66666666666667,,33.33333333333333,23.333333333333332,51.66666666666667,53.333333333333336,50.0,23.333333333333332,50.0,23.333333333333332,45.0,70.0,50.0,36.2,5,n bolcato,44.36,28.0,0.0,75.0,49.07,0.0,,21.200000000000003,32.8,True,0
M. Roffo,Cerro Porteño,Instituto,GK,26.0,3800000,2026-12-31,16,1598,0,0.0,0,0.0,0.17,100.0,Argentina,"Argentina, Croatia",direito,184,81,sim,1.3,0.0,0.0,0.06,100.0,0.0,0.0,0.0,1.3,1.89,0.0,1,0.06,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,100.0,0.0,0.0,0.0,7.21,0.39,0.11,14.92,78.87,8.84,67.52,0.0,0.0,5.41,97.92,8.56,96.05,6.31,56.25,34.95,51.43,0.0,0.0,0.0,0.06,0.0,0.0,0.0,2.25,40.0,0.06,100.0,0.17,33.33,0.0,0.0,4.22,72.0,17,0.96,54,3.04,4,68.52,13.67,0.77,-3.33,-0.188,0.0,1.3,,,,0.0,0.0,0.0,Argentina A,,,GOL,Sul-americano,True,True,76.66666666666667,36.666666666666664,50.0,51.66666666666667,41.66666666666667,13.333333333333334,51.66666666666667,51.66666666666667,50.0,48.333333333333336,45.0,51.66666666666667,,13.333333333333334,16.666666666666664,51.66666666666667,30.0,50.0,6.666666666666667,63.33333333333333,26.666666666666668,45.0,26.666666666666668,50.0,20.6,5,m roffo,38.55,30.0,0.0,100.0,56.88,0.0,,5.600000000000001,22.1,True,0
A. Steimbach,Gimnasia La Plata,Gimnasia La Plata,RB,24.0,0,2026-12-31,22,1995,1,0.86,5,1.96,18.27,51.36,Argentina,Argentina,direito,175,70,sim,10.24,6.95,67.53,2.8,53.23,0.5,0.63,0.23,5.05,6.4,0.81,8,0.36,1,0.05,2.21,0.05,1,0.05,0.04,1,0.05,14,0.63,14.29,7.143,0.23,3.02,26.87,0.0,0.0,2.98,27.27,0.45,2.71,45.0,6.45,37.06,0.86,1.89,0.23,21.97,2.03,1.04,33.56,68.68,12.9,60.49,4.38,93.81,10.33,68.12,25.58,78.13,5.1,46.02,19.79,36.71,0.09,0.68,0.09,0.0,0.09,100.0,0.59,4.69,54.81,3.34,39.19,0.72,50.0,0.63,0.86,8.57,65.79,0,,0,,0,0.0,0.0,0.0,,,0.27,,0.0,0.0,0.0,0.09,0.0,0.0,Argentina A,,,LD,Sul-americano,True,True,79.41176470588235,82.35294117647058,73.52941176470588,47.05882352941176,64.70588235294117,61.76470588235294,91.17647058823529,63.23529411764706,76.47058823529412,89.70588235294117,88.23529411764706,88.23529411764706,44.11764705882353,64.70588235294117,51.470588235294116,91.17647058823529,,61.76470588235294,,61.76470588235294,20.588235294117645,45.588235294117645,76.47058823529412,82.35294117647058,72.5,6,a steimbach,50.37,5.0,45.86,74.93,62.54,0.0,34.63,57.5,53.9,True,1
L. Vargas,Unión Santa Fe,Unión Santa Fe,RB,21.0,0,,22,2001,0,0.28,3,1.94,13.49,52.33,Argentina,Argentina,direito,168,60,sim,7.74,6.39,62.68,0.9,30.0,0.58,0.84,0.18,3.15,4.51,0.54,9,0.4,0,0.0,3.42,0.0,0,0.0,0.01,0,0.0,10,0.45,20.0,0.0,0.13,4.27,38.95,0.0,0.0,4.27,38.95,0.27,2.88,56.25,5.08,46.9,0.49,2.34,0.31,25.68,2.16,0.58,35.67,76.8,14.44,70.72,3.69,96.34,12.82,79.65,24.65,87.41,6.93,61.04,22.71,40.47,0.09,0.85,0.0,0.04,0.04,100.0,0.58,6.39,71.13,4.32,53.13,0.31,42.86,0.72,1.62,10.03,77.58,0,,0,,0,0.0,0.0,0.0,,,0.67,,0.0,0.0,0.0,0.0,0.0,0.0,Argentina A,,,LD,Sul-americano,True,True,5.88235294117647,97.05882352941177,88.23529411764706,20.588235294117645,97.05882352941177,38.23529411764706,44.11764705882353,16.176470588235293,97.05882352941177,85.29411764705883,17.647058823529413,57.35294117647059,44.11764705882353,89.70588235294117,51.470588235294116,39.705882352941174,,35.294117647058826,,14.705882352941178,67.64705882352942,73.52941176470588,29.411764705882355,82.35294117647058,73.8,6,l vargas,47.01,11.0,48.33,57.9,68.96,0.0,33.76,58.8,52.9,True,1
