mercado,liga,pos11,jogador,clube,idade,minutos,contrato,valor,nascido_em,passaporte,aderencia,aderencia_ajustada,nivel_overall,rank_na_liga,nota,nota_completa,nivel_bola_parada,nivel_fisico,criterios_com_dado,posse_est,Duelos def/90 PAdj,Aéreos/90 PAdj,Duelos of/90 PAdj,xG per 90,Goals per 90,xG,Goals,sul_americano,ocupa_vaga_estrangeiro,On loan,livre_2027,contrato_vencido
Sul-americano,Argentina A,GOL,S. Beltrán,River Plate,21.0,2436,2027-12-31,0,Argentina,Argentina,31.7,40.5,56.9,12.0,48.7,True,0.0,,5,69.4,0.2,0.3,0.0,0.0,0.0,0.0,0,True,True,sim,False,False
Sul-americano,Argentina A,GOL,B. Cortés,Argentinos Juniors,31.0,2426,2027-12-31,3000000,Chile,Chile,37.9,42.4,66.5,6.0,54.4,True,0.0,,5,60.3,0.1,0.3,0.1,0.0,0.0,0.0,0,True,True,sim,False,False
Sul-americano,Argentina A,GOL,T. Cardozo,Belgrano,30.0,2387,2028-12-31,800000,Uruguay,Uruguay,77.1,54.1,82.4,1.0,68.2,True,0.0,,5,50.3,0.2,0.4,0.2,0.0,0.0,0.0,0,True,True,sim,False,False
Sul-americano,Argentina A,ZD,L. Martínez Quarta,River Plate,30.0,2384,2028-12-31,0,Argentina,"Argentina, Italy",60.0,49.0,64.1,5.0,56.5,True,0.0,29.8,7,69.4,8.3,7.1,1.2,0.1,0.1,3.8,2,True,True,sim,False,False
Sul-americano,Argentina A,GOL,F. Cambeses,Racing Club,29.0,2308,2027-12-31,0,Argentina,"Argentina, Italy",36.9,42.1,55.7,16.0,48.9,True,0.0,,5,52.9,0.1,0.4,0.2,0.0,0.0,0.0,0,True,True,sim,False,False
Sul-americano,Argentina A,ZD,F. Álvarez,Argentinos Juniors,26.0,2307,2029-12-31,0,Argentina,Argentina,77.6,54.3,69.7,2.0,62.0,True,0.0,29.2,7,60.3,7.3,8.3,1.3,0.1,0.1,1.8,3,True,True,sim,False,False
Sul-americano,Argentina A,GOL,M. Mansilla,Unión Santa Fe,30.0,2272,,0,Argentina,Argentina,49.2,45.8,49.0,24.0,47.4,True,0.0,,5,48.2,0.0,0.4,0.1,0.0,0.0,0.0,0,True,True,sim,True,False
Sul-americano,Argentina A,VOL,F. Fattori,Talleres Córdoba,34.0,2238,2027-12-31,700000,Argentina,Argentina,59.7,48.9,37.6,13.0,43.2,True,0.0,21.3,6,67.3,7.6,4.9,2.2,0.0,0.0,0.2,0,True,True,sim,False,False
Sul-americano,Argentina A,GOL,H. Galíndez,Huracán,39.0,2236,2027-12-31,350000,Argentina,"Argentina, Ecuador",58.5,48.6,63.2,9.0,55.9,True,0.0,,5,48.2,0.2,0.2,0.2,0.0,0.0,0.0,0,True,True,sim,False,False
Sul-americano,Argentina A,VOL,A. Moreno,River Plate,27.0,2192,2027-12-31,0,Argentina,Argentina,64.4,50.3,44.3,6.0,47.3,True,0.0,23.1,6,69.4,10.5,4.4,2.0,0.0,0.0,0.5,0,True,True,sim,False,False
Sul-americano,Argentina A,CA,C. Tarragona,Unión Santa Fe,35.0,2163,2026-12-31,500000,Argentina,Argentina,47.1,45.1,41.3,13.0,43.2,True,0.0,51.5,6,48.2,2.8,5.9,7.8,0.3,0.4,7.4,9,True,True,sim,True,False
Sul-americano,Argentina A,GOL,Á. Montero,Boca Juniors,31.0,2150,2030-06-30,2200000,Colombia,Colombia,54.8,47.4,56.6,14.0,52.0,True,0.0,,5,66.7,0.1,0.7,0.2,0.0,0.0,0.0,0,True,True,sim,False,False
Sul-americano,Argentina A,MED,A. Sánchez,Belgrano,27.0,2142,2029-12-31,800000,Argentina,Argentina,51.3,46.4,41.0,32.0,43.7,True,0.0,41.9,6,50.3,8.1,1.9,3.6,0.0,0.0,0.1,1,True,True,sim,False,False
Sul-americano,Argentina A,LE,P. Silva,Gimnasia La Plata,29.0,2109,2026-12-31,500000,Argentina,"Argentina, Italy",67.7,51.3,33.9,30.0,42.6,True,0.0,35.6,6,46.7,5.3,1.8,3.8,0.1,0.0,1.4,0,True,True,sim,True,False
Sul-americano,Argentina A,GOL,R. Rey,Independiente,35.0,2090,2026-12-31,1800000,Argentina,"Argentina, Italy",42.5,43.8,50.6,22.0,47.2,True,0.0,,5,49.1,0.1,0.4,0.1,0.0,0.0,0.0,0,True,True,sim,True,False
Sul-americano,Argentina A,ZD,L. Mosevich,Instituto,29.0,2084,2027-12-31,300000,Argentina,Argentina,34.8,41.4,37.8,47.0,39.6,True,0.0,23.2,7,46.2,4.2,4.7,0.5,0.0,0.0,1.1,0,True,True,sim,False,False
Sul-americano,Argentina A,VOL,V. Pizarro,Rosario Central,23.0,2073,2029-12-31,0,Chile,Chile,33.9,41.2,47.6,5.0,44.4,True,0.0,26.4,6,54.6,3.9,2.2,4.3,0.0,0.0,1.2,1,True,True,sim,False,False
Sul-americano,Argentina A,MED,A. Lescano,Argentinos Juniors,24.0,2068,2027-12-31,0,Argentina,Argentina,49.3,45.8,48.8,11.0,47.3,True,0.0,44.8,6,60.3,6.4,1.7,6.0,0.2,0.2,4.6,4,True,True,sim,False,False
Sul-americano,Argentina A,GOL,L. Ingolotti,Atlético Tucumán,26.0,2058,2026-12-31,450000,Argentina,Argentina,32.5,40.8,49.2,23.0,45.0,True,0.0,,5,39.9,0.0,0.4,0.1,0.0,0.0,0.0,0,True,True,sim,True,False
Sul-americano,Argentina A,LD,G. Cerato,Instituto,28.0,2056,2027-12-31,0,Argentina,"Argentina, Italy",74.1,53.2,54.0,2.0,53.6,True,0.0,38.8,6,46.2,6.9,1.6,2.0,0.1,0.1,1.5,3,True,True,sim,False,False
Sul-americano,Argentina A,GOL,M. Borgogno,Defensa y Justicia,27.0,2056,2027-06-30,275000,Argentina,"Argentina, Italy",50.8,46.2,53.0,19.0,49.6,True,0.0,,5,49.4,0.1,0.3,0.2,0.0,0.0,0.0,0,True,True,sim,True,False
Sul-americano,Argentina A,GOL,I. Arce,Deportivo Riestra,34.0,2053,2026-12-31,400000,Argentina,Argentina,75.8,53.7,68.6,5.0,61.1,True,0.0,,5,32.4,0.1,0.3,0.5,0.0,0.0,0.0,0,True,True,sim,True,False
Sul-americano,Argentina A,LD,L. Morales,Belgrano,35.0,2051,2027-12-31,1000000,Argentina,Argentina,38.8,42.6,32.7,33.0,37.7,True,0.0,27.9,6,50.3,5.4,2.6,1.8,0.0,0.0,0.6,1,True,True,sim,False,False
Sul-americano,Argentina A,ZE,J. Ludueña,Unión Santa Fe,23.0,2050,2026-12-31,0,Argentina,Argentina,56.6,48.0,53.9,12.0,51.0,True,0.0,24.2,7,48.2,5.1,5.5,1.9,0.0,0.0,1.1,1,True,True,sim,True,False
Sul-americano,Argentina A,VOL,F. Ibarra,Rosario Central,25.0,2038,2027-12-31,0,Argentina,"Argentina, United States",82.5,55.8,38.1,12.0,47.0,True,0.0,22.1,6,54.6,8.5,2.3,5.9,0.0,0.0,0.4,0,True,True,sim,False,False
