mercado,liga,pos11,jogador,clube,idade,minutos,contrato,valor,nascido_em,passaporte,aderencia,aderencia_ajustada,nivel_overall,rank_na_liga,nota,nota_completa,nivel_bola_parada,nivel_fisico,criterios_com_dado,posse_est,Duelos def/90 PAdj,Aéreos/90 PAdj,Duelos of/90 PAdj,sul_americano,ocupa_vaga_estrangeiro,On loan,livre_2027,contrato_vencido
Exterior,Alemanha A,EE,L. Díaz,Bayern München,29.0,2722,2029-06-30,75000000,Colombia,Colombia,91.8,76.8,69.0,2.0,72.9,True,0.0,56.4,6,70.0,5.3,2.3,8.6,True,True,sim,False,False
Exterior,Alemanha A,LE,Bernardo,Hoffenheim,31.0,2549,2027-06-30,5500000,Brazil,Brazil,25.8,10.8,33.4,22.0,22.1,True,0.0,34.7,6,52.2,6.1,6.7,1.8,True,False,sim,True,False
Exterior,Alemanha A,CA,Rômulo,RB Leipzig,24.0,2329,2030-06-30,0,Brazil,Brazil,66.1,51.1,36.5,22.0,43.8,True,0.0,62.8,6,55.4,3.4,6.9,5.6,True,False,sim,False,False
Exterior,Alemanha A,ZD,N. Capaldo,Hamburger SV,27.0,2180,2028-06-30,5000000,Argentina,"Argentina, Italy",42.2,27.2,58.4,12.0,42.8,True,0.0,48.6,7,43.8,7.0,3.0,4.8,True,True,sim,False,False
Exterior,Alemanha A,VOL,Vini Souza,Wolfsburg,26.0,1957,2030-06-30,12000000,Brazil,Brazil,50.5,35.5,23.1,16.0,29.3,True,0.0,30.5,6,43.6,5.5,4.0,3.8,True,False,sim,False,False
Exterior,Alemanha A,LD,Arthur,Bayer Leverkusen,23.0,1254,2031-06-30,0,Brazil,Brazil,49.2,34.2,45.4,11.0,39.8,True,0.0,48.4,6,66.8,8.1,3.0,5.1,True,False,sim,False,False
Exterior,Alemanha A,MED,E. Palacios,Bayer Leverkusen,27.0,1223,2030-06-30,0,Argentina,Argentina,80.9,65.9,52.9,7.0,59.4,True,0.0,43.4,6,66.8,6.0,1.1,2.8,True,True,sim,False,False
Exterior,Alemanha A,GOL,Kauã Santos,Eintracht Frankfurt,23.0,1217,2030-06-30,0,Brazil,Brazil,34.8,19.8,7.4,23.0,13.6,True,0.0,,5,55.0,0.2,1.1,0.1,True,False,sim,False,False
Exterior,Alemanha A,ZD,Arthur Chaves,Augsburg,25.0,1183,2029-06-30,1200000,Brazil,Brazil,40.5,25.5,53.4,29.0,39.5,True,0.0,38.1,7,43.8,7.4,4.2,1.4,True,False,sim,False,False
Exterior,Alemanha A,LD,Yan Couto,Borussia Dortmund,23.0,1127,2030-06-30,25000000,Brazil,"Brazil, Portugal",55.2,40.2,59.7,2.0,49.9,True,0.0,36.9,6,52.0,6.2,1.3,6.0,True,False,sim,False,False
Exterior,Alemanha A,MED,E. Fernández,Bayer Leverkusen,23.0,1120,,0,Argentina,"Argentina, Paraguay",36.8,21.8,43.2,19.0,32.5,True,0.0,43.3,6,66.8,8.7,4.0,4.1,True,True,sim,True,False
Exterior,Alemanha B,ZD,F. Gruber,Nürnberg,23.0,3107,2027-06-30,250000,Germany,"Germany, Peru",60.5,45.5,52.7,25.0,49.1,True,0.0,,7,49.7,5.9,7.2,1.7,True,True,sim,True,False
Exterior,Alemanha B,CA,O. Batista Meier,Preußen Münster,25.0,2415,,500000,Germany,"Germany, Brazil",29.8,14.8,64.2,1.0,39.5,True,0.0,,6,55.5,3.3,1.2,8.6,True,False,sim,True,False
Exterior,Alemanha B,MED,S. Castañeda,Paderborn,21.0,2387,2027-06-30,0,United States,"United States, Colombia",34.0,19.0,43.4,29.0,31.2,True,0.0,,6,53.2,5.3,3.4,2.9,True,True,sim,True,False
Exterior,Alemanha B,ZE,F. Sánchez,Schalke 04,22.0,975,2028-06-30,0,Argentina,"Argentina, Italy",54.8,39.8,46.9,29.0,43.4,True,0.0,,7,43.8,4.7,4.7,1.3,True,True,sim,False,False
Exterior,Arabia Saudita A,GOL,Kewin,Dhamk,31.0,3391,,1500000,Brazil,Brazil,43.8,28.8,30.0,18.0,29.4,True,0.0,,5,46.5,0.1,0.4,0.1,True,False,sim,True,False
Exterior,Arabia Saudita A,GOL,Marcelo Grohe,Al Shabab,39.0,3344,2026-06-30,400000,Brazil,"Brazil, Germany",32.5,17.5,39.7,16.0,28.6,True,0.0,,5,49.3,0.2,0.2,0.0,True,False,sim,True,True
Exterior,Arabia Saudita A,GOL,Mailson,Al Taawon,29.0,3320,2028-06-30,3500000,Brazil,Brazil,73.1,58.1,62.2,5.0,60.1,True,0.0,,5,54.7,0.1,0.3,0.1,True,False,sim,False,False
Exterior,Arabia Saudita A,CA,V. Vada,Dhamk,30.0,3214,2027-06-30,2000000,Argentina,"Argentina, Italy",32.1,17.1,46.7,6.0,31.9,True,0.0,50.4,6,46.5,2.8,0.5,5.3,True,True,sim,True,False
Exterior,Arabia Saudita A,MED,N. Nández,Al Qadisiyah,30.0,3201,2027-06-30,5000000,Uruguay,"Uruguay, Italy",83.8,68.8,56.5,6.0,62.6,True,0.0,55.1,6,65.9,8.3,3.4,5.1,True,True,sim,True,False
Exterior,Arabia Saudita A,GOL,J. Cozzani,Al Kholood,27.0,3165,2029-12-31,1800000,Argentina,Argentina,36.2,21.2,37.9,17.0,29.6,True,0.0,,5,49.0,0.2,0.2,0.1,True,True,sim,False,False
Exterior,Arabia Saudita A,GOL,Victor Braga,Al Najma,34.0,3035,2026-06-30,500000,Brazil,"Brazil, Portugal",45.0,30.0,19.7,19.0,24.8,True,0.0,,5,45.6,0.1,0.6,0.0,True,False,sim,True,True
Exterior,Arabia Saudita A,ED,Malcom,Al Hilal,29.0,3002,2027-06-30,28000000,Brazil,"Brazil, Russia",66.4,51.4,66.9,3.0,59.2,True,0.0,45.1,6,62.0,3.6,1.8,5.2,True,False,sim,True,False
Exterior,Arabia Saudita A,CA,R. Martínez,Al Taawon,31.0,2989,2026-06-30,1800000,Colombia,Colombia,66.9,51.9,44.8,8.0,48.4,True,0.0,52.5,6,54.7,2.1,3.3,10.2,True,True,sim,True,True
Exterior,Arabia Saudita A,CA,J. Quiñones,Al Qadisiyah,29.0,2982,2029-06-30,10000000,Colombia,"Colombia, Mexico",82.6,67.6,47.4,5.0,57.5,True,0.0,60.0,6,65.9,2.9,4.5,5.3,True,True,sim,False,False
