treinador,passagens,clubes,jogos,anos,ppj,rendimento_medio,rendimento_pior,clubes_com_rendimento_positivo,posto_valor_medio,acessos,temporadas_inteiras,g4_ao_sair,xg_sof,dist_rem,clubes_lista
Guto Ferreira,6,6,119,2019–2026,1.74,0.28,-0.32,4,4.8,0,1,4,1.11,20.6,"Sport 2019 (38j, 1.79), Bahia 2022 (14j, 1.79), Ceará 2023 (11j, 1.27), Cuiabá 2025 (21j, 1.48), Remo 2025 (10j, 2.30), Vila Nova 2026 (25j, 1.84)"
Mozart,10,7,222,2020–2026,1.63,0.23,-0.26,4,7.4,2,2,2,1.09,19.6,"CSA 2020 (22j, 1.86), CSA 2021 (17j, 2.00), Cruzeiro 2021 (13j, 1.00), CSA 2022 (12j, 1.08), Guarani 2022 (23j, 1.65), Mirassol 2023 (35j, 1.63), Mirassol 2024 (38j, 1.76), Coritiba 2025 (38j, 1.79), Ceará 2026 (11j, 1.18), Goiás 2026 (13j, 1.38)"
Léo Condé,4,3,132,2020–2024,1.67,0.46,0.3,3,10.3,1,2,2,1.15,20.4,"Sampaio Corrêa 2020 (31j, 1.45), Sampaio Corrêa 2022 (38j, 1.53), Vitória 2023 (38j, 1.89), Ceará 2024 (25j, 1.80)"
Enderson Moreira,6,5,122,2022–2026,1.52,0.12,-0.76,3,7.2,0,1,2,1.06,19.3,"Bahia 2022 (17j, 1.41), Sport 2023 (37j, 1.62), Avaí 2024 (19j, 1.47), América-MG 2025 (11j, 0.73), Novorizontino 2025 (15j, 1.60), Novorizontino 2026 (23j, 1.83)"
Gilmar Dal Pozzo,8,4,128,2018–2026,1.42,0.12,-0.48,3,9.0,1,1,1,1.22,20.6,"Brasil de Pelotas 2018 (12j, 1.00), Chapecoense 2022 (11j, 1.45), Sport 2022 (14j, 1.50), Chapecoense 2023 (11j, 0.91), Avaí 2024 (16j, 1.50), Chapecoense 2024 (15j, 1.60), Chapecoense 2025 (38j, 1.63), Sport 2026 (11j, 1.18)"
Thiago Carpini,3,3,72,2019–2026,1.72,0.36,0.07,2,3.0,0,0,1,1.16,20.1,"Guarani 2019 (21j, 1.48), Juventude 2023 (32j, 1.94), Fortaleza 2026 (19j, 1.63)"
Eduardo Baptista,5,3,152,2018–2026,1.66,0.34,0.31,2,9.9,0,2,2,1.1,20.5,"Coritiba 2018 (18j, 1.44), Novorizontino 2023 (38j, 1.66), Novorizontino 2024 (38j, 1.68), Criciúma 2025 (32j, 1.75), Criciúma 2026 (26j, 1.69)"
Claudio Tencati,6,4,160,2018–2026,1.43,0.26,0.0,2,14.7,1,2,1,1.2,20.0,"Atlético-GO 2018 (31j, 1.45), Brasil de Pelotas 2020 (12j, 1.75), Brasil de Pelotas 2021 (14j, 0.86), Criciúma 2022 (38j, 1.47), Criciúma 2023 (38j, 1.68), Botafogo-SP 2026 (27j, 1.15)"
Adilson Batista,2,2,50,2022–2023,1.4,0.21,0.16,2,15.5,0,1,0,1.15,21.7,"Londrina 2022 (37j, 1.41), Botafogo-SP 2023 (13j, 1.38)"
Jair Ventura,2,2,46,2023–2025,1.61,0.21,0.03,2,8.5,0,0,1,1.21,19.1,"Atlético-GO 2023 (19j, 1.95), Avaí 2025 (27j, 1.37)"
