ano,clube,jogador,posicao,setor,idade,minutos,jogos,fatia,sc_player_id,matches,minutes_played,minutos_sc,psv99,psv99_top5,distance_p90,m_per_min,running_distance_p90,hsr_distance_p90,hsr_count_p90,sprint_distance_p90,sprint_count_p90,hi_distance_p90,hi_count_p90,high_accel_p90,high_decel_p90,medium_accel_p90,medium_decel_p90,expl_accel_sprint_p90,expl_accel_hsr_p90,cod_count_p90,minutes_tip,distance_p30tip,m_per_min_tip,running_distance_p30tip,hsr_distance_p30tip,hsr_count_p30tip,sprint_distance_p30tip,sprint_count_p30tip,hi_distance_p30tip,hi_count_p30tip,high_accel_p30tip,high_decel_p30tip,medium_accel_p30tip,medium_decel_p30tip,expl_accel_sprint_p30tip,expl_accel_hsr_p30tip,cod_count_p30tip,minutes_otip,distance_p30otip,m_per_min_otip,running_distance_p30otip,hsr_distance_p30otip,hsr_count_p30otip,sprint_distance_p30otip,sprint_count_p30otip,hi_distance_p30otip,hi_count_p30otip,high_accel_p30otip,high_decel_p30otip,medium_accel_p30otip,medium_decel_p30otip,expl_accel_sprint_p30otip,expl_accel_hsr_p30otip,cod_count_p30otip,peak_velocity,peak_velocity_top3,runs_total,runs_p30tip,runs_avg_distance,runs_above_hsr_p30tip,runs_penalty_area_p30tip,runs_targeted_p30tip,runs_received_p30tip,runs_dangerous_p30tip,runs_dangerous_targeted_p30tip,runs_dangerous_received_p30tip,runs_shot_within_10s_p30tip,runs_goal_within_10s_p30tip
2022,Bahia,Marcelo Ryan,CF,Atacante,20.0,54,3,0.014555256064690027,35615,3.0,17.81,53.42999999999999,32.47,32.47,9956.14,110.62,1155.46,601.31,69.06,416.03,15.16,1017.34,84.22,15.16,26.95,117.9,87.59,6.74,13.47,45.48,4.61,4134.14,137.8,560.19,323.52,36.91,301.81,10.86,625.33,47.77,6.51,10.86,47.77,30.4,4.34,6.51,26.06,4.57,4724.18,157.47,780.8,393.68,43.74,196.84,4.37,590.52,48.12,2.19,15.31,54.68,39.37,0.0,2.19,26.25,,,9.0,34.39,15.29,19.11,19.11,11.46,3.82,30.57,11.46,3.82,3.82,0.0
2022,Bahia,Matheus Davó,CF,Atacante,23.0,2214,36,0.5967654986522911,32994,36.0,61.62,2218.3199999999997,31.03,33.7,9334.23,103.71,1104.94,560.77,64.92,310.19,15.95,870.96,80.86,10.27,21.54,95.19,74.78,2.8,7.83,37.9,15.42,4076.78,135.89,651.17,378.39,43.5,242.08,10.74,620.47,54.24,5.48,7.7,53.37,32.27,1.63,4.01,25.01,15.23,4162.18,138.74,633.73,302.23,34.43,135.8,7.52,438.03,41.95,2.75,7.52,36.19,27.57,0.77,1.98,21.25,,,568.0,34.43,13.83,12.12,9.28,13.34,6.91,21.7,7.4,2.85,1.58,0.18
2022,Bahia,Ricardo Goulart,"CF, AMF",Atacante,31.0,1019,16,0.2746630727762803,31919,16.0,63.59,1017.44,26.38,27.52,9592.38,106.58,1459.97,565.82,49.0,100.57,6.72,666.39,55.72,6.99,17.16,101.98,86.06,0.62,3.45,31.05,17.53,4226.92,140.9,825.23,325.07,26.85,55.41,2.78,380.47,29.63,2.89,5.46,48.99,34.01,0.0,0.64,16.15,13.52,4542.78,151.43,959.43,397.2,33.98,77.53,4.58,474.72,38.55,2.91,7.35,48.54,36.89,0.42,1.25,23.85,,,325.0,38.24,13.0,6.94,9.77,11.06,6.59,18.94,6.12,2.24,0.82,0.12
2022,Bahia,Ytalo,CF,Atacante,34.0,90,4,0.02425876010781671,11053,3.0,24.18,72.53999999999999,26.43,26.43,9600.41,106.67,1375.74,590.49,53.34,84.36,7.44,674.84,60.79,8.68,17.37,105.44,89.32,0.0,2.48,31.01,4.76,4255.31,141.84,867.44,426.37,37.81,88.21,4.2,514.59,42.01,6.3,8.4,65.11,35.71,0.0,2.1,14.7,6.91,4342.28,144.74,826.21,347.27,31.83,26.05,1.45,373.31,33.28,1.45,5.79,40.51,39.07,0.0,0.0,21.7,,,16.0,33.54,15.11,12.58,10.48,10.48,0.0,27.25,10.48,0.0,0.0,0.0
2022,Bahia,Caio Vidal,"RAMF, RCMF, RW",Extremo,21.0,442,8,0.11913746630727763,34645,8.0,55.19,441.52,30.64,32.66,9287.14,103.19,1090.31,542.61,61.35,298.01,14.06,840.62,75.42,8.76,18.14,96.21,75.22,4.08,6.93,34.86,14.84,4063.14,135.44,627.88,352.47,40.17,223.61,10.61,576.08,50.79,4.55,5.81,50.53,30.57,1.77,3.54,24.26,10.21,4453.73,148.46,778.82,371.97,37.82,138.43,6.24,510.4,44.06,3.67,8.81,44.43,30.48,0.73,2.2,22.03,,,122.0,30.8,14.54,13.38,6.06,8.84,6.82,12.37,3.03,2.52,1.77,0.0
2022,Bahia,Everton Moraes,"RW, CF, RAMF",Extremo,20.0,161,7,0.04339622641509434,177448,7.0,23.19,162.33,30.13,30.92,10626.99,118.08,1513.86,726.43,74.31,316.64,17.19,1043.07,91.5,10.54,26.06,115.34,87.62,2.22,6.65,57.67,5.4,4734.42,157.81,825.03,472.81,45.22,294.31,9.52,767.12,54.74,5.55,11.11,54.74,33.32,1.59,2.38,38.87,5.09,4901.82,163.39,960.17,421.6,47.97,156.52,10.1,578.12,58.06,3.37,10.1,53.86,35.34,0.0,2.52,32.82,,,39.0,41.49,14.68,17.02,7.45,17.02,11.7,19.15,6.38,3.19,2.13,1.06
2022,Bahia,Igor Torres,"RW, LW",Extremo,22.0,286,8,0.07708894878706199,32910,8.0,35.81,286.48,27.11,27.86,10468.9,116.32,1552.77,790.05,69.42,138.53,10.99,928.59,80.42,6.91,18.22,101.15,78.53,0.94,3.14,38.95,9.57,4264.28,142.14,789.35,477.86,36.88,73.76,5.21,551.63,42.09,4.01,6.01,48.51,29.67,0.8,1.2,18.84,8.35,4863.77,162.13,1016.32,488.62,43.11,84.43,6.29,573.05,49.4,2.25,8.08,49.85,32.78,0.0,0.9,28.29,,,53.0,35.51,16.1,14.07,6.7,10.05,8.04,16.08,3.35,3.35,3.35,0.0
2022,Bahia,J. Copete,"LW, LB",Extremo,34.0,617,14,0.16630727762803235,31898,13.0,47.24,614.12,28.94,30.7,10059.35,111.77,1403.34,623.56,59.65,196.52,11.28,820.08,70.93,7.33,18.03,104.2,87.34,1.61,5.13,33.56,13.84,4087.39,136.25,715.33,375.84,36.02,133.4,7.5,509.24,43.52,3.17,5.84,52.36,32.85,0.83,2.5,19.51,11.25,4356.64,145.22,826.76,324.69,31.33,84.02,3.53,408.71,34.85,2.49,5.39,41.08,32.16,0.21,0.83,19.29,,,169.0,38.42,13.77,14.09,11.37,12.28,7.05,19.1,6.59,2.96,1.36,0.23
2022,Bahia,M. Antônio,"RAMF, LAMF, RW",Extremo,24.0,881,15,0.23746630727762802,28243,14.0,57.28,801.9200000000001,28.64,30.64,9527.52,105.86,1235.9,526.43,53.98,221.53,11.67,747.96,65.65,6.85,16.5,94.04,76.98,1.46,4.49,31.31,15.1,4105.75,136.86,725.79,394.1,38.02,185.99,8.51,580.09,46.53,3.97,5.67,52.49,30.93,1.13,2.55,21.56,13.93,4092.97,136.43,682.37,226.48,23.08,79.08,4.15,305.56,27.23,2.0,5.69,37.08,27.23,0.0,0.92,15.54,,,252.0,39.22,14.34,13.69,5.91,15.09,11.83,15.25,4.67,3.11,2.49,0.47
2022,Bahia,Raí,"RW, RAMF",Extremo,24.0,892,19,0.24043126684636118,32129,18.0,44.04,792.72,29.98,31.58,10372.07,115.25,1382.67,649.44,70.17,335.73,15.9,985.17,86.06,9.31,20.89,107.86,86.18,3.18,7.49,41.21,10.05,4480.89,149.36,796.41,518.64,56.32,332.41,13.58,851.05,69.9,6.37,8.38,60.01,33.02,2.68,5.36,29.17,12.24,4527.24,150.91,785.44,279.79,27.24,94.94,4.77,374.74,32.01,2.04,5.18,41.82,31.06,0.68,1.5,21.11,,,265.0,43.92,16.1,18.56,9.12,17.9,10.44,20.39,7.96,2.98,1.66,0.0
