ano,clube,indicador,queda,n_jog,faixa,rendimento,pontos
2022,Bahia,hsr_distance_p90,30.8,17,Sobe,0.16512566879886736,62
2022,Bahia,sprint_distance_p90,1.7,17,Sobe,0.16512566879886736,62
2022,Bahia,distance_p90,184.1,17,Sobe,0.16512566879886736,62
2022,Brusque,hsr_distance_p90,-35.8,33,Cai,-0.15078874981208978,34
2022,Brusque,sprint_distance_p90,-14.5,33,Cai,-0.15078874981208978,34
2022,Brusque,distance_p90,-53.6,33,Cai,-0.15078874981208978,34
2022,CSA,hsr_distance_p90,-31.2,16,Cai,-0.2412591642698685,42
2022,CSA,sprint_distance_p90,2.6,16,Cai,-0.2412591642698685,42
2022,CSA,distance_p90,-143.7,16,Cai,-0.2412591642698685,42
2022,Chapecoense,hsr_distance_p90,-19.2,18,Meio,-0.16469053487358654,45
2022,Chapecoense,sprint_distance_p90,3.9,18,Meio,-0.16469053487358654,45
2022,Chapecoense,distance_p90,-68.8,18,Meio,-0.16469053487358654,45
2022,Criciúma,hsr_distance_p90,-51.2,17,Meio,0.3122380378239036,56
2022,Criciúma,sprint_distance_p90,-19.1,17,Meio,0.3122380378239036,56
2022,Criciúma,distance_p90,-125.8,17,Meio,0.3122380378239036,56
2022,Cruzeiro,hsr_distance_p90,-26.1,17,Sobe,0.5032450477868315,78
2022,Cruzeiro,sprint_distance_p90,-27.4,17,Sobe,0.5032450477868315,78
2022,Cruzeiro,distance_p90,-139.3,17,Sobe,0.5032450477868315,78
2022,Grêmio,hsr_distance_p90,-7.4,17,Sobe,0.025855751827733586,65
2022,Grêmio,sprint_distance_p90,14.7,17,Sobe,0.025855751827733586,65
2022,Grêmio,distance_p90,-120.5,17,Sobe,0.025855751827733586,65
2022,Guarani,hsr_distance_p90,-25.3,17,Meio,0.053639264952930255,51
2022,Guarani,sprint_distance_p90,-5.3,17,Meio,0.053639264952930255,51
2022,Guarani,distance_p90,-63.2,17,Meio,0.053639264952930255,51
2022,Ituano,hsr_distance_p90,-33.8,17,Meio,0.3504136826485551,57
2022,Ituano,sprint_distance_p90,-4.0,17,Meio,0.3504136826485551,57
2022,Ituano,distance_p90,-167.2,17,Meio,0.3504136826485551,57
2022,Londrina,hsr_distance_p90,40.4,16,Meio,0.22893520831096859,52
2022,Londrina,sprint_distance_p90,14.2,16,Meio,0.22893520831096859,52
2022,Londrina,distance_p90,-70.4,16,Meio,0.22893520831096859,52
2022,Novorizontino,hsr_distance_p90,-19.7,22,Meio,-0.13704714893867997,44
2022,Novorizontino,sprint_distance_p90,2.6,22,Meio,-0.13704714893867997,44
2022,Novorizontino,distance_p90,-75.2,22,Meio,-0.13704714893867997,44
