id,indicador,nome,n,r,ic_baixo,ic_alto,p_boot,top_menos_fundo_ppj,top_menos_fundo_pts38
psv_amplitude,psv_amplitude,psv_amplitude,80,-0.332,-0.522,-0.129,0.001,-0.199,-7.6
psv_min,psv_min,psv_min,80,0.244,-0.002,0.48,0.026,0.144,5.5
psv_sd,psv_sd,psv_sd,80,-0.227,-0.456,0.016,0.0322,-0.109,-4.1
psv_media,psv_media,psv_media,80,0.196,0.011,0.381,0.02,0.123,4.7
spr_d_min,spr_d_min,spr_d_min,80,0.153,-0.113,0.402,0.1318,0.13,4.9
spr_d_media,spr_d_media,spr_d_media,80,0.153,-0.072,0.376,0.0882,0.08,3.0
hsr_media,hsr_media,hsr_media,80,0.1,-0.155,0.337,0.217,0.038,1.4
hsr_max,hsr_max,hsr_max,80,0.096,-0.149,0.348,0.2355,0.095,3.6
dist_min,dist_min,dist_min,80,-0.094,-0.294,0.106,0.1805,-0.038,-1.5
spr_d_amplitude,spr_d_amplitude,spr_d_amplitude,80,-0.09,-0.308,0.128,0.203,-0.121,-4.6
spr_d_sd,spr_d_sd,spr_d_sd,80,-0.079,-0.304,0.177,0.2595,-0.078,-3.0
psv_max,psv_max,psv_max,80,-0.074,-0.301,0.172,0.2755,-0.118,-4.5
dist_media,dist_media,dist_media,80,0.059,-0.186,0.292,0.3302,0.029,1.1
dist_amplitude,dist_amplitude,dist_amplitude,80,0.047,-0.163,0.252,0.3372,0.048,1.8
hsr_sd,hsr_sd,hsr_sd,80,-0.033,-0.311,0.25,0.415,-0.039,-1.5
hsr_min,hsr_min,hsr_min,80,0.027,-0.202,0.258,0.4168,-0.066,-2.5
hsr_amplitude,hsr_amplitude,hsr_amplitude,80,0.022,-0.237,0.285,0.426,-0.054,-2.0
spr_d_max,spr_d_max,spr_d_max,80,0.017,-0.203,0.236,0.4418,-0.052,-2.0
dist_sd,dist_sd,dist_sd,80,0.008,-0.195,0.214,0.4688,0.034,1.3
dist_max,dist_max,dist_max,80,-0.004,-0.246,0.237,0.473,-0.027,-1.0
