ano,clube,distance_p90,hsr_distance_p90,sprint_distance_p90,sprint_count_p90,hi_count_p90,high_accel_p90,high_decel_p90,expl_accel_sprint_p90,cod_count_p90,psv99,psv99_top5,sprint_distance_p30tip,sprint_distance_p30otip,hsr_distance_p30tip,hsr_distance_p30otip,runs_p30tip,runs_penalty_area_p30tip,runs_dangerous_p30tip,distance_p90_pct,hsr_distance_p90_pct,sprint_distance_p90_pct,sprint_count_p90_pct,hi_count_p90_pct,high_accel_p90_pct,high_decel_p90_pct,expl_accel_sprint_p90_pct,cod_count_p90_pct,psv99_pct,psv99_top5_pct,sprint_distance_p30tip_pct,sprint_distance_p30otip_pct,hsr_distance_p30tip_pct,hsr_distance_p30otip_pct,runs_p30tip_pct,runs_penalty_area_p30tip_pct,runs_dangerous_p30tip_pct,pos,pontos,faixa,posto_valor,rendimento
2022,Cruzeiro,9723.262696110758,536.6441744468138,197.0692123976281,10.335457928239647,61.99089616804932,7.047301999225994,16.440192455644397,1.6284363060359128,32.78334341134325,28.835659160504466,31.03499466357892,101.0319663807211,146.804461390784,255.1486161665491,424.6099305598013,23.848567306083282,4.662577248309459,9.880950726930601,70.0,90.0,100.0,95.0,95.0,90.0,90.0,95.0,70.0,65.0,80.0,55.0,100.0,55.0,100.0,55.0,100.0,95.0,1,78,Sobe,3.0,0.5032450477868315
2022,Grêmio,9983.433933324992,538.8786778451117,190.6856733685298,10.590485890238458,64.52966838023234,6.916751118319458,16.01484115960776,1.694786778988026,38.06873901969506,28.890682836713175,30.856816501443255,122.46585810652026,101.91366230159666,297.70304644634405,332.81434195815666,31.000851298101367,4.563582281507987,11.33111935197564,95.0,95.0,95.0,100.0,100.0,80.0,65.0,100.0,100.0,80.0,65.0,95.0,75.0,100.0,70.0,100.0,95.0,100.0,2,65,Sobe,1.0,0.025855751827733586
2022,Bahia,9563.164379393302,489.24669733382893,173.4629427814061,9.468412519962587,58.247564761830866,6.613475236181397,16.321566612071628,1.5100251634107063,31.362349462014244,28.903832520534408,31.046036253963592,107.82825604936154,103.1553914368842,259.5492977866546,334.20084521217865,23.843725845780597,3.3689205431185067,7.756642197606803,30.0,50.0,65.0,80.0,75.0,45.0,80.0,90.0,45.0,90.0,85.0,80.0,80.0,60.0,75.0,50.0,80.0,60.0,3,62,Sobe,4.0,0.16512566879886736
2022,Vasco,9865.902923233381,547.0510687768143,174.60960203603116,8.979026384500905,56.247832925780166,6.510459816497864,14.938277804637877,1.3430885126407381,31.713094885413646,28.919171728495453,31.1729363685021,103.74279715597565,121.56201160705227,285.6873717254137,402.5251546633027,22.177067617250454,2.5264277432017224,7.284658110742794,85.0,100.0,70.0,70.0,65.0,35.0,35.0,55.0,50.0,95.0,100.0,70.0,90.0,90.0,90.0,30.0,20.0,35.0,4,62,Sobe,2.0,0.0703163200791106
2022,Sampaio Corrêa,9216.726943411435,432.15475524992746,164.79521760011988,8.07502533155822,48.96057594332036,6.32369337865431,14.408632509274456,1.197933367311147,25.241675283853628,28.873389057593688,31.16962535261671,103.60569258863784,77.22942846539786,242.71372662975617,244.5851614656711,19.82156182960837,3.1768133720137794,7.2562322803440935,5.0,5.0,60.0,15.0,5.0,15.0,5.0,30.0,5.0,75.0,95.0,65.0,10.0,25.0,5.0,5.0,55.0,30.0,5,58,Meio,18.0,0.4733855144264345
2022,Ituano,9670.28919716627,503.93530929612444,182.00536271283272,9.577544426919767,59.23864532786588,7.1548824922262,16.792555789045828,1.4593648548296705,33.656594224787,28.782005192964064,30.90029127937075,134.85679818824093,89.89627417672958,293.9590622888275,294.8612810489406,24.81332142440011,2.913383961789797,8.20481743301767,60.0,60.0,85.0,85.0,85.0,95.0,100.0,80.0,95.0,60.0,75.0,100.0,20.0,95.0,25.0,75.0,40.0,75.0,6,57,Meio,17.0,0.3504136826485551
2022,Sport,9468.133871035709,451.46828866789923,157.84060530646204,8.577424413360985,54.302434211069915,6.566956548130172,14.773670962870401,1.4473680233034834,30.22716595787144,28.69302812129964,30.634552702648588,87.37431003535819,96.97932397079562,228.18384920299462,301.518410985129,23.203479740702345,3.0238240810715133,7.502968496059624,20.0,15.0,40.0,60.0,35.0,40.0,20.0,75.0,20.0,55.0,45.0,25.0,60.0,10.0,30.0,45.0,45.0,45.0,7,57,Meio,6.0,0.10876017669562454
2022,Criciúma,9780.236624810459,507.33937312819245,149.42722218511278,8.208629448815289,55.91309645901844,6.871751058344732,16.370534075650955,1.2352321678714324,33.5689393415755,28.193795055281754,30.319125966498902,83.48002247863224,90.23605152789193,255.13368745730398,342.75857682442046,24.72378222510062,3.2863940285445716,9.042523144181741,75.0,70.0,15.0,25.0,60.0,70.0,85.0,40.0,90.0,5.0,15.0,10.0,30.0,50.0,80.0,70.0,75.0,90.0,8,56,Meio,16.0,0.3122380378239036
2022,Londrina,9513.46235264401,464.2437617901292,157.64842575531165,8.519266795695705,54.842126763679175,6.700057876811142,15.633080649467225,1.4204223059687422,31.06722286722219,28.686943897202003,30.792512181023188,92.74520365206861,93.4732785488187,255.0741462108367,288.19976022230554,22.47299617664909,2.821331533621282,7.740934685322793,25.0,25.0,30.0,55.0,40.0,55.0,55.0,70.0,40.0,50.0,60.0,50.0,45.0,45.0,15.0,35.0,35.0,55.0,9,52,Meio,15.0,0.22893520831096859
2022,Guarani,9629.286814600797,511.3569128042502,186.56501298159898,9.254851810004888,58.12818844066008,6.4371550096703585,15.107948069107582,1.2479882921521381,30.42831135475608,28.8636323811567,30.78370129090151,113.87223936758224,111.94658348851087,281.2893092453266,330.96148438257757,24.99863392276173,3.0369048810426897,6.739917655809698,45.0,75.0,90.0,75.0,70.0,25.0,45.0,45.0,35.0,70.0,55.0,90.0,85.0,85.0,65.0,80.0,50.0,25.0,10,51,Meio,12.0,0.053639264952930255
