posicao,indicador,qtd_jogadores_liga,liga_p25,liga_mediana,liga_p75,titulares_mediana,qtd_titulares,ref_mediana,qtd_titulares_referencia,outros_titulares_mediana,ref_vs_outros_pct
LD,Distância/90 (m),205,9396.59,9663.83,9895.68,9602.03,30,9685.03,7,9543.96,1.48
LD,Alta velocidade/90 (m),205,505.75,546.89,609.57,541.87,30,543.5,7,514.2,5.7
LD,Sprint/90 (m),205,170.71,206.34,240.34,201.92,30,215.23,7,188.29,14.31
LD,Sprints/90,205,8.96,10.61,12.35,10.32,30,10.76,7,10.02,7.39
LD,Ações alta intensidade/90,205,57.57,63.4,69.22,61.13,30,62.22,7,58.77,5.87
LD,Acelerações fortes/90,205,6.79,7.7,8.56,7.57,30,7.5,7,7.64,-1.83
LD,Desacelerações fortes/90,205,15.73,17.4,19.3,16.81,30,16.13,7,17.52,-7.93
LD,Arrancadas explosivas/90,205,1.18,1.7,2.28,1.74,30,1.77,7,1.68,5.36
LD,Mudanças de direção/90,205,26.63,30.27,33.87,29.77,30,28.32,7,30.27,-6.44
LD,PSV-99 (km/h),205,28.38,29.11,29.72,29.42,30,30.11,7,29.18,3.19
LD,PSV-99 top5 (km/h),205,29.58,30.78,31.72,31.73,30,32.48,7,31.6,2.78
LD,Sprint/30min com bola (m),205,94.54,127.39,152.24,123.11,30,144.33,7,120.02,20.25
LD,Sprint/30min sem bola (m),205,93.95,117.17,135.97,117.54,30,116.61,7,118.46,-1.56
LD,Alta vel./30min com bola (m),205,259.55,308.8,346.58,282.44,30,293.2,7,275.08,6.59
LD,Alta vel./30min sem bola (m),205,310.3,348.03,391.86,335.79,30,353.0,7,329.78,7.04
LD,Corridas sem bola/30min posse,204,21.72,25.84,28.74,25.0,30,24.73,7,25.15,-1.67
LD,Corridas p/ área/30min posse,204,0.84,1.31,1.98,1.28,30,1.13,7,1.31,-13.74
LD,Corridas perigosas/30min posse,204,2.4,3.42,4.59,3.06,30,3.4,7,3.06,11.11
ZD,Distância/90 (m),176,8651.38,8850.77,9021.03,8787.53,43,8740.57,17,8807.19,-0.76
ZD,Alta velocidade/90 (m),176,281.09,313.72,358.18,295.48,43,295.48,17,297.33,-0.62
ZD,Sprint/90 (m),176,83.23,98.68,129.54,94.24,43,98.48,17,88.56,11.21
ZD,Sprints/90,176,4.18,5.36,6.76,4.69,43,5.27,17,4.64,13.58
ZD,Ações alta intensidade/90,176,30.82,35.83,41.66,33.12,43,34.11,17,32.5,4.95
ZD,Acelerações fortes/90,176,4.5,5.01,5.6,4.76,43,4.57,17,4.81,-4.99
ZD,Desacelerações fortes/90,176,9.04,10.26,11.71,9.68,43,9.09,17,9.98,-8.96
ZD,Arrancadas explosivas/90,176,0.48,0.76,1.19,0.75,43,0.97,17,0.7,37.59
ZD,Mudanças de direção/90,176,16.82,18.2,21.27,17.84,43,17.84,17,17.73,0.62
ZD,PSV-99 (km/h),176,27.84,28.6,29.34,28.7,43,28.82,17,28.65,0.59
ZD,PSV-99 top5 (km/h),176,29.54,30.45,31.47,31.38,43,31.62,17,31.05,1.84
ZD,Sprint/30min com bola (m),176,21.2,29.62,38.92,27.43,43,36.49,17,24.44,49.3
