setor,id,nome,unidade,n_ref,n_outros,ref_p25,ref_p50,ref_p75,outros_p50,dif_mediana_pct
Atacante,dist,Distância por 90,m,10,18,9130.69,9399.1,9662.16,9148.06,2.7
Atacante,hsr,Alta velocidade por 90,m,10,18,487.28,528.14,547.65,459.48,14.9
Atacante,spr_d,Sprint por 90,m,10,18,144.12,181.78,226.64,120.06,51.4
Atacante,spr_n,Sprints por 90,n,10,18,8.61,10.41,11.99,6.96,49.5
Atacante,hi_n,Ações de alta intensidade por 90,n,10,18,56.55,62.12,68.05,49.98,24.3
Atacante,acc,Acelerações fortes por 90,n,10,18,7.2,7.56,8.35,7.12,6.0
Atacante,expl,Arrancadas explosivas por 90,n,10,18,1.24,1.59,1.77,1.18,34.2
Atacante,psv,Velocidade de pico (PSV-99),km/h,10,18,28.24,28.72,29.72,27.76,3.5
Atacante,spr_otip,Sprint por 30 min SEM a bola,m,10,18,75.32,85.67,121.04,64.09,33.7
Atacante,spr_tip,Sprint por 30 min COM a bola,m,10,18,98.48,114.13,143.44,79.22,44.1
Atacante,hsr_otip,Alta velocidade por 30 min SEM a bola,m,10,18,272.36,300.46,332.6,294.18,2.1
Atacante,hsr_tip,Alta velocidade por 30 min COM a bola,m,10,18,294.83,307.91,324.9,282.22,9.1
Atacante,runs,Corridas sem bola por 30 min com posse,n,10,18,30.4,31.48,33.18,28.65,9.9
Atacante,runs_area,Corridas para a área por 30 min com posse,n,10,18,8.72,9.66,11.56,7.53,28.3
Atacante,runs_per,Corridas perigosas por 30 min com posse,n,10,18,18.85,21.48,23.33,15.23,41.0
Atacante,cod,Mudanças de direção por 90,n,10,18,30.14,38.84,40.37,29.54,31.5
Atacante,t_spr,PSV-99 média dos 5 melhores jogos,km/h,10,18,30.2,31.14,32.05,30.18,3.2
Extremo,dist,Distância por 90,m,17,29,9457.9,9713.95,10167.84,9537.9,1.8
Extremo,hsr,Alta velocidade por 90,m,17,29,535.69,585.6,637.3,546.54,7.1
Extremo,spr_d,Sprint por 90,m,17,29,170.96,193.8,234.37,220.78,-12.2
Extremo,spr_n,Sprints por 90,n,17,29,9.36,10.33,12.55,12.06,-14.3
Extremo,hi_n,Ações de alta intensidade por 90,n,17,29,61.51,65.76,70.88,69.97,-6.0
Extremo,acc,Acelerações fortes por 90,n,17,29,6.65,7.02,7.86,8.08,-13.1
Extremo,expl,Arrancadas explosivas por 90,n,17,29,1.12,1.52,1.86,1.88,-19.1
Extremo,psv,Velocidade de pico (PSV-99),km/h,17,29,28.27,29.16,29.89,29.83,-2.2
Extremo,spr_otip,Sprint por 30 min SEM a bola,m,17,29,68.42,86.88,100.9,103.6,-16.1
Extremo,spr_tip,Sprint por 30 min COM a bola,m,17,29,121.91,143.26,191.45,157.14,-8.8
Extremo,hsr_otip,Alta velocidade por 30 min SEM a bola,m,17,29,268.93,302.63,403.41,310.99,-2.7
Extremo,hsr_tip,Alta velocidade por 30 min COM a bola,m,17,29,362.81,378.94,388.1,356.47,6.3
Extremo,runs,Corridas sem bola por 30 min com posse,n,17,29,29.91,32.31,36.36,32.03,0.9
Extremo,runs_area,Corridas para a área por 30 min com posse,n,17,29,3.58,5.72,6.36,4.26,34.3
Extremo,runs_per,Corridas perigosas por 30 min com posse,n,17,29,9.04,13.91,14.86,10.8,28.8
Extremo,cod,Mudanças de direção por 90,n,17,29,35.41,35.93,41.63,35.74,0.5
Extremo,t_spr,PSV-99 média dos 5 melhores jogos,km/h,17,29,30.66,31.44,32.16,32.0,-1.7
Lateral,dist,Distância por 90,m,19,53,9381.38,9637.12,9806.4,9441.31,2.1
Lateral,hsr,Alta velocidade por 90,m,19,53,512.04,543.5,591.52,512.33,6.1
Lateral,spr_d,Sprint por 90,m,19,53,174.33,195.01,216.26,191.95,1.6
Lateral,spr_n,Sprints por 90,n,19,53,9.31,10.41,11.19,9.92,4.9
Lateral,hi_n,Ações de alta intensidade por 90,n,19,53,56.44,60.27,66.6,58.84,2.4
