setor,id,nome,n,n_ref,r,ic_baixo,ic_alto,p_boot
Atacante,dist,Distância por 90,28,10,0.189,-0.157,0.461,0.1175
Atacante,hsr,Alta velocidade por 90,28,10,0.068,-0.314,0.415,0.3835
Atacante,spr_d,Sprint por 90,28,10,0.28,-0.074,0.638,0.0595
Atacante,spr_n,Sprints por 90,28,10,0.219,-0.147,0.554,0.12
Atacante,hi_n,Ações de alta intensidade por 90,28,10,0.166,-0.193,0.499,0.1925
Atacante,acc,Acelerações fortes por 90,28,10,-0.034,-0.401,0.389,0.435
Atacante,expl,Arrancadas explosivas por 90,28,10,0.116,-0.254,0.502,0.284
Atacante,psv,Velocidade de pico (PSV-99),28,10,0.23,-0.111,0.561,0.098
Atacante,spr_otip,Sprint por 30 min SEM a bola,28,10,0.169,-0.208,0.517,0.1825
Atacante,spr_tip,Sprint por 30 min COM a bola,28,10,0.256,-0.107,0.618,0.0895
Atacante,hsr_otip,Alta velocidade por 30 min SEM a bola,28,10,-0.129,-0.516,0.22,0.2385
Atacante,hsr_tip,Alta velocidade por 30 min COM a bola,28,10,0.17,-0.219,0.535,0.205
Atacante,runs,Corridas sem bola por 30 min com posse,28,10,0.197,-0.127,0.47,0.1145
Atacante,runs_area,Corridas para a área por 30 min com posse,28,10,0.404,0.115,0.647,0.0055
Atacante,runs_per,Corridas perigosas por 30 min com posse,28,10,0.365,-0.002,0.648,0.0255
Atacante,cod,Mudanças de direção por 90,28,10,0.299,0.001,0.555,0.025
Atacante,t_spr,PSV-99 média dos 5 melhores jogos,28,10,0.247,-0.077,0.519,0.061
Extremo,dist,Distância por 90,46,17,-0.142,-0.418,0.157,0.164
Extremo,hsr,Alta velocidade por 90,46,17,0.01,-0.273,0.309,0.48
Extremo,spr_d,Sprint por 90,46,17,-0.166,-0.35,0.078,0.072
Extremo,spr_n,Sprints por 90,46,17,-0.176,-0.354,0.056,0.0605
Extremo,hi_n,Ações de alta intensidade por 90,46,17,-0.14,-0.403,0.194,0.1985
Extremo,acc,Acelerações fortes por 90,46,17,-0.143,-0.423,0.169,0.2015
Extremo,expl,Arrancadas explosivas por 90,46,17,-0.098,-0.321,0.157,0.2415
Extremo,psv,Velocidade de pico (PSV-99),46,17,-0.194,-0.424,0.099,0.077
Extremo,spr_otip,Sprint por 30 min SEM a bola,46,17,-0.389,-0.577,-0.191,0.0005
Extremo,spr_tip,Sprint por 30 min COM a bola,46,17,-0.044,-0.296,0.225,0.355
Extremo,hsr_otip,Alta velocidade por 30 min SEM a bola,46,17,-0.122,-0.349,0.122,0.1695
Extremo,hsr_tip,Alta velocidade por 30 min COM a bola,46,17,-0.002,-0.317,0.306,0.4755
Extremo,runs,Corridas sem bola por 30 min com posse,46,17,-0.058,-0.29,0.197,0.3025
Extremo,runs_area,Corridas para a área por 30 min com posse,46,17,0.12,-0.192,0.389,0.23
Extremo,runs_per,Corridas perigosas por 30 min com posse,46,17,0.056,-0.248,0.336,0.3795
Extremo,cod,Mudanças de direção por 90,46,17,-0.111,-0.328,0.145,0.2015
Extremo,t_spr,PSV-99 média dos 5 melhores jogos,46,17,-0.051,-0.318,0.248,0.3475
Lateral,dist,Distância por 90,72,19,0.143,-0.142,0.396,0.1585
Lateral,hsr,Alta velocidade por 90,72,19,0.215,0.004,0.398,0.023
