id,indicador,nome,n,r,ic_baixo,ic_alto,p_boot,top_menos_fundo_ppj,top_menos_fundo_pts38
runs_area,runs_area,Corridas para a área por 30 min com posse,80,0.238,0.009,0.433,0.0208,0.157,6.0
spr_d,spr_d,Sprint por 90,80,0.207,-0.054,0.426,0.0538,0.122,4.6
spr_n,spr_n,Sprints por 90,80,0.207,-0.051,0.427,0.056,0.142,5.4
hi_n,hi_n,Ações de alta intensidade por 90,80,0.173,-0.085,0.398,0.0965,0.123,4.7
runs_per,runs_per,Corridas perigosas por 30 min com posse,80,0.169,-0.08,0.374,0.094,0.137,5.2
psv,psv,Velocidade de pico (PSV-99),80,0.148,-0.075,0.366,0.089,0.082,3.1
spr_tip,spr_tip,Sprint por 30 min COM a bola,80,0.128,-0.107,0.355,0.1455,0.102,3.9
hsr,hsr,Alta velocidade por 90,80,0.121,-0.162,0.368,0.193,0.036,1.4
hsr_tip,hsr_tip,Alta velocidade por 30 min COM a bola,80,0.118,-0.13,0.337,0.1758,0.073,2.8
expl,expl,Arrancadas explosivas por 90,80,0.088,-0.102,0.278,0.195,0.077,2.9
spr_otip,spr_otip,Sprint por 30 min SEM a bola,80,0.074,-0.13,0.276,0.2315,0.055,2.1
runs,runs,Corridas sem bola por 30 min com posse,80,-0.024,-0.3,0.224,0.415,-0.046,-1.8
dist,dist,Distância por 90,80,0.019,-0.251,0.277,0.4502,0.019,0.7
acc,acc,Acelerações fortes por 90,80,-0.003,-0.242,0.233,0.4935,0.023,0.9
hsr_otip,hsr_otip,Alta velocidade por 30 min SEM a bola,80,0.002,-0.24,0.224,0.4982,0.021,0.8
