id,indicador,nome,n,r,ic_baixo,ic_alto,p_boot,top_menos_fundo_ppj,top_menos_fundo_pts38
runs_area,runs_area,Corridas para a área por 30 min com posse,78,0.227,-0.011,0.436,0.032,0.164,6.2
spr_n,spr_n,Sprints por 90,78,0.205,-0.056,0.43,0.0552,0.156,5.9
spr_d,spr_d,Sprint por 90,78,0.202,-0.059,0.429,0.0622,0.095,3.6
hi_n,hi_n,Ações de alta intensidade por 90,78,0.171,-0.091,0.396,0.096,0.143,5.4
runs_per,runs_per,Corridas perigosas por 30 min com posse,78,0.162,-0.093,0.384,0.1128,0.123,4.7
psv,psv,Velocidade de pico (PSV-99),78,0.151,-0.069,0.372,0.088,0.117,4.5
spr_tip,spr_tip,Sprint por 30 min COM a bola,78,0.123,-0.112,0.347,0.1562,0.113,4.3
hsr,hsr,Alta velocidade por 90,78,0.115,-0.164,0.368,0.2152,0.03,1.2
hsr_tip,hsr_tip,Alta velocidade por 30 min COM a bola,78,0.11,-0.14,0.328,0.191,0.077,2.9
expl,expl,Arrancadas explosivas por 90,78,0.084,-0.111,0.284,0.2082,0.05,1.9
spr_otip,spr_otip,Sprint por 30 min SEM a bola,78,0.063,-0.142,0.276,0.2898,0.032,1.2
runs,runs,Corridas sem bola por 30 min com posse,78,-0.039,-0.31,0.21,0.3615,-0.041,-1.5
acc,acc,Acelerações fortes por 90,78,-0.017,-0.262,0.221,0.447,0.023,0.9
dist,dist,Distância por 90,78,0.016,-0.259,0.279,0.474,0.033,1.3
hsr_otip,hsr_otip,Alta velocidade por 30 min SEM a bola,78,0.001,-0.239,0.221,0.5152,0.021,0.8
