estilo,r_mesmo_treinador_outro_clube,n_pares,r_mesmo_clube_outro_treinador,n_pares_clube
Posse %,0.11,69,0.3,100
Passes por posse,0.15,69,0.3,100
% de passe longo,0.38,69,0.21,100
PPDA (maior = pressiona menos),0.26,69,0.18,100
Recuperações no campo de ataque,-0.02,69,0.22,100
Cruzamentos,0.22,69,0.42,100
Contra-ataques,0.23,69,-0.06,100
Ataques posicionais,0.05,69,0.3,100
Entradas na área,0.17,69,0.41,100
Distância média do remate (m),0.38,69,0.18,100
xG a favor,-0.07,69,0.12,100
xG sofrido,-0.01,69,0.28,100
Bolas paradas,0.0,69,-0.09,100
Duelos aéreos ganhos %,-0.02,69,0.02,100
Ações de alta intensidade/90 (físico),0.27,69,0.44,100
Sprints/90 (físico),0.15,69,0.42,100
Distância/90 (físico),0.32,69,0.43,100
