chave,kt,jogador,clube,liga,pos11,setor,tipo,psv99,psv99,sprint_count_p90,hi_count_p90,expl_accel_sprint_p90,distance_p90,runs_p30tip,tipo_pref
mikael,,Mikael,CRB,Série B,CA,Atacante,Baixa intensidade,29.65,29.65,10.33,57.11,1.59,9063.59,27.99,False
f carrizo,club libertad,F. Carrizo,Club Libertad,Paraguai,MEI,Meia,Médio em tudo,27.22,27.22,6.67,56.06,0.8,10584.52,45.0,True
danielzinho,,Danielzinho,CRB,Série B,MED,Meia,Médio em tudo,26.41,26.41,4.91,48.92,0.7,10486.98,38.15,True
romulo,,Rômulo,Novorizontino,Série B,MEI,Meia,Explosivo e rápido,30.05,30.05,12.09,71.21,1.54,10464.01,38.31,False
robson,,Robson,Novorizontino,Série B,CA,Atacante,Motor de volume,29.08,29.08,11.39,71.42,1.71,10183.51,42.98,True
rodinei,olympiacos piraeus,Rodinei,Olympiacos Piraeus,Grecia,LD,Lateral,Baixa intensidade,28.7,28.7,8.62,59.06,1.2,9297.8,,False
dada belmonte,,Dadá Belmonte,CRB,Série B,EE,Extremo,Baixa intensidade,29.76,29.76,10.17,61.33,1.46,9414.56,22.49,False
luciano castan,,Luciano Castán,Criciúma,Série B,ZE,Zaga,Motor de volume,28.47,28.47,8.62,51.23,0.69,9836.11,17.42,True
patrick brey,,Patrick Brey,Botafogo-SP,Série B,LE,Lateral,Médio em tudo,28.65,28.65,10.73,68.46,1.72,9955.9,34.62,False
ricardo silva,,Ricardo Silva,América-MG,Série B,ZD,Zaga,Motor de volume,28.07,28.07,4.53,34.59,1.17,9184.87,10.31,True
soares,,Soares,Atlético-GO,Série B,EE,Extremo,Explosivo e rápido,31.12,31.12,15.72,78.75,2.49,9223.49,29.85,True
g vargas,olimpia,G. Vargas,Olimpia,Paraguai,ZD,Zaga,Motor de volume,29.03,29.03,6.6,41.88,1.13,8891.1,7.3,True
willean lepo,,Willean Lepo,Criciúma,Série B,LD,Lateral,Explosivo e rápido,29.68,29.68,15.5,77.74,2.47,10107.89,29.62,True
fred,fenerbahce,Fred,Fenerbahçe,Turquia,MED,Meia,Médio em tudo,27.12,27.12,8.04,61.88,0.7,10374.74,,True
bruno santos,,Bruno Santos,Londrina,Série B,CA,Atacante,Explosivo e rápido,30.84,30.84,15.78,76.42,3.28,9317.28,35.93,False
chrystian barletta,,Chrystian Barletta,Sport,Série B,ED,Extremo,Explosivo e rápido,30.73,30.73,12.71,69.6,3.31,9336.28,36.01,True
igor coronado,al sharjah,Igor Coronado,Al Sharjah,Emirados,MEI,Meia,Baixa intensidade,27.18,27.18,5.12,44.78,0.44,9849.89,,False
m gamarra,olimpia,M. Gamarra,Olimpia,Paraguai,ZE,Zaga,Motor de volume,28.83,28.83,8.22,48.86,0.72,9185.37,15.4,True
elvis,,Élvis,Ponte Preta,Série B,MEI,Meia,Baixa intensidade,25.67,25.67,2.78,29.57,0.19,8883.21,18.85,False
janderson,,Janderson,Vila Nova,Série B,EE,Extremo,Baixa intensidade,29.86,29.86,13.14,73.33,2.0,9372.51,29.49,False
iago teles,,Iago Teles,Londrina,Série B,EE,Extremo,Baixa intensidade,28.65,28.65,9.37,61.91,1.52,9116.24,27.29,False
joao basso,,João Basso,Cuiabá,Série B,ZD,Zaga,Motor de volume,28.31,28.31,4.68,34.93,0.25,9365.34,13.9,True
l paredes,boca juniors,L. Paredes,Boca Juniors,Argentina A,VOL,Volante,Menos intenso,26.32,26.32,2.43,25.71,0.16,8704.1,14.7,False
cryzan,shandong taishan,Cryzan,Shandong Taishan,China,ED,Extremo,Baixa intensidade,28.16,28.16,8.26,53.31,0.93,8546.83,,False
