ano,clube,treinador,jogos,ppj,xppj,sorte,xg,xg_sof,gp,gc,rendimento
2022,Londrina,Adilson Batista,37,1.405,1.235,0.17,1.006,1.107,0.946,0.973,0.229
2023,Botafogo-SP,Adilson Batista,13,1.385,1.254,0.131,1.044,1.197,0.769,1.308,0.161
2022,CSA,Alberto Valentim,10,0.7,1.08,-0.38,1.004,1.38,0.6,1.2,-0.647
2023,Atlético-GO,Alberto Valentim,12,1.25,1.304,-0.054,1.107,1.271,1.0,1.5,-0.249
2024,Ituano,Alberto Valentim,32,0.969,1.066,-0.097,1.187,1.801,1.094,1.625,-0.327
2025,América-MG,Alberto Valentim,17,1.471,1.308,0.162,1.099,1.158,1.176,0.882,-0.013
2025,Operário-PR,Alex,26,1.308,1.59,-0.282,1.228,0.9,1.0,1.077,-0.125
2026,Athletic,Alex,27,1.37,1.203,0.168,1.162,1.441,1.148,1.111,0.052
2022,Novorizontino,Allan Aal,13,1.077,1.457,-0.38,1.137,0.979,0.846,1.231,-0.218
2022,Vila Nova,Allan Aal,22,1.591,1.43,0.161,0.946,0.836,0.864,0.636,0.359
2023,ABC,Allan Aal,19,0.789,1.102,-0.312,0.883,1.294,0.684,1.105,-0.457
2024,Guarani,Allan Aal,20,1.1,1.38,-0.28,1.12,1.074,0.9,1.25,-0.353
2025,Botafogo-SP,Allan Aal,22,1.091,0.989,0.102,0.93,1.564,0.818,1.455,-0.175
2026,Avaí,Allan Aal,11,1.455,1.399,0.056,1.414,1.401,1.091,1.0,0.25
2025,Remo,António Oliveira,15,1.267,1.1,0.166,1.062,1.484,0.867,0.867,-0.263
2023,ABC,Argel Fuchs,11,0.818,1.302,-0.484,1.252,1.487,0.818,1.364,-0.428
2022,Tombense,Bruno Pivetti,31,1.258,1.144,0.114,1.013,1.418,1.032,1.258,0.239
2023,Guarani,Bruno Pivetti,10,1.5,1.313,0.187,1.406,1.477,1.5,1.0,0.145
2025,Operário-PR,Bruno Pivetti,12,1.167,1.418,-0.252,1.217,1.099,1.167,1.333,-0.266
2022,Ituano,Carlos Pimentel,21,1.857,1.388,0.469,1.26,1.22,1.19,0.714,0.708
2024,América-MG,Cauan de Almeida,23,1.522,1.465,0.057,1.411,1.22,1.174,0.826,0.036
2026,Avaí,Cauan de Almeida,15,0.867,0.848,0.019,0.873,1.731,1.0,1.4,-0.337
2022,Operário-PR,Claudinei Oliveira,19,1.053,1.009,0.044,0.941,1.494,1.0,1.211,-0.233
2022,Sport,Claudinei Oliveira,18,1.667,1.715,-0.049,1.348,0.858,1.333,1.056,0.275
2023,Chapecoense,Claudinei Oliveira,17,1.235,1.287,-0.052,1.095,1.232,0.941,0.941,-0.156
2023,Vila Nova,Claudinei Oliveira,21,1.667,1.706,-0.04,1.47,0.945,1.095,0.571,0.392
2025,Paysandu,Claudinei Oliveira,13,1.308,1.192,0.116,1.122,1.371,1.154,1.154,-0.045
2022,Criciúma,Claudio Tencati,38,1.474,1.556,-0.082,1.39,1.064,1.132,0.816,0.312
2023,Criciúma,Claudio Tencati,38,1.684,1.322,0.362,1.13,1.23,1.184,0.868,0.399
2026,Botafogo-SP,Claudio Tencati,27,1.148,1.453,-0.304,1.226,1.091,1.111,1.185,0.001
2022,Náutico,Dado Cavalcanti,13,0.692,0.751,-0.059,0.786,1.817,0.846,2.385,-0.658
2022,CRB,Daniel Paulista,30,1.533,1.109,0.424,0.942,1.326,0.967,0.933,0.148
2023,CRB,Daniel Paulista,30,1.733,1.357,0.377,1.22,1.234,1.367,0.933,0.384
2024,CRB,Daniel Paulista,24,1.042,1.217,-0.175,1.095,1.345,0.958,1.208,-0.303
2025,Remo,Daniel Paulista,10,1.7,1.447,0.253,1.493,1.356,1.2,0.8,0.17
2026,Ceará,Daniel Paulista,12,1.167,1.008,0.159,1.138,1.738,1.0,1.417,-0.176
2026,Goiás,Daniel Paulista,14,1.286,1.372,-0.087,1.323,1.305,0.929,1.5,-0.036
2023,Novorizontino,Eduardo Baptista,38,1.658,1.905,-0.247,1.713,0.861,1.263,0.789,0.309
2024,Novorizontino,Eduardo Baptista,38,1.684,1.509,0.175,1.177,0.912,1.132,0.816,0.396
2025,Criciúma,Eduardo Baptista,32,1.75,1.539,0.211,1.381,1.072,1.188,0.781,0.309
2026,Criciúma,Eduardo Baptista,26,1.692,1.408,0.285,1.262,1.17,1.0,0.808,0.366
2023,Avaí,Eduardo Barroca,23,1.435,1.03,0.405,1.066,1.705,0.957,1.087,-0.014
2023,Ceará,Eduardo Barroca,12,1.75,1.095,0.655,1.192,1.691,1.333,1.0,0.154
2025,CRB,Eduardo Barroca,38,1.474,1.448,0.026,1.445,1.382,1.184,1.053,0.026
2026,CRB,Eduardo Barroca,16,1.188,1.452,-0.265,1.524,1.408,1.5,1.812,-0.111
2025,Cuiabá,Eduardo Barros,17,1.353,1.52,-0.167,1.379,1.118,1.118,1.176,-0.116
2026,Cuiabá,Eduardo Barros,27,1.444,1.559,-0.114,1.184,0.839,0.963,0.778,0.194
2023,Londrina,Eduardo Souza,12,0.75,1.088,-0.338,0.888,1.276,0.667,1.417,-0.444
2026,Atlético-GO,Eduardo Souza,13,1.308,1.521,-0.213,1.501,1.307,1.154,1.154,0.123
2022,Bahia,Enderson Moreira,17,1.412,1.65,-0.238,1.526,0.941,1.118,0.941,-0.055
2023,Sport,Enderson Moreira,37,1.622,1.505,0.117,1.319,1.104,1.486,1.054,0.206
2024,Avaí,Enderson Moreira,19,1.474,1.423,0.051,1.181,1.191,1.0,0.895,0.042
2025,América-MG,Enderson Moreira,11,0.727,1.6,-0.873,1.607,1.256,1.091,1.545,-0.756
2025,Novorizontino,Enderson Moreira,15,1.6,1.74,-0.14,1.526,0.862,1.2,0.733,0.261
2026,Novorizontino,Enderson Moreira,27,1.815,1.797,0.018,1.866,1.003,1.741,0.889,0.51
2023,Ponte Preta,Felipe Moreira,18,1.222,1.231,-0.009,1.087,1.289,0.556,0.667,-0.058
2024,Santos,Fábio Carille,37,1.838,1.634,0.204,1.368,0.914,1.514,0.811,0.087
2022,Chapecoense,Gilmar Dal Pozzo,11,1.455,1.474,-0.019,1.38,1.136,1.364,1.182,0.106
2022,Sport,Gilmar Dal Pozzo,14,1.5,1.402,0.098,1.037,0.936,0.643,0.429,0.109
2023,Chapecoense,Gilmar Dal Pozzo,11,0.909,1.187,-0.278,1.116,1.444,0.818,1.182,-0.483
2024,Avaí,Gilmar Dal Pozzo,16,1.5,1.428,0.072,1.251,1.121,0.938,0.75,0.068
2024,Chapecoense,Gilmar Dal Pozzo,15,1.6,1.168,0.432,0.965,1.231,1.133,1.2,0.302
2025,Chapecoense,Gilmar Dal Pozzo,38,1.632,1.254,0.377,1.172,1.35,1.368,0.921,0.369
2026,Sport,Gilmar Dal Pozzo,11,1.182,1.363,-0.181,1.568,1.41,1.455,1.364,-0.307
2022,Brusque,Gilson Kleina,11,0.545,1.364,-0.818,1.134,1.223,0.273,1.182,-0.5
2022,Chapecoense,Gilson Kleina,15,1.2,1.239,-0.039,0.943,1.099,0.933,0.867,-0.149
2025,Amazonas,Guilherme Alves,11,1.182,1.191,-0.009,1.232,1.75,1.0,1.273,-0.204
2022,Bahia,Guto Ferreira,14,1.786,1.674,0.111,1.269,0.82,1.071,0.571,0.319
2023,Ceará,Guto Ferreira,11,1.273,1.325,-0.052,1.165,1.185,0.909,0.818,-0.323
2025,Cuiabá,Guto Ferreira,21,1.476,1.487,-0.011,1.275,1.082,1.143,1.143,0.007
2025,Remo,Guto Ferreira,10,2.3,1.218,1.082,1.046,1.224,2.2,1.3,0.77
2026,Vila Nova,Guto Ferreira,25,1.84,1.458,0.382,1.296,1.17,1.48,1.04,0.552
2022,Ponte Preta,Hélio dos Anjos,38,1.289,1.346,-0.056,1.08,1.108,0.895,0.947,-0.162
2024,CRB,Hélio dos Anjos,11,1.545,1.253,0.292,0.965,1.174,1.273,1.091,0.2
2024,Paysandu,Hélio dos Anjos,25,1.08,1.261,-0.181,1.027,1.196,0.96,1.16,-0.268
2026,Náutico,Hélio dos Anjos,27,1.37,1.545,-0.174,1.7,1.359,1.185,1.111,0.399
2023,Atlético-GO,Jair Ventura,19,1.947,1.468,0.479,1.424,1.269,1.632,0.895,0.449
2025,Avaí,Jair Ventura,27,1.37,1.444,-0.073,1.268,1.144,1.296,1.111,0.035
2022,Vasco,Jorginho,10,1.7,1.163,0.537,1.145,1.421,1.8,1.4,0.139
2024,Coritiba,Jorginho,19,1.579,1.389,0.19,1.215,1.214,1.263,1.158,0.01
2023,Tombense,João Burse,12,0.917,1.162,-0.245,1.352,1.596,1.167,1.583,-0.251
2024,América-MG,Lisca,14,1.429,1.513,-0.084,1.465,1.326,1.429,1.143,-0.057
2022,Brusque,Luan Carlos,20,1.05,1.415,-0.365,1.031,0.93,0.65,0.85,0.004
2024,Vila Nova,Luizinho Lopes,26,1.538,1.349,0.189,1.182,1.233,1.115,1.308,0.226
2024,Brusque,Luizinho Vieira,19,1.0,1.263,-0.263,1.187,1.282,0.632,0.947,-0.187
2022,Sampaio Corrêa,Léo Condé,38,1.526,1.287,0.24,1.211,1.347,1.263,1.105,0.473
2023,Vitória,Léo Condé,38,1.895,1.577,0.318,1.39,1.113,1.316,0.816,0.543
2024,Ceará,Léo Condé,25,1.8,1.738,0.062,1.394,0.856,1.56,0.96,0.299
2022,Chapecoense,Marcelo Cabo,10,1.1,1.356,-0.256,1.07,0.983,0.7,0.8,-0.249
2024,Brusque,Marcelo Cabo,13,1.0,1.068,-0.068,0.792,1.281,0.615,1.077,-0.187
2023,Botafogo-SP,Marcelo Chamusca,23,1.13,1.181,-0.051,0.823,1.245,0.609,1.043,-0.093
2023,Tombense,Marcelo Chamusca,10,0.6,1.769,-1.169,1.478,0.842,0.7,1.3,-0.567
2023,Ituano,Marcinho,30,1.167,1.299,-0.132,1.033,1.124,0.867,0.933,0.028
2024,Sport,Mariano Soso,14,1.714,1.536,0.178,1.32,0.984,1.214,0.929,0.257
2022,Operário-PR,Matheus Costa,16,0.812,1.077,-0.264,0.866,1.352,0.688,1.375,-0.474
2026,Juventude,Maurício Barbieri,27,1.852,1.431,0.421,1.174,1.052,1.111,0.556,0.406
2022,Ituano,Mazola Júnior,17,1.059,1.533,-0.474,1.329,1.059,1.0,1.118,-0.091
2022,Novorizontino,Mazola Júnior,10,1.1,1.694,-0.594,1.715,1.177,1.6,1.6,-0.195
2023,Tombense,Moacir Júnior,14,1.214,1.224,-0.009,0.946,1.093,0.929,1.071,0.047
2022,CSA,Mozart,12,1.083,1.261,-0.177,1.048,1.25,0.667,0.833,-0.263
2022,Guarani,Mozart,23,1.652,1.381,0.272,1.093,1.1,1.043,0.783,0.364
2023,Mirassol,Mozart,35,1.629,1.689,-0.061,1.398,0.889,1.086,0.829,0.261
