treinador,passagens,jogos,ppj,xppj,sorte,rendimento
Enderson Moreira,6,126,1.44,1.62,-0.18,0.03
Mazola Júnior,2,27,1.08,1.61,-0.53,-0.14
Eduardo Baptista,4,134,1.7,1.59,0.11,0.34
Eduardo Barros,2,44,1.4,1.54,-0.14,0.04
Vagner Mancini,4,77,1.5,1.53,-0.02,-0.01
Léo Condé,3,101,1.74,1.53,0.21,0.44
Roger Silva,2,20,1.25,1.49,-0.24,-0.09
Marcelo Chamusca,2,33,0.86,1.48,-0.61,-0.33
Thiago Carpini,2,51,1.78,1.47,0.31,0.3
Jair Ventura,2,46,1.66,1.46,0.2,0.24
Claudio Tencati,3,103,1.44,1.44,-0.01,0.24
Guto Ferreira,5,81,1.74,1.43,0.3,0.26
Mozart,7,170,1.5,1.43,0.07,0.13
Alex,2,53,1.34,1.4,-0.06,-0.04
Rafael Lacerda,3,63,1.43,1.39,0.04,0.07
Claudinei Oliveira,5,88,1.39,1.38,0.0,0.05
Hélio dos Anjos,4,101,1.32,1.35,-0.03,0.04
Roberto Fernandes,2,27,1.15,1.34,-0.19,-0.2
Gilmar Dal Pozzo,7,116,1.4,1.33,0.07,0.02
Gilson Kleina,2,26,0.87,1.3,-0.43,-0.32
Eduardo Souza,2,25,1.03,1.3,-0.28,-0.16
Bruno Pivetti,3,53,1.31,1.29,0.02,0.04
Allan Aal,6,107,1.18,1.29,-0.11,-0.1
Jorginho,2,29,1.64,1.28,0.36,0.07
Umberto Louzer,4,78,1.22,1.27,-0.05,-0.06
Eduardo Barroca,4,89,1.46,1.26,0.21,0.01
Daniel Paulista,6,120,1.41,1.25,0.16,0.03
Márcio Fernandes,3,45,1.14,1.25,-0.11,-0.17
Rafael Guanaes,2,52,1.38,1.25,0.12,0.07
Adilson Batista,2,50,1.4,1.24,0.15,0.2
Marcelo Cabo,2,23,1.05,1.21,-0.16,-0.22
Vinícius,2,36,1.48,1.2,0.28,0.24
Alberto Valentim,4,71,1.1,1.19,-0.09,-0.31
Cauan de Almeida,2,38,1.19,1.16,0.04,-0.15
Márcio Zanardi,4,59,0.95,1.09,-0.14,-0.35
