pos11,jogador,clube,liga,mercado,idade,minutos,contrato,livre,tec_A,fis_A,patamar_A,psv,aderencia
GOL,J. Mero,Atletico FC,Equador B,Sul-americano,31.0,1712,2026-12-31,True,95.0,,95.0,,84.1
MED,A. Alfonso,Bogotá,Colombia B,Sul-americano,21.0,1219,,True,95.0,,95.0,,91.3
MED,F. Rodríguez,Los Andes,Argentina B,Sul-americano,26.0,1343,,True,93.0,,93.0,,93.3
CA,A. Spetale,Quilmes,Argentina B,Sul-americano,26.0,1146,2026-12-31,True,92.0,,92.0,,92.4
GOL,A. Eras,Gualaceo,Equador B,Sul-americano,27.0,969,2026-12-31,True,92.0,,92.0,,77.3
ZE,F. Rivero,Colegiales,Argentina B,Sul-americano,33.0,1850,,True,91.0,,91.0,,89.9
MED,E. Hoyos,Ferro Carril Oeste,Argentina B,Sul-americano,26.0,1388,2027-12-31,False,90.0,,90.0,,82.5
MED,J. Meneses,Deportes Limache,Chile,Sul-americano,33.0,1762,2026-12-31,True,95.0,86.0,90.0,28.98,83.5
MED,J. Elitim,Legia Warszawa,Polonia,Exterior,26.0,2071,2026-06-30,True,90.0,,90.0,,84.2
LE,Samuel Toscas,Al Riffa,Bahrain,Exterior,26.0,2048,2031-06-30,False,90.0,,90.0,,94.5
CA,K. Valencia,Cuenca Juniors,Equador B,Sul-americano,26.0,1567,2026-12-31,True,89.0,,89.0,,93.9
MED,M. Fuentes,Audax Italiano,Chile,Sul-americano,28.0,925,2028-12-31,False,79.0,99.0,89.0,29.48,57.6
MED,K. Castro,Bogotá,Colombia B,Sul-americano,27.0,2187,,True,89.0,,89.0,,81.4
ED,C. Mena,Lechia Gdańsk,Polonia,Exterior,23.0,2958,2028-06-30,False,89.0,,89.0,,90.2
GOL,E. Valencia,San Antonio,Equador B,Sul-americano,23.0,1485,,True,89.0,,89.0,,90.9
GOL,G. Napa,Guayaquil City,Equador A,Sul-americano,23.0,2305,2026-12-31,True,89.0,,89.0,,84.7
GOL,E. Mastrolía,Temperley,Argentina B,Sul-americano,35.0,1867,2026-12-31,True,88.0,,88.0,,73.0
LE,J. Carabalí,Universitario,Peru,Sul-americano,29.0,1077,2029-12-31,False,79.0,98.0,88.0,31.03,85.3
ED,F. González,O'Higgins,Chile,Sul-americano,25.0,1256,2028-12-31,False,88.0,87.0,88.0,30.92,85.9
CA,Rafael Ratão,Shanghai Shenhua,China,Exterior,30.0,1480,2028-12-31,False,88.0,88.0,88.0,29.93,85.8
GOL,M. Miño,Barracas Central,Argentina A,Sul-americano,28.0,1551,2026-12-31,True,88.0,,88.0,,87.9
GOL,M. Bergia,Atlético Rafaela,Argentina B,Sul-americano,25.0,2433,2026-12-31,True,87.0,,87.0,,76.1
MED,G. Wilson Da Silva Moreira,Khalidiya ,Bahrain,Exterior,30.0,1437,2026-06-30,True,87.0,,87.0,,81.2
GOL,T. Cardozo,Belgrano,Argentina A,Sul-americano,30.0,2387,2028-12-31,False,86.0,,86.0,,77.1
VOL,G. Capomaggio,Salernitana,Italia C,Exterior,29.0,3101,2028-06-30,False,86.0,,86.0,,80.4
LD,E. Meza,Estudiantes,Argentina A,Sul-americano,27.0,1251,2027-12-31,False,73.0,98.0,86.0,31.49,63.6
MED,S. Cáceres,Torque,Uruguai,Sul-americano,26.0,906,2026-12-31,True,86.0,,86.0,,76.1
ED,J. Montes,Patriotas Boyacá,Colombia B,Sul-americano,21.0,1064,,True,86.0,,86.0,,88.1
GOL,J. Bigo,Tristán Suárez,Argentina B,Sul-americano,28.0,2128,2026-12-31,True,86.0,,86.0,,76.2
