ano,clube,bc_criadas,bc_cedidas,bc_perdidas,bc_conv,chutes_area,chutes_area_adv,pct_area,pct_area_adv,terco_final,terco_final_adv,posse_1t,posse_2t,chutes_sof_1t,chutes_sof_2t,defesas_gk,mom_pct,mom_ult15,mom_t2,jogador_jogos_lesao,jogador_jogos_suspensao,titulares_distintos,titularidades_top11,jogos,onze_fixo_pct,nota_media,nota_desvio,pontos,ppj,rendimento,faixa,valor_eur
2022,Bahia,1.412,0.971,0.931,0.516,7.921,5.737,0.539,0.485,60.053,59.579,52.0,49.158,5.605,6.211,2.421,0.533,50.237,46.132,0.0,0.0,31,265,38,0.634,6.966,0.451,62,1.632,0.165,Sobe,21700000.0
2022,Brusque,1.333,1.212,1.231,0.408,7.447,6.237,0.54,0.469,63.868,57.842,51.184,51.789,6.105,6.737,2.816,0.511,56.632,115.868,0.0,0.0,35,264,38,0.632,6.929,0.451,34,0.895,-0.151,Cai,4375000.0
2022,CRB,1.324,1.206,1.0,0.708,5.447,8.237,0.524,0.561,56.974,64.395,51.316,50.5,7.763,7.026,3.158,0.434,-99.974,-202.053,0.0,0.0,33,276,38,0.66,6.879,0.445,50,1.316,-0.069,Meio,15925000.0
2022,CSA,1.333,1.333,1.037,0.565,6.947,7.526,0.55,0.484,55.079,61.079,49.447,45.184,6.947,8.421,3.474,0.467,-47.553,-194.289,0.0,0.0,36,277,38,0.663,6.949,0.43,42,1.105,-0.241,Cai,13750000.0
2022,Chapecoense,1.618,1.559,1.233,0.442,6.947,6.684,0.487,0.527,59.632,60.711,48.395,51.816,6.184,6.763,2.526,0.487,3.211,46.868,0.0,0.0,35,249,38,0.596,6.913,0.471,45,1.184,-0.165,Meio,13875000.0
2022,Criciúma,1.727,1.152,1.179,0.531,7.763,6.974,0.533,0.561,66.921,56.737,49.974,48.342,5.237,7.0,2.868,0.53,-15.368,59.368,0.0,0.0,30,268,38,0.641,6.951,0.491,56,1.474,0.312,Meio,6800000.0
2022,Cruzeiro,1.515,1.273,0.8,0.741,7.842,6.105,0.496,0.536,74.842,48.895,63.553,60.658,5.211,6.368,2.324,0.685,142.263,512.684,0.0,0.0,39,289,38,0.691,7.09,0.474,78,2.053,0.503,Sobe,29750000.0
2022,Grêmio,1.543,0.971,1.077,0.667,7.632,5.368,0.542,0.464,60.842,56.632,51.132,50.132,5.289,6.132,2.026,0.548,-18.447,86.553,1.0,0.0,32,293,38,0.701,7.052,0.483,65,1.711,0.026,Sobe,49775000.0
2022,Guarani,1.333,1.278,1.071,0.703,7.237,7.053,0.56,0.525,54.974,55.842,50.342,51.237,6.605,6.711,3.053,0.497,19.316,48.947,0.0,0.0,38,260,38,0.622,6.958,0.472,51,1.342,0.054,Meio,11025000.0
2022,Ituano,1.556,1.722,1.156,0.531,7.816,6.947,0.609,0.524,55.921,63.079,41.974,45.658,5.842,7.237,2.658,0.419,-84.368,-231.184,0.0,0.0,31,264,38,0.632,6.938,0.466,57,1.5,0.35,Meio,6500000.0
