p,grupo,psv,spr_n,hi_n,expl,dist,hsr_n
CA,5 grandes,29.26,12.47,74.08,1.91,9961.87,61.92
CA,Argentina A,28.62,10.74,64.52,1.56,9579.5,54.62
CA,Série A,28.81,9.98,61.43,1.66,9240.38,51.88
CA,Série B,29.17,11.44,67.68,1.76,9403.15,56.58
ED,5 grandes,29.67,14.64,82.27,2.23,10203.55,67.22
ED,Argentina A,28.7,11.74,77.05,1.77,10217.0,63.39
ED,Série A,29.55,12.27,73.77,1.85,9918.17,61.07
ED,Série B,29.69,12.58,71.14,1.87,9690.08,59.8
EE,5 grandes,29.92,14.52,80.7,2.53,10193.53,67.01
EE,Argentina A,28.76,12.21,73.2,1.59,10252.71,61.03
EE,Série A,29.33,12.9,77.29,1.96,9664.5,63.42
EE,Série B,29.41,13.56,76.97,1.62,9889.38,63.01
LD,5 grandes,29.57,12.89,73.56,2.01,10019.45,60.64
LD,Argentina A,28.94,10.53,64.88,1.72,9772.93,53.92
LD,Série A,29.68,11.39,65.64,1.83,9537.98,54.25
LD,Série B,29.3,11.24,65.6,1.75,9687.71,53.86
LE,5 grandes,29.48,13.14,75.5,2.11,10063.99,62.09
LE,Argentina A,28.4,9.93,61.16,1.27,9713.74,50.78
LE,Série A,29.58,10.0,58.58,1.72,9483.96,48.83
LE,Série B,29.59,10.92,64.12,1.69,9562.62,52.98
MED,5 grandes,27.81,8.58,62.5,0.74,10903.76,53.86
MED,Argentina A,26.86,5.92,51.8,0.56,10367.35,46.06
MED,Série A,27.74,7.31,56.47,0.67,10232.37,48.06
MED,Série B,27.53,6.75,52.7,0.75,10424.69,46.1
MEI,5 grandes,28.39,11.26,72.84,1.15,10719.71,61.48
MEI,Argentina A,27.11,7.74,55.9,0.71,10271.85,49.5
MEI,Série A,27.95,8.81,56.56,0.87,10096.69,47.87
MEI,Série B,28.15,8.18,60.77,0.65,9975.6,51.23
VOL,5 grandes,27.41,6.96,56.69,0.67,10753.28,48.85
VOL,Argentina A,26.85,4.94,43.71,0.41,10243.01,39.0
VOL,Série A,27.12,5.44,48.19,0.59,10042.83,42.27
VOL,Série B,27.62,5.92,48.62,0.66,10190.59,43.09
ZD,5 grandes,28.78,6.8,44.34,1.04,9481.33,37.31
ZD,Argentina A,27.83,4.74,33.48,0.57,8721.24,28.9
ZD,Série A,28.94,5.53,36.5,0.95,8569.87,30.78
ZD,Série B,28.66,5.41,37.08,0.8,8875.51,31.76
ZE,5 grandes,28.73,6.78,43.54,0.98,9482.94,37.11
ZE,Argentina A,27.82,4.88,35.22,0.68,8906.99,30.0
ZE,Série A,28.76,5.6,37.29,0.81,8710.76,31.71
ZE,Série B,28.3,5.2,35.58,0.6,8874.27,30.32
