ano,clube,sid,nome,minutos,titularidades,nota_media,touches,keyPass,bigChanceCreated,bigChanceMissed,goals,goalAssist,expectedGoals,expectedAssists,totalProgression,progressiveBallCarriesCount,ballRecovery,interceptionWon,duelWon,duelLost,aerialWon,aerialLost,topSpeed,kilometersCovered,numberOfSprints,metersCoveredHighSpeedRunningKm,rating_sd,jogos,keyPass_p90,bigChanceCreated_p90,bigChanceMissed_p90,goals_p90,goalAssist_p90,expectedGoals_p90,expectedAssists_p90,totalProgression_p90,progressiveBallCarriesCount_p90,ballRecovery_p90,interceptionWon_p90,kilometersCovered_p90,numberOfSprints_p90,metersCoveredHighSpeedRunningKm_p90,duelos_pct,aereos_pct,chave
2022,Bahia,15668,Hugo Rodallega,1173.0,14,6.75,396.0,15.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,27.0,1.0,55.0,76.0,33.0,36.0,,0.0,0.0,0.0,0.286,29,1.151,0.153,0.23,0.077,0.077,0.0,0.0,0.0,0.0,2.072,0.077,0.0,0.0,0.0,0.42,0.478,hugo rodallega
2022,Bahia,47548,Ytalo,71.0,0,6.525,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,2.0,4.0,,0.0,0.0,0.0,,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.535,0.0,0.0,0.0,0.0,0.25,0.333,ytalo
2022,Bahia,145054,Danilo Fernandes,2160.0,24,7.071,802.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,198.0,1.0,11.0,1.0,7.0,1.0,,0.0,0.0,0.0,0.564,25,0.083,0.042,0.0,0.0,0.042,0.0,0.0,0.0,0.0,8.25,0.042,0.0,0.0,0.0,0.917,0.875,danilo fernandes
2022,Bahia,151993,Ricardo Goulart,942.0,12,6.8,342.0,13.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,25.0,2.0,46.0,55.0,19.0,30.0,,0.0,0.0,0.0,0.197,16,1.242,0.191,0.096,0.191,0.191,0.0,0.0,0.0,0.0,2.389,0.191,0.0,0.0,0.0,0.455,0.388,ricardo goulart
2022,Bahia,158269,César Dutra,0.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,18,,,,,,,,,,,,,,,,,cesar dutra
2022,Bahia,162595,Jonathan Copete,551.0,5,6.65,292.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,37.0,43.0,16.0,15.0,,0.0,0.0,0.0,0.287,19,0.653,0.0,0.163,0.163,0.0,0.0,0.0,0.0,0.0,3.757,0.49,0.0,0.0,0.0,0.462,0.516,jonathan copete
2022,Bahia,244087,Emerson Santos,881.0,8,6.764,574.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,75.0,18.0,83.0,61.0,24.0,14.0,,0.0,0.0,0.0,0.363,30,0.817,0.102,0.0,0.0,0.102,0.0,0.0,0.0,0.0,7.662,1.839,0.0,0.0,0.0,0.576,0.632,emerson santos
2022,Bahia,249881,Lucas Mugni,2058.0,25,7.107,1476.0,41.0,4.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,174.0,29.0,124.0,125.0,26.0,21.0,,0.0,0.0,0.0,0.561,29,1.793,0.175,0.0,0.262,0.175,0.0,0.0,0.0,0.0,7.609,1.268,0.0,0.0,0.0,0.498,0.553,lucas mugni
2022,Bahia,805825,Didi,663.0,7,6.956,444.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,6.0,28.0,18.0,9.0,9.0,,0.0,0.0,0.0,0.458,33,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.48,0.814,0.0,0.0,0.0,0.609,0.5,didi
2022,Bahia,840148,Marcinho,999.0,11,6.914,781.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,23.0,46.0,47.0,12.0,13.0,,0.0,0.0,0.0,0.392,16,1.441,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.144,2.072,0.0,0.0,0.0,0.495,0.48,marcinho
2022,Bahia,840218,Danielzinho,2644.0,32,7.052,1637.0,69.0,4.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,120.0,10.0,129.0,124.0,8.0,21.0,,0.0,0.0,0.0,0.508,33,2.349,0.136,0.068,0.102,0.136,0.0,0.0,0.0,0.0,4.085,0.34,0.0,0.0,0.0,0.51,0.276,danielzinho
2022,Bahia,867599,Raí Nascimento,809.0,11,6.705,357.0,12.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,50.0,2.0,37.0,36.0,7.0,11.0,,0.0,0.0,0.0,0.57,26,1.335,0.111,0.334,0.111,0.0,0.0,0.0,0.0,0.0,5.562,0.222,0.0,0.0,0.0,0.507,0.389,rai nascimento
2022,Bahia,868030,Rezende,1804.0,20,7.044,1126.0,11.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,113.0,52.0,166.0,109.0,46.0,29.0,,0.0,0.0,0.0,0.399,30,0.549,0.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,5.637,2.594,0.0,0.0,0.0,0.604,0.613,rezende
2022,Bahia,870560,Marco Antônio,816.0,10,6.787,403.0,23.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,43.0,6.0,41.0,49.0,1.0,5.0,,0.0,0.0,0.0,0.246,23,2.537,0.0,0.0,0.11,0.11,0.0,0.0,0.0,0.0,4.743,0.662,0.0,0.0,0.0,0.456,0.167,marco antonio
2022,Bahia,874778,Luiz Otávio,2440.0,28,7.032,1578.0,10.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,92.0,23.0,95.0,52.0,74.0,31.0,,0.0,0.0,0.0,0.43,28,0.369,0.0,0.111,0.037,0.0,0.0,0.0,0.0,0.0,3.393,0.848,0.0,0.0,0.0,0.646,0.705,luiz otavio
2022,Bahia,882351,Jonathan,192.0,1,6.84,98.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,12.0,7.0,4.0,3.0,,0.0,0.0,0.0,0.071,13,0.938,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.625,0.938,0.0,0.0,0.0,0.632,0.571,jonathan
