evento,ano,casa,fora,n,casa_pos_pct,soma,ult15,prim15,tempo1,tempo2
10114235,2022,Sampaio Corrêa,Bahia,92,0.358695652173913,-726.0,-125.0,-35.0,-181.0,-545.0
10114236,2022,Sport,CSA,92,0.8260869565217391,1985.0,500.0,39.0,1016.0,969.0
10114237,2022,Sport,Criciúma,92,0.6847826086956522,1013.0,543.0,75.0,60.0,953.0
10114238,2022,Operário-PR,Tombense,92,0.5434782608695652,352.0,95.0,-51.0,230.0,122.0
10114239,2022,Novorizontino,Vila Nova,92,0.75,1045.0,553.0,413.0,327.0,718.0
10114240,2022,CRB,Novorizontino,92,0.44565217391304346,-169.0,-15.0,41.0,150.0,-319.0
10114241,2022,CRB,Brusque,92,0.6413043478260869,734.0,-22.0,-23.0,474.0,260.0
10114242,2022,CRB,Guarani,92,0.5760869565217391,126.0,-330.0,157.0,931.0,-805.0
10114243,2022,Ponte Preta,Sampaio Corrêa,92,0.6847826086956522,601.0,238.0,41.0,32.0,569.0
10114244,2022,CRB,Tombense,92,0.7717391304347826,1259.0,596.0,15.0,404.0,855.0
10114245,2022,Tombense,CSA,92,0.5652173913043478,445.0,-412.0,329.0,741.0,-296.0
10114246,2022,Cruzeiro,Novorizontino,92,0.5760869565217391,371.0,-116.0,315.0,222.0,149.0
10114247,2022,Criciúma,Sampaio Corrêa,92,0.532608695652174,339.0,109.0,336.0,64.0,275.0
10114248,2022,Guarani,CSA,92,0.43478260869565216,174.0,265.0,-209.0,-67.0,241.0
10114249,2022,Londrina,Tombense,92,0.5978260869565217,693.0,274.0,-143.0,392.0,301.0
10114250,2022,Chapecoense,Operário-PR,92,0.6413043478260869,604.0,-418.0,431.0,966.0,-362.0
10114251,2022,Sport,Vasco,92,0.7391304347826086,1115.0,28.0,271.0,627.0,488.0
10114252,2022,Operário-PR,Cruzeiro,92,0.6195652173913043,621.0,185.0,89.0,-81.0,702.0
10114253,2022,Chapecoense,Tombense,92,0.5869565217391305,934.0,-40.0,-5.0,140.0,794.0
10114254,2022,Ituano,Grêmio,92,0.6304347826086957,672.0,105.0,158.0,599.0,73.0
10114255,2022,Novorizontino,Sport,92,0.6847826086956522,1044.0,179.0,13.0,519.0,525.0
10114256,2022,Criciúma,Náutico,92,0.7391304347826086,1589.0,524.0,248.0,268.0,1321.0
10114257,2022,Ponte Preta,Cruzeiro,92,0.532608695652174,20.0,-92.0,258.0,480.0,-460.0
10114258,2022,Novorizontino,Criciúma,92,0.6195652173913043,822.0,215.0,196.0,340.0,482.0
10114259,2022,Operário-PR,Náutico,92,0.7717391304347826,1670.0,382.0,145.0,628.0,1042.0
10114260,2022,Criciúma,CRB,92,0.41304347826086957,-309.0,-37.0,132.0,-12.0,-297.0
10114261,2022,Ponte Preta,Ituano,92,0.7282608695652174,1358.0,257.0,20.0,406.0,952.0
10114262,2022,Ituano,Chapecoense,92,0.41304347826086957,-230.0,118.0,-263.0,-241.0,11.0
10114263,2022,CSA,Tombense,92,0.5869565217391305,599.0,-126.0,38.0,900.0,-301.0
10114264,2022,Chapecoense,CSA,92,0.75,1210.0,277.0,277.0,495.0,715.0
10114265,2022,Bahia,Náutico,92,0.6086956521739131,622.0,210.0,311.0,298.0,324.0
10114266,2022,Vasco,Ituano,92,0.7282608695652174,1146.0,630.0,-11.0,112.0,1034.0
10114267,2022,CSA,Sport,92,0.6847826086956522,1460.0,190.0,512.0,858.0,602.0
10114268,2022,Cruzeiro,Criciúma,92,0.8695652173913043,2242.0,654.0,180.0,544.0,1698.0
10114269,2022,Operário-PR,CRB,92,0.6086956521739131,692.0,638.0,257.0,239.0,453.0
10114270,2022,Ituano,Vila Nova,92,0.41304347826086957,-366.0,-228.0,-241.0,-128.0,-238.0
10114271,2022,Grêmio,Londrina,92,0.6304347826086957,550.0,28.0,336.0,103.0,447.0
10114272,2022,Cruzeiro,Vila Nova,92,0.717391304347826,1483.0,75.0,173.0,535.0,948.0
10114273,2022,Vila Nova,Sampaio Corrêa,92,0.6086956521739131,571.0,430.0,-16.0,259.0,312.0
10114274,2022,Ponte Preta,Grêmio,92,0.3804347826086957,-729.0,77.0,-61.0,-372.0,-357.0
10114275,2022,Vasco,Operário-PR,92,0.5760869565217391,561.0,398.0,32.0,-149.0,710.0
10114276,2022,CRB,Sport,91,0.27472527472527475,-1097.0,-576.0,-138.0,-11.0,-1086.0
10114277,2022,Chapecoense,Criciúma,92,0.5217391304347826,-10.0,270.0,220.0,-84.0,74.0
10114278,2022,Ponte Preta,Guarani,92,0.7282608695652174,809.0,45.0,-102.0,454.0,355.0
10114279,2022,CRB,Ituano,92,0.6956521739130435,766.0,-17.0,64.0,295.0,471.0
10114280,2022,Brusque,Londrina,92,0.8260869565217391,2422.0,1005.0,-12.0,387.0,2035.0
10114281,2022,Vila Nova,Sport,92,0.5217391304347826,191.0,344.0,-170.0,-207.0,398.0
10114282,2022,Tombense,Chapecoense,92,0.42391304347826086,-429.0,-178.0,524.0,-51.0,-378.0
10114283,2022,Ituano,Sampaio Corrêa,92,0.6304347826086957,290.0,-172.0,18.0,447.0,-157.0
10114284,2022,Tombense,CRB,92,0.5978260869565217,525.0,304.0,278.0,160.0,365.0
10114285,2022,Sport,Ituano,92,0.6521739130434783,616.0,43.0,190.0,400.0,216.0
10114286,2022,Cruzeiro,CRB,92,0.782608695652174,1559.0,539.0,172.0,687.0,872.0
10114287,2022,Grêmio,Novorizontino,92,0.42391304347826086,166.0,-333.0,379.0,485.0,-319.0
10114288,2022,Guarani,Tombense,92,0.45652173913043476,-89.0,3.0,246.0,456.0,-545.0
10114289,2022,Sampaio Corrêa,Guarani,92,0.30434782608695654,-1067.0,-610.0,1.0,-116.0,-951.0
10114290,2022,Operário-PR,Brusque,92,0.7717391304347826,1041.0,126.0,147.0,399.0,642.0
10114291,2022,CRB,Chapecoense,92,0.29347826086956524,-798.0,-208.0,190.0,-210.0,-588.0
10114292,2022,Vasco,Bahia,92,0.34782608695652173,-501.0,-128.0,-211.0,-101.0,-400.0
10114293,2022,Brusque,Ponte Preta,92,0.6304347826086957,1175.0,425.0,172.0,577.0,598.0
10114294,2022,Novorizontino,Bahia,92,0.5434782608695652,492.0,-85.0,15.0,177.0,315.0
10114295,2022,Ponte Preta,Vasco,92,0.7391304347826086,1060.0,55.0,414.0,424.0,636.0
10114296,2022,Novorizontino,Londrina,92,0.5434782608695652,167.0,303.0,-333.0,-187.0,354.0
10114297,2022,Ponte Preta,Operário-PR,92,0.5217391304347826,68.0,96.0,99.0,139.0,-71.0
10114298,2022,Bahia,Ponte Preta,92,0.32608695652173914,-993.0,-190.0,264.0,-304.0,-689.0
10114299,2022,Brusque,Vila Nova,92,0.9021739130434783,2776.0,440.0,404.0,974.0,1802.0
10114300,2022,Ituano,Brusque,92,0.44565217391304346,-503.0,252.0,20.0,-923.0,420.0
10114301,2022,Bahia,CRB,92,0.5652173913043478,397.0,147.0,154.0,461.0,-64.0
10114302,2022,CRB,Cruzeiro,92,0.358695652173913,-829.0,-61.0,-210.0,-640.0,-189.0
10114303,2022,Operário-PR,Chapecoense,92,0.5760869565217391,120.0,40.0,249.0,213.0,-93.0
10114304,2022,Brusque,Criciúma,92,0.7065217391304348,830.0,311.0,257.0,130.0,700.0
10114305,2022,Ponte Preta,Brusque,92,0.5,248.0,-170.0,146.0,359.0,-111.0
10114306,2022,Sampaio Corrêa,Ituano,92,0.4891304347826087,293.0,-32.0,460.0,710.0,-417.0
10114307,2022,Bahia,Novorizontino,92,0.5434782608695652,379.0,4.0,78.0,598.0,-219.0
10114308,2022,Operário-PR,Grêmio,92,0.6195652173913043,212.0,161.0,-165.0,-180.0,392.0
10114309,2022,Bahia,Grêmio,92,0.6956521739130435,531.0,450.0,93.0,-107.0,638.0
10114310,2022,Londrina,Novorizontino,92,0.6413043478260869,938.0,83.0,179.0,582.0,356.0
10114311,2022,Cruzeiro,CSA,92,0.7282608695652174,1527.0,364.0,123.0,944.0,583.0
10114312,2022,Chapecoense,Ponte Preta,92,0.5434782608695652,526.0,-43.0,242.0,97.0,429.0
10114313,2022,Brusque,Ituano,92,0.7282608695652174,1164.0,182.0,145.0,399.0,765.0
10114314,2022,Ituano,Tombense,92,0.5217391304347826,477.0,-29.0,14.0,376.0,101.0
10114315,2022,Sport,Novorizontino,92,0.7391304347826086,1704.0,-31.0,492.0,765.0,939.0
10114316,2022,Tombense,Operário-PR,92,0.42391304347826086,-35.0,65.0,-236.0,-160.0,125.0
10114317,2022,Náutico,Vila Nova,92,0.34782608695652173,-757.0,-539.0,76.0,157.0,-914.0
