pos11,grupo,Accelerations per 90,"Accurate passes, %","Aerial duels won, %",Corners per 90,Crosses per 90,"Defensive duels won, %",Exits per 90,Fouls suffered per 90,Free kicks per 90,Head goals per 90,Key passes per 90,Long passes per 90,PAdj Interceptions,Passes to penalty area per 90,Prevented goals per 90,Progressive passes per 90,Progressive runs per 90,"Save rate, %",Shots per 90,Smart passes per 90,Successful defensive actions per 90,Touches in box per 90,xA per 90,xG per 90
CA,5 grandes,0.16,74.81,33.64,0.0,0.64,54.55,,1.22,0.0,0.04,0.29,0.56,2.11,0.94,,1.52,0.91,0.0,2.04,0.07,3.22,3.34,0.06,0.35
CA,Argentina A,0.11,72.15,34.26,0.0,0.71,50.77,,1.07,0.0,0.07,0.33,0.74,2.41,1.11,,1.62,0.75,0.0,1.98,0.07,3.66,3.04,0.06,0.31
CA,Série A,0.17,75.57,30.56,0.0,0.75,46.15,,1.07,0.0,0.06,0.38,0.73,1.86,1.16,,1.51,0.99,0.0,1.92,0.05,2.64,3.22,0.06,0.32
CA,Série B,0.12,74.42,32.31,0.0,0.62,46.43,,1.56,0.0,0.06,0.4,0.7,2.49,1.08,,1.7,0.53,0.0,1.98,0.0,3.22,2.86,0.07,0.31
ED,5 grandes,0.4,78.91,30.43,0.72,2.23,58.4,,1.22,0.12,0.0,0.55,1.43,3.12,2.87,,4.21,2.4,0.0,1.54,0.12,5.26,2.83,0.14,0.18
ED,Argentina A,0.42,71.82,34.41,0.44,2.58,56.55,,1.31,0.04,0.0,0.54,1.81,4.04,2.73,,4.35,2.04,0.0,1.38,0.06,6.07,2.4,0.12,0.14
ED,Série A,0.3,79.96,37.27,0.51,2.18,54.74,,1.68,0.24,0.0,0.49,1.82,3.32,2.74,,4.19,2.06,0.0,1.83,0.09,4.98,2.24,0.12,0.16
ED,Série B,0.22,74.73,30.09,0.25,2.38,51.82,,1.71,0.0,0.0,0.62,1.57,3.26,2.82,,4.06,2.28,0.0,1.89,0.07,4.07,2.54,0.13,0.17
EE,5 grandes,0.42,77.78,29.29,0.32,2.41,56.35,,1.35,0.1,0.0,0.54,1.27,2.79,2.84,,3.94,2.91,0.0,1.72,0.13,4.64,2.95,0.13,0.2
EE,Argentina A,0.44,72.48,31.03,0.86,2.2,59.7,,1.42,0.22,0.0,0.44,1.82,3.99,2.32,,3.97,2.07,0.0,1.63,0.18,5.76,2.23,0.08,0.15
EE,Série A,0.4,78.59,34.47,0.16,2.49,52.3,,1.54,0.03,0.0,0.51,1.2,3.31,2.34,,3.18,2.56,0.0,2.06,0.05,5.18,2.66,0.12,0.2
EE,Série B,0.15,78.16,31.25,0.26,2.25,52.85,,1.41,0.09,0.0,0.6,1.48,2.99,2.22,,3.33,1.67,0.0,1.69,0.0,4.81,2.09,0.12,0.15
