evento,ano,data,clube,sid,nome,motivo,tipo
10114630,2022,2022-04-30 19:30:00,Grêmio,66471,Martin Braithwaite,lesão,doubtful
12146201,2024,2024-04-21 21:00:00,Ponte Preta,1103059,Marcio Silva,lesão,missing
12146204,2024,2024-04-20 19:30:00,Santos,1589458,Rodrigo Falcão,lesão,missing
12146204,2024,2024-04-20 19:30:00,paysandu sc,1487136,Cláudio Vitor,lesão,doubtful
12146210,2024,2024-04-28 21:30:00,Ponte Preta,1103059,Marcio Silva,lesão,missing
12146215,2024,2024-04-26 23:00:00,Santos,1589458,Rodrigo Falcão,lesão,missing
12146222,2024,2024-05-06 23:00:00,Ponte Preta,1103059,Marcio Silva,lesão,missing
12146225,2024,2024-05-07 00:00:00,Santos,1589458,Rodrigo Falcão,lesão,missing
12146239,2024,2024-05-11 20:00:00,Ponte Preta,1103059,Marcio Silva,lesão,missing
12146240,2024,2024-05-11 20:00:00,Santos,1589458,Rodrigo Falcão,lesão,missing
12146243,2024,2024-05-16 00:30:00,Ponte Preta,1103059,Marcio Silva,lesão,missing
12146243,2024,2024-05-16 00:30:00,Santos,1589458,Rodrigo Falcão,lesão,missing
12146258,2024,2024-05-19 14:00:00,Santos,1589458,Rodrigo Falcão,lesão,missing
12146259,2024,2024-05-21 20:00:00,Ponte Preta,1103059,Marcio Silva,lesão,missing
12146267,2024,2024-05-26 19:00:00,Ponte Preta,1103059,Marcio Silva,lesão,missing
12146268,2024,2024-05-25 00:30:00,Santos,1589458,Rodrigo Falcão,lesão,missing
12146280,2024,2024-06-02 19:00:00,Ponte Preta,1103059,Marcio Silva,lesão,missing
12146284,2024,2024-06-03 23:00:00,Santos,1589458,Rodrigo Falcão,lesão,missing
12146289,2024,2024-06-08 00:00:00,Santos,1589458,Rodrigo Falcão,lesão,missing
12146290,2024,2024-06-09 21:30:00,Ponte Preta,1103059,Marcio Silva,lesão,missing
12146291,2024,2024-06-09 19:00:00,Chapecoense,795019,Rômulo,lesão,doubtful
12146297,2024,2024-06-15 20:00:00,Ponte Preta,1103059,Marcio Silva,lesão,missing
12146303,2024,2024-06-14 22:00:00,Santos,1589458,Rodrigo Falcão,lesão,missing
12146304,2024,2024-06-14 00:00:00,Chapecoense,795019,Rômulo,lesão,doubtful
12146308,2024,2024-06-20 00:00:00,Ponte Preta,1103059,Marcio Silva,lesão,missing
12146310,2024,2024-06-19 22:00:00,Santos,1589458,Rodrigo Falcão,lesão,missing
12146311,2024,2024-06-18 00:00:00,Chapecoense,795019,Rômulo,lesão,doubtful
12146318,2024,2024-06-26 00:00:00,Ponte Preta,1103059,Marcio Silva,lesão,missing
12146319,2024,2024-06-25 22:00:00,Santos,1589458,Rodrigo Falcão,lesão,missing
