indicador,k,n,r_rendimento,r_ppj,r_valor,r_dentro_clube,pts_q4,pts_q1,sobe,meio,cai
Grandes chances criadas,bc_criadas,78,0.37,0.5,0.4,0.33,55.75,41.9,1.596,1.461,1.174
Grandes chances cedidas,bc_cedidas,78,-0.4,-0.48,-0.21,-0.33,47.15,59.15,1.233,1.424,1.667
Grandes chances perdidas,bc_perdidas,78,0.16,0.26,0.25,0.06,54.05,47.85,1.037,1.01,0.903
Conversão de grandes chances %,bc_conv,78,0.26,0.29,0.08,0.34,55.05,48.0,0.644,0.578,0.55
Chutes dentro da área,chutes_area,78,0.51,0.62,0.36,0.11,62.75,43.762,7.658,7.045,6.372
Chutes dentro da área sofridos,chutes_area_adv,78,-0.42,-0.54,-0.35,-0.1,43.2,59.2,6.469,6.936,7.857
% dos chutes dentro da área,pct_area,78,0.39,0.49,0.27,0.11,60.25,46.55,0.569,0.529,0.496
% dos chutes sofridos dentro da área,pct_area_adv,78,-0.29,-0.4,-0.22,-0.11,45.9,56.05,0.5,0.532,0.554
Entradas no terço final,terco_final,78,0.25,0.33,0.24,-0.15,57.8,49.9,59.098,58.746,56.667
Entradas no terço final cedidas,terco_final_adv,78,-0.1,-0.35,-0.56,0.15,45.05,56.55,55.623,58.806,60.181
Posse 1º tempo,posse_1t,78,0.17,0.39,0.54,-0.03,58.2,46.75,52.305,49.721,48.318
Posse 2º tempo,posse_2t,78,-0.04,0.16,0.41,-0.44,55.05,47.0,50.975,49.955,49.028
Chutes sofridos 1º tempo,chutes_sof_1t,78,-0.38,-0.45,-0.26,-0.13,45.7,58.7,6.075,6.139,6.758
Chutes sofridos 2º tempo,chutes_sof_2t,78,-0.23,-0.29,-0.18,0.05,45.857,56.45,6.827,6.846,7.444
Defesas do goleiro,defesas_gk,78,-0.2,-0.26,-0.21,0.01,47.35,57.15,2.872,2.954,3.058
Minutos com momentum a favor %,mom_pct,78,0.27,0.5,0.57,-0.08,58.85,46.3,0.536,0.499,0.465
Momentum nos 15 finais,mom_ult15,78,0.13,0.3,0.39,-0.29,56.3,49.15,27.41,-0.155,-25.58
Momentum no 2º tempo,mom_t2,78,0.14,0.32,0.44,-0.21,55.9,46.8,66.395,2.906,-81.732
Jogador-jogos perdidos por lesão,jogador_jogos_lesao,78,-0.05,0.08,0.22,,52.3,50.837,24.625,19.34,17.267
Jogador-jogos por suspensão,jogador_jogos_suspensao,78,-0.06,0.01,0.17,,51.705,51.475,5.375,5.66,4.067
Titulares distintos no ano,titulares_distintos,78,-0.66,-0.56,0.02,,43.833,58.045,31.188,33.043,38.8
Titularidades dos 11 mais usados %,onze_fixo_pct,78,0.56,0.51,0.07,,59.2,44.75,0.706,0.668,0.615
Nota Sofascore média do time,nota_media,78,0.47,0.67,0.52,,61.4,40.2,7.026,6.959,6.899
Desvio da nota (irregularidade),nota_desvio,78,0.21,0.33,0.3,,56.55,48.45,0.497,0.478,0.472
