indicador,n_pares,r_ano_seguinte,mesmo_clube
Duelos ofensivos/90,316,0.644,151
Passes longos/90,316,0.641,151
Passes p/ área/90,316,0.626,151
Passes p/ frente/90,316,0.62,151
Jogos sem sofrer gol,316,0.603,151
Passes/90,316,0.581,151
Faltas sofridas/90,316,0.579,151
Dribles/90,316,0.578,151
Corridas progressivas/90,316,0.57,151
Cruzamentos/90,316,0.568,151
Finalizações/90,316,0.543,151
Faltas/90,316,0.507,151
Passes progressivos/90,316,0.503,151
Toques na área/90,316,0.497,151
Passes recebidos/90,316,0.496,151
xG sofrido/90,316,0.483,151
Duelos defensivos/90,316,0.475,151
Passes terço final/90,316,0.474,151
Acelerações c/ bola/90,316,0.454,151
Passes certos %,316,0.45,151
Amarelos/90,316,0.437,151
Desarmes/90,316,0.436,151
Duelos aéreos ganhos %,316,0.425,151
Passes em profundidade/90,316,0.425,151
Desarmes ajust. posse,316,0.418,151
Ações defensivas c/ êxito/90,316,0.413,151
Recepções em profundidade/90,316,0.403,151
Passes p/ frente certos %,316,0.392,151
Interceptações ajust. posse,316,0.384,151
Interceptações/90,316,0.384,151
xG/90,316,0.382,151
Passes terço final certos %,316,0.354,151
Passes p/ finalização/90,316,0.331,151
xA/90,316,0.312,151
Gols de cabeça/90,316,0.287,151
Passes progressivos certos %,316,0.263,151
Bloqueios/90,316,0.254,151
Passes inteligentes/90,316,0.247,151
Passes longos certos %,316,0.245,151
Conversão %,316,0.236,151
Gols/90,316,0.232,151
Duelos defensivos ganhos %,316,0.22,151
Assistências/90,316,0.213,151
Passes chave/90,316,0.204,151
Duelos ofensivos ganhos %,316,0.185,151
Defesas %,316,0.125,151
Cruzamentos certos %,316,0.101,151
Finalizações no alvo %,316,0.069,151
Dribles certos %,316,0.031,151
