posicao,indicador,qtd_ref,qtd_outros,ref_p25,ref_p50,ref_p75,outros_p50,dif_pct
GOL,Defesas %,19,40,75.37,77.27,78.99,76.32,1.3
GOL,Gols sofridos/90,19,40,0.68,0.72,0.86,0.9,-20.4
GOL,xG sofrido/90,19,40,0.7,0.83,0.92,1.02,-18.2
GOL,Gols evitados (xG − gols)/90,19,40,-0.02,0.06,0.16,0.07,-22.8
GOL,Jogos sem sofrer gol,19,40,11.0,13.0,16.5,11.0,18.2
GOL,Saídas/90,19,40,1.52,1.7,1.97,1.68,0.9
GOL,Passes certos %,19,40,81.15,83.86,89.34,84.22,-0.4
GOL,Passes longos/90,19,40,4.44,5.91,6.78,5.74,3.1
GOL,Passes longos certos %,19,40,61.72,63.46,65.16,61.07,3.9
GOL,Duelos aéreos ganhos %,19,40,88.73,92.86,100.0,89.09,4.2
LD,Gols/90,7,29,0.0,0.03,0.04,0.03,0.0
LD,xG/90,7,29,0.02,0.04,0.04,0.03,33.3
LD,Assistências/90,7,29,0.03,0.06,0.1,0.04,50.0
LD,xA/90,7,29,0.06,0.07,0.12,0.09,-22.2
LD,Finalizações/90,7,29,0.48,0.71,0.84,0.58,22.4
LD,Finalizações no alvo %,7,29,22.18,26.92,35.84,26.92,0.0
LD,Conversão %,7,29,0.0,1.96,7.5,5.88,-66.7
LD,Toques na área/90,7,29,0.71,0.85,0.98,0.67,26.9
LD,Corridas progressivas/90,7,29,1.53,1.9,2.28,1.49,27.5
LD,Acelerações c/ bola/90,7,29,0.48,0.59,0.86,0.36,63.9
LD,Dribles/90,7,29,1.81,2.49,3.06,1.96,27.0
LD,Dribles certos %,7,29,56.4,58.62,64.66,55.41,5.8
LD,Duelos ofensivos/90,7,29,3.99,5.06,6.32,4.7,7.7
LD,Duelos ofensivos ganhos %,7,29,50.54,51.56,52.66,45.68,12.9
LD,Passes/90,7,29,34.38,36.49,40.75,36.51,-0.1
LD,Passes certos %,7,29,75.7,77.66,81.11,77.92,-0.3
LD,Passes p/ frente/90,7,29,13.76,14.42,16.22,14.15,1.9
LD,Passes p/ frente certos %,7,29,65.18,69.67,74.74,70.44,-1.1
LD,Passes longos/90,7,29,4.44,4.78,5.22,4.26,12.2
LD,Passes longos certos %,7,29,50.4,51.27,51.44,48.87,4.9
LD,Passes progressivos/90,7,29,7.97,9.04,9.23,8.31,8.8
LD,Passes progressivos certos %,7,29,72.03,77.19,78.54,73.32,5.3
LD,Passes terço final/90,7,29,4.12,5.24,7.38,4.92,6.5
LD,Passes terço final certos %,7,29,63.84,68.89,77.17,68.18,1.0
