posicao,indicador,n,n_ref,r,ic_baixo,ic_alto,p_boot
GOL,Defesas %,59,19,0.416,0.193,0.575,0.0
GOL,Gols sofridos/90,59,19,-0.606,-0.743,-0.411,0.0
GOL,xG sofrido/90,59,19,-0.542,-0.708,-0.319,0.0
GOL,Gols evitados (xG − gols)/90,59,19,0.126,-0.155,0.379,0.1807
GOL,Jogos sem sofrer gol,59,19,0.334,0.077,0.566,0.006
GOL,Saídas/90,59,19,-0.128,-0.387,0.138,0.1407
GOL,Passes certos %,59,19,0.058,-0.215,0.342,0.3373
GOL,Passes longos/90,59,19,-0.024,-0.29,0.251,0.442
GOL,Passes longos certos %,59,19,0.096,-0.128,0.336,0.2013
GOL,Duelos aéreos ganhos %,59,19,0.184,-0.084,0.428,0.0913
LD,Gols/90,36,7,-0.249,-0.556,0.098,0.0813
LD,xG/90,36,7,-0.214,-0.541,0.112,0.1007
LD,Assistências/90,36,7,0.278,-0.016,0.557,0.0327
LD,xA/90,36,7,0.179,-0.136,0.494,0.128
LD,Finalizações/90,36,7,-0.092,-0.412,0.223,0.2627
LD,Finalizações no alvo %,36,7,-0.095,-0.41,0.225,0.2873
LD,Conversão %,36,7,-0.17,-0.485,0.177,0.1813
LD,Toques na área/90,36,7,-0.034,-0.419,0.321,0.402
LD,Corridas progressivas/90,36,7,-0.016,-0.365,0.326,0.4373
LD,Acelerações c/ bola/90,36,7,-0.081,-0.418,0.257,0.3107
LD,Dribles/90,36,7,0.105,-0.236,0.424,0.296
LD,Dribles certos %,36,7,0.065,-0.252,0.346,0.332
LD,Duelos ofensivos/90,36,7,-0.007,-0.325,0.289,0.446
LD,Duelos ofensivos ganhos %,36,7,0.273,-0.034,0.528,0.0407
LD,Passes/90,36,7,-0.087,-0.396,0.24,0.3293
LD,Passes certos %,36,7,-0.208,-0.477,0.115,0.1147
LD,Passes p/ frente/90,36,7,0.01,-0.279,0.288,0.4673
LD,Passes p/ frente certos %,36,7,-0.297,-0.562,0.041,0.0393
LD,Passes longos/90,36,7,0.35,0.025,0.602,0.0193
LD,Passes longos certos %,36,7,-0.109,-0.428,0.235,0.276
LD,Passes progressivos/90,36,7,0.267,-0.019,0.544,0.0313
LD,Passes progressivos certos %,36,7,-0.045,-0.475,0.334,0.4147
LD,Passes terço final/90,36,7,0.191,-0.115,0.476,0.1107
LD,Passes terço final certos %,36,7,-0.216,-0.479,0.093,0.0847
LD,Passes p/ área/90,36,7,0.296,-0.028,0.579,0.034
LD,Passes inteligentes/90,36,7,-0.267,-0.557,0.119,0.0887
LD,Passes chave/90,36,7,0.104,-0.174,0.408,0.2487
LD,Passes em profundidade/90,36,7,0.251,-0.05,0.501,0.05
LD,Passes p/ finalização/90,36,7,-0.184,-0.497,0.209,0.1527
LD,Cruzamentos/90,36,7,0.271,-0.044,0.538,0.044
LD,Cruzamentos certos %,36,7,-0.231,-0.549,0.108,0.0767
LD,Passes recebidos/90,36,7,-0.032,-0.351,0.333,0.468
LD,Recepções em profundidade/90,36,7,-0.076,-0.439,0.371,0.3767
LD,Ações defensivas c/ êxito/90,36,7,0.036,-0.302,0.331,0.4013
LD,Duelos defensivos/90,36,7,-0.029,-0.381,0.297,0.4253
LD,Duelos defensivos ganhos %,36,7,-0.112,-0.454,0.228,0.2387
LD,Duelos aéreos ganhos %,36,7,0.115,-0.163,0.402,0.2213
LD,Desarmes/90,36,7,0.019,-0.314,0.364,0.4467
LD,Desarmes ajust. posse,36,7,0.013,-0.32,0.359,0.4653
LD,Interceptações/90,36,7,0.152,-0.2,0.424,0.19
LD,Interceptações ajust. posse,36,7,0.103,-0.221,0.37,0.2753
LD,Bloqueios/90,36,7,0.05,-0.26,0.308,0.3673
LD,Faltas/90,36,7,0.176,-0.175,0.5,0.136
LD,Amarelos/90,36,7,0.056,-0.227,0.369,0.34
LD,Gols de cabeça/90,36,7,-0.03,-0.562,0.484,0.444
LD,Faltas sofridas/90,36,7,0.244,-0.116,0.546,0.0953
ZD,Gols/90,55,21,0.011,-0.224,0.236,0.4867
ZD,xG/90,55,21,0.059,-0.179,0.283,0.3467
ZD,Assistências/90,55,21,0.352,0.097,0.587,0.0033
ZD,xA/90,55,21,0.104,-0.136,0.319,0.174
ZD,Finalizações/90,55,21,0.105,-0.165,0.32,0.2287
ZD,Finalizações no alvo %,55,21,0.139,-0.114,0.371,0.1433
ZD,Conversão %,55,21,-0.035,-0.302,0.273,0.398
