id,nome,n_jogos,r_dentro_do_clube,ic_baixo,ic_alto,pts_por_jogo_top_menos_fundo
xg_por_rem,xG por finalização,3036,0.277,0.244,0.315,0.86
intercep,Interceptações por jogo,3036,0.271,0.241,0.298,0.81
xg_por_rem_sof,xG por finalização sofrida,3036,0.259,0.231,0.29,0.79
longos_pct,% de passe longo,3036,0.208,0.18,0.238,0.6
xg,xG criado por jogo,3036,0.193,0.155,0.239,0.58
recup_curto,Recuperações rápidas (curto),3036,0.193,0.159,0.229,0.58
contra,Contra-ataques por jogo,3036,0.191,0.157,0.225,0.56
xg_sof,xG sofrido por jogo,3036,0.167,0.135,0.201,0.5
dist_rem_sof,Distância média da finalização sofrida (m),3036,0.138,0.105,0.172,0.4
dist_rem,Distância média da finalização (m),3036,0.133,0.102,0.162,0.43
entradas_corrida,Entradas na área por corrida,3036,0.122,0.078,0.169,0.41
contra_rem_pct,Contra-ataques com finalização (%),3036,0.119,0.085,0.154,0.33
rem_fora_pct,% das finalizações de fora da área,3036,0.119,0.093,0.145,0.36
rem_fora_sof_pct,% das finalizações sofridas de fora da área,3036,0.114,0.084,0.145,0.33
perdas,Perdas de bola por jogo,3036,0.113,0.085,0.14,0.29
duel_aer_pct,Duelos aéreos ganhos (%),3036,0.07,0.034,0.105,0.2
duelos_pct,Duelos ganhos (%),3036,0.028,-0.01,0.065,0.06
cruz_pct,Cruzamentos certos (%),3036,0.024,-0.013,0.062,0.05
intel,Passes inteligentes por jogo,3036,0.008,-0.035,0.053,0.07
carrinhos,Carrinhos por jogo,3036,0.004,-0.026,0.033,0.05
duel_of_pct,Duelos ofensivos ganhos (%),3036,-0.025,-0.07,0.024,-0.07
duel_def_pct,Duelos defensivos ganhos (%),3036,-0.032,-0.061,0.001,-0.09
recup,Recuperações por jogo,3036,-0.041,-0.071,-0.01,-0.11
rem,Finalizações por jogo,3036,-0.043,-0.078,0.0,-0.14
rem_sof,Finalizações sofridas por jogo,3036,-0.059,-0.098,-0.016,-0.15
toques,Toques na área por jogo,3036,-0.065,-0.098,-0.027,-0.2
toques_sof,Toques na área sofridos por jogo,3036,-0.065,-0.095,-0.032,-0.17
bp_rem,Bolas paradas com finalização,3036,-0.092,-0.123,-0.056,-0.3
intens,Intensidade de jogo,3036,-0.096,-0.14,-0.057,-0.39
faltas,Faltas por jogo,3036,-0.124,-0.155,-0.092,-0.38
ppda_sof,PPDA do adversário (pressão sofrida),3036,-0.124,-0.158,-0.092,-0.42
bp,Bolas paradas por jogo,3036,-0.144,-0.176,-0.11,-0.41
ppda,PPDA (passes do adversário por ação defensiva),3036,-0.147,-0.185,-0.111,-0.58
passes_pct,Passes certos (%),3036,-0.159,-0.184,-0.135,-0.52
cantos,Escanteios por jogo,3036,-0.181,-0.219,-0.142,-0.54
cantos_sof,Escanteios sofridos por jogo,3036,-0.185,-0.213,-0.155,-0.6
prog,Passes progressivos por jogo,3036,-0.226,-0.263,-0.185,-0.67
perdas_curto,Perdas no campo próprio (curto),3036,-0.246,-0.277,-0.214,-0.76
posicional,Ataques posicionais por jogo,3036,-0.268,-0.3,-0.234,-0.83
entradas,Entradas na área por jogo,3036,-0.277,-0.311,-0.237,-0.81
passes,Passes por jogo,3036,-0.312,-0.34,-0.283,-0.95
cruz,Cruzamentos por jogo,3036,-0.313,-0.343,-0.278,-0.96
entradas_cruz,Entradas na área por cruzamento,3036,-0.318,-0.348,-0.285,-0.97
terco,Passes ao terço final por jogo,3036,-0.328,-0.357,-0.299,-1.04
posse,Posse (%),3036,-0.364,-0.393,-0.333,-1.1
