id,nome,n,r,ic_baixo,ic_alto,p_boot,r_sem_fronteira,r_pontos_brutos,top_menos_fundo_pts38,mediana_sobe,mediana_meio,mediana_cai
xg_sof,xG sofrido por jogo,80,0.472,0.297,0.623,0.0,0.392,0.557,11.9,1.02,1.18,1.35
dist_rem,Distância média da finalização (m),80,0.429,0.226,0.599,0.0,0.325,0.555,11.0,19.52,20.47,21.27
xg,xG criado por jogo,80,0.421,0.273,0.551,0.0,0.284,0.558,11.3,1.28,1.18,1.11
bp_rem,Bolas paradas com finalização,80,0.386,0.21,0.546,0.0,0.31,0.375,8.5,3.71,3.72,3.59
toques_sof,Toques na área sofridos por jogo,80,0.381,0.149,0.572,0.0003,0.283,0.528,9.6,12.78,13.93,15.64
rem_fora_pct,% das finalizações de fora da área,80,0.381,0.175,0.555,0.0,0.258,0.491,10.3,45.6,50.61,54.1
xg_por_rem_sof,xG por finalização sofrida,80,0.364,0.162,0.548,0.0,0.319,0.419,9.0,0.09,0.1,0.1
xg_por_rem,xG por finalização,80,0.362,0.171,0.526,0.0,0.221,0.478,9.9,0.11,0.1,0.09
rem_sof,Finalizações sofridas por jogo,80,0.347,0.112,0.535,0.0013,0.32,0.417,10.4,11.62,12.05,13.71
duel_aer_pct,Duelos aéreos ganhos (%),80,0.335,0.118,0.528,0.0017,0.229,0.375,9.1,45.54,46.15,44.34
cantos_sof,Escanteios sofridos por jogo,80,0.301,0.129,0.482,0.0007,0.311,0.416,7.6,4.47,4.97,5.38
terco,Passes ao terço final por jogo,80,0.284,0.109,0.448,0.001,0.232,0.432,6.7,54.05,51.3,49.13
perdas_curto,Perdas no campo próprio (curto),80,0.276,0.118,0.431,0.0003,0.343,0.386,7.3,18.11,19.03,19.38
duelos_pct,Duelos ganhos (%),80,0.262,0.038,0.485,0.01,0.123,0.227,6.2,48.43,47.78,47.69
toques,Toques na área por jogo,80,0.261,0.072,0.433,0.0017,0.145,0.462,8.0,15.22,14.03,13.55
rem_fora_sof_pct,% das finalizações sofridas de fora da área,80,0.258,0.101,0.419,0.0007,0.092,0.336,6.8,52.09,49.34,47.57
dist_rem_sof,Distância média da finalização sofrida (m),80,0.254,0.053,0.439,0.0073,0.143,0.324,7.8,20.9,20.27,20.1
prog,Passes progressivos por jogo,80,0.248,0.01,0.441,0.0203,0.2,0.29,4.9,68.91,67.84,67.5
entradas,Entradas na área por jogo,80,0.224,0.04,0.394,0.0093,0.136,0.412,7.7,23.62,21.84,20.8
posicional,Ataques posicionais por jogo,80,0.222,0.027,0.395,0.0133,0.083,0.385,5.4,29.18,28.49,26.95
faltas,Faltas por jogo,80,0.216,0.018,0.427,0.0143,0.282,0.21,6.3,13.67,14.35,13.82
ppda_sof,PPDA do adversário (pressão sofrida),80,0.207,-0.025,0.427,0.0383,0.214,0.376,6.0,11.49,9.87,9.77
entradas_cruz,Entradas na área por cruzamento,80,0.197,-0.024,0.407,0.0393,0.126,0.286,4.2,9.88,10.2,8.88
rem,Finalizações por jogo,80,0.197,-0.023,0.4,0.032,0.134,0.287,5.3,12.62,12.28,11.82
cruz,Cruzamentos por jogo,80,0.192,-0.037,0.398,0.0503,0.052,0.283,5.2,15.63,15.87,14.14
duel_def_pct,Duelos defensivos ganhos (%),80,0.181,-0.04,0.388,0.053,0.145,0.247,4.7,60.77,59.78,59.61
passes,Passes por jogo,80,0.17,-0.06,0.403,0.0767,0.283,0.283,5.6,401.46,380.03,366.09
cruz_pct,Cruzamentos certos (%),80,0.168,-0.057,0.367,0.0727,0.105,0.26,4.8,33.6,33.06,31.09
contra,Contra-ataques por jogo,80,0.158,-0.08,0.401,0.0947,0.128,0.141,3.7,1.2,1.05,1.13
ppda,PPDA (passes do adversário por ação defensiva),80,0.139,-0.029,0.308,0.0573,0.059,0.371,2.8,9.69,10.13,11.19
intens,Intensidade de jogo,80,0.133,-0.082,0.326,0.1107,0.161,0.169,2.4,15.69,15.55,15.36
contra_rem_pct,Contra-ataques com finalização (%),80,0.109,-0.074,0.307,0.1293,0.072,0.098,3.0,27.65,24.14,25.49
perdas,Perdas de bola por jogo,80,0.091,-0.124,0.334,0.2057,0.233,0.067,3.2,104.2,105.86,105.28
posse,Posse (%),80,0.088,-0.141,0.31,0.221,0.09,0.298,3.8,51.4,49.78,48.46
entradas_corrida,Entradas na área por corrida,80,0.085,-0.126,0.292,0.205,0.044,0.257,3.4,3.0,2.51,2.53
recup,Recuperações por jogo,80,0.065,-0.19,0.292,0.298,-0.091,0.124,0.9,78.38,77.92,77.5
passes_pct,Passes certos (%),80,0.044,-0.199,0.292,0.3663,0.213,0.18,3.0,82.17,81.29,80.89
cantos,Escanteios por jogo,80,0.042,-0.186,0.258,0.3493,-0.071,0.218,1.1,5.3,5.14,5.03
longos_pct,% de passe longo,80,0.041,-0.216,0.274,0.3677,-0.083,-0.162,-1.5,11.62,12.01,12.16
duel_of_pct,Duelos ofensivos ganhos (%),80,0.0,-0.208,0.222,0.4713,-0.004,-0.004,-1.0,40.17,39.97,40.69
intel,Passes inteligentes por jogo,80,-0.034,-0.22,0.157,0.3593,0.005,0.103,-0.8,1.8,2.13,1.91
intercep,Interceptações por jogo,80,-0.059,-0.294,0.152,0.2853,-0.163,-0.194,1.1,39.42,39.64,40.39
recup_curto,Recuperações rápidas (curto),80,-0.116,-0.331,0.113,0.154,-0.155,-0.34,-3.4,34.39,36.14,36.97
carrinhos,Carrinhos por jogo,80,-0.162,-0.348,0.035,0.0513,-0.117,-0.068,-5.4,3.34,2.97,3.47
bp,Bolas paradas por jogo,80,-0.167,-0.386,0.07,0.0863,-0.151,-0.205,-3.6,27.58,28.07,28.55
