ano,clube,jogador,pos11,idade,minutos,fatia,Contrato termina,Cantos/90,Livres/90,Livres directos/90,Assistências esperadas/90,Passes para a área de penálti/90,Cruzamentos/90,"Cruzamentos certos, %",rendimento,faixa,cantos_temp,livres_temp
2022,Vasco,Nenê,MEI,40.0,2570,0.6795183039684638,,4.27,2.45,0.42,0.28,4.76,3.54,40.59,0.0703163200791106,Sobe,121.93222222222222,69.96111111111112
2022,Sport,Luciano Juba,EE,23.0,3405,0.9081100739483574,2029-12-31,3.15,1.77,0.5,0.2,4.1,3.22,31.97,0.10876017669562454,Meio,119.175,66.965
2022,Náutico,Jean Carlos,MEI,30.0,2702,0.715572033898305,2027-12-31,3.93,2.4,0.8,0.16,3.03,2.73,40.24,-0.5603728775246417,Cai,117.98733333333334,72.05333333333334
2022,Vila Nova,Matheuzinho,ED,29.0,1911,0.49609421093620937,,3.72,2.54,0.24,0.23,2.68,2.03,55.81,0.0046557676533542924,Meio,78.988,53.93266666666667
2022,Brusque,Airton,LE,33.0,2482,0.6589115482080367,2026-09-30,2.83,1.41,0.07,0.18,3.34,3.73,44.66,-0.15078874981208978,Cai,78.04511111111111,38.88466666666667
2022,Londrina,João Paulo,VOL,37.0,3336,0.8890611750454269,,2.08,1.36,0.19,0.08,0.5,0.3,54.55,0.22893520831096859,Meio,77.09866666666667,50.410666666666664
2022,Ponte Preta,Élvis,MEI,31.0,1412,0.37332051436125463,2026-11-30,4.84,4.46,0.57,0.4,4.21,1.91,43.33,-0.16202681237652006,Meio,75.93422222222222,69.97244444444443
2022,Tombense,Jean Lucas,EE,27.0,2527,0.6769849001461277,2026-12-31,2.47,0.76,0.18,0.16,2.58,1.6,22.73,0.17052437043767044,Meio,69.35211111111111,21.339111111111112
2022,Criciúma,Fellipe Mateus,MED,31.0,2895,0.7583948559180756,2026-12-31,1.99,1.59,0.31,0.21,1.93,1.68,50.0,0.3122380378239036,Meio,64.01166666666667,51.145
2022,CRB,Rafael Longuine,MEI,32.0,1962,0.5241657356584253,,2.89,2.06,0.32,0.11,1.97,0.92,35.0,-0.06933256682494893,Meio,63.002,44.908
2022,Operário-PR,Tomás Bastos,MED,30.0,1326,0.35942928956901016,2026-12-31,4.21,2.78,0.61,0.16,1.36,1.29,36.84,-0.39133416123100295,Cai,62.02733333333333,40.958666666666666
2022,Guarani,Giovanni Augusto,MEI,32.0,2294,0.6190114068441065,2027-12-31,2.35,1.49,0.16,0.22,3.77,2.59,37.88,0.053639264952930255,Meio,59.8988888888889,37.97844444444444
2022,Vila Nova,Arthur Rezende,VOL,28.0,2653,0.6887168715927595,,2.0,1.7,0.24,0.11,1.7,0.98,44.83,0.0046557676533542924,Meio,58.955555555555556,50.112222222222215
2022,Sampaio Corrêa,Pimentinha,ED,34.0,2388,0.6355058789374365,,2.19,0.75,0.0,0.23,3.05,2.19,48.28,0.4733855144264345,Meio,58.108000000000004,19.9
2022,Náutico,Souza,MED,34.0,1412,0.3739406779661017,,3.63,1.72,0.57,0.16,1.47,0.96,40.0,-0.5603728775246417,Cai,56.95066666666666,26.984888888888886
2022,Bahia,Vitor Jacaré,EE,22.0,2098,0.5654986522911051,2026-12-31,2.4,0.86,0.13,0.18,3.86,3.86,26.67,0.16512566879886736,Sobe,55.946666666666665,20.047555555555554
2022,Grêmio,Nicolas,LE,25.0,2141,0.6318175720992623,2026-11-30,2.31,0.88,0.13,0.16,3.19,3.83,40.66,0.025855751827733586,Sobe,54.952333333333335,20.93422222222222
2022,Grêmio,J. Campaz,MEI,22.0,1525,0.4500335345405768,2026-12-31,3.19,1.12,0.12,0.13,3.36,2.89,26.53,0.025855751827733586,Sobe,54.05277777777778,18.97777777777778
2022,Ituano,Kaio Mendes,ED,27.0,2336,0.6195539481615431,,2.04,1.0,0.19,0.13,2.2,2.5,52.31,0.3504136826485551,Meio,52.94933333333334,25.955555555555556
2022,Criciúma,Thiago Alagoano,EE,33.0,1671,0.4377470826387235,,2.69,1.02,0.16,0.34,1.67,1.72,56.25,0.3122380378239036,Meio,49.94433333333333,18.938000000000002
2022,Novorizontino,D. Torres,MEI,31.0,1790,0.4788889969841424,,2.46,1.86,0.25,0.12,2.16,0.8,43.75,-0.13704714893867997,Meio,48.92666666666666,36.99333333333333
2022,Cruzeiro,Filipe Machado,MED,26.0,2077,0.554229435024137,2027-12-31,2.08,0.69,0.22,0.12,1.43,1.08,48.0,0.5032450477868315,Sobe,48.001777777777775,15.923666666666666
2022,Guarani,Jamerson,LE,23.0,1716,0.4630442781798111,2026-12-31,2.47,0.58,0.1,0.15,3.3,4.04,33.77,0.053639264952930255,Meio,47.09466666666667,11.058666666666666
2022,Ituano,Gerson Magrão,MEI,37.0,1409,0.37369499698613623,,2.94,1.47,0.0,0.14,2.62,2.11,21.21,0.3504136826485551,Meio,46.02733333333333,23.013666666666666
2022,Operário-PR,J. Reina,MEI,33.0,1789,0.4849313718242528,2026-12-31,2.26,1.71,0.05,0.1,2.11,1.31,30.77,-0.39133416123100295,Cai,44.92377777777777,33.991
2022,Bahia,Lucas Mugni,VOL,30.0,2201,0.5932614555256065,2027-12-31,1.8,0.78,0.2,0.19,3.31,2.9,33.8,0.16512566879886736,Sobe,44.02,19.075333333333333
2022,Cruzeiro,Matheus Bidu,LE,23.0,2276,0.6073308589864881,2027-12-31,1.66,0.55,0.16,0.09,4.78,5.26,33.83,0.5032450477868315,Sobe,41.97955555555556,13.90888888888889
2022,Cruzeiro,Bruno Rodrigues,EE,25.0,1524,0.4066661815006186,2028-12-31,2.42,0.94,0.41,0.2,5.02,4.31,28.77,0.5032450477868315,Sobe,40.97866666666667,15.917333333333334
2022,CSA,Diego Renan,LE,32.0,2844,0.7606866702329427,,1.27,0.41,0.06,0.08,3.2,2.88,39.56,-0.2412591642698685,Cai,40.132,12.956
2022,Criciúma,Marquinhos Gabriel,CA,32.0,1731,0.4534651107406525,2027-11-30,2.08,1.25,0.21,0.14,3.54,2.55,38.78,0.3122380378239036,Meio,40.00533333333333,24.041666666666668
2022,Sport,Giovanni,MEI,28.0,1469,0.3917808219178082,,2.27,0.67,0.12,0.08,3.61,1.04,17.65,0.10876017669562454,Meio,37.05144444444444,10.93588888888889
2022,Ituano,Raí Ramos,LD,28.0,1715,0.4548523206751055,2027-12-31,1.89,1.26,0.16,0.17,3.15,4.15,34.18,0.3504136826485551,Meio,36.015,24.01
2022,Chapecoense,Maílton,LD,24.0,1186,0.3183970322643628,2027-12-31,2.73,1.97,0.53,0.21,4.63,4.33,28.07,-0.16469053487358654,Meio,35.97533333333334,25.960222222222225
2022,Londrina,Caprini,ED,24.0,3325,0.8861296184130829,,0.95,1.25,0.36,0.1,2.87,2.03,34.25,0.22893520831096859,Meio,35.09722222222222,46.18055555555556
2022,CSA,Osvaldo,EE,35.0,2144,0.5734571803725138,2026-12-31,1.47,0.46,0.0,0.16,4.16,3.61,31.4,-0.2412591642698685,Cai,35.01866666666667,10.958222222222222
2022,Guarani,Diogo Mateus,LD,29.0,1782,0.4808536734944192,2026-10-31,1.62,1.21,0.4,0.12,3.23,2.88,42.11,0.053639264952930255,Meio,32.076,23.958
2022,CSA,Lucas Marques,LD,24.0,1381,0.36937703642464625,,2.09,0.65,0.13,0.1,3.65,4.3,34.85,-0.2412591642698685,Cai,32.06988888888889,9.973888888888888
2022,Vila Nova,Wagner,MEI,37.0,1559,0.404715266797253,,1.85,1.04,0.23,0.1,1.79,1.1,31.58,0.0046557676533542924,Meio,32.04611111111111,18.015111111111114
2022,Cruzeiro,Neto Moura,MED,25.0,2465,0.6577638696843995,2026-12-31,1.17,0.22,0.07,0.07,1.5,0.51,28.57,0.5032450477868315,Sobe,32.044999999999995,6.025555555555555
2022,Londrina,Gegé,MED,28.0,2677,0.7134342822531798,2026-12-31,1.04,1.11,0.28,0.1,1.7,1.43,26.83,0.22893520831096859,Meio,30.93422222222222,33.016333333333336
2022,Grêmio,Bitello,VOL,22.0,2835,0.8366197183098592,2031-06-30,0.98,0.38,0.03,0.08,2.41,1.68,41.51,0.025855751827733586,Sobe,30.869999999999997,11.969999999999999
2022,Brusque,Alex Ruan,LE,29.0,1821,0.4834318812598045,,1.48,0.64,0.0,0.11,3.61,3.16,42.19,-0.15078874981208978,Cai,29.945333333333334,12.949333333333334
2022,Tombense,Manoel,LE,26.0,3246,0.8696054554310765,,0.83,0.74,0.26,0.08,2.45,2.82,35.35,0.17052437043767044,Meio,29.935333333333332,26.689333333333334
2022,Sampaio Corrêa,Lucas Hipólito,LE,27.0,1760,0.46837954226544737,2026-09-14,1.43,0.97,0.05,0.09,2.51,2.71,35.85,0.4733855144264345,Meio,27.964444444444442,18.96888888888889
2022,Ponte Preta,Fessin,EE,23.0,2094,0.5536353803629371,,1.2,0.39,0.0,0.09,1.55,1.42,36.36,-0.16202681237652006,Meio,27.919999999999998,9.074000000000002
2022,Bahia,Danielzinho,MEI,26.0,2828,0.7622641509433963,2026-12-31,0.8,0.6,0.0,0.19,3.06,1.3,34.15,0.16512566879886736,Sobe,25.137777777777778,18.85333333333333
2022,Chapecoense,Lima,MED,23.0,1137,0.30524234880656026,,1.98,1.11,0.08,0.13,2.22,2.06,26.92,-0.16469053487358654,Meio,25.013999999999996,14.023000000000001
2022,Ituano,Roberto,LE,31.0,1882,0.4991440626883665,,1.15,1.15,0.19,0.13,2.49,3.01,28.57,0.3504136826485551,Meio,24.047777777777775,24.047777777777775
2022,Chapecoense,Alisson Farias,EE,26.0,1167,0.31329623663786793,2026-09-30,1.85,0.46,0.08,0.09,2.24,1.85,25.0,-0.16469053487358654,Meio,23.988333333333337,5.964666666666667
2022,Novorizontino,Gustavo Bochecha,MED,26.0,2498,0.6683043097577585,,0.86,0.43,0.07,0.07,1.51,0.47,30.77,-0.13704714893867997,Meio,23.869777777777774,11.934888888888887
2022,CSA,Igor Inocêncio,LD,24.0,1597,0.4271507075815786,2026-11-30,1.3,0.96,0.45,0.11,2.82,3.21,31.58,-0.2412591642698685,Cai,23.067777777777778,17.034666666666666
2022,Ituano,Mário Sérgio,LE,28.0,1870,0.495961422543701,2026-11-30,1.11,0.87,0.0,0.13,2.55,3.37,40.0,0.3504136826485551,Meio,23.063333333333336,18.076666666666668
2022,CSA,Lourenço,ED,24.0,1908,0.5103340952195692,2026-11-30,1.04,1.04,0.57,0.1,2.26,2.03,27.91,-0.2412591642698685,Cai,22.048000000000002,22.048000000000002
2022,Brusque,Luiz Antônio,VOL,31.0,1016,0.2697236635694461,,1.95,0.97,0.09,0.03,2.39,0.8,44.44,-0.15078874981208978,Cai,22.013333333333335,10.950222222222221
2022,Novorizontino,Douglas Baggio,ED,27.0,2670,0.714320459188637,2026-11-30,0.74,0.54,0.03,0.16,2.93,3.0,35.96,-0.13704714893867997,Meio,21.953333333333333,16.020000000000003
2022,Operário-PR,Rafael Chorão,VOL,34.0,1122,0.3041324757891624,,1.76,0.88,0.0,0.08,2.09,1.28,43.75,-0.39133416123100295,Cai,21.941333333333333,10.970666666666666
2022,Sampaio Corrêa,Pará,LE,34.0,1663,0.44256544249286306,,1.14,1.14,0.16,0.17,2.49,2.22,31.71,0.4733855144264345,Meio,21.064666666666668,21.064666666666668
2022,Ponte Preta,Danilo Gomes,ED,23.0,1027,0.27152986419901454,,1.84,0.26,0.09,0.09,2.63,1.84,28.57,-0.16202681237652006,Meio,20.996444444444446,2.9668888888888887
2022,Bahia,Marcinho,LD,26.0,1107,0.29838274932614556,2027-12-31,1.63,1.06,0.0,0.12,3.25,2.76,35.29,0.16512566879886736,Sobe,20.049,13.038
2022,Chapecoense,Thomás Bedinelli,CA,29.0,967,0.25960365109581685,,1.86,0.56,0.19,0.1,1.68,1.86,35.0,-0.16469053487358654,Meio,19.98466666666667,6.01688888888889
2022,Cruzeiro,Daniel Júnior,EE,20.0,1474,0.3933241151784198,2030-06-30,1.16,0.37,0.06,0.07,1.65,1.28,33.33,0.5032450477868315,Sobe,18.99822222222222,6.059777777777778
