ano,clube,jogador,pos11,idade,Altura,minutos,fatia,Contrato termina,Golos de cabeça/90,Golos de cabeça,Duelos aéreos/90,"Duelos aéreos ganhos, %",Golos esperados/90,Remates/90,Toques na área/90,rendimento,faixa,aereos_ganhos_90
2022,Sampaio Corrêa,Ygor Catatau,EE,27.0,184.0,2706,0.7201335462331253,2026-11-30,0.2,6,9.28,49.1,0.26,2.16,2.56,0.4733855144264345,Meio,4.55648
2022,Bahia,Matheus Davó,CA,23.0,178.0,2214,0.5967654986522911,2027-06-30,0.16,4,4.76,17.09,0.41,2.72,4.63,0.16512566879886736,Sobe,0.813484
2022,Guarani,Yuri Jonathan,CA,24.0,185.0,1141,0.30788666748436155,2026-12-31,0.32,4,9.47,44.17,0.36,2.05,4.18,0.053639264952930255,Meio,4.182899000000001
2022,Ponte Preta,Wallisson,ED,24.0,184.0,2001,0.5290469895445259,2027-12-31,0.18,4,6.07,47.41,0.15,1.57,1.98,-0.16202681237652006,Meio,2.877787
2022,Chapecoense,Perotti,CA,24.0,186.0,2003,0.5377312442036413,2026-11-30,0.13,3,8.63,30.21,0.32,2.25,3.5,-0.16469053487358654,Meio,2.607123
2022,Criciúma,Hygor,ED,30.0,186.0,1790,0.4689211717075494,2026-11-30,0.15,3,6.34,34.92,0.41,2.16,3.87,0.3122380378239036,Meio,2.213928
2022,Londrina,Gabriel Santos,CA,23.0,185.0,1566,0.41734706238643243,2027-06-30,0.18,3,7.84,43.41,0.2,1.88,2.37,0.22893520831096859,Meio,3.4033439999999997
2022,Vasco,Andrey Santos,VOL,18.0,180.0,3109,0.8220320649953129,2031-06-30,0.09,3,4.14,48.25,0.12,1.36,1.33,0.0703163200791106,Sobe,1.99755
2022,Vila Nova,Rafael Donato,ZD,33.0,193.0,3339,0.8668019729544757,,0.08,3,5.44,67.33,0.11,0.67,0.89,0.0046557676533542924,Meio,3.6627520000000002
2022,Bahia,Ricardo Goulart,CA,31.0,181.0,1019,0.2746630727762803,,0.18,2,5.74,36.92,0.25,1.59,2.38,0.16512566879886736,Sobe,2.119208
2022,CSA,Rodrigo Rodrigues,CA,26.0,191.0,1645,0.439989301172008,2027-06-30,0.11,2,7.5,36.5,0.53,1.91,2.84,-0.2412591642698685,Cai,2.7375
2022,Criciúma,Rômulo,MED,26.0,185.0,1536,0.40238151940938316,2028-06-30,0.12,2,4.1,50.0,0.11,1.41,1.46,0.3122380378239036,Meio,2.05
2022,Criciúma,Zé Marcos,ZE,24.0,188.0,1181,0.30938318647296975,2027-12-31,0.15,2,5.72,62.67,0.1,0.53,0.61,0.3122380378239036,Meio,3.584724
2022,Guarani,João Victor,ZD,25.0,188.0,3058,0.8251686495768429,2027-12-31,0.06,2,4.68,69.81,0.03,0.32,0.56,0.053639264952930255,Meio,3.267108
2022,Ituano,Bernardo Schappo,ZE,23.0,191.0,2675,0.7094635322483424,2028-06-30,0.07,2,5.45,55.56,0.1,0.47,0.57,0.3504136826485551,Meio,3.02802
2022,Ituano,Aylon,CA,30.0,180.0,1995,0.529113924050633,2026-11-30,0.09,2,8.08,36.87,0.34,2.53,3.16,0.3504136826485551,Meio,2.9790959999999997
2022,Ituano,Mário Sérgio,LE,28.0,179.0,1870,0.495961422543701,2026-11-30,0.1,2,3.27,57.35,0.07,0.91,1.16,0.3504136826485551,Meio,1.875345
2022,Ituano,Rafael Elias,CA,23.0,182.0,1850,0.4906570223025919,2027-06-30,0.1,2,6.66,32.85,0.42,2.68,2.72,0.3504136826485551,Meio,2.1878100000000003
2022,Novorizontino,Ronaldo,CA,31.0,185.0,1651,0.4417015273859325,,0.11,2,6.76,40.32,0.47,2.45,3.54,-0.13704714893867997,Meio,2.725632
2022,Novorizontino,Quirino,CA,28.0,181.0,1448,0.38739176962739563,,0.12,2,9.32,30.0,0.26,2.42,3.79,-0.13704714893867997,Meio,2.7960000000000003
2022,Náutico,Victor Ferraz,LD,34.0,174.0,2347,0.6215572033898306,,0.08,2,1.73,48.89,0.03,0.58,0.96,-0.5603728775246417,Cai,0.845797
2022,Ponte Preta,Lucca,CA,32.0,178.0,2617,0.69191202980411,,0.07,2,4.61,23.13,0.46,1.93,2.65,-0.16202681237652006,Meio,1.066293
2022,Ponte Preta,Mateus Silva,ZD,26.0,192.0,1441,0.380987862035813,2026-11-30,0.12,2,5.18,72.29,0.16,0.87,0.62,-0.16202681237652006,Meio,3.744622
2022,Sampaio Corrêa,Gabriel Poveda,CA,24.0,183.0,3122,0.8308414380413219,2026-12-31,0.06,2,5.48,26.84,0.41,2.54,2.36,0.4733855144264345,Meio,1.4708320000000001
2022,Sport,Kayke,CA,34.0,182.0,1433,0.38217965814038063,,0.13,2,2.64,19.05,0.33,1.76,3.89,0.10876017669562454,Meio,0.50292
2022,Vila Nova,N. Pessôa,CA,28.0,182.0,1138,0.29542397281287613,2027-04-30,0.16,2,12.18,28.57,0.33,1.9,2.45,0.0046557676533542924,Meio,3.479826
2022,Bahia,Ignácio,ZD,25.0,190.0,3355,0.9043126684636119,2028-06-30,0.03,1,3.46,57.36,0.06,0.27,0.43,0.16512566879886736,Sobe,1.984656
2022,Bahia,Vitor Jacaré,EE,22.0,178.0,2098,0.5654986522911051,2026-12-31,0.04,1,3.26,31.58,0.2,2.96,2.79,0.16512566879886736,Sobe,1.0295079999999999
2022,Bahia,Luiz Henrique,LE,24.0,178.0,1692,0.45606469002695416,,0.05,1,4.36,40.24,0.03,0.37,0.64,0.16512566879886736,Sobe,1.754464
2022,Brusque,Wallace,ZE,34.0,186.0,2921,0.7754555327621575,2026-12-31,0.03,1,3.97,63.57,0.05,0.37,0.68,-0.15078874981208978,Cai,2.5237290000000003
2022,Brusque,Bruno Aguiar,ZD,36.0,186.0,1144,0.3037045975624472,,0.08,1,5.51,51.43,0.07,0.55,0.55,-0.15078874981208978,Cai,2.833793
2022,Brusque,Crislan,CA,30.0,190.0,1125,0.29866055267286107,,0.08,1,9.28,43.1,0.2,1.36,2.8,-0.15078874981208978,Cai,3.9996799999999997
2022,CRB,Gum,ZD,36.0,189.0,2461,0.6574780201097781,,0.04,1,5.19,61.97,0.05,0.44,0.59,-0.06933256682494893,Meio,3.216243
2022,CRB,Claudinei,VOL,33.0,178.0,1400,0.37402244134648077,,0.06,1,2.12,48.48,0.0,0.06,0.13,-0.06933256682494893,Meio,1.027776
2022,CSA,Lucão,ZD,26.0,187.0,3435,0.9187618538151049,,0.03,1,4.79,65.57,0.02,0.34,0.47,-0.2412591642698685,Cai,3.1408029999999996
2022,CSA,Geovane,VOL,33.0,179.0,2749,0.7352769537518845,2026-11-30,0.03,1,3.31,50.5,0.02,0.62,0.65,-0.2412591642698685,Cai,1.67155
