indicador,n,r,ic_baixo,ic_alto,p_boot,r_sem_fronteira,top_menos_fundo_pts38,med_sobe,med_meio,med_cai
saldo_bola_rolando,80,0.674,0.569,0.767,0.0,0.604,17.4,11.0,0.0,-12.0
saldo_bp,80,0.557,0.367,0.72,0.0,0.448,15.6,5.5,0.0,-5.0
saldo_bp_sem_pen,80,0.556,0.362,0.725,0.0,0.498,14.6,3.5,0.5,-4.5
bp_sof,80,0.47,0.267,0.64,0.0,0.471,13.2,11.0,13.5,17.0
bp_pro_sem_pen,80,0.47,0.295,0.638,0.0,0.365,16.0,11.5,10.0,6.5
bp_com_rem_pct,80,0.457,0.282,0.614,0.0,0.363,11.0,13.62,13.13,12.41
bp_pro,80,0.393,0.205,0.564,0.0,0.243,10.5,16.5,13.0,10.5
pen_sof,80,0.388,0.192,0.561,0.0,0.276,9.2,2.5,4.0,4.0
livres_com_rem_pct,80,0.387,0.21,0.534,0.0,0.234,11.8,22.71,22.69,18.75
pro_esc,80,0.367,0.185,0.54,0.0,0.254,9.3,7.0,5.5,4.0
bp_sof_sem_pen,80,0.349,0.13,0.533,0.0007,0.424,8.7,9.0,9.0,12.0
gols_por_escanteio_pct,80,0.341,0.149,0.52,0.0003,0.242,8.9,3.3,2.93,2.15
duel_aer_pct,80,0.335,0.118,0.528,0.0017,0.229,9.1,45.54,46.15,44.34
esc_contra,80,0.326,0.152,0.503,0.0003,0.34,8.3,169.5,188.0,205.0
pro_fi,80,0.315,0.067,0.555,0.0067,0.325,7.5,3.0,3.0,1.5
sof_esc,80,0.245,0.025,0.443,0.014,0.298,6.5,5.0,5.0,6.0
cantos_com_rem_pct,80,0.218,-0.007,0.431,0.031,0.215,7.3,28.25,29.3,27.41
gols_sof_por_escanteio_pct,80,0.196,-0.025,0.406,0.0457,0.269,7.0,2.68,2.67,2.91
xg_bp_pro,80,0.171,0.009,0.326,0.0193,0.031,3.2,0.0,0.0,0.0
pro_fd,80,0.133,-0.061,0.322,0.0967,0.085,3.3,1.5,1.0,0.0
saldo_xg_bp,80,0.084,-0.119,0.263,0.2103,0.083,-1.8,0.0,0.0,0.0
esc_fav,80,0.067,-0.162,0.28,0.27,-0.042,2.3,201.5,196.0,190.5
pen,80,0.059,-0.151,0.274,0.3007,-0.1,3.4,5.0,4.0,3.5
cantos_pj,80,0.042,-0.186,0.258,0.3493,-0.071,1.1,5.3,5.14,5.03
xg_bp_sof,80,0.017,-0.192,0.228,0.444,0.141,-1.4,0.0,0.0,0.0
pct_gols_bp,80,0.009,-0.203,0.234,0.479,-0.091,0.3,35.19,34.02,31.37
altura_media,80,-0.055,-0.272,0.158,0.297,-0.118,-2.3,1.81,1.81,1.81
