ano,Equipa,treinador,jogos,pontos,ppj,primeiro,ultimo,xg,xg_sof,dist_rem,dist_rem_sof,ppda,posse,ppj_esperado,posto_valor,pos_final_clube,pos_ao_assumir,pos_ao_sair,rendimento,temporada_inteira,ppj_vs_liga
2022,Londrina,Adilson Batista,37,52,1.4054054054054055,1,37,1.0064864864864866,1.1067567567567569,21.991891891891893,19.85972972972973,11.131351351351352,45.593513513513514,1.176470197094437,15.0,9.0,,9.0,0.22893520831096859,True,0.03540540540540538
2023,Botafogo-SP,Adilson Batista,13,18,1.3846153846153846,1,13,1.0438461538461539,1.196923076923077,21.448461538461537,20.367692307692305,12.467692307692307,46.29923076923077,1.223173493450667,16.0,12.0,,10.0,0.16144189116471752,False,0.014615384615384475
2022,CSA,Alberto Valentim,10,7,0.7,13,22,1.004,1.38,20.297,20.664,10.299,49.536,1.3465223221646054,10.0,17.0,14.0,17.0,-0.6465223221646055,False,-0.6700000000000002
2023,Atlético-GO,Alberto Valentim,12,15,1.25,5,16,1.1066666666666667,1.2708333333333333,19.540833333333335,20.7625,8.328333333333333,55.64166666666667,1.4986209188703423,2.0,4.0,6.0,11.0,-0.24862091887034232,False,-0.1200000000000001
2024,Ituano,Alberto Valentim,32,31,0.96875,1,32,1.1865625,1.8009375,19.735625,19.211875,12.99125,46.055625,1.2961023683206045,15.0,18.0,,19.0,-0.32735236832060455,False,-0.4012500000000001
2025,América-MG,Alberto Valentim,17,25,1.4705882352941178,22,38,1.0988235294117648,1.158235294117647,20.345294117647057,20.848823529411764,11.353529411764706,51.817647058823525,1.4834550057470413,5.0,14.0,17.0,14.0,-0.012866770452923504,False,0.10058823529411764
2019,Londrina,Alemão,17,25,1.4705882352941178,1,17,1.0094117647058825,1.3,21.61941176470588,20.377058823529413,9.178823529411764,45.68705882352941,,,,,9.0,,False,0.10058823529411764
2025,Operário-PR,Alex,26,34,1.3076923076923077,13,38,1.228076923076923,0.8999999999999999,21.055,19.894615384615385,9.053461538461537,54.93807692307693,1.4329074741846686,9.0,12.0,15.0,12.0,-0.12521516649236086,False,-0.0623076923076924
2026,Athletic,Alex,27,37,1.3703703703703705,1,27,1.1622222222222223,1.441111111111111,18.84,18.875185185185185,13.082592592592594,45.00777777777778,1.3188284298597566,7.0,12.0,,8.0,0.05154194051061389,False,0.00037037037037035425
2020,Paraná,Allan Aal,19,28,1.4736842105263157,1,19,1.05,1.1363157894736842,22.163684210526316,20.75052631578947,9.963684210526315,50.55842105263158,,,,,7.0,,False,0.1036842105263156
2021,CRB,Allan Aal,38,60,1.5789473684210527,1,38,1.0547368421052632,1.0147368421052632,19.747631578947367,21.804736842105264,11.875526315789473,49.769473684210524,,,,,6.0,,True,0.20894736842105255
2022,Novorizontino,Allan Aal,13,14,1.0769230769230769,1,13,1.136923076923077,0.9792307692307692,21.096153846153847,21.182307692307692,9.133076923076924,49.98307692307692,1.2949418857807853,11.0,15.0,,14.0,-0.2180188088577084,False,-0.29307692307692323
2022,Vila Nova,Allan Aal,22,35,1.5909090909090908,17,38,0.9459090909090908,0.8363636363636363,21.55727272727273,21.882272727272724,11.745,43.59772727272727,1.2321863376098037,14.0,13.0,20.0,12.0,0.35872275329928716,False,0.22090909090909072
2023,ABC,Allan Aal,19,15,0.7894736842105263,8,26,0.8826315789473684,1.2942105263157895,21.78736842105263,20.55526315789474,11.393684210526315,47.199999999999996,1.2465532394888115,15.0,20.0,20.0,20.0,-0.45707955527828514,False,-0.5805263157894738
2024,Guarani,Allan Aal,20,22,1.1,19,38,1.1195,1.074,21.6005,19.377000000000002,12.196,47.1405,1.4527795690298229,7.0,20.0,20.0,18.0,-0.35277956902982277,False,-0.27
2025,Botafogo-SP,Allan Aal,22,24,1.0909090909090908,9,30,0.93,1.564090909090909,21.49772727272727,20.058636363636364,15.491818181818182,46.21272727272727,1.2660823646552526,17.0,16.0,18.0,18.0,-0.17517327374616176,False,-0.2790909090909093
2026,Avaí,Allan Aal,11,16,1.4545454545454546,17,27,1.4136363636363638,1.4009090909090909,19.95909090909091,19.28,15.21,41.724545454545456,1.2041640893992858,14.0,17.0,,12.0,0.2503813651461688,False,0.08454545454545448
2025,Remo,António Oliveira,15,19,1.2666666666666666,13,27,1.062,1.4839999999999998,20.404,19.127333333333336,10.947333333333335,50.51866666666667,1.5301450992568304,3.0,4.0,6.0,8.0,-0.2634784325901638,False,-0.1033333333333335
2019,Bragantino,Antônio Carlos Zago,38,75,1.9736842105263157,1,38,1.666842105263158,0.9515789473684212,21.363947368421055,20.26184210526316,7.115,58.385263157894734,,,,,1.0,,True,0.6036842105263156
2018,Coritiba,Argel Fuchs,11,16,1.4545454545454546,28,38,1.3018181818181818,1.510909090909091,19.432727272727274,21.42818181818182,7.496363636363637,53.097272727272724,,,,9.0,10.0,,False,0.08454545454545448
2023,ABC,Argel Fuchs,11,9,0.8181818181818182,27,37,1.2518181818181817,1.4872727272727273,19.504545454545454,21.10909090909091,12.017272727272728,45.60181818181818,1.2465532394888115,15.0,20.0,20.0,20.0,-0.42837142130699324,False,-0.5518181818181819
2019,Brasil de Pelotas,Bolívar,29,32,1.103448275862069,10,38,0.9158620689655173,1.3579310344827586,20.547931034482758,20.70344827586207,9.260000000000002,45.624482758620694,,,,10.0,12.0,,False,-0.26655172413793116
2020,Vitória,Bruno Pivetti,14,18,1.2857142857142858,1,14,1.405,1.2235714285714285,22.462142857142858,20.875,9.571428571428571,56.18857142857143,,,,,12.0,,False,-0.0842857142857143
2022,Tombense,Bruno Pivetti,31,39,1.2580645161290323,7,37,1.0129032258064516,1.4183870967741936,21.057419354838707,20.401290322580646,11.309032258064516,50.05,1.0186648187515188,20.0,16.0,17.0,15.0,0.23939969737751343,False,-0.11193548387096786
2023,Guarani,Bruno Pivetti,10,15,1.5,1,10,1.4060000000000001,1.4769999999999999,18.544,19.73,12.272,51.778,1.354986881199535,8.0,9.0,,10.0,0.14501311880046508,False,0.1299999999999999
2025,Operário-PR,Bruno Pivetti,12,14,1.1666666666666667,1,12,1.2166666666666666,1.0991666666666666,21.243333333333332,19.351666666666667,8.84,52.344166666666666,1.4329074741846686,9.0,12.0,,15.0,-0.26624080751800183,False,-0.20333333333333337
2022,Ituano,Carlos Pimentel,21,39,1.8571428571428572,18,38,1.26,1.2204761904761905,19.26666666666667,20.36142857142857,12.515714285714285,46.21333333333333,1.149586317351445,17.0,6.0,14.0,6.0,0.7075565397914123,False,0.4871428571428571
2024,América-MG,Cauan de Almeida,23,35,1.5217391304347827,1,23,1.411304347826087,1.2204347826086956,20.05782608695652,20.019130434782607,9.28217391304348,56.92999999999999,1.4854345116902712,5.0,7.0,,6.0,0.03630461874451152,False,0.1517391304347826
2026,Avaí,Cauan de Almeida,15,13,0.8666666666666667,1,15,0.8726666666666667,1.7306666666666668,20.03933333333333,18.814,9.451333333333334,48.35933333333333,1.2041640893992858,14.0,17.0,,18.0,-0.33749742273261907,False,-0.5033333333333334
2020,Botafogo-SP,Claudinei Oliveira,22,18,0.8181818181818182,1,22,1.0781818181818181,1.0286363636363636,21.411363636363635,20.940454545454546,9.841818181818182,46.302727272727275,,,,,19.0,,False,-0.5518181818181819
2021,Avaí,Claudinei Oliveira,38,64,1.6842105263157894,1,38,1.138684210526316,0.961578947368421,21.935263157894735,20.506842105263157,9.20921052631579,51.53315789473684,,,,,3.0,,True,0.3142105263157893
2022,Operário-PR,Claudinei Oliveira,19,20,1.0526315789473684,1,19,0.9405263157894738,1.4942105263157894,22.79315789473684,20.835263157894737,10.711578947368421,50.28315789473684,1.2860710033362661,13.0,19.0,,15.0,-0.23343942438889775,False,-0.31736842105263174
2022,Sport,Claudinei Oliveira,18,30,1.6666666666666667,21,38,1.3483333333333334,0.8577777777777779,19.992222222222225,21.524444444444445,7.348333333333334,54.64944444444445,1.3912398233043755,6.0,7.0,9.0,6.0,0.2754268433622913,False,0.29666666666666663
2023,Chapecoense,Claudinei Oliveira,17,21,1.2352941176470589,22,38,1.0947058823529412,1.2323529411764707,20.063529411764705,20.34470588235294,9.525882352941176,50.73529411764706,1.3916426568978695,6.0,16.0,17.0,16.0,-0.1563485392508106,False,-0.13470588235294123
2023,Vila Nova,Claudinei Oliveira,21,35,1.6666666666666667,1,21,1.4704761904761905,0.9447619047619048,20.746666666666666,21.048571428571428,8.575238095238095,50.1447619047619,1.2750149819085275,14.0,8.0,,7.0,0.3916516847581393,False,0.29666666666666663
2025,Paysandu,Claudinei Oliveira,13,17,1.3076923076923077,12,24,1.1223076923076922,1.3707692307692307,21.00076923076923,20.044615384615383,12.73076923076923,43.76538461538462,1.3531292842928124,13.0,20.0,,20.0,-0.04543697660050472,False,-0.0623076923076924
2018,Atlético-GO,Claudio Tencati,31,45,1.4516129032258065,1,31,1.2064516129032257,1.4241935483870967,21.914193548387097,20.696129032258067,10.393548387096773,51.76774193548387,,,,,6.0,,False,0.08161290322580639
2020,Brasil de Pelotas,Claudio Tencati,12,21,1.75,20,31,1.2358333333333333,1.0658333333333332,20.320833333333333,22.126666666666665,13.063333333333333,44.51583333333334,,,,14.0,11.0,,False,0.3799999999999999
2021,Brasil de Pelotas,Claudio Tencati,14,12,0.8571428571428571,1,14,0.8285714285714285,1.3064285714285713,19.789285714285715,21.22214285714286,10.608571428571429,43.808571428571426,,,,,15.0,,False,-0.512857142857143
2022,Criciúma,Claudio Tencati,38,56,1.4736842105263157,1,38,1.389736842105263,1.0642105263157895,19.987368421052633,20.11263157894737,8.807105263157895,49.29526315789474,1.1614461727024121,16.0,8.0,,8.0,0.3122380378239036,True,0.1036842105263156
2023,Criciúma,Claudio Tencati,38,64,1.6842105263157894,1,38,1.13,1.23,19.48263157894737,20.552105263157895,10.92921052631579,48.62578947368421,1.2854688292623395,12.0,3.0,,3.0,0.39874169705344986,True,0.3142105263157893
2026,Botafogo-SP,Claudio Tencati,27,31,1.1481481481481481,1,27,1.2262962962962962,1.0911111111111111,18.74888888888889,20.171481481481482,10.116296296296296,49.461111111111116,1.14755658627465,16.0,15.0,,11.0,0.0005915618734981809,False,-0.22185185185185197
2018,Brasil de Pelotas,Clemer,11,10,0.9090909090909091,1,11,1.289090909090909,0.8263636363636363,19.846363636363638,23.637272727272727,7.354545454545455,53.42181818181818,,,,,18.0,,False,-0.46090909090909105
2021,Brasil de Pelotas,Cléber Gaúcho,11,4,0.36363636363636365,16,26,0.8690909090909091,1.4881818181818183,22.887272727272727,20.424545454545452,8.799090909090909,48.48545454545455,,,,19.0,20.0,,False,-1.0063636363636363
2018,Paysandu,Dado Cavalcanti,15,17,1.1333333333333333,1,15,1.0993333333333333,1.3166666666666667,20.760666666666665,19.604666666666667,8.045333333333334,50.599333333333334,,,,,14.0,,False,-0.2366666666666668
