treinador,passagens,clubes,jogos,anos,ppj,ppj_pior,ppj_melhor,rendimento_medio,rendimento_pior,passagens_com_valor,clubes_com_rendimento_positivo,posto_valor_medio,temporadas_inteiras,acessos,g4_ao_sair,subiu_posicoes_media,xg,xg_sof,dist_rem,ppda,posse,clubes_lista
Adilson Batista,2,2,50,2022–2023,1.4,1.38,1.41,0.21,0.16,2,2,15.5,1,0,0,,1.03,1.15,21.7,11.8,45.9,"Londrina 2022 (37j, 1.41), Botafogo-SP 2023 (13j, 1.38)"
Alberto Valentim,4,4,71,2022–2025,1.1,0.7,1.47,-0.28,-0.65,4,0,8.0,0,0,0,-1.7,1.1,1.4,20.0,10.7,50.8,"CSA 2022 (10j, 0.70), Atlético-GO 2023 (12j, 1.25), Ituano 2024 (32j, 0.97), América-MG 2025 (17j, 1.47)"
Alemão,1,1,17,2019–2019,1.47,1.47,1.47,,,0,0,,0,0,0,,1.01,1.3,21.6,9.2,45.7,"Londrina 2019 (17j, 1.47)"
Alex,2,2,53,2025–2026,1.34,1.31,1.37,-0.04,-0.13,2,1,8.0,0,0,0,3.0,1.2,1.17,19.9,11.1,50.0,"Operário-PR 2025 (26j, 1.31), Athletic 2026 (27j, 1.37)"
Allan Aal,8,8,164,2020–2026,1.3,0.79,1.59,-0.11,-0.46,6,2,13.0,1,0,0,2.5,1.07,1.16,21.2,12.1,47.0,"Paraná 2020 (19j, 1.47), CRB 2021 (38j, 1.58), Novorizontino 2022 (13j, 1.08), Vila Nova 2022 (22j, 1.59), ABC 2023 (19j, 0.79), Guarani 2024 (20j, 1.10), Botafogo-SP 2025 (22j, 1.09), Avaí 2026 (11j, 1.45)"
António Oliveira,1,1,15,2025–2025,1.27,1.27,1.27,-0.26,-0.26,1,0,3.0,0,0,0,-2.0,1.06,1.48,20.4,10.9,50.5,"Remo 2025 (15j, 1.27)"
Antônio Carlos Zago,1,1,38,2019–2019,1.97,1.97,1.97,,,0,0,,1,0,1,,1.67,0.95,21.4,7.1,58.4,"Bragantino 2019 (38j, 1.97)"
Argel Fuchs,2,2,22,2018–2023,1.14,0.82,1.45,-0.43,-0.43,1,0,15.0,0,0,0,-0.5,1.28,1.5,19.5,9.8,49.3,"Coritiba 2018 (11j, 1.45), ABC 2023 (11j, 0.82)"
Bolívar,1,1,29,2019–2019,1.1,1.1,1.1,,,0,0,,0,0,0,-2.0,0.92,1.36,20.5,9.3,45.6,"Brasil de Pelotas 2019 (29j, 1.10)"
Bruno Pivetti,4,4,67,2020–2025,1.28,1.17,1.5,0.11,-0.27,3,2,12.3,0,0,0,2.0,1.26,1.3,20.8,10.5,52.6,"Vitória 2020 (14j, 1.29), Tombense 2022 (31j, 1.26), Guarani 2023 (10j, 1.50), Operário-PR 2025 (12j, 1.17)"
Carlos Pimentel,1,1,21,2022–2022,1.86,1.86,1.86,0.71,0.71,1,1,17.0,0,0,0,8.0,1.26,1.22,19.3,12.5,46.2,"Ituano 2022 (21j, 1.86)"
Cauan de Almeida,2,2,38,2024–2026,1.26,0.87,1.52,-0.11,-0.34,2,1,9.5,0,0,0,,1.14,1.48,20.0,9.4,52.6,"América-MG 2024 (23j, 1.52), Avaí 2026 (15j, 0.87)"
Claudinei Oliveira,7,7,148,2020–2025,1.39,0.82,1.68,0.06,-0.23,5,2,10.4,1,0,1,2.0,1.17,1.13,21.1,9.7,49.6,"Botafogo-SP 2020 (22j, 0.82), Avaí 2021 (38j, 1.68), Operário-PR 2022 (19j, 1.05), Sport 2022 (18j, 1.67), Chapecoense 2023 (17j, 1.24), Vila Nova 2023 (21j, 1.67), Paysandu 2025 (13j, 1.31)"
Claudio Tencati,6,4,160,2018–2026,1.43,0.86,1.75,0.26,0.0,3,2,14.7,2,1,1,3.0,1.17,1.2,20.0,10.7,47.9,"Atlético-GO 2018 (31j, 1.45), Brasil de Pelotas 2020 (12j, 1.75), Brasil de Pelotas 2021 (14j, 0.86), Criciúma 2022 (38j, 1.47), Criciúma 2023 (38j, 1.68), Botafogo-SP 2026 (27j, 1.15)"
Clemer,1,1,11,2018–2018,0.91,0.91,0.91,,,0,0,,0,0,0,,1.29,0.83,19.8,7.4,53.4,"Brasil de Pelotas 2018 (11j, 0.91)"
Cléber Gaúcho,1,1,11,2021–2021,0.36,0.36,0.36,,,0,0,,0,0,0,-1.0,0.87,1.49,22.9,8.8,48.5,"Brasil de Pelotas 2021 (11j, 0.36)"
Dado Cavalcanti,2,2,28,2018–2022,0.93,0.69,1.13,-0.66,-0.66,1,0,8.0,0,0,0,2.0,0.94,1.57,21.7,8.8,51.3,"Paysandu 2018 (15j, 1.13), Náutico 2022 (13j, 0.69)"
Daniel Paulista,8,6,180,2020–2026,1.46,1.04,1.73,0.06,-0.3,6,2,6.9,1,0,0,7.0,1.22,1.29,19.8,9.8,51.3,"Confiança 2020 (22j, 1.41), Guarani 2021 (38j, 1.58), CRB 2022 (30j, 1.53), CRB 2023 (30j, 1.73), CRB 2024 (24j, 1.04), Remo 2025 (10j, 1.70), Ceará 2026 (12j, 1.17), Goiás 2026 (14j, 1.29)"
Doriva,2,2,33,2018–2019,1.09,1.0,1.21,,,0,0,,0,0,0,1.0,1.12,1.21,22.3,9.8,50.2,"CRB 2018 (14j, 1.21), São Bento 2019 (19j, 1.00)"
Eduardo Baptista,5,3,152,2018–2026,1.66,1.44,1.75,0.34,0.31,4,2,9.9,2,0,2,4.5,1.3,1.1,20.5,9.2,48.3,"Coritiba 2018 (18j, 1.44), Novorizontino 2023 (38j, 1.66), Novorizontino 2024 (38j, 1.68), Criciúma 2025 (32j, 1.75), Criciúma 2026 (26j, 1.69)"
Eduardo Barroca,4,3,89,2023–2026,1.45,1.19,1.75,0.01,-0.11,4,2,5.0,1,0,0,6.5,1.31,1.55,20.2,11.0,53.3,"Avaí 2023 (23j, 1.43), Ceará 2023 (12j, 1.75), CRB 2025 (38j, 1.47), CRB 2026 (16j, 1.19)"
Eduardo Barros,2,1,40,2025–2026,1.42,1.35,1.48,0.06,-0.12,2,1,8.5,0,0,0,-2.0,1.26,0.96,18.7,11.0,47.2,"Cuiabá 2025 (17j, 1.35), Cuiabá 2026 (23j, 1.48)"
Eduardo Souza,2,2,22,2023–2026,1.05,0.75,1.4,-0.19,-0.44,2,1,15.0,0,0,0,-1.0,1.22,1.3,21.5,10.2,47.5,"Londrina 2023 (12j, 0.75), Atlético-GO 2026 (10j, 1.40)"
Elano,1,1,17,2020–2020,0.88,0.88,0.88,,,0,0,,0,0,0,-6.0,0.55,1.13,23.4,13.0,49.2,"Figueirense 2020 (17j, 0.88)"
Enderson Moreira,6,5,122,2022–2026,1.52,0.73,1.83,0.12,-0.76,6,3,7.2,1,0,2,-2.0,1.51,1.06,19.3,10.6,49.8,"Bahia 2022 (17j, 1.41), Sport 2023 (37j, 1.62), Avaí 2024 (19j, 1.47), América-MG 2025 (11j, 0.73), Novorizontino 2025 (15j, 1.60), Novorizontino 2026 (23j, 1.83)"
Felipe Conceição,3,3,72,2019–2021,1.71,1.26,2.06,,,0,0,,0,0,0,7.0,1.33,1.0,20.6,8.6,50.6,"América-MG 2019 (29j, 1.93), Guarani 2020 (16j, 2.06), Remo 2021 (27j, 1.26)"
Felipe Moreira,1,1,18,2023–2023,1.22,1.22,1.22,-0.06,-0.06,1,0,13.0,0,0,0,-1.0,1.09,1.29,20.3,12.5,46.8,"Ponte Preta 2023 (18j, 1.22)"
Felipe Surian,1,1,32,2021–2021,1.25,1.25,1.25,,,0,0,,0,0,0,,0.9,1.39,21.4,10.4,48.2,"Sampaio Corrêa 2021 (32j, 1.25)"
Fernando Diniz,1,1,12,2021–2021,1.25,1.25,1.25,,,0,0,,0,0,0,1.0,1.32,1.11,18.9,8.3,58.2,"Vasco 2021 (12j, 1.25)"
Fábio Carille,1,1,37,2024–2024,1.84,1.84,1.84,0.09,0.09,1,1,1.0,1,1,1,,1.37,0.91,19.7,10.1,52.5,"Santos 2024 (37j, 1.84)"
Geninho,3,2,77,2018–2020,1.53,1.4,1.65,,,0,0,,0,0,1,7.0,1.45,1.2,20.0,10.9,45.4,"Avaí 2018 (37j, 1.65), Vitória 2019 (15j, 1.40), Avaí 2020 (25j, 1.44)"
Gerson Gusmão,2,1,55,2019–2020,1.31,1.29,1.32,,,0,0,,1,0,0,,1.11,1.28,19.9,8.7,49.5,"Operário-PR 2019 (38j, 1.32), Operário-PR 2020 (17j, 1.29)"
Gilmar Dal Pozzo,8,4,128,2018–2026,1.42,0.91,1.63,0.12,-0.48,7,3,9.0,1,1,1,0.8,1.23,1.22,20.6,10.1,50.7,"Brasil de Pelotas 2018 (12j, 1.00), Chapecoense 2022 (11j, 1.45), Sport 2022 (14j, 1.50), Chapecoense 2023 (11j, 0.91), Avaí 2024 (16j, 1.50), Chapecoense 2024 (15j, 1.60), Chapecoense 2025 (38j, 1.63), Sport 2026 (11j, 1.18)"
Gilson Kleina,6,5,113,2019–2022,1.09,0.55,1.32,-0.3,-0.5,2,0,14.0,0,0,0,-2.0,1.1,1.2,21.0,9.3,51.1,"Criciúma 2019 (14j, 0.93), Ponte Preta 2019 (19j, 1.05), Náutico 2020 (17j, 1.00), Ponte Preta 2021 (37j, 1.32), Brusque 2022 (11j, 0.55), Chapecoense 2022 (15j, 1.20)"
Guilherme Alves,1,1,11,2025–2025,1.18,1.18,1.18,-0.2,-0.2,1,0,12.0,0,0,0,-1.0,1.23,1.75,18.2,11.4,43.4,"Amazonas 2025 (11j, 1.18)"
