ano,clube,pos,pontos,posto_valor,valor_eur,rendimento,idade_onze,jogadores_usados,conc_onze_pct,chegaram_no_ano_pct,n_estrangeiros_500min,trocas_treinador,saldo_bp,xg_por_rem,xg_sof
2023,Vitória,1,72,9.0,14025000.0,0.5430094217663612,27.373037002739515,33,60.88519275495102,57.8125,1,0,14,0.1129648701130491,1.1126315789473684
2022,Cruzeiro,1,78,3.0,29750000.0,0.5032450477868315,27.443146672488446,37,66.66909249690707,66.66666666666666,6,0,5,0.0873616821868592,1.0434210526315788
2022,Sampaio Corrêa,5,58,18.0,4500000.0,0.4733855144264345,28.744849219362656,31,67.8714859437751,69.81132075471697,2,0,8,0.0926716273017804,1.3473684210526315
2023,Criciúma,3,64,12.0,10900000.0,0.39874169705344986,29.60573581473903,30,71.04060913705584,50.0,2,0,3,0.0963673900274132,1.23
2024,Novorizontino,5,64,16.0,11000000.0,0.3963412340840158,29.631511345797062,30,66.20683138848207,54.166666666666664,1,0,7,0.092127674713201,0.911842105263158
2025,Chapecoense,3,62,18.0,10000000.0,0.3687618280363034,29.220812435646195,29,70.63391516516516,54.166666666666664,2,0,0,0.0917418111474552,1.3497368421052631
2024,Mirassol,2,67,9.0,16975000.0,0.36125256707631914,30.13052309230673,29,75.4870972307402,69.38775510204081,2,0,8,0.1142676775880809,0.9413157894736844
2022,Ituano,6,57,17.0,6500000.0,0.3504136826485551,28.713182751540042,33,58.71006630500301,59.09090909090909,2,1,0,0.1117778292613819,1.148421052631579
2023,Vila Nova,8,61,14.0,10475000.0,0.3302481759862095,27.756020417749664,30,74.30599185573007,69.81132075471697,0,3,-7,0.1027022087401038,0.9842105263157894
2022,Criciúma,8,56,16.0,6800000.0,0.3122380378239036,30.617700343059784,32,61.783758037628004,70.2127659574468,3,0,-1,0.0987156764563753,1.0642105263157895
2023,Juventude,2,65,5.0,16825000.0,0.31095398156595455,27.941795373305457,33,68.13565553053628,84.61538461538461,1,1,7,0.0936346570831355,1.016052631578947
2023,Novorizontino,6,63,10.5,13900000.0,0.30852050024446687,29.882607976170775,28,70.75615296349203,65.85365853658537,1,0,6,0.1079079115375807,0.8610526315789473
2025,Coritiba,1,68,4.0,23500000.0,0.3020744628088641,28.887246218830903,28,69.00799247766808,40.0,6,0,6,0.0961086651182178,0.91
2023,Mirassol,7,63,7.0,14900000.0,0.29025976567153844,28.691755233494362,27,72.72514345942147,70.83333333333334,1,1,5,0.1104927960398817,0.951578947368421
2024,Sport,3,66,6.0,20975000.0,0.2793206962410859,28.707914595329207,36,66.12979518471217,57.14285714285714,6,3,7,0.1141251892536518,1.0102631578947368
2023,Sport,5,63,4.0,17900000.0,0.24204290072135137,29.273967426217737,32,63.53051327603591,56.25,4,0,7,0.1120258259440575,1.1018421052631575
2025,Novorizontino,7,60,14.0,13375000.0,0.23969321997361304,27.901715239829993,30,61.44805876180483,42.857142857142854,3,1,11,0.1025640802274544,1.052894736842105
2022,Londrina,9,52,15.0,7200000.0,0.22893520831096859,28.667506475994465,35,68.27619624470019,57.14285714285714,0,0,4,0.0884238062105709,1.1067567567567569
2023,Atlético-GO,4,64,2.0,24525000.0,0.18558960744544706,25.886160714285715,30,66.16956904971771,60.0,0,3,-1,0.1088131366827187,1.391315789473684
2025,Goiás,6,61,10.0,18250000.0,0.18432141977477623,30.661487708843246,29,67.19182000190676,59.183673469387756,2,1,0,0.1043871481832008,1.1471052631578946
