traco,n,r_rendimento,ic_baixo,ic_alto,r_pontos,r_valor,mediana_referencia,mediana_outros,med_sobe,med_meio,med_cai
jogadores_usados,80,-0.625,-0.746,-0.473,-0.542,0.012,30.0,35.0,32.5,33.5,39.5
trocas_treinador,80,-0.585,-0.746,-0.401,-0.458,0.113,0.0,2.0,1.0,1.0,2.0
conc_onze_pct,80,0.561,0.396,0.696,0.56,0.143,67.53,61.74,68.08,63.13,60.2
saldo_bp,80,0.557,0.36,0.72,0.607,0.246,5.5,-1.5,5.5,0.0,-5.0
xg_sof,80,-0.472,-0.619,-0.293,-0.557,-0.298,1.06,1.24,1.02,1.18,1.35
bp_sof,80,-0.47,-0.636,-0.266,-0.468,-0.118,10.5,14.5,11.0,13.5,17.0
dist_rem,80,-0.429,-0.601,-0.228,-0.555,-0.371,20.01,20.52,19.52,20.47,21.27
xg,80,0.421,0.269,0.549,0.558,0.392,1.28,1.15,1.28,1.18,1.11
bp_pro,80,0.393,0.199,0.561,0.442,0.203,16.0,12.0,16.5,13.0,10.5
xg_por_rem_sof,80,-0.364,-0.549,-0.161,-0.419,-0.207,0.09,0.1,0.09,0.1,0.1
xg_por_rem,80,0.362,0.168,0.525,0.478,0.333,0.1,0.1,0.11,0.1,0.09
gols_por_escanteio_pct,80,0.341,0.149,0.52,0.323,0.049,3.19,2.59,3.3,2.93,2.15
duel_aer_pct,80,0.335,0.113,0.533,0.375,0.169,46.35,45.08,45.54,46.15,44.34
esc_contra,80,-0.326,-0.5,-0.154,-0.434,-0.308,186.0,195.5,169.5,188.0,205.0
valor_onze_eur,80,0.287,0.085,0.474,0.582,0.685,4150000.0,3125000.0,4825000.0,3312500.0,1675000.0
idade_elenco,80,0.268,0.046,0.467,0.058,-0.367,27.39,26.44,26.23,26.61,26.83
rem_fora_sof_pct,80,0.258,0.099,0.42,0.336,0.228,50.5,49.38,52.09,49.34,47.57
psv_min_kmh,80,0.239,0.01,0.452,0.228,0.038,27.07,26.71,27.28,26.88,26.5
runs_area,80,0.238,0.015,0.433,0.354,0.302,3.15,3.03,3.23,3.07,2.77
spr_n,80,0.207,-0.049,0.43,0.345,0.338,8.68,8.58,8.84,8.71,8.19
chegaram_no_ano_pct,80,-0.193,-0.375,0.002,-0.291,-0.253,59.14,64.37,57.48,63.36,69.9
hi_n,80,0.173,-0.081,0.392,0.32,0.35,56.13,55.08,56.23,55.65,53.62
psv_amp_kmh,80,-0.164,-0.407,0.076,-0.092,0.108,4.0,3.96,4.11,3.91,4.11
sub23_min_pct,80,-0.148,-0.386,0.086,0.022,0.313,14.89,17.69,20.12,15.84,13.07
ppda,80,-0.139,-0.305,0.027,-0.371,-0.517,9.88,10.31,9.69,10.13,11.19
vet30_min_pct,80,0.128,-0.15,0.381,0.03,-0.169,42.47,33.89,34.36,34.07,39.9
idade_onze,80,0.114,-0.154,0.366,0.005,-0.195,28.73,28.28,28.16,28.34,28.76
posse,80,0.088,-0.14,0.311,0.298,0.459,49.69,49.91,51.4,49.78,48.46
n_estrangeiros_500min,80,-0.032,-0.288,0.235,0.141,0.35,2.0,3.0,4.5,3.0,1.5
estrangeiros_min_pct,80,0.031,-0.215,0.294,0.2,0.357,7.85,11.08,15.73,9.4,5.64
dist,80,0.019,-0.26,0.265,0.108,0.189,9673.33,9592.33,9655.65,9611.15,9583.96
altura_onze,80,-0.006,-0.219,0.201,-0.003,0.004,181.36,181.06,181.23,181.1,181.19
emprestados_min_pct,80,0.0,-0.0,0.0,-0.0,-0.0,100.0,100.0,100.0,100.0,100.0
