league_orig,n,pct_origem,pct_serie_b,delta,delta_mediana,chegaram_ao_top_quartil,inclinacao
Brasil A,115,40.5,56.6,16.2,15.6,38.3,0.3
Brasil C,48,68.5,54.0,-14.5,-12.9,41.7,0.1
Uruguai,5,91.1,60.1,-31.1,-32.4,20.0,
Colombia A,4,32.5,29.2,-3.3,-1.9,25.0,
Portugal A,4,39.2,58.9,19.7,21.2,25.0,
Paraguai,4,57.3,43.8,-13.5,-5.9,25.0,
Argentina A,3,59.9,32.4,-27.5,-43.9,0.0,
Japao A,3,74.6,74.6,-0.0,25.6,66.7,
Belgica A,3,72.6,62.9,-9.7,1.9,66.7,
China,2,76.0,73.8,-2.2,-2.2,50.0,
EUA,2,72.0,22.8,-49.2,-49.2,0.0,
Mexico,2,53.0,59.2,6.2,6.2,0.0,
Polonia,2,65.8,62.4,-3.4,-3.4,50.0,
Portugal B,2,65.6,27.8,-37.8,-37.8,0.0,
Portugal C,2,65.6,34.9,-30.6,-30.6,0.0,
Colombia B,1,18.2,62.5,44.3,44.3,0.0,
Emirados,1,24.1,26.2,2.1,2.1,0.0,
Bulgaria,1,86.5,13.5,-73.0,-73.0,0.0,
Japao B,1,66.7,22.2,-44.5,-44.5,0.0,
Peru,1,44.0,96.3,52.3,52.3,100.0,
Bahrain,1,68.9,61.2,-7.7,-7.7,0.0,
Romenia,1,26.3,40.0,13.7,13.7,0.0,
Turquia,1,38.6,23.3,-15.3,-15.3,0.0,
Arabia Saudita A,1,90.0,43.3,-46.7,-46.7,0.0,
