ano,clube,jogador,País de nacionalidade,setor,idade,minutos,fatia,Contrato termina,Valor de mercado
2022,Grêmio,M. Villasanti,Paraguay,Volante,25.0,2959,0.8732126089872569,2029-12-31,10000000.0
2022,Vasco,J. Quintero,Colombia,Zaga,27.0,2662,0.7038434728264789,2026-12-31,700000.0
2022,Bahia,Lucas Mugni,"Argentina, Spain",Volante,30.0,2201,0.5932614555256065,2027-12-31,300000.0
2022,Náutico,Richard Franco,Paraguay,Meia,30.0,1888,0.5,,
2022,Novorizontino,D. Torres,Argentina,Meia,31.0,1790,0.4788889969841424,,100000.0
2022,Operário-PR,J. Reina,Colombia,Meia,33.0,1789,0.4849313718242528,2026-12-31,250000.0
2022,Grêmio,J. Campaz,Colombia,Meia,22.0,1525,0.4500335345405768,2026-12-31,
2022,Bahia,Hugo Rodallega,Colombia,Atacante,37.0,1262,0.34016172506738546,2026-12-31,150000.0
2022,Ituano,J. Jiménez,Paraguay,Volante,29.0,950,0.25195901145268235,2026-11-30,100000.0
2022,Sport,J. Parraguez,Chile,Atacante,32.0,932,0.248563462237847,2026-12-31,
2022,Cruzeiro,L. País,Uruguay,Lateral,28.0,905,0.2414914004317978,2026-12-31,600000.0
2022,Sampaio Corrêa,Gabriel Batista,Italy,Goleiro,24.0,887,0.23605264431218853,2029-12-31,800000.0
2022,Chapecoense,C. Orejuela,Ecuador,Extremo,29.0,861,0.23114658075852978,2026-12-31,
2022,Sport,F. Labandeira,Uruguay,Extremo,26.0,860,0.22936113468299188,2026-12-31,500000.0
2022,Vasco,C. Palacios,Chile,Meia,21.0,844,0.22315698387135544,2029-12-31,1800000.0
2022,Grêmio,W. Kannemann,"Argentina, Italy",Zaga,31.0,771,0.2275251509054326,2027-12-31,800000.0
2022,Sport,L. Hernández,Uruguay,Lateral,30.0,743,0.1981573524063523,2026-12-31,400000.0
2022,Criciúma,O. Henríquez,Colombia,Zaga,33.0,685,0.17944748749702308,,
2022,Bahia,J. Copete,"Colombia, Venezuela",Extremo,34.0,617,0.16630727762803235,,200000.0
2022,Sport,R. Vanegas,Colombia,Extremo,29.0,609,0.16241968723481634,,50000.0
2022,Guarani,R. Ríos,Colombia,Volante,22.0,602,0.16244327241506193,2030-06-30,
2022,Novorizontino,R. Martínez,Paraguay,Volante,26.0,523,0.1399211985601712,2026-12-31,500000.0
2022,Guarani,Alexis Alvariño,Argentina,Lateral,21.0,519,0.14004660861032747,2026-12-31,350000.0
2022,Sport,B. Cáceres,Paraguay,Meia,33.0,504,0.13441629288398593,,50000.0
2022,CSA,H. Canteros,Argentina,Meia,33.0,402,0.10752322131984633,2026-12-31,
2022,Ituano,E. Córdoba,Colombia,Lateral,28.0,360,0.09547920433996383,,
2022,Ponte Preta,L. Barcía,"Uruguay, Italy",Extremo,29.0,276,0.07297199855786564,,
2022,CSA,J. Mercado,Ecuador,Extremo,20.0,272,0.07275203034576667,2029-06-30,
2022,Cruzeiro,P. Siles,Uruguay,Meia,24.0,167,0.0445625015161439,2026-12-31,350000.0
2022,Chapecoense,Rodrigo Varanda,Bahrain,Atacante,19.0,125,0.03355786596378191,2026-12-31,1000000.0
2022,Grêmio,M. Benítez,Argentina,Extremo,28.0,107,0.03157612340710932,2026-12-31,1400000.0
2022,Guarani,B. Miranda,Bolivia,Atacante,24.0,88,0.02374586041947749,,
2022,Londrina,S. Oti,Nigeria,Zaga,20.0,49,0.013058752271350695,,
2022,Guarani,Rafael Freitas,Portugal,Extremo,17.0,29,0.007825340365509628,2027-05-15,
2022,Vasco,M. Sarrafiore,Argentina,Atacante,25.0,17,0.0044948681585462585,2029-06-30,
2022,Grêmio,K. Quejada,Colombia,Atacante,19.0,16,0.00472166331321261,,
2022,Vasco,J. Sánchez,Ecuador,Extremo,22.0,14,0.003701656130567507,2026-12-31,300000.0
2022,Vila Nova,C. Ebere,Nigeria,Extremo,24.0,14,0.003634389823708494,2028-12-31,1300000.0
2023,Sport,F. Labandeira,Uruguay,Extremo,27.0,1112,0.29365727181063045,2026-12-31,500000.0
2023,Guarani,Alexis Alvariño,Argentina,Zaga,22.0,1083,0.2834808680753855,2026-12-31,350000.0
2023,Sport,A. Ruiz,"Argentina, Italy",Extremo,30.0,929,0.24533058049647094,2026-12-31,800000.0
2023,Londrina,U. Clinton,Nigeria,Extremo,21.0,789,0.20378023010096266,,
2023,Vitória,S. Tréllez,Colombia,Atacante,33.0,701,0.1811497169168605,,50000.0
2023,Avaí,S. Patiño,"Colombia, United States",Atacante,26.0,637,0.16557574611876463,2026-11-30,450000.0
2023,Sport,R. Rosales,"Venezuela, Spain",Lateral,34.0,606,0.1600326499255774,2026-12-31,300000.0
2023,Chapecoense,P. Siles,Uruguay,Meia,26.0,600,0.1516300227445034,2026-12-31,350000.0
2023,CRB,J. Copete,"Colombia, Venezuela",Extremo,35.0,423,0.10756889217680783,,200000.0
2023,Botafogo-SP,T. Andrade,"Argentina, Italy",Extremo,26.0,376,0.09713480507280413,2026-12-31,300000.0
2023,Ponte Preta,P. Villero,Colombia,Extremo,24.0,262,0.06756059824651882,2026-12-31,
2023,Juventude,G. Gordillo,"Guatemala, Italy",Zaga,28.0,105,0.026538302467717476,,250000.0
2023,Vitória,D. Torres,Argentina,Meia,32.0,100,0.02584161439612846,,100000.0
2023,Botafogo-SP,P. Martínez,Mexico,Lateral,24.0,95,0.024542038515735085,,600000.0
2023,ABC,A. Rodríguez,Uruguay,Meia,23.0,62,0.01590003030797566,2026-12-31,275000.0
2023,Londrina,Mauro Bravo,Spain,Meia,24.0,50,0.012913829537450105,2027-06-30,
2023,Tombense,F. Mederos,Uruguay,Meia,22.0,8,0.0020584795321637425,2026-12-31,
2024,Santos,Gonzalo Escobar,Argentina,Lateral,27.0,3172,0.8282377516141284,2027-12-31,600000.0
2024,Sport,F. Domínguez,"Uruguay, Spain",Meia,26.0,2949,0.7672059032212288,2030-12-31,
2024,Amazonas,Alexis Alvariño,Argentina,Zaga,23.0,2789,0.7277320492444909,2026-12-31,350000.0
2024,Ceará,Rafael Ramos,Portugal,Lateral,29.0,2678,0.681740337884749,2026-12-31,500000.0
2024,Coritiba,S. Gómez,Colombia,Meia,28.0,2445,0.6425295045152659,2028-12-31,
2024,Santos,Rómulo Otero,Venezuela,Extremo,31.0,2374,0.6198727687048994,2026-12-31,800000.0
2024,Ponte Preta,G. Risso,Argentina,Lateral,28.0,2205,0.5818360640007677,2026-12-31,300000.0
2024,Paysandu,Y. Quintana,Uruguay,Zaga,28.0,2143,0.5555607928165728,,350000.0
2024,Amazonas,D. Torres,Argentina,Atacante,33.0,2103,0.5487344924923501,,100000.0
2024,Sport,C. Ortiz,Argentina,Atacante,31.0,2064,0.5369660848588051,2026-11-30,700000.0
2024,Ceará,Lucas Mugni,"Argentina, Spain",Meia,32.0,1931,0.4915760240685027,2027-12-31,300000.0
2024,Paysandu,E. Garcia,Venezuela,Extremo,24.0,1763,0.45704791308241616,2026-12-31,300000.0
2024,Vila Nova,J. Quintero,Colombia,Zaga,29.0,1482,0.38891142018751346,2026-12-31,700000.0
2024,Amazonas,J. Jiménez,Paraguay,Meia,31.0,1461,0.3812178285931162,2026-11-30,100000.0
2024,Paysandu,B. Borasi,Argentina,Extremo,26.0,1335,0.3460913011713134,2027-06-30,300000.0
2024,Santos,Julio Furch,Argentina,Atacante,34.0,1314,0.34309722749715155,,700000.0
2024,América-MG,F. Elizari,Argentina,Meia,33.0,1299,0.3396401321575432,2026-11-30,350000.0
2024,Ceará,J. Recalde,Paraguay,Meia,32.0,1282,0.3263596389724601,,600000.0
2024,Botafogo-SP,S. Abdulai,Ghana,Meia,25.0,1275,0.3340876607908528,2028-06-30,200000.0
2024,CRB,L. Segovia,Ecuador,Zaga,26.0,1229,0.31842377991332205,2026-12-31,1500000.0
2024,CRB,F. Labandeira,Uruguay,Extremo,28.0,1205,0.31220557753909933,2026-12-31,500000.0
2024,Brusque,A. González,Uruguay,Atacante,27.0,1104,0.2936312200783403,2026-12-31,350000.0
2024,Brusque,Jhan Torres,Colombia,Lateral,23.0,1035,0.27527926882344406,2026-11-30,
2024,Coritiba,Josué,Portugal,Meia,33.0,1030,0.27067705098189115,2026-12-31,600000.0
2024,Ceará,F. Barceló,"Uruguay, Italy",Atacante,31.0,1011,0.25737097894006017,2026-12-31,600000.0
2024,Paysandu,J. Cazares,Ecuador,Meia,32.0,902,0.23383846715844547,,500000.0
2024,Brusque,Rodrigo Pollero,Uruguay,Atacante,27.0,887,0.23591566323323176,2026-12-31,350000.0
2024,Operário-PR,S. Ocampos,Paraguay,Lateral,22.0,797,0.21383969949753648,,
2024,Sport,J. Fernández,Argentina,Meia,29.0,792,0.20604512558535545,,
2024,Chapecoense,W. Clar,Paraguay,Lateral,29.0,746,0.19872136387852957,2028-12-31,500000.0
2024,Goiás,Jhon Vásquez,Colombia,Extremo,29.0,728,0.1885211168134093,2026-12-31,800000.0
2024,Ponte Preta,L. Haquín,Bolivia,Zaga,26.0,603,0.1591143521961283,,450000.0
2024,América-MG,M. Benítez,Argentina,Meia,30.0,596,0.15583180813386893,2026-12-31,1400000.0
2024,Vila Nova,Éric Davis,Panama,Lateral,33.0,522,0.13698499415511606,2026-12-31,150000.0
2024,Sport,R. Rosales,"Venezuela, Spain",Lateral,35.0,480,0.12487583368809423,2026-12-31,300000.0
2024,Santos,T. Rincón,Venezuela,Volante,36.0,474,0.12376566654006836,,300000.0
2024,Paysandu,Y. González,Colombia,Atacante,30.0,473,0.12262261082698969,2027-12-31,500000.0
2024,Sport,L. Di Plácido,"Argentina, Italy",Lateral,30.0,424,0.11030698642448322,2027-12-31,500000.0
2024,Goiás,Á. Rodríguez,Colombia,Atacante,35.0,409,0.10591364941852253,,300000.0
2024,Santos,Ignacio Laquintana,Uruguay,Extremo,25.0,406,0.1060102544625902,2027-12-31,1000000.0
2024,Santos,A. Morelos,Colombia,Atacante,28.0,369,0.09634922142043297,2028-12-31,
2024,Ceará,F. Castro,"Uruguay, Italy",Extremo,29.0,350,0.08909974542929877,2026-12-31,550000.0
2024,Vila Nova,A. Silva,Uruguay,Lateral,31.0,328,0.08607486222773576,2026-12-31,375000.0
2024,Sport,A. Ruiz,"Argentina, Italy",Meia,30.0,311,0.08090913391041105,2026-12-31,800000.0
2024,Guarani,Rafael Freitas,Portugal,Extremo,18.0,182,0.04672657252888318,2027-05-15,
2024,Brusque,M. Ocampo,Uruguay,Atacante,22.0,181,0.048140625755597466,2026-12-31,700000.0
2024,Coritiba,E. Castillo,Ecuador,Extremo,29.0,154,0.040470161020593434,2028-12-31,600000.0
2024,Amazonas,Jonny Uchuari,Ecuador,Lateral,30.0,145,0.03783476053798895,2026-12-31,450000.0
2024,Santos,Miguelito,Bolivia,Extremo,20.0,133,0.03472749715153817,2029-05-31,
2024,Novorizontino,Ó. Ruiz,Paraguay,Atacante,33.0,95,0.024684650635423064,2026-12-31,200000.0
2024,Sport,Helibelton Palacios,Colombia,Lateral,31.0,94,0.02445485076391845,2028-12-31,1000000.0
2024,Santos,B. Arce,Ecuador,Meia,26.0,50,0.013055450056969236,,900000.0
2024,Goiás,I. Torres,Paraguay,Extremo,33.0,30,0.007768727341211922,2026-12-31,300000.0
2024,Santos,A. Villarreal,Colombia,Atacante,19.0,22,0.005744398025066464,2029-12-31,
2025,Chapecoense,W. Clar,Paraguay,Lateral,30.0,3795,0.9793778153153153,2028-12-31,500000.0
