ano,Equipa,pos_apos,pts_acum,pos_final,pontos_final
2022,Bahia,3.0,34,3,62
2022,Brusque,12.0,22,18,34
2022,CRB,9.0,25,11,50
2022,CSA,15.0,20,17,42
2022,Chapecoense,12.0,22,14,45
2022,Criciúma,11.0,24,8,56
2022,Cruzeiro,1.0,42,1,78
2022,Grêmio,4.0,33,2,65
2022,Guarani,18.0,18,10,51
2022,Ituano,15.0,20,6,57
2022,Londrina,5.0,28,9,52
2022,Novorizontino,8.0,26,15,44
2022,Náutico,18.0,18,20,30
2022,Operário-PR,15.0,20,19,34
2022,Ponte Preta,12.0,22,12,49
2022,Sampaio Corrêa,9.0,25,5,58
2022,Sport,7.0,27,7,57
2022,Tombense,5.0,28,16,44
2022,Vasco,2.0,35,4,62
2022,Vila Nova,20.0,14,13,47
2023,ABC,20.0,12,20,28
2023,Atlético-GO,11.0,27,4,64
2023,Avaí,18.0,17,13,44
2023,Botafogo-SP,8.0,30,12,47
2023,CRB,12.0,24,10,57
2023,Ceará,10.0,28,11,50
2023,Chapecoense,16.0,18,16,40
2023,Criciúma,5.0,34,3,64
2023,Guarani,6.0,32,9,57
2023,Ituano,14.0,20,14,42
2023,Juventude,8.0,30,2,65
2023,Londrina,19.0,14,19,31
2023,Mirassol,7.0,31,7,63
2023,Novorizontino,2.0,36,6,63
2023,Ponte Preta,13.0,22,15,42
2023,Sampaio Corrêa,14.0,20,17,39
2023,Sport,3.0,35,5,63
2023,Tombense,16.0,18,18,37
2023,Vila Nova,3.0,35,8,61
2023,Vitória,1.0,37,1,72
2024,Amazonas,12.0,24,11,52
2024,América-MG,5.0,30,7,58
2024,Avaí,11.0,25,10,53
2024,Botafogo-SP,16.0,22,14,45
2024,Brusque,17.0,19,19,36
2024,CRB,12.0,24,16,43
2024,Ceará,7.0,29,4,64
2024,Chapecoense,17.0,19,15,44
2024,Coritiba,15.0,23,13,50
2024,Goiás,9.0,28,6,63
2024,Guarani,20.0,11,20,33
2024,Ituano,19.0,13,18,37
2024,Mirassol,3.0,32,2,67
2024,Novorizontino,2.0,33,5,64
2024,Operário-PR,7.0,29,8,55
2024,Paysandu,12.0,24,12,50
2024,Ponte Preta,10.0,26,17,38
2024,Santos,1.0,34,1,68
2024,Sport,3.0,32,3,66
2024,Vila Nova,5.0,30,9,55
2025,Amazonas,19.0,19,18,36
2025,América-MG,15.0,21,14,46
2025,Athletic,12.0,23,15,44
2025,Athletico-PR,10.0,25,2,65
2025,Atlético-GO,12.0,23,11,52
2025,Avaí,7.0,28,8,56
2025,Botafogo-SP,20.0,18,16,42
2025,CRB,10.0,25,9,56
2025,Chapecoense,4.0,30,3,62
2025,Coritiba,2.0,35,1,68
2025,Criciúma,6.0,29,5,61
2025,Cuiabá,7.0,28,10,54
2025,Ferroviária,17.0,20,17,40
2025,Goiás,1.0,37,6,61
2025,Novorizontino,3.0,34,7,60
2025,Operário-PR,12.0,23,12,48
2025,Paysandu,17.0,20,20,28
2025,Remo,4.0,30,4,62
2025,Vila Nova,9.0,27,13,47
2025,Volta Redonda,15.0,21,19,36
