traco,n,r_rendimento,ic_baixo,ic_alto,r_pontos,r_valor,med_sobe,med_meio,med_cai
artilheiro_pct,80,-0.082,-0.305,0.13,-0.061,0.022,20.6,20.83,20.0
top3_pct,80,-0.138,-0.373,0.084,-0.142,-0.043,45.53,45.83,49.96
marcadores,80,0.18,-0.061,0.413,0.337,0.373,16.0,15.0,13.0
gols_zaga_vol,80,0.321,0.14,0.497,0.293,0.025,6.0,5.0,3.0
gols_laterais,80,0.299,0.101,0.49,0.324,0.129,3.0,2.0,1.5
pts_apos_derrota,80,0.684,0.548,0.797,0.725,0.261,1.78,1.57,1.06
pts_apos_vitoria,80,0.558,0.386,0.696,0.706,0.45,1.68,1.15,0.59
maior_seq_sem_vencer,80,-0.672,-0.759,-0.577,-0.746,-0.326,4.0,6.0,9.0
pts_casa,80,0.78,0.701,0.847,0.864,0.376,2.13,1.81,1.26
pts_fora,80,0.685,0.546,0.8,0.79,0.394,1.39,0.95,0.53
dias_lesao,80,0.1,-0.07,0.274,0.259,0.355,453.0,163.0,60.0
lesionados,80,0.019,-0.149,0.2,0.237,0.456,5.0,2.0,2.0
