ano,clube,jogador,pos11,setor,tipo,minutos,psv99,sprint_count_p90,hi_count_p90,expl_accel_sprint_p90,distance_p90,runs_p30tip,Duelos/90,"Duelos ganhos, %","Duelos defensivos ganhos, %","Duelos aéreos ganhos, %",Duelos ofensivos/90,Dribles/90,Corridas progressivas/90,Toques na área/90,Acções atacantes com sucesso/90,xgxa90,ga90,Interseções/90
2022,Bahia,Ignácio,ZD,Zaga,Motor de volume,3355,28.86,5.63,36.48,0.88,8789.41,6.57,12.85,63.05,73.54,57.36,2.41,0.64,1.15,0.43,0.51,0.06999999999999999,0.08,4.21
2022,Bahia,Luiz Otávio,ZE,Zaga,Baixa intensidade,2685,28.04,3.16,25.48,0.31,8382.38,4.77,10.02,65.89,64.86,68.13,0.3,0.07,0.07,0.77,0.2,0.07,0.03,5.2
2022,Bahia,Gabriel Xavier,ZE,Zaga,Motor de volume,1046,28.07,6.62,42.72,1.03,9200.71,10.73,11.79,65.69,67.86,63.16,0.43,0.0,0.26,0.69,0.17,0.11,0.0,5.33
2022,Brusque,Éverton Alemão,ZD,Zaga,Baixa intensidade,2265,28.7,4.32,31.74,0.67,8867.77,3.42,13.19,64.16,74.22,56.03,1.31,0.36,0.79,0.75,0.6,0.09,0.04,5.17
2022,Brusque,Bruno Aguiar,ZD,Zaga,Baixa intensidade,1144,28.25,4.64,33.01,0.79,8740.96,4.38,13.77,57.71,71.43,51.43,1.42,0.47,0.94,0.55,0.47,0.07,0.08,2.67
2022,CRB,Gum,ZD,Zaga,Motor de volume,2461,28.04,5.28,35.78,0.95,9412.48,5.03,12.25,64.18,72.58,61.97,0.59,0.11,0.73,0.59,0.18,0.05,0.04,5.49
2022,CRB,Wellington Carvalho,ZE,Zaga,Motor de volume,1829,28.36,5.21,35.93,0.94,9099.64,6.09,13.04,53.58,60.48,56.25,1.13,0.1,0.79,0.2,0.2,0.05,0.05,4.82
2022,CRB,Diego Ivo,ZE,Zaga,Baixa intensidade,1361,27.92,3.83,30.81,0.96,8987.43,3.06,12.76,62.18,68.18,59.68,0.93,0.07,0.2,0.46,0.13,0.03,0.0,5.49
2022,CRB,Gilvan,ZE,Zaga,Motor de volume,1083,28.28,4.8,34.84,1.08,9400.35,7.05,14.13,64.71,63.1,66.67,0.91,0.08,0.58,0.42,0.17,0.01,0.0,5.65
2022,CSA,Werley,ZE,Zaga,Baixa intensidade,1621,26.63,2.83,26.98,0.11,9150.38,8.68,11.71,65.4,72.86,65.93,0.94,0.11,1.61,0.72,0.28,0.08,0.06,3.89
2022,Chapecoense,Victor Ramos,ZE,Zaga,Baixa intensidade,2848,27.26,3.18,25.34,0.26,8988.17,5.23,11.85,66.13,68.79,63.38,0.66,0.32,2.09,0.51,0.35,0.05,0.03,4.27
2022,Chapecoense,Frazan,ZD,Zaga,Baixa intensidade,1327,27.32,3.59,29.11,0.61,8690.4,5.13,10.72,62.03,66.2,59.09,0.68,0.2,0.41,0.0,0.2,0.0,0.0,4.34
2022,Criciúma,Rayan,ZE,Zaga,Baixa intensidade,1683,28.36,4.44,33.37,0.97,8682.46,6.08,10.86,67.98,73.68,66.15,1.23,0.21,0.37,0.53,0.32,0.06,0.0,4.33
2022,Criciúma,Zé Marcos,ZE,Zaga,Motor de volume,1181,28.35,6.65,43.11,0.15,9193.41,8.65,14.02,58.7,65.63,62.67,1.14,0.23,1.07,0.61,0.46,0.11,0.15,4.57
2022,Cruzeiro,Eduardo Brock,ZE,Zaga,Motor de volume,3000,28.09,5.03,37.16,0.33,8981.57,10.27,16.56,61.05,63.53,62.87,0.96,0.33,1.68,0.27,0.78,0.09999999999999999,0.06,4.11
2022,Cruzeiro,Zé Ivaldo,ZD,Zaga,Explosivo e rápido,2702,30.01,7.72,43.03,1.16,8541.68,5.98,16.65,53.8,61.67,43.88,3.53,1.53,1.97,0.63,1.7,0.06999999999999999,0.1,3.76
2022,Grêmio,Pedro Geromel,ZD,Zaga,Baixa intensidade,3234,28.33,3.92,29.52,0.39,8466.97,3.56,10.6,66.93,77.84,62.5,0.83,0.25,0.45,0.28,0.28,0.02,0.0,5.09
2022,Guarani,Derlan,ZE,Zaga,Motor de volume,2139,27.7,4.53,31.96,0.38,8889.92,8.54,12.2,56.9,67.74,57.8,1.35,0.29,1.51,0.63,0.46,0.05,0.0,4.33
2022,Guarani,Ronaldo Alves,ZE,Zaga,Baixa intensidade,1293,27.25,3.31,27.99,0.3,8935.12,8.1,10.93,65.61,68.97,64.71,0.49,0.28,0.56,0.9,0.28,0.04,0.0,5.92
2022,Ituano,Bernardo Schappo,ZE,Zaga,Baixa intensidade,2675,27.98,3.94,30.76,0.42,8941.55,5.55,12.08,56.27,65.35,55.56,0.67,0.17,0.3,0.57,0.37,0.11,0.13,4.54
2022,Ituano,Rafael Pereira,ZE,Zaga,Baixa intensidade,2569,26.82,3.11,29.6,0.15,8943.29,3.44,8.09,62.77,65.52,59.65,0.88,0.28,0.14,0.56,0.28,0.09,0.04,4.55
2022,Ituano,Lucas Dias,ZD,Zaga,Motor de volume,2107,29.28,5.82,39.37,0.9,9015.72,8.69,12.81,58.0,70.09,48.57,1.45,0.38,0.77,1.07,0.51,0.12,0.09,5.13
2022,Londrina,Vilar,ZE,Zaga,Explosivo e rápido,3166,29.36,5.67,36.39,1.4,8893.79,5.54,10.5,62.12,70.59,64.0,1.08,0.15,0.06,0.41,0.15,0.05,0.03,5.35
2022,Londrina,Saimon,ZD,Zaga,Baixa intensidade,3137,27.81,3.84,30.21,0.52,8787.53,4.81,13.31,64.22,67.24,66.26,1.06,0.2,0.37,0.72,0.17,0.07,0.03,5.05
2022,Novorizontino,Ligger,ZE,Zaga,Baixa intensidade,2595,27.74,4.49,32.76,0.4,8906.73,7.38,11.97,61.45,70.0,61.65,1.35,0.38,0.9,0.45,0.28,0.06,0.03,4.58
2022,Novorizontino,Rodolfo Filemon,ZD,Zaga,Motor de volume,1959,27.71,4.88,34.68,0.38,8788.44,9.13,10.29,56.25,60.34,56.76,0.69,0.14,0.83,0.51,0.28,0.04,0.0,3.77
2022,Novorizontino,Wálber,ZD,Zaga,Motor de volume,1863,28.62,5.28,35.48,0.61,9020.69,7.62,9.81,50.25,55.96,46.55,0.53,0.1,0.82,0.24,0.29,0.05,0.0,3.91
2022,Novorizontino,Joílson,ZD,Zaga,Baixa intensidade,1460,29.79,4.66,31.09,0.89,8635.93,2.53,10.66,52.02,61.54,45.45,0.74,0.12,1.29,0.62,0.25,0.07,0.0,5.18
2022,Náutico,Bruno Bispo,ZE,Zaga,Motor de volume,2235,28.19,4.82,34.33,0.44,9051.6,3.2,10.75,63.3,68.29,57.65,0.89,0.28,0.6,0.16,0.32,0.03,0.04,5.48
2022,Operário-PR,Reniê,ZE,Zaga,Baixa intensidade,3222,27.72,4.38,33.32,0.61,8882.92,5.92,10.5,59.84,67.28,53.55,0.56,0.2,0.64,0.25,0.2,0.01,0.0,4.69
2022,Operário-PR,Thales,ZD,Zaga,Motor de volume,1578,29.46,6.32,39.59,0.57,8952.36,7.05,11.63,59.8,58.23,65.71,1.14,0.17,0.63,0.29,0.17,0.04,0.06,5.3
2022,Ponte Preta,Fábio Sanches,ZE,Zaga,Explosivo e rápido,2883,29.76,6.94,41.48,1.56,8565.52,5.33,12.92,61.35,72.86,59.87,1.34,0.34,0.62,0.56,0.28,0.05,0.06,5.03
2022,Ponte Preta,Mateus Silva,ZD,Zaga,Motor de volume,1441,28.17,5.98,38.63,0.75,8651.79,7.8,11.05,66.1,55.77,72.29,1.31,0.25,1.87,0.62,0.5,0.16,0.18,4.75
2022,Sampaio Corrêa,Allan Godói,ZD,Zaga,Explosivo e rápido,2871,30.46,7.44,39.83,1.43,8548.92,4.46,14.61,65.88,78.09,61.68,3.98,0.94,0.66,0.25,0.75,0.03,0.0,5.11
2022,Sampaio Corrêa,Nilson Júnior,ZE,Zaga,Motor de volume,1873,28.45,5.43,34.41,0.75,9143.22,5.8,12.59,59.16,65.6,58.82,2.35,0.77,0.86,0.38,0.53,0.03,0.0,5.57
2022,Sampaio Corrêa,Joécio,ZE,Zaga,Baixa intensidade,1405,28.57,4.42,29.75,0.7,8641.51,4.17,8.97,63.57,53.85,76.67,0.38,0.0,0.32,0.51,0.06,0.05,0.06,3.84
2022,Sport,Sabino,ZE,Zaga,Baixa intensidade,3621,29.71,4.26,29.18,0.64,8399.82,3.85,13.12,65.34,67.4,69.23,2.31,1.04,1.96,0.65,1.02,0.060000000000000005,0.0,4.6
2022,Sport,Rafael Thyere,ZD,Zaga,Baixa intensidade,2375,27.2,3.19,27.67,0.83,8841.07,11.88,11.18,65.42,76.92,60.74,0.87,0.19,0.83,0.49,0.23,0.07,0.08,5.23
2022,Sport,Fabio Alemão,ZD,Zaga,Motor de volume,1144,28.14,5.51,38.15,0.16,9080.65,11.11,14.95,53.68,71.79,42.11,1.65,1.02,1.1,1.18,0.39,0.08,0.0,4.01
2022,Tombense,Roger Carvalho,ZE,Zaga,Baixa intensidade,2351,28.29,3.14,24.61,0.5,8458.24,2.7,8.31,72.35,77.42,62.2,0.8,0.19,0.11,0.34,0.27,0.08,0.0,4.02
2022,Tombense,Ednei,ZD,Zaga,Motor de volume,2213,28.76,4.87,34.75,0.85,8870.37,9.05,12.25,56.06,63.04,54.48,1.44,0.42,0.81,0.68,0.38,0.08,0.04,5.72
2022,Tombense,Joseph,ZE,Zaga,Motor de volume,2043,28.97,5.75,38.7,0.69,9213.53,12.79,10.6,54.78,57.6,52.94,1.29,0.28,0.78,0.37,0.18,0.03,0.0,3.92
