setor,fisico,tecnico,n,r,r_time_igual
Zaga,psv99,Duelos/90,280,0.305,0.295
Zaga,psv99,"Duelos ganhos, %",280,0.047,0.061
Zaga,psv99,Duelos defensivos/90,280,0.248,0.266
Zaga,psv99,"Duelos defensivos ganhos, %",280,0.124,0.115
Zaga,psv99,Duelos aéreos/90,280,0.083,0.055
Zaga,psv99,"Duelos aéreos ganhos, %",280,-0.002,-0.026
Zaga,psv99,Duelos ofensivos/90,280,0.332,0.296
Zaga,psv99,"Duelos ofensivos ganhos, %",280,-0.116,-0.087
Zaga,psv99,Interseções/90,280,0.07,0.076
Zaga,psv99,Dribles/90,280,0.247,0.246
Zaga,psv99,Corridas progressivas/90,280,-0.03,-0.003
Zaga,psv99,Toques na área/90,280,0.102,0.113
Zaga,psv99,Acções atacantes com sucesso/90,280,0.171,0.178
Zaga,psv99,Golos esperados/90,280,0.089,0.112
Zaga,psv99,Assistências esperadas/90,280,0.019,0.018
Zaga,psv99,ga90,280,0.004,0.029
Zaga,psv99,xgxa90,280,0.092,0.104
Zaga,psv99,Passes progressivos/90,280,-0.12,-0.1
Zaga,psv99,Faltas sofridas/90,280,0.105,0.094
Zaga,psv99,Passes chave/90,280,-0.048,-0.022
Zaga,sprint_count_p90,Duelos/90,280,0.395,0.339
Zaga,sprint_count_p90,"Duelos ganhos, %",280,-0.069,-0.105
Zaga,sprint_count_p90,Duelos defensivos/90,280,0.38,0.35
Zaga,sprint_count_p90,"Duelos defensivos ganhos, %",280,0.024,0.015
Zaga,sprint_count_p90,Duelos aéreos/90,280,0.04,-0.023
Zaga,sprint_count_p90,"Duelos aéreos ganhos, %",280,-0.08,-0.155
Zaga,sprint_count_p90,Duelos ofensivos/90,280,0.42,0.409
Zaga,sprint_count_p90,"Duelos ofensivos ganhos, %",280,-0.125,-0.117
Zaga,sprint_count_p90,Interseções/90,280,0.11,0.101
Zaga,sprint_count_p90,Dribles/90,280,0.354,0.367
Zaga,sprint_count_p90,Corridas progressivas/90,280,0.101,0.134
Zaga,sprint_count_p90,Toques na área/90,280,0.07,0.079
Zaga,sprint_count_p90,Acções atacantes com sucesso/90,280,0.235,0.24
Zaga,sprint_count_p90,Golos esperados/90,280,0.069,0.077
Zaga,sprint_count_p90,Assistências esperadas/90,280,0.061,0.073
Zaga,sprint_count_p90,ga90,280,0.084,0.073
Zaga,sprint_count_p90,xgxa90,280,0.089,0.094
Zaga,sprint_count_p90,Passes progressivos/90,280,-0.09,-0.059
Zaga,sprint_count_p90,Faltas sofridas/90,280,0.19,0.174
Zaga,sprint_count_p90,Passes chave/90,280,0.056,0.081
Zaga,hi_count_p90,Duelos/90,280,0.382,0.327
Zaga,hi_count_p90,"Duelos ganhos, %",280,-0.099,-0.137
Zaga,hi_count_p90,Duelos defensivos/90,280,0.381,0.355
Zaga,hi_count_p90,"Duelos defensivos ganhos, %",280,-0.017,-0.033
Zaga,hi_count_p90,Duelos aéreos/90,280,0.018,-0.05
Zaga,hi_count_p90,"Duelos aéreos ganhos, %",280,-0.091,-0.16
Zaga,hi_count_p90,Duelos ofensivos/90,280,0.412,0.411
Zaga,hi_count_p90,"Duelos ofensivos ganhos, %",280,-0.089,-0.084
Zaga,hi_count_p90,Interseções/90,280,0.095,0.083
Zaga,hi_count_p90,Dribles/90,280,0.363,0.382
Zaga,hi_count_p90,Corridas progressivas/90,280,0.13,0.161
Zaga,hi_count_p90,Toques na área/90,280,0.044,0.042
Zaga,hi_count_p90,Acções atacantes com sucesso/90,280,0.248,0.244
Zaga,hi_count_p90,Golos esperados/90,280,0.059,0.051
Zaga,hi_count_p90,Assistências esperadas/90,280,0.088,0.09
Zaga,hi_count_p90,ga90,280,0.1,0.066
Zaga,hi_count_p90,xgxa90,280,0.083,0.071
Zaga,hi_count_p90,Passes progressivos/90,280,-0.049,-0.016
Zaga,hi_count_p90,Faltas sofridas/90,280,0.209,0.187
Zaga,hi_count_p90,Passes chave/90,280,0.099,0.111
Zaga,expl_accel_sprint_p90,Duelos/90,280,0.231,0.228
Zaga,expl_accel_sprint_p90,"Duelos ganhos, %",280,0.072,0.059
Zaga,expl_accel_sprint_p90,Duelos defensivos/90,280,0.239,0.248
Zaga,expl_accel_sprint_p90,"Duelos defensivos ganhos, %",280,0.081,0.079
Zaga,expl_accel_sprint_p90,Duelos aéreos/90,280,-0.04,-0.066
Zaga,expl_accel_sprint_p90,"Duelos aéreos ganhos, %",280,-0.003,-0.031
Zaga,expl_accel_sprint_p90,Duelos ofensivos/90,280,0.345,0.334
Zaga,expl_accel_sprint_p90,"Duelos ofensivos ganhos, %",280,0.04,0.037
Zaga,expl_accel_sprint_p90,Interseções/90,280,0.207,0.189
Zaga,expl_accel_sprint_p90,Dribles/90,280,0.302,0.318
Zaga,expl_accel_sprint_p90,Corridas progressivas/90,280,-0.003,0.038
Zaga,expl_accel_sprint_p90,Toques na área/90,280,0.042,0.014
Zaga,expl_accel_sprint_p90,Acções atacantes com sucesso/90,280,0.211,0.23
Zaga,expl_accel_sprint_p90,Golos esperados/90,280,0.045,0.03
Zaga,expl_accel_sprint_p90,Assistências esperadas/90,280,0.036,0.061
Zaga,expl_accel_sprint_p90,ga90,280,0.021,0.026
Zaga,expl_accel_sprint_p90,xgxa90,280,0.05,0.042
Zaga,expl_accel_sprint_p90,Passes progressivos/90,280,-0.119,-0.11
Zaga,expl_accel_sprint_p90,Faltas sofridas/90,280,0.167,0.159
Zaga,expl_accel_sprint_p90,Passes chave/90,280,0.046,0.092
Zaga,distance_p90,Duelos/90,280,0.193,0.155
Zaga,distance_p90,"Duelos ganhos, %",280,-0.12,-0.16
Zaga,distance_p90,Duelos defensivos/90,280,0.255,0.225
Zaga,distance_p90,"Duelos defensivos ganhos, %",280,-0.164,-0.18
Zaga,distance_p90,Duelos aéreos/90,280,0.035,-0.023
Zaga,distance_p90,"Duelos aéreos ganhos, %",280,-0.008,-0.076
Zaga,distance_p90,Duelos ofensivos/90,280,0.102,0.158
Zaga,distance_p90,"Duelos ofensivos ganhos, %",280,-0.059,-0.047
Zaga,distance_p90,Interseções/90,280,-0.006,-0.002
Zaga,distance_p90,Dribles/90,280,0.102,0.156
Zaga,distance_p90,Corridas progressivas/90,280,0.225,0.254
Zaga,distance_p90,Toques na área/90,280,0.039,0.017
Zaga,distance_p90,Acções atacantes com sucesso/90,280,0.091,0.061
Zaga,distance_p90,Golos esperados/90,280,0.007,-0.017
Zaga,distance_p90,Assistências esperadas/90,280,0.038,0.047
Zaga,distance_p90,ga90,280,0.002,-0.047
Zaga,distance_p90,xgxa90,280,-0.0,-0.021
Zaga,distance_p90,Passes progressivos/90,280,0.121,0.153
Zaga,distance_p90,Faltas sofridas/90,280,0.044,0.048
Zaga,distance_p90,Passes chave/90,280,0.072,0.024
Zaga,high_accel_p90,Duelos/90,280,0.186,0.174
Zaga,high_accel_p90,"Duelos ganhos, %",280,-0.005,-0.024
Zaga,high_accel_p90,Duelos defensivos/90,280,0.228,0.207
Zaga,high_accel_p90,"Duelos defensivos ganhos, %",280,0.072,0.073
Zaga,high_accel_p90,Duelos aéreos/90,280,-0.057,-0.093
Zaga,high_accel_p90,"Duelos aéreos ganhos, %",280,-0.099,-0.127
Zaga,high_accel_p90,Duelos ofensivos/90,280,0.269,0.276
Zaga,high_accel_p90,"Duelos ofensivos ganhos, %",280,0.032,0.037
Zaga,high_accel_p90,Interseções/90,280,0.091,0.11
Zaga,high_accel_p90,Dribles/90,280,0.243,0.29
Zaga,high_accel_p90,Corridas progressivas/90,280,0.013,0.067
Zaga,high_accel_p90,Toques na área/90,280,-0.042,-0.041
Zaga,high_accel_p90,Acções atacantes com sucesso/90,280,0.164,0.186
Zaga,high_accel_p90,Golos esperados/90,280,-0.03,-0.022
Zaga,high_accel_p90,Assistências esperadas/90,280,0.005,0.045
Zaga,high_accel_p90,ga90,280,0.035,0.026
Zaga,high_accel_p90,xgxa90,280,-0.025,-0.005
Zaga,high_accel_p90,Passes progressivos/90,280,-0.057,-0.017
Zaga,high_accel_p90,Faltas sofridas/90,280,0.152,0.128
Zaga,high_accel_p90,Passes chave/90,280,0.027,0.089
Zaga,cod_count_p90,Duelos/90,280,0.395,0.354
Zaga,cod_count_p90,"Duelos ganhos, %",280,-0.092,-0.133
Zaga,cod_count_p90,Duelos defensivos/90,280,0.45,0.415
Zaga,cod_count_p90,"Duelos defensivos ganhos, %",280,0.021,-0.007
Zaga,cod_count_p90,Duelos aéreos/90,280,0.014,-0.036
Zaga,cod_count_p90,"Duelos aéreos ganhos, %",280,-0.123,-0.178
Zaga,cod_count_p90,Duelos ofensivos/90,280,0.371,0.411
Zaga,cod_count_p90,"Duelos ofensivos ganhos, %",280,-0.029,-0.04
Zaga,cod_count_p90,Interseções/90,280,0.097,0.112
Zaga,cod_count_p90,Dribles/90,280,0.347,0.402
Zaga,cod_count_p90,Corridas progressivas/90,280,0.119,0.149
Zaga,cod_count_p90,Toques na área/90,280,0.043,0.05
Zaga,cod_count_p90,Acções atacantes com sucesso/90,280,0.26,0.245
Zaga,cod_count_p90,Golos esperados/90,280,0.068,0.043
Zaga,cod_count_p90,Assistências esperadas/90,280,0.048,0.047
Zaga,cod_count_p90,ga90,280,0.032,0.001
Zaga,cod_count_p90,xgxa90,280,0.084,0.051
Zaga,cod_count_p90,Passes progressivos/90,280,-0.019,-0.012
Zaga,cod_count_p90,Faltas sofridas/90,280,0.237,0.231
Zaga,cod_count_p90,Passes chave/90,280,0.095,0.114
Zaga,runs_p30tip,Duelos/90,280,0.084,0.111
Zaga,runs_p30tip,"Duelos ganhos, %",280,-0.221,-0.215
Zaga,runs_p30tip,Duelos defensivos/90,280,0.079,0.085
Zaga,runs_p30tip,"Duelos defensivos ganhos, %",280,-0.142,-0.14
Zaga,runs_p30tip,Duelos aéreos/90,280,-0.039,-0.058
Zaga,runs_p30tip,"Duelos aéreos ganhos, %",280,-0.141,-0.142
Zaga,runs_p30tip,Duelos ofensivos/90,280,0.194,0.229
Zaga,runs_p30tip,"Duelos ofensivos ganhos, %",280,-0.065,-0.034
Zaga,runs_p30tip,Interseções/90,280,-0.143,-0.137
Zaga,runs_p30tip,Dribles/90,280,0.197,0.227
Zaga,runs_p30tip,Corridas progressivas/90,280,0.383,0.386
Zaga,runs_p30tip,Toques na área/90,280,0.076,0.034
Zaga,runs_p30tip,Acções atacantes com sucesso/90,280,0.248,0.226
Zaga,runs_p30tip,Golos esperados/90,280,0.099,0.06
Zaga,runs_p30tip,Assistências esperadas/90,280,0.155,0.153
Zaga,runs_p30tip,ga90,280,0.088,0.046
Zaga,runs_p30tip,xgxa90,280,0.122,0.071
Zaga,runs_p30tip,Passes progressivos/90,280,0.19,0.185
Zaga,runs_p30tip,Faltas sofridas/90,280,0.072,0.127
Zaga,runs_p30tip,Passes chave/90,280,0.126,0.126
Zaga,runs_penalty_area_p30tip,Duelos/90,280,0.146,0.093
Zaga,runs_penalty_area_p30tip,"Duelos ganhos, %",280,-0.082,-0.098
Zaga,runs_penalty_area_p30tip,Duelos defensivos/90,280,0.054,-0.014
Zaga,runs_penalty_area_p30tip,"Duelos defensivos ganhos, %",280,-0.015,-0.003
Zaga,runs_penalty_area_p30tip,Duelos aéreos/90,280,0.034,-0.011
Zaga,runs_penalty_area_p30tip,"Duelos aéreos ganhos, %",280,-0.064,-0.093
Zaga,runs_penalty_area_p30tip,Duelos ofensivos/90,280,0.234,0.253
Zaga,runs_penalty_area_p30tip,"Duelos ofensivos ganhos, %",280,-0.046,-0.072
Zaga,runs_penalty_area_p30tip,Interseções/90,280,0.039,0.029
Zaga,runs_penalty_area_p30tip,Dribles/90,280,0.191,0.209
Zaga,runs_penalty_area_p30tip,Corridas progressivas/90,280,0.201,0.182
Zaga,runs_penalty_area_p30tip,Toques na área/90,280,0.297,0.279
Zaga,runs_penalty_area_p30tip,Acções atacantes com sucesso/90,280,0.26,0.229
