pos,metrica,cai,meio,sobe,n_cai,n_meio,n_sobe
ZD,Distância/90,25.0,51.0,33.0,5,28,10
ZD,Alta velocidade/90,32.0,45.0,34.0,5,28,10
ZD,Sprints/90,46.0,47.0,40.0,5,28,10
ZD,Arrancadas explosivas/90,68.0,48.0,44.0,5,28,10
ZD,PSV-99,65.0,57.0,48.0,5,28,10
ZD,Sprint sem bola/30min,47.0,47.0,42.0,5,28,10
ZD,Corridas para a área/30min,41.0,63.0,54.0,5,28,10
ZD,Acelerações fortes/90,52.0,42.0,35.0,5,28,10
ZD,Sprint com bola/30min,42.0,47.0,45.0,5,28,10
ZD,Mudanças de direção/90,44.0,45.0,38.0,5,28,10
ZE,Distância/90,23.0,51.0,51.0,6,26,13
ZE,Alta velocidade/90,35.0,52.0,59.0,6,26,13
ZE,Sprints/90,36.0,51.0,54.0,6,26,13
ZE,Arrancadas explosivas/90,38.0,49.0,58.0,6,26,13
ZE,PSV-99,36.0,54.0,61.0,6,26,13
ZE,Sprint sem bola/30min,43.0,55.0,59.0,6,26,13
ZE,Corridas para a área/30min,43.0,54.0,65.0,6,26,13
ZE,Acelerações fortes/90,34.0,45.0,50.0,6,26,13
ZE,Sprint com bola/30min,38.0,49.0,57.0,6,26,13
ZE,Mudanças de direção/90,22.0,49.0,52.0,6,26,13
LD,Distância/90,47.0,46.0,36.0,5,21,4
LD,Alta velocidade/90,30.0,47.0,46.0,5,21,4
LD,Sprints/90,48.0,46.0,70.0,5,21,4
LD,Arrancadas explosivas/90,52.0,51.0,75.0,5,21,4
LD,PSV-99,59.0,58.0,81.0,5,21,4
LD,Sprint sem bola/30min,38.0,47.0,57.0,5,21,4
LD,Corridas para a área/30min,56.0,51.0,51.0,5,21,4
LD,Acelerações fortes/90,42.0,46.0,70.0,5,21,4
LD,Sprint com bola/30min,50.0,48.0,61.0,5,21,4
LD,Mudanças de direção/90,37.0,44.0,53.0,5,21,4
LE,Distância/90,31.0,43.0,52.0,8,25,9
LE,Alta velocidade/90,27.0,50.0,50.0,8,25,9
LE,Sprints/90,25.0,58.0,43.0,8,25,9
LE,Arrancadas explosivas/90,35.0,60.0,41.0,8,25,9
LE,PSV-99,36.0,63.0,41.0,8,25,9
LE,Sprint sem bola/30min,33.0,54.0,43.0,8,25,9
LE,Corridas para a área/30min,44.0,52.0,65.0,8,25,9
LE,Acelerações fortes/90,41.0,62.0,30.0,8,25,9
LE,Sprint com bola/30min,26.0,59.0,43.0,8,25,9
LE,Mudanças de direção/90,29.0,45.0,35.0,8,25,9
VOL,Distância/90,28.0,53.0,56.0,6,21,11
VOL,Alta velocidade/90,24.0,50.0,60.0,6,21,11
VOL,Sprints/90,27.0,48.0,63.0,6,21,11
VOL,Arrancadas explosivas/90,44.0,47.0,68.0,6,21,11
VOL,PSV-99,48.0,56.0,73.0,6,21,11
VOL,Sprint sem bola/30min,30.0,52.0,60.0,6,21,11
VOL,Corridas para a área/30min,30.0,50.0,66.0,6,21,11
VOL,Acelerações fortes/90,39.0,40.0,40.0,6,21,11
VOL,Sprint com bola/30min,26.0,47.0,65.0,6,21,11
VOL,Mudanças de direção/90,36.0,48.0,54.0,6,21,11
MED,Distância/90,30.0,50.0,65.0,8,26,12
MED,Alta velocidade/90,35.0,56.0,58.0,8,26,12
MED,Sprints/90,47.0,58.0,60.0,8,26,12
MED,Arrancadas explosivas/90,51.0,58.0,60.0,8,26,12
MED,PSV-99,69.0,62.0,66.0,8,26,12
MED,Sprint sem bola/30min,51.0,56.0,58.0,8,26,12
MED,Corridas para a área/30min,34.0,56.0,61.0,8,26,12
MED,Acelerações fortes/90,34.0,47.0,42.0,8,26,12
MED,Sprint com bola/30min,50.0,57.0,55.0,8,26,12
MED,Mudanças de direção/90,25.0,48.0,47.0,8,26,12
MEI,Distância/90,42.0,57.0,35.0,1,7,6
MEI,Alta velocidade/90,39.0,60.0,34.0,1,7,6
MEI,Sprints/90,39.0,65.0,30.0,1,7,6
MEI,Arrancadas explosivas/90,30.0,55.0,48.0,1,7,6
MEI,PSV-99,67.0,71.0,55.0,1,7,6
MEI,Sprint sem bola/30min,15.0,42.0,33.0,1,7,6
MEI,Corridas para a área/30min,45.0,62.0,41.0,1,7,6
MEI,Acelerações fortes/90,42.0,61.0,28.0,1,7,6
MEI,Sprint com bola/30min,76.0,76.0,41.0,1,7,6
MEI,Mudanças de direção/90,64.0,53.0,28.0,1,7,6
ED,Distância/90,45.0,29.0,44.0,2,17,7
ED,Alta velocidade/90,28.0,28.0,44.0,2,17,7
ED,Sprints/90,39.0,36.0,43.0,2,17,7
ED,Arrancadas explosivas/90,47.0,46.0,43.0,2,17,7
ED,PSV-99,46.0,53.0,47.0,2,17,7
ED,Sprint sem bola/30min,25.0,35.0,48.0,2,17,7
ED,Corridas para a área/30min,24.0,41.0,34.0,2,17,7
ED,Acelerações fortes/90,53.0,42.0,38.0,2,17,7
ED,Sprint com bola/30min,39.0,43.0,35.0,2,17,7
ED,Mudanças de direção/90,42.0,26.0,49.0,2,17,7
