setor,tipo,Cai,Meio,Sobe,n,Sobe%,Meio%,Cai%,conc_sobe,conc_cai,por_time_cai,por_time_meio,por_time_sobe
Atacante,Baixa intensidade,14,40,8,62,12.9,64.52,22.58,0.65,1.13,1.27,1.25,1.0
Atacante,Explosivo e rápido,12,38,10,60,16.67,63.33,20.0,0.83,1.0,1.09,1.31,1.11
Atacante,Motor de volume,6,20,10,36,27.78,55.56,16.67,1.39,0.83,1.2,1.25,1.11
Extremo,Baixa intensidade,14,35,14,63,22.22,55.56,22.22,1.11,1.11,1.4,1.3,1.75
Extremo,Explosivo e rápido,7,44,12,63,19.05,69.84,11.11,0.95,0.56,1.17,1.42,1.2
Extremo,Motor de volume,13,48,9,70,12.86,68.57,18.57,0.64,0.93,1.62,1.6,1.29
Lateral,Baixa intensidade,16,37,10,63,15.87,58.73,25.4,0.79,1.27,1.45,1.42,1.25
Lateral,Explosivo e rápido,17,46,29,92,31.52,50.0,18.48,1.58,0.92,1.42,1.31,1.93
Lateral,Médio em tudo,16,48,8,72,11.11,66.67,22.22,0.56,1.11,1.6,1.45,1.33
Meia,Baixa intensidade,10,39,8,57,14.04,68.42,17.54,0.7,0.88,1.43,1.39,1.33
Meia,Explosivo e rápido,10,25,11,46,23.91,54.35,21.74,1.2,1.09,1.0,1.25,1.22
Meia,Médio em tudo,18,50,23,91,25.27,54.95,19.78,1.26,0.99,1.38,1.47,1.92
Volante,Intermediário,8,27,13,48,27.08,56.25,16.67,1.35,0.83,1.6,1.35,1.44
Volante,Mais intenso,4,19,9,32,28.12,59.38,12.5,1.41,0.62,1.0,1.27,1.5
Volante,Menos intenso,11,26,3,40,7.5,65.0,27.5,0.38,1.38,1.38,1.24,1.0
Zaga,Baixa intensidade,25,58,17,100,17.0,58.0,25.0,0.85,1.25,1.79,1.57,1.55
Zaga,Explosivo e rápido,8,17,7,32,21.88,53.12,25.0,1.09,1.25,1.33,1.06,1.17
Zaga,Motor de volume,14,64,19,97,19.59,65.98,14.43,0.98,0.72,1.4,1.68,1.46
