setor,tipo,n,referencia,rendimento,psv99,sprint_count_p90,hi_count_p90,expl_accel_sprint_p90,distance_p90,runs_p30tip,Duelos/90,"Duelos ganhos, %","Duelos defensivos ganhos, %","Duelos aéreos ganhos, %",Duelos ofensivos/90,Dribles/90,Corridas progressivas/90,Toques na área/90,Acções atacantes com sucesso/90,xgxa90,ga90,Interseções/90,pct_sobe,n_sobe,pct_meio,n_meio,pct_cai,n_cai
Atacante,Baixa intensidade,71,0.22535211267605634,0.0220548293604541,27.89,7.15,49.65,0.96,9206.11,27.69,19.41,35.94,51.85,32.47,7.45,1.23,0.45,2.62,1.63,0.37,0.38,1.44,0.286,28,0.408,98,0.438,32
Atacante,Explosivo e rápido,70,0.2,0.0136686118124909,30.064999999999998,13.56,72.605,2.455,9364.939999999999,32.055,19.58,36.19499999999999,50.0,28.93,7.42,1.99,1.0150000000000001,2.91,1.89,0.355,0.315,1.5150000000000001,0.357,28,0.388,98,0.375,32
Atacante,Motor de volume,42,0.4523809523809524,0.17181945021077583,28.535,10.879999999999999,66.745,1.415,9907.385,36.775,19.785,37.17,52.834999999999994,32.805,6.895,1.81,0.905,2.7649999999999997,2.2,0.36,0.345,1.78,0.357,28,0.204,98,0.188,32
Extremo,Baixa intensidade,72,0.3333333333333333,0.0543696066379311,29.299999999999997,10.29,62.394999999999996,1.77,9385.135,27.775,20.075,44.230000000000004,54.89,32.465,10.95,4.494999999999999,2.245,1.995,4.01,0.26,0.25,1.995,0.4,35,0.276,127,0.412,34
Extremo,Explosivo e rápido,71,0.2535211267605634,0.0384228931967516,30.58,15.75,83.37,2.86,9830.43,35.7,20.23,42.9,55.42,32.26,10.58,4.35,2.29,2.61,4.14,0.27,0.24,2.25,0.343,35,0.346,127,0.206,34
Extremo,Motor de volume,80,0.2625,0.00262366476342615,28.845,11.55,70.66499999999999,1.415,10062.42,36.015,19.310000000000002,43.505,55.185,29.865000000000002,9.415,3.42,1.75,2.2199999999999998,3.37,0.27,0.22,2.29,0.257,35,0.378,127,0.382,34
Lateral,Baixa intensidade,74,0.28378378378378377,0.0178617205864725,29.1,8.815000000000001,53.94,1.53,9246.404999999999,19.115000000000002,14.594999999999999,54.69,60.915,54.76,3.5300000000000002,1.4649999999999999,1.375,0.525,1.885,0.1,0.06,3.9000000000000004,0.213,47,0.282,131,0.327,49
Lateral,Explosivo e rápido,109,0.30275229357798167,0.0384228931967516,30.03,12.47,69.23,2.22,9729.13,26.34,17.09,53.15,61.95,50.85,5.06,2.06,1.58,0.91,2.39,0.11000000000000001,0.07,4.15,0.617,47,0.351,131,0.347,49
Lateral,Médio em tudo,88,0.3181818181818182,0.00825947586086855,28.725,9.75,60.265,1.255,9751.895,26.38,14.934999999999999,53.315,60.885000000000005,50.0,3.795,1.54,1.28,0.61,2.165,0.11,0.08,3.815,0.17,47,0.366,131,0.327,49
Meia,Baixa intensidade,67,0.23880597014925373,0.0046557676533542,27.03,4.49,41.94,0.5,9902.18,20.53,15.23,51.11,56.34,50.0,3.93,0.97,0.76,0.57,1.12,0.11000000000000001,0.12,3.73,0.19,42,0.342,114,0.263,38
Meia,Explosivo e rápido,53,0.32075471698113206,0.0005915618734981,28.6,10.1,66.71,1.16,10285.03,36.51,16.34,46.94,57.14,34.15,5.28,1.41,1.14,1.47,1.76,0.21000000000000002,0.15,2.69,0.262,42,0.219,114,0.263,38
Meia,Médio em tudo,107,0.308411214953271,0.0260587060101487,27.71,7.03,53.67,0.67,10298.68,30.39,14.92,48.8,55.91,41.86,5.29,1.36,0.93,0.95,1.54,0.16,0.14,2.96,0.548,42,0.439,114,0.474,38
Volante,Intermediário,54,0.2777777777777778,0.052590602731772004,27.869999999999997,6.05,47.455,0.73,9834.96,17.59,15.695,52.045,59.22,52.47,3.4850000000000003,0.8200000000000001,0.545,0.445,0.74,0.07500000000000001,0.05,4.205,0.52,25,0.375,72,0.348,23
Volante,Mais intenso,39,0.1794871794871795,0.0297248701419747,28.21,8.07,57.36,0.83,10353.94,28.95,16.51,50.38,58.62,45.45,4.26,1.18,0.98,0.89,1.24,0.11,0.09,3.98,0.36,25,0.264,72,0.174,23
Volante,Menos intenso,50,0.16,-0.0493877715684055,26.575,4.015000000000001,39.695,0.345,10032.175,20.43,14.95,52.47,57.25,51.019999999999996,3.375,0.655,0.49,0.33999999999999997,0.835,0.055,0.055,3.965,0.12,25,0.361,72,0.478,23
Zaga,Baixa intensidade,121,0.24793388429752067,0.0384228931967516,28.1,4.15,30.5,0.56,8635.93,5.76,10.66,62.03,66.22,62.2,0.82,0.18,0.62,0.5,0.27,0.05,0.03,4.6,0.395,43,0.417,139,0.532,47
Zaga,Explosivo e rápido,37,0.3783783783783784,0.0136686118124909,30.08,8.25,46.92,1.44,8996.3,8.52,12.59,60.59,65.36,59.15,1.43,0.38,0.77,0.49,0.42,0.05,0.05,4.69,0.163,43,0.122,139,0.17,47
Zaga,Motor de volume,122,0.22950819672131148,0.0260587060101487,28.75,5.6850000000000005,37.43,0.77,9013.075,8.405,11.295,60.875,64.65,61.894999999999996,1.1,0.23,0.78,0.475,0.32,0.05,0.035,4.62,0.442,43,0.46,139,0.298,47
