setor,volume,aproveitamento,n,em_times_referencia,rendimento_medio,pontos_medio,vol_mediana,pct_mediana
Zaga,baixo,baixo,33,0.42,0.126,55.4,3.52,64.9
Zaga,baixo,alto,21,0.24,-0.03,49.5,3.73,71.4
Zaga,alto,baixo,21,0.48,0.164,59.4,5.02,64.6
Zaga,alto,alto,34,0.29,0.074,54.5,5.0,72.3
Volante,baixo,baixo,11,0.36,0.115,52.6,5.22,57.1
Volante,baixo,alto,11,0.18,-0.01,49.5,5.87,61.5
Volante,alto,baixo,11,0.18,0.003,50.7,8.74,54.8
Volante,alto,alto,11,0.0,-0.016,53.7,8.27,62.4
Lateral,baixo,baixo,26,0.31,0.05,53.2,5.5,59.1
Lateral,baixo,alto,15,0.33,-0.013,50.4,5.66,64.4
Lateral,alto,baixo,15,0.4,0.098,53.7,7.43,59.1
Lateral,alto,alto,27,0.04,-0.048,50.2,7.48,65.1
Meia,baixo,baixo,22,0.32,0.036,54.1,4.52,54.1
Meia,baixo,alto,16,0.5,0.141,56.2,4.91,60.8
Meia,alto,baixo,16,0.44,0.03,52.5,6.63,54.5
Meia,alto,alto,23,0.26,-0.018,52.1,6.73,60.9
Extremo,baixo,baixo,11,0.73,0.213,60.6,9.03,39.9
Extremo,baixo,alto,14,0.36,0.128,56.4,7.31,46.0
Extremo,alto,baixo,14,0.29,0.107,52.2,12.57,37.5
Extremo,alto,alto,12,0.17,-0.001,54.6,12.21,45.4
Atacante,baixo,baixo,8,0.5,0.163,61.6,6.22,29.7
Atacante,baixo,alto,8,0.38,-0.006,50.5,4.38,43.8
Atacante,alto,baixo,8,0.5,0.021,51.0,10.26,30.6
Atacante,alto,alto,9,0.22,0.03,51.9,8.77,40.1
