ano,clube,duelos_def_cru,duelos_def_padj,duelos_def_pct,aereos_pct,duelos_pct,intercep_padj,duelos_of_padj,duelos_of_pct,jogos,pontos,gp,gc,sg,pos,dist_g4,ppj,faixa,valor_eur,log_valor,posto_valor,ppj_esperado,rendimento,posse
2022,Bahia,4.843333333333334,4.871717497913281,66.58666666666666,58.053333333333335,60.19,4.486137654651046,1.8326557024773207,45.70333333333334,38,62,43.0,29.0,14.0,3,0,1.631578947368421,Sobe,21700000.0,16.892822818510687,4.0,1.4664532785695537,0.16512566879886736,50.291315789473686
2022,Brusque,5.8066666666666675,6.053057984849981,70.89,57.076666666666675,61.00333333333333,5.194788569087669,2.427840769248924,52.336666666666666,38,34,21.0,38.0,-17.0,18,-28,0.8947368421052632,Cai,4375000.0,15.291417077773852,19.0,1.045525591917353,-0.15078874981208978,52.03526315789473
2022,CRB,4.53,4.479336348354662,72.58,61.97,64.18,5.428599680456312,0.596749551506247,75.0,38,50,35.0,43.0,-8.0,11,-12,1.3157894736842106,Meio,15925000.0,16.583400759422503,7.0,1.3851220405091595,-0.06933256682494893,49.43447368421052
2022,CSA,6.17,5.977462777891086,58.815,58.035,56.075,5.163675300836222,1.8909071133347837,42.815,38,42,29.0,37.0,-8.0,17,-20,1.105263157894737,Cai,13750000.0,16.436549382076855,10.0,1.3465223221646054,-0.2412591642698685,48.38947368421052
2022,Chapecoense,3.9699999999999998,3.9792570084090357,74.03,63.58,65.02,4.049420230219774,0.6534797996240325,50.394999999999996,38,45,37.0,39.0,-2.0,14,-17,1.1842105263157894,Meio,13875000.0,16.445599217596772,9.0,1.348901061189376,-0.16469053487358654,50.11631578947369
2022,Criciúma,4.58,4.516343329285129,71.91,62.35,63.11,5.453139434704533,2.038735439510575,46.15,38,56,43.0,31.0,12.0,8,-6,1.4736842105263157,Meio,6800000.0,15.732433170146335,16.0,1.1614461727024121,0.3122380378239036,49.29526315789474
2022,Cruzeiro,6.446666666666666,8.384616262221765,62.379999999999995,54.54333333333333,56.99666666666667,5.583963674116667,1.7436533213631733,53.48333333333333,38,78,57.0,26.0,31.0,1,16,2.0526315789473686,Sobe,29750000.0,17.208339689955913,3.0,1.549386531160537,0.5032450477868315,61.55657894736842
2022,Grêmio,7.385,7.40108762731622,67.2325,51.965,58.67,4.843027211781399,3.5148598047402224,49.3625,38,65,50.0,26.0,24.0,2,3,1.7105263157894737,Sobe,49775000.0,17.723023407914535,1.0,1.68467056396174,0.025855751827733586,50.10868421052632
2022,Guarani,6.665,6.852839949781375,61.385,59.905,59.42,4.971264989826398,2.0099073808450476,54.545,38,51,33.0,36.0,-3.0,10,-11,1.3421052631578947,Meio,11025000.0,16.215675979297185,12.0,1.2884659982049644,0.053639264952930255,51.37052631578947
2022,Ituano,4.81,4.278137449033569,62.36333333333332,56.620000000000005,56.77,4.008344997292713,1.6863105720473535,48.35,38,57,42.0,34.0,8.0,6,-5,1.5,Meio,6500000.0,15.687312734865866,17.0,1.149586317351445,0.3504136826485551,43.78394736842105
2022,Londrina,4.836666666666667,4.444935685993986,65.36333333333333,59.27333333333333,59.71333333333333,4.451062406443323,1.297699214365881,50.82,37,52,35.0,36.0,-1.0,9,-10,1.4054054054054055,Meio,7200000.0,15.789591583986283,15.0,1.176470197094437,0.22893520831096859,45.593513513513514
2022,Novorizontino,3.82,3.7854132765886424,70.0,61.65,61.45,4.538532148370676,1.3624484766073175,46.15,38,44,44.0,49.0,-5.0,15,-18,1.1578947368421053,Meio,11300000.0,16.240313283682568,11.0,1.2949418857807853,-0.13704714893867997,49.54315789473684
2022,Operário-PR,4.53,4.521195566528339,67.28,53.55,59.84,4.6808845931606875,0.56109265411591,55.0,38,34,31.0,53.0,-22.0,19,-28,0.8947368421052632,Cai,10925000.0,16.206564298945928,13.0,1.2860710033362661,-0.39133416123100295,49.902631578947364
