temporada,clube,pos,faixa,trave,pontos,J,V,E,D,GP,GC,SG,dist_g4,fronteira_g4,fronteira_z4,fronteira,base_incompleta
2022,Cruzeiro,1,Sobe,0,78,38,23,9,6,57,26,31,16,0,0,0,0
2022,Grêmio,2,Sobe,0,65,38,17,14,7,50,26,24,3,0,0,0,0
2022,Bahia,3,Sobe,0,62,38,17,11,10,43,29,14,0,0,0,0,0
2022,Vasco,4,Sobe,0,62,38,17,11,10,48,36,12,0,0,0,0,0
2022,Sampaio Corrêa,5,Meio,1,58,38,16,10,12,48,42,6,-4,0,0,0,0
2022,Ituano,6,Meio,1,57,38,15,12,11,42,34,8,-5,0,0,0,0
2022,Sport,7,Meio,1,57,38,15,12,11,37,31,6,-5,0,0,0,0
2022,Criciúma,8,Meio,1,56,38,14,14,10,43,31,12,-6,0,0,0,0
2022,Londrina,9,Meio,0,53,38,14,11,13,36,37,-1,-9,0,0,0,1
2022,Guarani,10,Meio,0,51,38,13,12,13,33,36,-3,-11,0,0,0,0
2022,CRB,11,Meio,0,50,38,13,11,14,35,43,-8,-12,0,0,0,0
2022,Ponte Preta,12,Meio,0,49,38,12,13,13,34,36,-2,-13,0,0,0,0
2022,Vila Nova,13,Meio,0,47,38,9,20,9,28,31,-3,-15,0,0,0,0
2022,Chapecoense,14,Meio,0,45,38,11,12,15,37,39,-2,-17,0,1,1,0
2022,Tombense,15,Meio,0,45,38,10,15,13,38,47,-9,-17,0,1,1,1
2022,Novorizontino,16,Meio,0,44,38,11,11,16,44,49,-5,-18,0,1,1,0
2022,CSA,17,Cai,0,42,38,9,15,14,29,37,-8,-20,0,1,1,0
2022,Brusque,18,Cai,0,34,38,8,10,20,21,38,-17,-28,0,0,0,0
2022,Operário-PR,19,Cai,0,34,38,7,13,18,31,53,-22,-28,0,0,0,0
2022,Náutico,20,Cai,0,30,38,8,6,24,32,65,-33,-32,0,0,0,0
2023,Vitória,1,Sobe,0,72,38,22,6,10,50,31,19,8,0,0,0,0
2023,Juventude,2,Sobe,0,65,38,18,11,9,42,31,11,1,1,0,1,0
2023,Criciúma,3,Sobe,0,64,38,19,7,12,45,33,12,0,1,0,1,0
2023,Atlético-GO,4,Sobe,0,64,38,17,13,8,56,45,11,0,1,0,1,0
2023,Novorizontino,5,Meio,1,63,38,19,6,13,48,30,18,-1,1,0,1,0
2023,Mirassol,6,Meio,1,63,38,18,9,11,42,31,11,-1,1,0,1,0
2023,Sport,7,Meio,1,63,38,17,12,9,59,40,19,-1,1,0,1,0
2023,Vila Nova,8,Meio,1,61,38,17,10,11,49,30,19,-3,1,0,1,0
2023,CRB,9,Meio,0,57,38,16,9,13,45,39,6,-7,0,0,0,0
2023,Guarani,10,Meio,0,57,38,15,12,11,42,33,9,-7,0,0,0,0
2023,Ceará,11,Meio,0,50,38,13,11,14,40,45,-5,-14,0,0,0,0
2023,Botafogo-SP,12,Meio,0,47,38,12,11,15,25,42,-17,-17,0,0,0,0
2023,Avaí,13,Meio,0,44,38,10,14,14,31,48,-17,-20,0,0,0,0
2023,Ituano,14,Meio,0,42,38,9,15,14,33,38,-5,-22,0,1,1,0
2023,Ponte Preta,15,Meio,0,42,38,9,15,14,24,35,-11,-22,0,1,1,0
2023,Chapecoense,16,Meio,0,40,38,9,13,16,38,43,-5,-24,0,1,1,0
2023,Sampaio Corrêa,17,Cai,0,39,38,8,15,15,31,43,-12,-25,0,1,1,0
2023,Tombense,18,Cai,0,37,38,9,10,19,37,50,-13,-27,0,1,1,0
2023,Londrina,19,Cai,0,31,38,7,10,21,31,58,-27,-33,0,0,0,0
2023,ABC,20,Cai,0,28,38,5,13,20,28,51,-23,-36,0,0,0,0
2024,Santos,1,Sobe,0,68,38,20,8,10,57,32,25,4,0,0,0,0
2024,Mirassol,2,Sobe,0,67,38,19,10,9,42,26,16,3,1,0,1,0
2024,Sport,3,Sobe,0,66,38,19,9,10,57,37,20,2,1,0,1,0
2024,Ceará,4,Sobe,0,64,38,19,7,12,59,41,18,0,1,0,1,0
2024,Novorizontino,5,Meio,1,64,38,18,10,10,43,31,12,0,1,0,1,0
2024,Goiás,6,Meio,1,63,38,18,9,11,56,32,24,-1,1,0,1,0
2024,Operário-PR,7,Meio,1,58,38,16,10,12,34,32,2,-6,0,0,0,1
2024,América-MG,8,Meio,1,58,38,15,13,10,50,35,15,-6,0,0,0,0
2024,Vila Nova,9,Meio,0,55,38,16,7,15,42,54,-12,-9,0,0,0,0
2024,Avaí,10,Meio,0,53,38,14,11,13,34,32,2,-11,0,0,0,0
2024,Amazonas,11,Meio,0,52,38,14,10,14,31,37,-6,-12,0,0,0,0
2024,Coritiba,12,Meio,0,50,38,14,8,16,41,44,-3,-14,0,0,0,0
2024,Paysandu,13,Meio,0,50,38,12,14,12,41,43,-2,-14,0,0,0,0
2024,Botafogo-SP,14,Meio,0,45,38,11,12,15,36,51,-15,-19,0,0,0,0
2024,Chapecoense,15,Meio,0,44,38,11,11,16,34,45,-11,-20,0,0,0,1
2024,CRB,16,Meio,0,43,38,11,10,17,38,45,-7,-21,0,0,0,0
2024,Ponte Preta,17,Cai,0,38,38,10,8,20,37,55,-18,-26,0,0,0,0
2024,Ituano,18,Cai,0,37,38,11,4,23,43,63,-20,-27,0,0,0,0
2024,Brusque,19,Cai,0,36,38,8,12,18,24,44,-20,-28,0,0,0,0
2024,Guarani,20,Cai,0,33,38,8,9,21,33,53,-20,-31,0,0,0,0
2025,Coritiba,1,Sobe,0,68,38,19,11,8,39,23,16,6,0,0,0,0
2025,Athletico-PR,2,Sobe,0,65,38,19,8,11,53,43,10,3,0,0,0,0
2025,Chapecoense,3,Sobe,0,62,38,18,8,12,52,35,17,0,1,0,1,0
2025,Remo,4,Sobe,0,62,38,16,14,8,51,39,12,0,1,0,1,0
2025,Criciúma,5,Meio,1,61,38,17,10,11,47,33,14,-1,1,0,1,0
2025,Goiás,6,Meio,1,61,38,17,10,11,42,37,5,-1,1,0,1,0
2025,Novorizontino,7,Meio,1,60,38,15,15,8,43,32,11,-2,1,0,1,0
