fronteira,familia,comparacao,indicador,nome,n_sobe,n_alvo,cru_sobe,cru_alvo,dif_cru,d,ic95_d,p,d_minimo_80,placar_redescrito,regua_curta,q,selo,poder_suficiente
com,cria,SM,gols_pro_90,Gols por jogo,16,48,1.329,1.066,0.263,1.38,"[0.81, 2.09]",1e-05,0.82,True,,6e-05,firme,True
com,cria,SM,xg,xG por jogo,16,48,1.276,1.179,0.097,0.554,"[-0.01, 1.22]",0.05517,0.82,False,0.3,0.08444,sem diferença clara,False
com,cria,SM,remates,Finalizações por jogo,16,48,12.618,12.28,0.339,0.24,"[-0.4, 0.91]",0.41891,0.82,False,,0.41891,sem diferença clara,False
com,cria,SM,xg_por_remate,xG por finalização,16,48,0.105,0.097,0.007,0.584,"[0.02, 1.23]",0.06032,0.82,False,,0.08444,sem diferença clara,False
com,cria,SM,dist_remate,Distância da finalização (m),16,48,19.522,20.472,-0.95,1.203,"[0.71, 1.78]",3e-05,0.82,False,,9e-05,firme,True
com,cria,SM,toques_area,Toques na área por jogo,16,48,15.224,14.026,1.197,0.587,"[0.04, 1.22]",0.04385,0.82,False,,0.08444,pode ser sorte,False
com,cria,SM,entradas_area,Entradas na área por jogo,16,48,23.618,21.842,1.776,0.517,"[-0.07, 1.17]",0.09396,0.82,False,,0.10962,sem diferença clara,False
com,cria,ST,gols_pro_90,Gols por jogo,16,16,1.329,1.158,0.171,0.661,"[0.04, 1.53]",0.07159,1.02,True,,0.25056,sem diferença clara,False
com,cria,ST,xg,xG por jogo,16,16,1.276,1.36,-0.084,-0.366,"[-1.17, 0.32]",0.30877,1.02,False,0.3,0.54034,sem diferença clara,False
com,cria,ST,remates,Finalizações por jogo,16,16,12.618,12.869,-0.25,-0.459,"[-1.2, 0.24]",0.20414,1.02,False,,0.47633,sem diferença clara,False
com,cria,ST,xg_por_remate,xG por finalização,16,16,0.105,0.103,0.002,0.089,"[-0.68, 0.91]",0.80283,1.02,False,,0.94947,sem diferença clara,False
com,cria,ST,dist_remate,Distância da finalização (m),16,16,19.522,20.201,-0.68,0.842,"[0.19, 1.55]",0.02478,1.02,False,,0.17346,pode ser sorte,False
com,cria,ST,toques_area,Toques na área por jogo,16,16,15.224,15.197,0.026,0.033,"[-0.69, 0.73]",0.92536,1.02,False,,0.94947,sem diferença clara,False
com,cria,ST,entradas_area,Entradas na área por jogo,16,16,23.618,22.487,1.132,-0.023,"[-0.63, 0.8]",0.94947,1.02,False,,0.94947,sem diferença clara,False
com,cede,SM,gols_contra_90,Gols sofridos por jogo,16,48,0.855,1.026,-0.171,0.883,"[0.34, 1.63]",0.00183,0.82,True,,0.00734,firme,True
com,cede,SM,xg_contra,xG sofrido por jogo,16,48,1.017,1.183,-0.166,0.623,"[0.04, 1.38]",0.04878,0.82,False,,0.06503,pode ser sorte,False
com,cede,SM,remates_contra,Finalizações sofridas por jogo,16,48,11.618,12.053,-0.434,0.247,"[-0.39, 0.88]",0.42873,0.82,False,,0.42873,sem diferença clara,False
com,cede,SM,xg_por_remate_contra,xG por finalização sofrida,16,48,0.089,0.098,-0.008,0.805,"[0.28, 1.41]",0.01038,0.82,False,,0.02076,firme,False
com,cede,ST,gols_contra_90,Gols sofridos por jogo,16,16,0.855,0.842,0.013,-0.08,"[-0.85, 0.71]",0.82242,1.02,True,,0.82629,sem diferença clara,False
com,cede,ST,xg_contra,xG sofrido por jogo,16,16,1.017,1.089,-0.071,0.078,"[-0.66, 1.0]",0.82629,1.02,False,,0.82629,sem diferença clara,False
com,cede,ST,remates_contra,Finalizações sofridas por jogo,16,16,11.618,11.053,0.566,-0.154,"[-0.91, 0.71]",0.66715,1.02,False,,0.82629,sem diferença clara,False
com,cede,ST,xg_por_remate_contra,xG por finalização sofrida,16,16,0.089,0.095,-0.006,0.473,"[-0.16, 1.32]",0.19142,1.02,False,,0.76566,sem diferença clara,False
com,sobra,SM,finalizacao,Gols menos xG (pontaria),16,48,0.053,-0.169,0.223,1.257,"[0.75, 1.84]",2e-05,0.82,True,,4e-05,firme,True
com,sobra,SM,defesa_vs_xg,xG sofrido menos gols sofridos (goleiro e defesa),16,48,0.204,0.166,0.038,0.424,"[-0.13, 1.01]",0.17105,0.82,False,,0.17105,sem diferença clara,False
com,sobra,ST,finalizacao,Gols menos xG (pontaria),16,16,0.053,-0.18,0.233,1.352,"[0.72, 2.28]",0.00072,1.02,True,,0.00144,firme,True
com,sobra,ST,defesa_vs_xg,xG sofrido menos gols sofridos (goleiro e defesa),16,16,0.204,0.222,-0.018,0.056,"[-0.72, 0.75]",0.87624,1.02,False,,0.87624,sem diferença clara,False
sem,cria,SM,gols_pro_90,Gols por jogo,8,32,1.316,1.053,0.263,1.626,"[0.73, 2.76]",0.00306,1.14,True,,0.02139,firme,True
