fronteira,familia,comparacao,indicador,citado,n_a,n_b,cru_a,cru_b,d,ic95_d,p,d_minimo_80,q,selo,poder_suficiente,q_de,nome,placar_redescrito
com,gol_bp,SM,bp_pro_90,0,16,48,0.434,0.342,0.739,"[0.26, 1.3]",0.00958,0.82,0.02394,firme,False,,"Gols de bola parada feitos, por jogo",True
com,gol_bp,SM,bp_sof_90,0,16,48,0.289,0.355,0.403,"[-0.15, 0.97]",0.16312,0.82,0.27187,sem diferença clara,False,,"Gols de bola parada sofridos, por jogo",True
com,gol_bp,SM,bp_pro_pct,0,16,48,35.191,34.022,0.107,"[-0.4, 0.64]",0.6978,0.82,0.6978,sem diferença clara,False,,% dos gols feitos que vieram de bola parada,True
com,gol_bp,SM,bp_sof_pct,0,16,48,36.743,33.688,-0.128,"[-0.73, 0.49]",0.66547,0.82,0.6978,sem diferença clara,False,,% dos gols sofridos que vieram de bola parada,True
com,gol_bp,SM,bp_saldo_90,0,16,48,0.145,0.0,0.981,"[0.47, 1.55]",0.00046,0.82,0.00228,firme,True,,Saldo de bola parada por jogo,True
com,gol_bp,ST,bp_pro_90,0,16,16,0.434,0.421,0.413,"[-0.2, 1.12]",0.25278,1.02,0.67773,sem diferença clara,False,,"Gols de bola parada feitos, por jogo",True
com,gol_bp,ST,bp_sof_90,0,16,16,0.289,0.289,-0.148,"[-0.88, 0.63]",0.67773,1.02,0.67773,sem diferença clara,False,,"Gols de bola parada sofridos, por jogo",True
com,gol_bp,ST,bp_pro_pct,0,16,16,35.191,33.165,0.161,"[-0.46, 0.87]",0.65189,1.02,0.67773,sem diferença clara,False,,% dos gols feitos que vieram de bola parada,True
com,gol_bp,ST,bp_sof_pct,0,16,16,36.743,32.379,-0.29,"[-1.09, 0.44]",0.41815,1.02,0.67773,sem diferença clara,False,,% dos gols sofridos que vieram de bola parada,True
com,gol_bp,ST,bp_saldo_90,0,16,16,0.145,0.105,0.391,"[-0.31, 1.3]",0.2781,1.02,0.67773,sem diferença clara,False,,Saldo de bola parada por jogo,True
com,gol_bp,CM,bp_pro_90,0,16,48,0.276,0.342,-0.831,"[-1.44, -0.3]",0.00497,0.82,0.00828,firme,True,,"Gols de bola parada feitos, por jogo",True
com,gol_bp,CM,bp_sof_90,0,16,48,0.447,0.355,-0.799,"[-1.4, -0.26]",0.00482,0.82,0.00828,firme,False,,"Gols de bola parada sofridos, por jogo",True
com,gol_bp,CM,bp_pro_pct,0,16,48,31.368,34.022,0.007,"[-0.51, 0.51]",0.97994,0.82,0.97994,sem diferença clara,False,,% dos gols feitos que vieram de bola parada,True
com,gol_bp,CM,bp_sof_pct,0,16,48,32.038,33.688,0.245,"[-0.31, 0.81]",0.32717,0.82,0.40897,sem diferença clara,False,,% dos gols sofridos que vieram de bola parada,True
com,gol_bp,CM,bp_saldo_90,0,16,48,-0.132,0.0,-1.009,"[-1.54, -0.59]",7e-05,0.82,0.00036,firme,True,,Saldo de bola parada por jogo,True
com,processo,SM,bolas_paradas,0,16,48,27.579,28.066,-0.301,"[-1.02, 0.33]",0.32134,0.82,0.45855,sem diferença clara,False,,Bolas paradas por jogo,False
com,processo,SM,cantos,0,16,48,5.303,5.145,0.262,"[-0.24, 0.8]",0.36684,0.82,0.45855,sem diferença clara,False,,Escanteios por jogo,False
com,processo,SM,cantos_remates,0,16,48,1.526,1.566,0.079,"[-0.42, 0.53]",0.74752,0.82,0.74752,sem diferença clara,False,,Finalizações de escanteio por jogo,False
com,processo,SM,livres_remates,0,16,48,0.605,0.737,-0.437,"[-1.11, 0.2]",0.15441,0.82,0.38603,sem diferença clara,False,,Finalizações de falta por jogo,False
